Sirvase	Sírvase	VMSP0S0+P00CN000	servir+se
Vm	VM	NP00000	VM
decir	decir	VMN0000	decir
al	al	SPS00+DA0MS0	a+el
zillero	cillero	NCMS000	cillero
q	que	CS	que
lo	lo	PP3CNA00	lo
vendido	vendido	VMP0000	vender
asta	hasta	SPS00	hasta
aora	ahora	RG	ahora
esta	está	VMIP3S0	estar
bien	bien	RG	bien
	,	Fc	,
Que	que	CS	que
es	es	VSIP3S0	ser
importantissimo	importantísimo	AQSMS0	importante
salir	salir	VMN0000	salir
de	de	SPS00	de
las	las	DA0FP0	el
ciento	ciento	Z	100
y	y	CC	y
Veinte	veinte	Z	20
fans	fanegas	NCFP000	fanega
transañejas	trasañejas	CC	trasañejas
a	a	SPS00	a
qualqra	cualquiera	DI0CS0	cualquiera
precio	precio	NCMS000	precio
,	.	Fp	.
y	Y	CC	y
Vm	VM	NP00000	VM
me	me	PP1CS000	me
hara	hará	VMIF3S0	hacer
mrd	merced	NCFS000	merced
de	de	SPS00	de
atender	atender	VMN0000	atender
en	en	SPS00	en
ello	ello	PD0NN000	ello
	,	Fc	,
prq	porque	CS	porque
baxando	bajando	VMG0000	bajar
el	el	DA0MS0	el
precio	precio	NCMS000	precio
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
facilitar	facilitar	VMN0000	facilitar
,	,	Fc	,
aunq	aunque	CS	aunque
sea	sea	VSSP0S0	ser
dos	dos	Z	2
ô	o	CC	o
tres	tres	Z	3
r	reales	NCMP000	real
o	o	CC	o
como	como	CS	como
se	se	P00CN000	se
pudiere	pudiere	VMSF0S0	poder
a	a	SPS00	a
disposicion	disposición	NCFS000	disposición
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
porq	porque	CS	porque
me	me	PP1CS000	me
unden	hunden	VMIP3P0	hundir
pensines	pensiones	NCFP000	pensión
y	y	CC	y
subsidio	subsidio	NCMS000	subsidio
y	y	CC	y
limosnas	limosnas	NCFP000	limosna
y	y	CC	y
la	la	DA0FS0	el
casa	casa	NCFS000	casa
	.	Fp	.
Hagame	Hágame	VMSP0S0+PP1CS000	hacer+me
Vm	VM	NP00000	VM
mrd	merced	NCFS000	merced
de	de	SPS00	de
conferir	conferir	VMN0000	conferir
con	con	SPS00	con
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
zillero	cillero	NCMS000	cillero
el	el	DA0MS0	el
precio	precio	NCMS000	precio
a	a	SPS00	a
q	que	CS	que
se	se	P00CN000	se
puedan	puedan	VMSP3P0	poder
ir	ir	VMN0000	ir
vendiendo	vendiendo	VMG0000	vender
granos	granos	NCMP000	grano
de	de	SPS00	de
este	este	DD0MS0	este
año	año	NCMS000	año
de	de	SPS00	de
todos	todos	DI0MP0	todo
generos	géneros	NCMP000	género
	,	Fc	,
porq	porque	CS	porque
es	es	VSIP3S0	ser
ya	ya	RG	ya
tpo	tiempo	NCMS000	tiempo
y	y	CC	y
granos	granos	NCMP000	grano
parados	parados	NCMP000	parado
no	no	RN	no
sirven	sirven	VMIP3P0	servir
de	de	SPS00	de
Nada	nada	PI0NN00N	nada
	.	Fp	.
Plassa	Plasencia	NP00000	plasencia
	,	Fc	,
y	y	CC	y
Abril	abril	NCMS000	abril
17	17	Z	17
de	de	SPS00	de
1703	1703	Z	1703
.	.	Fp	.
Sr	Señor	NP00000	señor
dn	don	NP00000	don
Joseph	José	NP00000	josé
.	.	Fp	.
