hermana	Hermana	NP00000	hermano
de	de	SPS00	de
mi	mi	DP1CSS	mi
corazon	corazón	NCMS000	corazón
y	y	CC	y
de	de	SPS00	de
mis	mis	DP1CPS	mi
entrañas	entrañas	NCFP000	entraña
	.	Fp	.
Zelevrare	Celebraré	VMIF1S0	celebrar
te	te	PP2CS000	te
alles	halles	NCFP000	halle
con	con	SPS00	con
la	la	DA0FS0	el
salud	salud	NCFS000	salud
que	que	PR0CN000	que
mi	mi	DP1CSS	mi
cariño	cariño	NCMS000	cariño
te	te	PP2CS000	te
desea	desea	VMIP3S0	desear
	.	Fp	.
yo	Yo	PP1CSN00	yo
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
bueno	bueno	AQ0MS0	bueno
	,	Fc	,
aunque	aunque	CS	aunque
con	con	SPS00	con
el	el	DA0MS0	el
sentimiento	sentimiento	NCMS000	sentimiento
de	de	SPS00	de
no	no	RN	no
haverte	haberte	VAN0000+PP2CS000	haber+te
podido	podido	VMP0000	poder
hablar	hablar	VMN0000	hablar
Dia	día	NCMS000	día
y	y	CC	y
medio	medio	NCMS000	medio
haze	hace	VMIP3S0	hacer
,	.	Fp	.
pero	Pero	CC	pero
siempre	siempre	RG	siempre
quedo	quedo	VMIP1S0	quedar
con	con	SPS00	con
el	el	DA0MS0	el
cargo	cargo	NCMS000	cargo
y	y	CC	y
condizion	condición	NCFS000	condición
de	de	SPS00	de
servirte	servirte	VMN0000+PP2CS000	servir+te
no	no	RN	no
como	como	CS	como
a	a	SPS00	a
un	un	DI0MS0	uno
particular	particular	NCMS000	particular
y	y	CC	y
si	sí	RG	sí
lo	lo	PP3CNA00	lo
are	haré	VMIF1S0	hacer
como	como	CS	como
un	un	DI0MS0	uno
esclavo	esclavo	NCMS000	esclavo
que	que	PR0CN000	que
tienes	tienes	VMIP2S0	tener
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
de	de	SPS00	de
todas	todas	DI0FP0	todo
beras	veras	NCFP000	vera
puedes	puedes	VMIP2S0	poder
mandarle	mandarle	VMN0000+PP3CSD00	mandar+le
con	con	SPS00	con
la	la	DA0FS0	el
satisfaccion	satisfacción	NCFS000	satisfacción
que	que	PR0CN000	que
quisieres	quisieres	VMSF2S0	querer
	,	Fc	,
pues	pues	CS	pues
estoy	estoy	VMIP1S0	estar
tan	tan	RC	tan
enpeñado	empeñado	VMP00SM	empeñar
en	en	SPS00	en
servirte	servirte	VMN0000+PP2CS000	servir+te
que	que	CS	que
me	me	PP1CS000	me
sacrificare	sacrificaré	VMIF1S0	sacrificar
por	por	SPS00	por
ti	ti	PP2CSO00	ti
y	y	CC	y
de	de	SPS00	de
paso	paso	NCMS000	paso
darte	darte	VMN0000+PP2CS000	dar+te
gusto	gusto	NCMS000	gusto
en	en	SPS00	en
quanto	cuanto	PA000000	cuanto
quieras	quieras	VMSP2S0	querer
.	.	Fp	.
La	La	DA0FS0	el
maña	mañana	NCFS000	mañana
de	de	SPS00	de
santiago	Santiago	NP00000	santiago
que	que	CS	que
vino	vino	VMIS3S0	venir
tu	tu	DP2CSS	tu
Arriero	arriero	NCMS000	arriero
con	con	SPS00	con
el	el	DA0MS0	el
trigo	trigo	NCMS000	trigo
as	has	VMIP2S0	haber
de	de	SPS00	de
saver	saber	VMN0000	saber
como	como	CS	como
pase	pasé	VMIS1S0	pasar
por	por	SPS00	por
tu	tu	DP2CSS	tu
casa	casa	NCFS000	casa
con	con	SPS00	con
el	el	DA0MS0	el
rrosario	rosario	NCMS000	rosario
y	y	CC	y
no	no	RN	no
bolvi	volví	VMIS1S0	volver
haziendome	haciéndome	VMG0000+PP1CS000	hacer+me
el	el	DA0MS0	el
cargo	cargo	NCMS000	cargo
de	de	SPS00	de
que	que	CS	que
tu	tu	DP2CSS	tu
padre	padre	NCMS000	padre
estaria	estaría	VMIC0S0	estar
despierto	despierto	VMIP1S0	despertar
,	.	Fp	.
y	Y	CC	y
luego	luego	RG	luego
no	no	RN	no
me	me	PP1CS000	me
peso	pesó	VMIS3S0	pesar
por	por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
dire	diré	VMIF1S0	decir
mas	más	RC	más
avajo	abajo	RG	abajo
en	en	SPS00	en
el	el	DA0MS0	el
capitulo	capítulo	NCMS000	capítulo
que	que	PR0CN000	que
te	te	PP2CS000	te
pondre	pondré	VMIF1S0	poner
del	del	SPS00+DA0MS0	de+el
amigo	amigo	NP00000	amigo
roa	Roa	NP00000	roa
.	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
tarde	tarde	NCFS000	tarde
de	de	SPS00	de
santiago	Santiago	NP00000	santiago
fui	fui	VMIS1S0	ir
a	a	SPS00	a
el	El	DA0MS0	el
carmen	Carmen	NP00000	carmen
y	y	CC	y
no	no	RN	no
pude	pude	VMIS1S0	poder
berte	verte	VMN0000+PP2CS000	ver+te
	,	Fc	,
conque	conque	CS	conque
lo	lo	DA0NS0	el
que	que	PR0CN000	que
hize	hice	VMIS1S0	hacer
fue	fue	VMIS3S0	ir
pasarme	pasarme	VMN0000+PP1CS000	pasar+me
por	por	SPS00	por
tu	tu	DP2CSS	tu
calle	calle	NCFS000	calle
	,	Fc	,
pues	pues	CS	pues
hiva	iba	VMII0S0	ir
con	con	SPS00	con
un	un	DI0MS0	uno
Amigo	amigo	NCMS000	amigo
	,	Fc	,
y	y	CC	y
por	por	SPS00	por
fin	fin	NCMS000	fin
tte	te	PP2CS000	te
vide	vi	VMIS1S0	ver
,	.	Fp	.
y	Y	CC	y
aquella	aquella	DD0FS0	aquel
misma	misma	AQ0FS0	mismo
noche	noche	NCFS000	noche
pase	pasé	VMIS1S0	pasar
por	por	SPS00	por
tu	tu	DP2CSS	tu
casa	casa	NCFS000	casa
y	y	CC	y
no	no	RN	no
tube	tuve	VMIS1S0	tener
la	la	DA0FS0	el
coiuntura	coyuntura	NCFS000	coyuntura
de	de	SPS00	de
poderte	poderte	VMN0000+PP2CS000	poder+te
hablar	hablar	VMN0000	hablar
;	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
la	la	DA0FS0	el
maña	mañana	NCFS000	mañana
de	de	SPS00	de
el	el	DA0MS0	el
dia	día	NCMS000	día
de	de	SPS00	de
sant	Santa	NP00000	santo
ana	Ana	NP00000	ana
estube	estuve	VMIS1S0	estar
llamando	llamando	VMG0000	llamar
en	en	SPS00	en
tu	tu	DP2CSS	tu
bentana	ventana	NCFS000	ventana
	.	Fp	.
y	Y	CC	y
para	para	SPS00	para
que	que	CS	que
veas	veas	VMSP2S0	ver
que	que	CS	que
es	es	VSIP3S0	ser
zierto	cierto	AQ0MS0	cierto
te	te	PP2CS000	te
dire	diré	VMIF1S0	decir
como	como	CS	como
las	las	DA0FP0	el
bentanas	ventanas	NCFP000	ventana
tenias	tenías	VMII2S0	tener
habierta	abierta	VMP00SF	abrir
,	.	Fp	.
y	Y	CC	y
como	como	CS	como
tenias	tenías	VMII2S0	tener
el	el	DA0MS0	el
sueño	sueño	NCMS000	sueño
tan	tan	RC	tan
pesado	pesado	VMP0000	pesar
,	,	Fc	,
me	me	PP1CS000	me
dio	dio	VMIS3S0	dar
lastima	lástima	NCFS000	lástima
el	el	DA0MS0	el
despertarte	despertarte	VMN0000+PP2CS000	despertar+te
porque	porque	CS	porque
beia	veía	VMII0S0	ver
estabas	estabas	VMII2S0	estar
falta	falta	NCFS000	falta
de	de	SPS00	de
sueño	sueño	NCMS000	sueño
	.	Fp	.
y	Y	CC	y
io	yo	PP1CSN00	yo
	,	Fc	,
como	como	CS	como
quiera	quiera	VMSP0S0	querer
que	que	CS	que
te	te	PP2CS000	te
tengo	tengo	VMIP1S0	tener
dicho	dicho	VMP00SM	decir
que	que	CS	que
te	te	PP2CS000	te
e	he	VMIP1S0	haber
de	de	SPS00	de
llamar	llamar	VMN0000	llamar
con	con	SPS00	con
el	el	DA0MS0	el
rrelox	reloj	NCMS000	reloj
para	para	SPS00	para
que	que	CS	que
me	me	PP1CS000	me
conozcas	conozcas	VMSP2S0	conocer
que	que	CS	que
io	yo	PP1CSN00	yo
soy	soy	VSIP1S0	ser
,	,	Fc	,
no	no	RN	no
quise	quise	VMIS1S0	querer
dar	dar	VMN0000	dar
porrazos	porrazos	NCMP000	porrazo
en	en	SPS00	en
la	la	DA0FS0	el
bentana	ventana	NCFS000	ventana
haziendome	haciéndome	VMG0000+PP1CS000	hacer+me
el	el	DA0MS0	el
cargo	cargo	NCMS000	cargo
no	no	RN	no
saldrias	saldrías	VMIC2S0	salir
dando	dando	VMG0000	dar
golpes	golpes	NCMP000	golpe
en	en	SPS00	en
la	la	DA0FS0	el
bentana	ventana	NCFS000	ventana
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
te	te	PP2CS000	te
digo	digo	VMIP1S0	decir
que	que	CS	que
	,	Fc	,
aunque	aunque	CS	aunque
llamen	llamen	VMSP3P0	llamar
en	en	SPS00	en
la	la	DA0FS0	el
bentana	ventana	NCFS000	ventana
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
Dios	Dios	NP00000	dios
no	no	RN	no
te	te	PP2CS000	te
levantes	levantes	NCMP000	levante
,	.	Fp	.
y	Y	CC	y
quando	cuando	PA000000	cuando
baia	vaya	VMSP0S0	ir
yo	yo	PP1CSN00	yo
alla	allá	RG	allá
	,	Fc	,
la	la	DA0FS0	el
noche	noche	NCFS000	noche
antes	antes	RG	antes
de	de	SPS00	de
dare	daré	VMIF1S0	dar
aviso	aviso	NCMS000	aviso
.	.	Fp	.
aier	Ayer	RG	ayer
por	por	SPS00	por
la	la	DA0FS0	el
siesta	siesta	NCFS000	siesta
no	no	RN	no
pude	pude	VMIS1S0	poder
hir	ir	VMN0000	ir
por	por	SPS00	por
