Carmona	Carmona	NCFS000	carmona
	,	Fc	,
y	y	CC	y
ho	enero	NCMS000	enero
de	de	SPS00	de
1770	1770	Z	1770
hermana	Hermana	NP00000	hermano
mia	mía	DP1FSS	mío
	.	Fp	.
despues	Después	RG	después
de	de	SPS00	de
desear	desear	VMN0000	desear
tu	tu	DP2CSS	tu
salud	salud	NCFS000	salud
y	y	CC	y
ofrezerte	ofrecerte	VMN0000+PP2CS000	ofrecer+te
la	la	DA0FS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
asiste	asiste	VMIP3S0	asistir
mui	muy	RQ	muy
a	a	SPS00	a
tu	tu	DP2CSS	tu
disposizion	disposición	NCFS000	disposición
.	.	Fp	.
hermana	Hermana	NP00000	hermano
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
ttenia	tenía	VMII0S0	tener
que	que	CS	que
dezirte	decirte	VMN0000+PP2CS000	decir+te
de	de	SPS00	de
aquel	aquel	DD0MS0	aquel
sujeto	sujeto	NCMS000	sujeto
as	has	VMIP2S0	haber
de	de	SPS00	de
saver	saber	VMN0000	saber
que	que	CS	que
te	te	PP2CS000	te
lo	lo	PP3CNA00	lo
voy	voy	VMIP1S0	ir
a	a	SPS00	a
dezir	decir	VMN0000	decir
porque	porque	CS	porque
veas	veas	VMSP2S0	ver
que	que	CS	que
no	no	RN	no
puedo	puedo	VMIP1S0	poder
tener	tener	VMN0000	tener
en	en	SPS00	en
mi	mi	DP1CSS	mi
pecho	pecho	NCMS000	pecho
cosa	cosa	NCFS000	cosa
alguna	alguna	DI0FS0	alguno
sin	sin	SPS00	sin
que	que	CS	que
a	a	SPS00	a
ti	ti	PP2CSO00	ti
no	no	RN	no
te	te	PP2CS000	te
la	la	PP3FSA00	lo
partizipe	participe	VMSP0S0	participar
,	,	Fc	,
pero	pero	CC	pero
bien	bien	RG	bien
me	me	PP1CS000	me
ago	hago	VMIP1S0	hacer
el	el	DA0MS0	el
cargo	cargo	NCMS000	cargo
que	que	CS	que
a	a	SPS00	a
ty	ti	PP2CSO00	ti
no	no	RN	no
te	te	PP2CS000	te
servira	servirá	VMIF3S0	servir
de	de	SPS00	de
gusto	gusto	NCMS000	gusto
	,	Fc	,
pero	pero	CC	pero
puedes	puedes	VMIP2S0	poder
estar	estar	VMN0000	estar
entendida	entendida	VMP00SF	entender
que	que	CS	que
quien	quien	PR0CS000	quien
te	te	PP2CS000	te
quiere	quiere	VMIP3S0	querer
a	a	SPS00	a
ty	ti	PP2CSO00	ti
soy	soy	VSIP1S0	ser
yo	yo	PP1CSN00	yo
y	y	CC	y
no	no	RN	no
a	a	SPS00	a
otra	otra	PI0FS000	otro
nadie	nadie	PI0NN00N	nadie
.	.	Fp	.
Conque	Conque	CS	conque
as	has	VMIP2S0	haber
de	de	SPS00	de
saver	saber	VMN0000	saber
Como	como	CS	como
llego	llegó	VMIS3S0	llegar
a	a	SPS00	a
mi	mi	DP1CSS	mi
compañero	compañero	NCMS000	compañero
Fernando	Fernando	NP00000	fernando
el	el	DA0MS0	el
Arriero	arriero	NCMS000	arriero
a	a	SPS00	a
el	el	DA0MS0	el
dia	día	NCMS000	día
siguiente	siguiente	AQ0CS0	siguiente
despues	después	RG	después
de	de	SPS00	de
la	la	DA0FS0	el
virjen	Virgen	NP00000	virgen
y	y	CC	y
me	me	PP1CS000	me
llamo	llamó	VMIS3S0	llamar
aparte	aparte	RG	aparte
	.	Fp	.
conque	Conque	CS	conque
me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
si	si	CSI	si
tenia	tenía	VMII0S0	tener
que	que	CS	que
azer	hacer	VMN0000	hacer
	.	Fp	.
