Mi	Mi	DP1CSS	mi
mas	más	RC	más
esttimada	estimada	VMP00SF	estimar
y	y	CC	y
querida	querida	VMP00SF	querer
mia	mía	DP1FSS	mío
	.	Fp	.
despues	Después	RG	después
de	de	SPS00	de
desear	desear	VMN0000	desear
tu	tu	DP2CSS	tu
salud	salud	NCFS000	salud
ofrezco	ofrezco	VMIP1S0	ofrecer
la	la	DA0FS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
asiste	asiste	VMIP3S0	asistir
mui	muy	RQ	muy
a	a	SPS00	a
tu	tu	DP2CSS	tu
disposizion	disposición	NCFS000	disposición
.	.	Fp	.
hija	Hija	NP00000	hijo
mia	mía	DP1FSS	mío
	,	Fc	,
lei	leí	VMIS1S0	leer
tu	tu	DP2CSS	tu
papel	papel	NCMS000	papel
y	y	CC	y
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
que	que	CS	que
tu	tú	PP2CSN00	tú
me	me	PP1CS000	me
dezias	decías	VMII2S0	decir
en	en	SPS00	en
el	él	PP3MS000	él
,	.	Fp	.
me	Me	PP1CS000	me
hize	hice	VMIS1S0	hacer
el	el	DA0MS0	el
cargo	cargo	NCMS000	cargo
	,	Fc	,
como	como	CS	como
berias	verías	VMIC2S0	ver
por	por	SPS00	por
el	el	DA0MS0	el
que	que	CS	que
habias	habías	VAII2S0	haber
rrezivido	recibido	VMP0000	recibir
mio	mío	DP1MSS	mío
	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
habia	había	VAII0S0	haber
dicho	dicho	VMP0000	decir
da	doña	NP00000	don
Maria	María	NP00000	maría
Roa	Roa	NP00000	roa
	.	Fp	.
Y	Y	CC	y
te	te	PP2CS000	te
digo	digo	VMIP1S0	decir
como	como	CS	como
el	el	DA0MS0	el
Domingo	domingo	NCMS000	domingo
boy	voy	VMIP1S0	ir
a	a	SPS00	a
el	El	DA0MS0	el
biso	Viso	NP00000	viso
y	y	CC	y
Mairena	Mairena	NP00000	mairena
de	de	SPS00	de
cobranza	cobranza	NCFS000	cobranza
	.	Fp	.
y	Y	CC	y
si	si	CS	si
gustas	gustas	VMIP2S0	gustar
que	que	CS	que
el	el	DA0MS0	el
savado	sábado	NCMS000	sábado
en	en	SPS00	en
la	la	DA0FS0	el
noche	noche	NCFS000	noche
baia	vaya	VMSP0S0	ir
ha	a	SPS00	a
berte	verte	VMN0000+PP2CS000	ver+te
	,	Fc	,
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
diras	dirás	VMIF2S0	decir
	.	Fp	.
Mañana	Mañana	RG	mañana
en	en	SPS00	en
la	la	DA0FS0	el
tarde	tarde	NCFS000	tarde
boy	voy	VMIP1S0	ir
a	a	SPS00	a
casa	casa	NCFS000	casa
de	de	SPS00	de
dn	don	NP00000	don
Manuel	Manuel	NP00000	manuel
Benitez	Benítez	NP00000	benítez
ha	a	SPS00	a
hablarle	hablarle	VMN0000+PP3CSD00	hablar+le
de	de	SPS00	de
quando	cuándo	PA000000	cuándo
me	me	PP1CS000	me
dara	dará	VMIF3S0	dar
el	el	DA0MS0	el
dinero	dinero	NCMS000	dinero
de	de	SPS00	de
la	la	DA0FS0	el
Compañia	compañía	NCFS000	compañía
	.	Fp	.
esto	Esto	PD0NN000	esto
te	te	PP2CS000	te
lo	lo	PP3CNA00	lo
digo	digo	VMIP1S0	decir
unicamente	únicamente	RG	únicamente
porque	porque	CS	porque
tu	tú	PP2CSN00	tú
baias	vayas	VMSP2S0	ir
	,	Fc	,
que	que	CS	que
puede	puede	VMIP3S0	poder
ser	ser	VSN0000	ser
el	el	DA0MS0	el
que	que	PR0CN000	que
te	te	PP2CS000	te
beia	veía	VMII0S0	ver
ya	ya	RG	ya
que	que	CS	que
anoche	anoche	RG	anoche
no	no	RN	no
tube	tuve	VMIS1S0	tener
la	la	DA0FS0	el
fortuna	fortuna	NCFS000	fortuna
	,	Fc	,
pues	pues	CS	pues
tu	tu	DP2CSS	tu
casa	casa	NCFS000	casa
estaba	estaba	VMII0S0	estar
zerada	cerrada	VMP00SF	cerrar
y	y	CC	y
la	la	DA0FS0	el
bentana	ventana	NCFS000	ventana
	.	Fp	.
tu	Tu	DP2CSS	tu
hermana	hermana	NCFS000	hermano
Antonia	Antonia	NP00000	antonia
estubo	estuvo	VMIS3S0	estar
esta	esta	DD0FS0	este
tarde	tarde	NCFS000	tarde
en	en	SPS00	en
la	la	DA0FS0	el
tienda	tienda	NCFS000	tienda
	.	Fp	.
y	Y	CC	y
ubiera	hubiera	VASI0S0	haber
zelebrado	celebrado	VMP0000	celebrar
el	el	DA0MS0	el
que	que	PR0CN000	que
hubieras	hubieras	VASI2S0	haber
benido	venido	VMP0000	venir
tu	tú	PP2CSN00	tú
con	con	SPS00	con
ella	ella	PP3FS000	él
para	para	SPS00	para
haberte	haberte	VAN0000+PP2CS000	haber+te
dado	dado	VMP0000	dar
una	una	DI0FS0	uno
Rosa	rosa	NCFS000	rosa
que	que	PR0CN000	que
le	le	PP3CSD00	le
dy	di	VMIS1S0	dar
	.	Fp	.
aDios	Adiós	I	adiós
	,	Fc	,
hija	hija	NP00000	hijo
mia	mía	DP1FSS	mío
	.	Fp	.
Quien	Quien	PR0CS000	quien
te	te	PP2CS000	te
quiere	quiere	VMIP3S0	querer
es	es	VSIP3S0	ser
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
Anis	anís	NCMS000	anís
.	.	Fp	.
ADios	Adiós	I	adiós
	,	Fc	,
Cielo	cielo	NCMS000	cielo
.	.	Fp	.
Vizente	Vicente	NP00000	vicente
Salazar	Salazar	NP00000	salazar
