Mui	Muy		
sra	señora		
mia	mía		
:	.		
con	Con		
motivo	motivo		
de	de		
recurso	recurso		
qe	que		
se	se		
hizo	hizo		
a	a		
esta	esta		
rl	Real		
Auda	Audiencia		
y	y		
sala	sala		
qe	que		
Presido	presido		
en	en		
ella	ella		
por	por		
el	el		
convto	convento		
de	de		
sn	San		
Juo	Juan		
de	de		
Dios	Dios		
solicitando	solicitando		
el	el		
Pago	pago		
de	de		
lo	lo		
qe	que		
havia	había		
gastado	gastado		
en	en		
la	la		
curazn	curación		
y	y		
asistencia	asistencia		
a	a		
dn	don		
Diego	Diego		
Hurtado	Hurtado		
de	de		
Mendoza	Mendoza		
	,		
hijo	hijo		
de	de		
VS	VSa		
	,		
por	por		
haverse	haberse		
combenido	convenido		
a	a		
ello	ello		
dn	don		
Ygo	Ignacio		
de	de		
Aguirre	Aguirre		
de	de		
este	este		
comercio	comercio		
de	de		
la	la		
cantd	cantidad		
que	que		
de	de		
orn	orden		
de	de		
VS	VSa		
tenia	tenía		
en	en		
su	su		
poder	poder		
vaxo	bajo		
de	de		
las	las		
qe	que		
la	la		
dio	dio		
,	,		
y	y		
en	en		
vista	vista		
asimismo	asimismo		
de	de		
las	las		
instans	instancias		
de	de		
otros	otros		
qe	que		
les	les		
prestaron	prestaron		
cantidades	cantidades		
llevados	llevados		
de	de		
sus	sus		
persuasibas	persuasivas		
con	con		
la	la		
buena	buena		
fee	fe		
de	de		
ser	ser		
pagados	pagados		
	,		
tubo	tuvo		
pr	por		
indispensable	indispensable		
la	la		
sala	sala		
tomar	tomar		
Provida	providencia		
qe	que		
evitase	evitase		
maior	mayor		
perdizn	perdición		
de	de		
este	este		
mozo	mozo		
de	de		
tan	tan		
onrrado	honrado		
Nacimto	nacimiento		
	.		
y	Y		
dispuso	dispuso		
qe	que		
a	a		
el	el		
referido	referido		
dn	don		
Ygo	Ignacio		
se	se		
allanase	allanase		
a	a		
dar	dar		
un	un		
3	3		
pr	por		
100	100		
de	de		
redito	rédito		
annual	anual		
de	de		
la	la		
Cantd	cantidad		
qe	que		
havia	había		
quedado	quedado		
en	en		
su	su		
poder	poder		
o	o		
se	se		
pusiese	pusiese		
con	con		
la	la		
segd	seguridad		
correspte	correspondiente		
en	en		
qn	quien		
se	se		
obligase	obligase		
a	a		
ello	ello		
	,		
como	como		
asi	así		
se	se		
hizo	hizo		
pr	por		
no	no		
haverse	haberse		
allanado	allanado		
el	el		
referido	referido		
dn	don		
Ygo	Ignacio		
	.		
y	Y		
se	se		
le	le		
señalo	señaló		
para	para		
su	su		
manutenzn	manutención		
6	6		
rrs	reales		
diars	diarios		
y	y		
qe	que		
se	se		
pagasen	pagasen		
los	los		
creditos	créditos		
y	y		
se	se		
le	le		
vistiese	vistiese		
su	su		
desnudez	desnudez		
	,		
encargandolo	encargándolo		
a	a		
persa	persona		
por	por		
cuia	cuya		
mano	mano		
corriere	corriere		
porqe	porque		
no	no		
devian	debían		
fiarse	fiarse		
a	a		
la	la		
suia	suya		
pa	para		
qe	que		
lo	lo		
malgaste	malgaste		
gastarlo	gastarlo		
despilfarradamte	despilfarradamente		
	.		
y	Y		
se	se		
le	le		
procuro	procuró		
contener	contener		
en	en		
contraer	contraer		
mas	más		
empeños	empeños		
	.		
Asi	Así		
se	se		
encaminaba	encaminaba		
con	con		
el	el		
fin	fin		
de	de		
la	la		
Conservazn	conservación		
de	de		
los	los		
rs	reales		
qe	que		
havian	habían		
de	de		
servir	servir		
pa	para		
su	su		
manutenzn	manutención		
hasta	hasta		
que	que		
tomase	tomase		
destino	destino		
	,		
pero	pero		
	,		
haviendose	habiéndose		
agraviado	agraviado		
en	en		
sus	sus		
males	males		
	,		
fue	fue		
preziso	preciso		
qe	que		
el	el		
gasto	gasto		
se	se		
acrecentase	acrecentase		
en	en		
su	su		
curazn	curación		
	,		
Hospedage	hospedaje		
proporcionado	proporcionado		
de	de		
asista	asistencia		
como	como		
tal	tal		
enfermo	enfermo		
,	.		
y	Y		
como	como		
qe	que		
esto	esto		
era	era		
mas	más		
preciso	preciso		
que	que		
todo	todo		
por	por		
no	no		
arriesgar	arriesgar		
su	su		
vida	vida		
y	y		
qe	que		
la	la		
Orn	orden		
de	de		
VS	VSa		
del	del		
fin	fin		
a	a		
qe	que		
destinaba	destinaba		
la	la		
Cantd	cantidad		
no	no		
podia	podía		
comprender	comprender		
este	este		
caso	caso		
	,		
se	se		
fue	fue		
librando	librando		
en	en		
el	el		
pral	principal		
todo	todo		
lo	lo		
qe	que		
fue	fue		
preciso	preciso		
	.		
y	Y		
	,		
no	no		
hallando	hallando		
alivio	alivio		
con	con		
la	la		
curazn	curación		
qe	que		
aqui	aquí		
se	se		
le	le		
hacia	hacía		
	,		
determinaron	determinaron		
los	los		
medicos	médicos		
qe	que		
le	le		
asistian	asistían		
qe	que		
fuese	fuese		
a	a		
mudar	mudar		
de	de		
aires	aires		
y	y		
temperamto	temperamento		
20	20		
Legs	leguas		
de	de		
aqui	aquí		
	,		
siendo	siendo		
preciso	preciso		
costearle	costearle		
mas	más		
Ropa	ropa		
,	,		
el	el		
carruage	carruaje		
