Muy	Muy	RQ	muy
sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
Participo	Participo	VMIP1S0	participar
a	a	SPS00	a
Vm	VM	NP00000	VM
como	como	CS	como
de	de	SPS00	de
Roma	Roma	NP00000	roma
se	se	P00CN000	se
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
remitido	remitido	VMP0000	remitir
un	un	DI0MS0	uno
Po	poder	NCMS000	poder
y	y	CC	y
Leta	letra	NCFS000	letra
a	a	SPS00	a
su	su	DP3CS0	su
cargo	cargo	NCMS000	cargo
de	de	SPS00	de
Rs	reales	NCMP000	real
16947	16947	Z	16947
1/2	1/2	Z	1/2
	,	Fc	,
pta	peseta	NCFS000	peseta
va	vieja	AQ0FS0	viejo
	,	Fc	,
dada	dada	VMP00SF	dar
en	en	SPS00	en
19	19	Z	19
de	de	SPS00	de
pasado	pasado	VMP00SM	pasar
pr	por	SPS00	por
dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
Thome	Tomé	NP00000	tomé
Carrera	Carrera	NP00000	carrera
a	a	SPS00	a
mi	mi	DP1CSS	mi
favor	favor	NCMS000	favor
,	,	Fc	,
valor	valor	NCMS000	valor
recivido	recibido	VMP00SM	recibir
de	de	SPS00	de
dn	don	NP00000	don
Nicolas	Nicolás	NP00000	nicolás
Guidi	Guidi	NP00000	guidi
;	.	Fp	.
a	A	SPS00	a
cuyo	cuyo	PU0MS000	cuyo
desempeño	desempeño	NCMS000	desempeño
con	con	SPS00	con
mas	más	RC	más
rs	reales	NCMP000	real
10	10	Z	10
vn	vellón	NCMS000	vellón
del	del	SPS00+DA0MS0	de+el
porte	porte	NCMS000	porte
mandara	mandará	VMIF3S0	mandar
Vm	VM	NP00000	VM
acudir	acudir	VMN0000	acudir
con	con	SPS00	con
la	la	DA0FS0	el
maior	mayor	AQ0CS0	mayor
brevedad	brevedad	NCFS000	brevedad
	.	Fp	.
Intn	Ínterin	RG	ínterin
quedo	quedo	VMIP1S0	quedar
a	a	SPS00	a
su	su	DP3CS0	su
obeda	obediencia	NCFS000	obediencia
piddo	pidiendo	VMG0000	pedir
a	a	SPS00	a
nro	Nuestro	DP1MSP	nuestro
sr	Señor	NP00000	señor
le	le	PP3CSD00	le
ge	guarde	VMSP0S0	guardar
pr	por	SPS00	por
m	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Madd	Madrid	NP00000	madrid
	,	Fc	,
9	9	Z	9
de	de	SPS00	de
Junio	junio	NCMS000	junio
1751	1751	Z	1751
	.	Fp	.
B	Besa	VMIP3S0	besar
l	las	DA0FP0	el
m	manos	NCFP000	mano
de	de	SPS00	de
vmd	VM	NP00000	VM
	,	Fc	,
Carlos	Carlos	NP00000	carlos
Ma	María	NP00000	maría
Marraci	Marraci	NP00000	marraci
sr	Señor	NP00000	señor
dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
Gonzalez	González	NP00000	gonzález
Carrera	Carrera	NP00000	carrera
	.	Fp	.
Burgos	Burgos	NP00000	burgos
	.	Fp	.
