Veraz	Veracruz	NP00000	veracruz
	,	Fc	,
8	8	Z	8
de	de	SPS00	de
Dicre	diciembre	NCMS000	diciembre
de	de	SPS00	de
1790	1790	Z	1790
Tio	Tío	NCMS000	tío
y	y	CC	y
muy	muy	RQ	muy
Sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
,	.	Fp	.
Celevrare	Celebraré	VMIF1S0	celebrar
qe	que	CS	que
al	al	SPS00+DA0MS0	a+el
recivo	recibo	NCMS000	recibo
de	de	SPS00	de
esta	ésta	PD0FS000	este
se	se	P00CN000	se
halle	halle	VMSP0S0	hallar
vm	VM	NP00000	VM
Con	con	SPS00	con
perfecta	perfecta	AQ0FS0	perfecto
salud	salud	NCFS000	salud
	,	Fc	,
la	la	DA0FS0	el
qe	que	PR0CN000	que
disfruto	disfruto	VMIP1S0	disfrutar
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
gracias	gracias	NCFP000	gracia
.	.	Fp	.
En	En	SPS00	en
Virtud	virtud	NCFS000	virtud
de	de	SPS00	de
las	las	DA0FP0	el
Cartas	cartas	NCFP000	carta
qe	que	PR0CN000	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
ha	ha	VAIP3S0	haber
escrito	escrito	VMP0000	escribir
à	a	SPS00	a
fin	fin	NCMS000	fin
de	de	SPS00	de
qe	que	CS	que
Nombrara	nombrara	VMSI0S0	nombrar
uno	uno	Z	1
a	a	SPS00	a
mi	mi	DP1CSS	mi
satisfacion	satisfacción	NCFS000	satisfacción
para	para	SPS00	para
recivir	recibir	VMN0000	recibir
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
es	es	VSIP3S0	ser
mio	mío	PX1MS0S0	mío
,	,	Fc	,
he	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
à	a	SPS00	a
vien	bien	RG	bien
Nombrar	nombrar	VMN0000	nombrar
y	y	CC	y
dar	dar	VMN0000	dar
Poder	poder	NCMS000	poder
a	a	SPS00	a
Juan	Juan	NP00000	juan
Fernandez	Fernández	NP00000	fernández
de	de	SPS00	de
Septien	Septién	NP00000	septién
para	para	SPS00	para
qe	que	CS	que
este	éste	PD0MS000	este
se	se	P00CN000	se
haga	haga	VMSP0S0	hacer
Cargo	cargo	NCMS000	cargo
en	en	SPS00	en
Virtud	virtud	NCFS000	virtud
del	del	SPS00+DA0MS0	de+el
poder	poder	NCMS000	poder
que	que	PR0CN000	que
le	le	PP3CSD00	le
Comfiero	confiero	VMIP1S0	conferir
,	.	Fp	.
y	Y	CC	y
qe	que	CS	que
	,	Fc	,
luego	luego	RG	luego
qe	que	CS	que
lo	lo	PP3CNA00	lo
reciva	reciba	VMSP0S0	recibir
	,	Fc	,
le	le	PP3CSD00	le
aviso	aviso	VMIP1S0	avisar
qe	que	CS	que
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
notifique	notifique	VMSP0S0	notificar
à	a	SPS00	a
vm	VM	NP00000	VM
para	para	SPS00	para
qe	que	CS	que
Nombre	nombre	NCMS000	nombre
un	un	DI0MS0	uno
hombre	hombre	NCMS000	hombre
de	de	SPS00	de
su	su	DP3CS0	su
satisfacion	satisfacción	NCFS000	satisfacción
,	,	Fc	,
para	para	SPS00	para
qe	que	CS	que
sea	sea	VSSP0S0	ser
testigo	testigo	NCCS000	testigo
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
recive	recibe	VMIP3S0	recibir
el	el	DA0MS0	el
dho	dicho	NCMS000	dicho
arriva	arriba	RG	arriba
y	y	CC	y
para	para	SPS00	para
qe	que	CS	que
quede	quede	VMSP0S0	quedar
este	éste	PD0MS000	este
echo	hecho	VMP00SM	hacer
Cargo	cargo	NCMS000	cargo
de	de	SPS00	de
estos	estos	DD0MP0	este
viens	bienes	NCMP000	bien
	.	Fp	.
en	En	SPS00	en
segundo	segundo	AO0MS0	segundo
lugar	lugar	NCMS000	lugar
,	,	Fc	,
por	por	SPS00	por
vida	vida	NCFS000	vida
un	o	CC	o
Muerte	muerte	NCFS000	muerte
de	de	SPS00	de
Vm	VM	NP00000	VM
u	o	CC	o
del	del	SPS00+DA0MS0	de+el
dho	dicho	NCMS000	dicho
Juan	Juan	NP00000	juan
Ferns	Fernández	NP00000	fernández
	,	Fc	,
para	para	SPS00	para
qe	que	CS	que
este	éste	PD0MS000	este
lo	lo	PP3CNA00	lo
aperciva	aperciba	VMSP0S0	apercibir
y	y	CC	y
haga	haga	VMSP0S0	hacer
mis	mis	DP1CPS	mi
Vezes	veces	NCFP000	vez
	,	Fc	,
Con	con	SPS00	con
el	el	DA0MS0	el
vien	bien	NCMS000	bien
sentido	sentido	NCMS000	sentido
qe	que	CS	que
dara	dará	VMIF3S0	dar
vm	VM	NP00000	VM
las	las	DA0FP0	el
quentas	cuentas	NCFP000	cuenta
sin	sin	SPS00	sin
qe	que	CS	que
ninguna	ninguna	DI0FS0	ninguno
Justicia	justicia	NCFS000	justicia
tenga	tenga	VMSP0S0	tener
qe	que	CS	que
ynterbenir	intervenir	VMN0000	intervenir
,	.	Fp	.
y	Y	CC	y
Vm	VM	NP00000	VM
	,	Fc	,
Como	como	CS	como
suyo	suyo	DP3CS0	suyo
propio	propio	NCMS000	propio
	,	Fc	,
haga	haga	VMSP0S0	hacer
y	y	CC	y
desaga	deshaga	VMSP0S0	deshacer
en	en	SPS00	en
ello	ello	PD0NN000	ello
segun	según	SPS00	según
espresa	expresa	VMIP3S0	expresar
dho	dicho	VMP00SM	decir
Poder	poder	NCMS000	poder
,	,	Fc	,
àvisandome	avisándome	VMG0000+PP1CS000	avisar+me
Vm	VM	NP00000	VM
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
entrega	entrega	VMIP3S0	entregar
y	y	CC	y
recive	recibe	VMIP3S0	recibir
,	,	Fc	,
Como	como	CS	como
	,	Fc	,
asimismo	asimismo	RG	asimismo
	,	Fc	,
tambien	también	RG	también
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
haya	haya	VASP0S0	haber
producido	producido	VMP0000	producir
desde	desde	SPS00	desde
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
qe	que	CS	que
vm	VM	NP00000	VM
lo	lo	PP3CNA00	lo
Administra	administra	VMIP3S0	administrar
y	y	CC	y
Con	con	SPS00	con
dho	dicho	VMP00SM	decir
Producto	producto	NCMS000	producto
Redimir	redimir	VMN0000	redimir
Algun	algún	DI0MS0	alguno
Censo	censo	NCMS000	censo
O	o	CC	o
Carga	carga	VMIP3S0	cargar
	(	Fba	(
si	si	CS	si
en	en	SPS00	en
el	el	DA0MS0	el
dia	día	NCMS000	día
tiene	tiene	VMIP3S0	tener
	)	Fbt	)
	;	Fx	;
Asimismo	asimismo	RG	asimismo
	,	Fc	,
dandome	dándome	VMG0000+PP1CS000	dar+me
vm	VM	NP00000	VM
aviso	aviso	NCMS000	aviso
de	de	SPS00	de
todo	todo	DI0MS0	todo
pormenor	pormenor	NCMS000	pormenor
del	del	SPS00+DA0MS0	de+el
Valor	valor	NCMS000	valor
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
es	es	VSIP3S0	ser
de	de	SPS00	de
mi	mi	DP1CSS	mi
pertinencia	pertinencia	NCFS000	pertinencia
	,	Fc	,
Covrandose	cobrándose	VMG0000+P00CN000	cobrar+se
Vm	VM	NP00000	VM
su	su	DP3CS0	su
travajo	trabajo	NCMS000	trabajo
,	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
quedase	quedase	VMSI0S0	quedar
exitente	existente	AQ0CS0	existente
sera	será	VSIF3S0	ser
entregado	entregado	VMP0000	entregar
,	,	Fc	,
Viniendo	viniendo	VMG0000	venir
dha	dicha	VMP00SF	decir
entrega	entrega	NCFS000	entrega
firmada	firmada	VMP00SF	firmar
de	de	SPS00	de
los	los	DA0MP0	el
dos	dos	Z	2
y	y	CC	y
qe	que	CS	que
se	se	P00CN000	se
por	por	SPS00	por
menor	menor	AQ0CS0	menor
,	,	Fc	,
quedandose	quedándose	VMG0000+P00CN000	quedar+se
Con	con	SPS00	con
su	su	DP3CS0	su
Original	original	NCMS000	original
y	y	CC	y
este	éste	PD0MS000	este
quedara	quedará	VMIF3S0	quedar
donde	donde	PA000000	donde
a	a	SPS00	a
vm	VM	NP00000	VM
le	le	PP3CSD00	le
Combenga	convenga	VMSP0S0	convenir
,	,	Fc	,
Dandome	dándome	VMG0000+PP1CS000	dar+me
parte	parte	NCFS000	parte
de	de	SPS00	de
todo	todo	PI0MS000	todo
	,	Fc	,
haviendose	habiéndose	VAG0000+P00CN000	haber+se
hecho	hecho	VMP0000	hacer
Vm	VM	NP00000	VM
Cargo	cargo	NCMS000	cargo
del	del	SPS00+DA0MS0	de+el
Poder	poder	NCMS000	poder
	.	Fp	.
Dara	Dará	VMIF3S0	dar
Vm	VM	NP00000	VM
ms	muchas	DI0FP0	mucho
expresiones	expresiones	NCFP000	expresión
a	a	SPS00	a
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
de	de	SPS00	de
Casa	casa	NCFS000	casa
,	.	Fp	.
y	Y	CC	y
à	a	SPS00	a
Dios	Dios	NP00000	dios
qe	que	CS	que
gue	guarde	VMSP0S0	guardar
su	su	DP3CS0	su
Vida	vida	NCFS000	vida
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Juan	Juan	NP00000	juan
Ruiz	Ruiz	NP00000	ruiz
de	de	SPS00	de
las	las	DA0FP0	el
Canales	Canales	NP00000	canales
Sor	Señor	NP00000	señor
Dn	don	NP00000	don
Diego	Diego	NP00000	diego
Gutierrez	Gutiérrez	NP00000	gutiérrez
Bargun	Barguín	NP00000	barguín
	.	Fp	.
