Lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
y	y	CC	y
15	15	Z	15
de	de	SPS00	de
maio	mayo	NCMS000	mayo
1815	1815	Z	1815
	.	Fp	.
querido	Querido	VMP00SM	querer
amigo	amigo	NP00000	amigo
Manel	Manuel	NP00000	manuel
Nabasques	Nabásquez	NP00000	nabásquez
,	.	Fp	.
deseo	Deseo	VMIP1S0	desear
tu	tu	DP2CSS	tu
buena	buena	AQ0FS0	bueno
salu	salud	NCFS000	salud
con	con	SPS00	con
la	la	DA0FS0	el
de	de	SPS00	de
tu	tu	DP2CSS	tu
querida	querida	VMP00SF	querer
esposa	esposa	NCFS000	esposo
y	y	CC	y
tus	tus	DP2CPS	tu
amados	amados	VMP00PM	amar
yjos	hijos	NCMP000	hijo
	.	Fp	.
La	La	DA0FS0	el
mia	mía	PX1FS0S0	mío
es	es	VSIP3S0	ser
buena	buena	AQ0FS0	bueno
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
las	las	DA0FP0	el
Gracias	gracias	NCFP000	gracia
	,	Fc	,
para	para	SPS00	para
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
gustes	gustes	VMSP2S0	gustar
mandar	mandar	VMN0000	mandar
.	.	Fp	.
Señor	Señor	NP00000	señor
Manuel	Manuel	NP00000	manuel
Nabasques	Nabásquez	NP00000	nabásquez
	,	Fc	,
esta	ésta	PD0FS000	este
solo	sólo	RG	sólo
se	se	P00CN000	se
dirije	dirige	VMIP3S0	dirigir
a	a	SPS00	a
participarte	participarte	VMN0000+PP2CS000	participar+te
	,	Fc	,
amo	amigo	NP00000	amigo
	,	Fc	,
lo	lo	DA0NS0	el
sigiente	siguiente	AQ0CS0	siguiente
,	.	Fp	.
Acordandome	Acordándome	VMG0000+PP1CS000	acordar+me
de	de	SPS00	de
ti	ti	PP2CSO00	ti
y	y	CC	y
que	que	CS	que
tu	tú	PP2CSN00	tú
eres	eres	VSIP2S0	ser
onbre	hombre	NCMS000	hombre
capas	capaz	AQ0CS0	capaz
de	de	SPS00	de
aser	hacer	VMN0000	hacer
lo	lo	DA0NS0	el
que	que	PR0CN000	que
otro	otro	DI0MS0	otro
qalquiel	cualquier	DI0CS0	cualquier
ombre	hombre	NCMS000	hombre
de	de	SPS00	de
esa	esa	DD0FS0	ese
tierra	tierra	NCFS000	tierra
	,	Fc	,
y	y	CC	y
para	para	SPS00	para
que	que	CS	que
bea	vea	VMSP0S0	ver
uste	usted	PP2CS000	usted
que	que	CS	que
io	yo	PP1CSN00	yo
ago	hago	VMIP1S0	hacer
sastifacion	satisfacción	NCFS000	satisfacción
de	de	SPS00	de
ti	ti	PP2CSO00	ti
	,	Fc	,
te	te	PP2CS000	te
digo	digo	VMIP1S0	decir
lo	lo	DA0NS0	el
sigiente	siguiente	AQ0CS0	siguiente
	:	Fd	:
que	que	CS	que
al	al	SPS00+DA0MS0	a+el
dador	dador	NCMS000	dador
de	de	SPS00	de
esa	ésa	PD0FS000	ese
lo	lo	PP3MSA00	lo
mires	mires	VMSP2S0	mirar
como	como	PA000000	como
que	que	CS	que
es	es	VSIP3S0	ser
amigo	amigo	NCMS000	amigo
mio	mío	DP1MSS	mío
,	.	Fp	.
y	Y	CC	y
que	que	CS	que
a	ha	VAIP3S0	haber
estado	estado	VMP0000	estar
conmigo	conmigo	SPS00+PP1CSO00	con+mí
y	y	CC	y
es	es	VSIP3S0	ser
de	de	SPS00	de
mi	mi	DP1CSS	mi
sastifacion	satisfacción	NCFS000	satisfacción
	,	Fc	,
aunque	aunque	CS	aunque
el	él	PP3MS000	él
No	no	RN	no
te	te	PP2CS000	te
