cojecer	Cogeces	NP00000	cogeces
	,	Fc	,
3	3	Z	3
de	de	SPS00	de
ottre	octubre	NCMS000	octubre
de	de	SPS00	de
1814	1814	Z	1814
Señor	Señor	NP00000	señor
Alcalde	alcalde	NCMS000	alcalde
Mayor	mayor	AQ0CS0	mayor
de	de	SPS00	de
la	la	DA0FS0	el
Villa	villa	NCFS000	villa
de	de	SPS00	de
cuellar	Cuéllar	NP00000	cuéllar
y	y	CC	y
su	su	DP3CS0	su
tierra	tierra	NCFS000	tierra
	.	Fp	.
ayer	Ayer	RG	ayer
dos	dos	Z	2
del	del	SPS00+DA0MS0	de+el
que	que	PR0CN000	que
rije	rige	VMIP3S0	regir
a	a	SPS00	a
las	las	DA0FP0	el
ocho	ocho	Z	8
de	de	SPS00	de
la	la	DA0FS0	el
noche	noche	NCFS000	noche
fueron	fueron	VMIS3P0	ir
varios	varios	DI0MP0	varios
vezinos	vecinos	NCMP000	vecino
de	de	SPS00	de
este	este	DD0MS0	este
Pueblo	pueblo	NCMS000	pueblo
que	que	CS	que
Josep	José	NP00000	josé
Redondo	Redondo	NP00000	redondo
	,	Fc	,
viudo	viudo	NCMS000	viudo
y	y	CC	y
vezino	vecino	NCMS000	vecino
de	de	SPS00	de
el	él	PP3MS000	él
,	,	Fc	,
soldado	soldado	NCMS000	soldado
que	que	PR0CN000	que
ha	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
de	de	SPS00	de
la	la	DA0FS0	el
partida	partida	NCFS000	partida
de	de	SPS00	de
vsares	Húsares	NP00000	húsares
francos	Francos	NP00000	francos
de	de	SPS00	de
Valadolid	Valladolid	NP00000	valladolid
y	y	CC	y
retirado	retirado	NCMS000	retirado
en	en	SPS00	en
este	éste	PD0MS000	este
por	por	SPS00	por
envalido	inválido	NCMS000	inválido
,	,	Fc	,
se	se	P00CN000	se
hallaba	hallaba	VMII0S0	hallar
riñendo	riñendo	VMG0000	reñir
con	con	SPS00	con
su	su	DP3CS0	su
madre	madre	NCFS000	madre
Manuela	Manuela	NP00000	manuela
Delgado	Delgado	NP00000	delgado
y	y	CC	y
su	su	DP3CS0	su
Ermano	hermano	NCMS000	hermano
fernando	Fernando	NP00000	fernando
Redondo	Redondo	NP00000	redondo
con	con	SPS00	con
un	un	DI0MS0	uno
cuchillo	cuchillo	NCMS000	cuchillo
grande	grande	AQ0CS0	grande
de	de	SPS00	de
cozina	cocina	NCFS000	cocina
	,	Fc	,
diziendo	diciendo	VMG0000	decir
que	que	CS	que
iba	iba	VMII0S0	ir
a	a	SPS00	a
matar	matar	VMN0000	matar
a	a	SPS00	a
su	su	DP3CS0	su
Madre	madre	NCFS000	madre
y	y	CC	y
Ermano	hermano	NCMS000	hermano
,	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
los	los	PP3MPA00	lo
obligo	obligó	VMIS3S0	obligar
a	a	SPS00	a
salirse	salirse	VMN0000+P00CN000	salir+se
de	de	SPS00	de
casa	casa	NCFS000	casa
y	y	CC	y
refujiase	refugiarse	VMN0000+P00CN000	refugiar+se
en	en	SPS00	en
casa	casa	NCFS000	casa
de	de	SPS00	de
un	un	DI0MS0	uno
vezino	vecino	NCMS000	vecino
	,	Fc	,
quien	quien	PR0CS000	quien
con	con	SPS00	con
otros	otros	DI0MP0	otro
fueron	fueron	VMIS3P0	ir
a	a	SPS00	a
ber	ver	VMN0000	ver
si	si	CS	si
le	le	PP3CSD00	le
podian	podían	VMII3P0	poder
templar	templar	VMN0000	templar
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
bez	vez	NCFS000	vez
de	de	SPS00	de
consiguirlo	conseguirlo	VMN0000+PP3MSA00	conseguir+lo
prorumpio	prorrumpió	VMIS3S0	prorrumpir
en	en	SPS00	en
las	las	DA0FP0	el
espresiones	expresiones	NCFP000	expresión
yndezentes	indecentes	AQ0CP0	indecente
y	y	CC	y
blasfemas	blasfemas	NCFP000	blasfemo
de	de	SPS00	de
	«	Fra	«
carajo	carajo	NCMS000	carajo
	»	Frt	»
	,	Fc	,
	«	Fra	«
puñetero	puñetero	AQ0MS0	puñetero
	»	Frt	»
e	y	CC	y
	«	Fra	«
dios	Dios	NP00000	dios
	»	Frt	»
	.	Fp	.
que	Que	CS	que
se	se	P00CN000	se
cagaba	cagaba	VMII0S0	cagar
en	en	SPS00	en
