Amiga	Amiga	NP00000	amigo
:	.	Fp	.
todo	Todo	DI0MS0	todo
el	el	DA0MS0	el
contenido	contenido	NCMS000	contenido
de	de	SPS00	de
la	la	DA0FS0	el
tuya	tuya	PX2FS0S0	tuyo
y	y	CC	y
cada	cada	DI0CN0	cada
expresion	expresión	NCFS000	expresión
me	me	PP1CS000	me
manifiestan	manifiestan	VMIP3P0	manifestar
el	el	DA0MS0	el
poco	poco	DI0MS0	poco
gusto	gusto	NCMS000	gusto
o	o	CC	o
acaso	acaso	RG	acaso
el	el	DA0MS0	el
enfado	enfado	NCMS000	enfado
que	que	PR0CN000	que
te	te	PP2CS000	te
causa	causa	VMIP3S0	causar
mi	mi	DP1CSS	mi
correspondencia	correspondencia	NCFS000	correspondencia
:	.	Fp	.
dime	Dime	VMM02S0+PP1CS000	decir+me
si	si	CS	si
no	no	RN	no
has	has	VAIP2S0	haber
visto	visto	VMP0000	ver
en	en	SPS00	en
mi	mí	PP1CSO00	mí
nada	nada	PI0NN00N	nada
que	que	CS	que
te	te	PP2CS000	te
manifieste	manifieste	VMSP0S0	manifestar
mi	mi	DP1CSS	mi
enfado	enfado	NCMS000	enfado
,	.	Fp	.
mas	Mas	CC	mas
siempre	siempre	RG	siempre
sin	sin	SPS00	sin
perdida	pérdida	NCFS000	pérdida
de	de	SPS00	de
correo	correo	NCMS000	correo
te	te	PP2CS000	te
he	he	VAIP1S0	haber
escrito	escrito	VMP0000	escribir
,	,	Fc	,
siendo	siendo	VSG0000	ser
asi	así	RG	así
que	que	CS	que
tu	tú	PP2CSN00	tú
has	has	VAIP2S0	haber
perdido	perdido	VMP0000	perder
no	no	RN	no
uno	uno	PI0MS000	uno
,	,	Fc	,
sino	sino	CC	sino
dos	dos	Z	2
,	,	Fc	,
poniendo	poniendo	VMG0000	poner
disculpas	disculpas	NCFP000	disculpa
frivolas	frívolas	RG	frívolas
.	.	Fp	.
si	Si	CS	si
tanto	tanto	RC	tanto
me	me	PP1CS000	me
has	has	VAIP2S0	haber
creido	creído	VMP0000	creer
otras	otras	DI0FP0	otro
veces	veces	NCFP000	vez
como	como	CS	como
ahora	ahora	RG	ahora
,	,	Fc	,
qe	que	CS	que
te	te	PP2CS000	te
tengo	tengo	VMIP1S0	tener
dicho	dicho	VMP00SM	decir
qe	que	CS	que
ni	ni	CC	ni
la	la	DA0FS0	el
variacion	variación	NCFS000	variación
de	de	SPS00	de
circunstancias	circunstancias	NCFP000	circunstancia
ni	ni	CC	ni
cosa	cosa	NCFS000	cosa
alguna	alguna	DI0FS0	alguno
que	que	CS	que
pudiera	pudiera	VMSI0S0	poder
haver	haber	VAN0000	haber
sucedido	sucedido	VMP0000	suceder
me	me	PP1CS000	me
haria	haría	VMIC0S0	hacer
olbidar	olvidar	VMN0000	olvidar
de	de	SPS00	de
ti	ti	PP2CSO00	ti
,	,	Fc	,
	¿	Fia	¿
como	cómo	PA000000	cómo
	(	Fba	(
buelvo	vuelvo	VMIP1S0	volver
a	a	SPS00	a
decir	decir	VMN0000	decir
	)	Fbt	)
me	me	PP1CS000	me
dices	dices	VMIP2S0	decir
lo	lo	DA0NS0	el
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
unicamte	únicamente	RG	únicamente
tenia	tenía	VMII0S0	tener
motivo	motivo	NCMS000	motivo
para	para	SPS00	para
decirte	decirte	VMN0000+PP2CS000	decir+te
?	?	Fit	?
no	No	RN	no
tenias	tenías	VMII2S0	tener
que	que	CS	que
andar	andar	VMN0000	andar
con	con	SPS00	con
rodeos	rodeos	NCMP000	rodeo
	.	Fp	.
claramte	Claramente	RG	claramente
pudieras	pudieras	VMSI2S0	poder
haberme	haberme	VAN0000+PP1CS000	haber+me
dho	dicho	VMP0000	decir
te	te	PP2CS000	te
hera	era	VSII0S0	ser
ya	ya	RG	ya
pesado	pesado	VMP0000	pesar
mi	mi	DP1CSS	mi
trato	trato	NCMS000	trato
,	,	Fc	,
y	y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
estavas	estabas	VMII2S0	estar
despachada	despachada	VMP00SF	despachar
.	.	Fp	.
sin	Sin	SPS00	sin
embargo	embargo	NCMS000	embargo
	,	Fc	,
siempre	siempre	RG	siempre
deseare	desearé	VMIF1S0	desear
me	me	PP1CS000	me
mandes	mandes	VMSP2S0	mandar
con	con	SPS00	con
satisfaccion	satisfacción	NCFS000	satisfacción
	,	Fc	,
pues	pues	CS	pues
desea	desea	VMIP3S0	desear
servirte	servirte	VMN0000+PP2CS000	servir+te
	.	Fp	.
