qdo	Querido	VMP00SM	querer
Felipe	Felipe	NP00000	felipe
:	.	Fp	.
Un	Un	DI0MS0	uno
Ordinario	ordinario	NCMS000	ordinario
que	que	PR0CN000	que
no	no	RN	no
me	me	PP1CS000	me
da	da	VMIP3S0	dar
mas	más	RC	más
que	que	CS	que
una	una	DI0FS0	uno
hora	hora	NCFS000	hora
para	para	SPS00	para
arreglar	arreglar	VMN0000	arreglar
mi	mi	DP1CSS	mi
equipage	equipaje	NCMS000	equipaje
le	le	PP3CSA00	le
lleba	lleva	VMIP3S0	llevar
con	con	SPS00	con
la	la	DA0FS0	el
orden	orden	NCFS000	orden
de	de	SPS00	de
entre-gartelo	entregártelo	VMN0000+PP2CS000+PP3MSA00	entregar+te+lo
:	.	Fp	.
lleba	Lleva	VMIP3S0	llevar
mis	mis	DP1CPS	mi
dos	dos	Z	2
or-quillas	horquillas	NCFP000	horquilla
y	y	CC	y
un	un	DI0MS0	uno
par	par	NCMS000	par
de	de	SPS00	de
Alforjas	alforjas	NCFP000	alforja
con	con	SPS00	con
dos	dos	Z	2
pares	pares	NCMP000	par
de	de	SPS00	de
zapatos	zapatos	NCMP000	zapato
	,	Fc	,
un	un	DI0MS0	uno
saquillo	saquillo	NCMS00D	saco
con	con	SPS00	con
erraduras	herraduras	NCFP000	herradura
y	y	CC	y
clavos	clavos	NCMP000	clavo
para	para	SPS00	para
el	el	DA0MS0	el
caballo	caballo	NCMS000	caballo
	,	Fc	,
una	una	DI0FS0	uno
gualdrapa	gualdrapa	NCFS000	gualdrapa
vieja	vieja	AQ0FS0	viejo
y	y	CC	y
una	una	DI0FS0	uno
grupa	grupa	NCFS000	grupa
,	,	Fc	,
la	la	DA0FS0	el
gruza	gruza	X	x
y	y	CC	y
la	la	DA0FS0	el
almoaza	almoaza	NCFS000	almoaza
.	.	Fp	.
Recibelo	Recíbelo	VMM02S0+PP3CNA00	recibir+lo
	,	Fc	,
que	que	CS	que
por	por	SPS00	por
el	el	DA0MS0	el
correo	correo	NCMS000	correo
te	te	PP2CS000	te
diré	diré	VMIF1S0	decir
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
	.	Fp	.
y	Y	CC	y
ADios	adiós	I	adiós
	.	Fp	.
Tu	Tu	DP2CSS	tu
hermo	hermano	NP00000	hermano
	,	Fc	,
Pepe	Pepe	NP00000	pepe
Pagarás	Pagarás	VMIF2S0	pagar
el	el	DA0MS0	el
porte	porte	NCMS000	porte
que	que	PR0CN000	que
te	te	PP2CS000	te
dire	diré	VMIF1S0	decir
por	por	SPS00	por
el	el	DA0MS0	el
Correo	correo	NCMS000	correo
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
lo	lo	PP3MSA00	lo
he	he	VAIP1S0	haber
ajustado	ajustado	VMP0000	ajustar
aun	aún	RG	aun
	.	Fp	.
