Querido	Querido	VMP00SM	querer
felipe	Felipe	NP00000	felipe
	.	Fp	.
Aunque	Aunque	CC	aunque
de	de	SPS00	de
priesa	prisa	NCFS000	prisa
;	,	Fc	,
aprobecho	aprovecho	VMIP1S0	aprovechar
la	la	DA0FS0	el
ocasion	ocasión	NCFS000	ocasión
q	que	CS	que
se	se	P00CN000	se
presenta	presenta	VMIP3S0	presentar
para	para	SPS00	para
decirte	decirte	VMN0000+PP2CS000	decir+te
las	las	DA0FP0	el
malas	malas	AQ0FP0	malo
noticias	noticias	NCFP000	noticia
q	que	PR0CN000	que
corren	corren	VMIP3P0	correr
de	de	SPS00	de
nro	nuestro	DP1MSP	nuestro
vecno	vecino	NCMS000	vecino
	,	Fc	,
q	que	CS	que
acaso	acaso	RG	acaso
sabreis	sabréis	VMIF2P0	saber
ay	ahí	RG	ahí
mejor	mejor	RC	mejor
q	que	CS	que
nosotros	nosotros	PP1MP000	nosotros
	.	Fp	.
se	Se	P00CN000	se
asegura	asegura	VMIP3S0	asegurar
q	que	CS	que
lo	lo	PP3CNA00	lo
han	han	VAIP3P0	haber
afusilado	fusilado	VMP0000	fusilar
	,	Fc	,
i	y	CC	y
para	para	SPS00	para
nosotros	nosotros	PP1MP000	nosotros
es	es	VSIP3S0	ser
mal	mal	NCMS000	mal
indicante	indicante	SPS00	indicante
q	que	CS	que
su	su	DP3CS0	su
sobrino	sobrino	NCMS000	sobrino
aun	aún	RG	aun
no	no	RN	no
haya	haya	VASP0S0	haber
parecido	parecido	VMP0000	parecer
por	por	SPS00	por
aca	acá	RG	acá
.	.	Fp	.
ya	Ya	RG	ya
puedes	puedes	VMIP2S0	poder
conocer	conocer	VMN0000	conocer
como	cómo	PA000000	cómo
estaremos	estaremos	VMIF1P0	estar
con	con	SPS00	con
estas	estas	DD0FP0	este
novedades	novedades	NCFP000	novedad
:	.	Fp	.
Acerca	Acerca	SPS00	acerca
de	de	SPS00	de
nrs	nuestros	DP1MPP	nuestro
pleytos	pleitos	NCMP000	pleito
	,	Fc	,
parece	parece	VMIP3S0	parecer
q	que	CS	que
se	se	P00CN000	se
rrecurren	recurren	VMIP3P0	recurrir
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
Abogados	abogados	NCMP000	abogado
q	que	CS	que
habias	habías	VAII2S0	haber
propuesto	propuesto	VMP0000	proponer
escto	excepto	CS	excepto
Ruiz	Ruíz	NP00000	ruíz
Diaz	Díaz	NP00000	díaz
de	de	SPS00	de
Velasco	Velasco	NP00000	velasco
	,	Fc	,
a	a	SPS00	a
cuyo	cuyo	PU0MS000	cuyo
acuerdo	acuerdo	NCMS000	acuerdo
debia	debía	VMII0S0	deber
rremitirlos	remitirlos	VMN0000+PP3MPA00	remitir+lo
el	el	DA0MS0	el
juez	juez	NCMS000	juez
;	.	Fp	.
en	En	SPS00	en
quanto	cuanto	PA000000	cuanto
a	a	SPS00	a
que	que	CS	que
nro	nuestro	DP1MSP	nuestro
apoderado	apoderado	NCMS000	apoderado
tenga	tenga	VMSP0S0	tener
relaciones	relaciones	NCFP000	relación
con	con	SPS00	con
esa	esa	DD0FS0	ese
familia	familia	NCFS000	familia
;	,	Fc	,
no	no	RN	no
ay	hay	VMIP3S0	haber
q	que	CS	que
dudarlo	dudarlo	VMN0000+PP3MSA00	dudar+lo
	.	Fp	.
Es	Es	VSIP3S0	ser
quanto	cuanto	PA000000	cuanto
por	por	SPS00	por
aora	ahora	RG	ahora
se	se	P00CN000	se
ofrece	ofrece	VMIP3S0	ofrecer
:	.	Fp	.
Aqui	Aquí	RG	aquí
en	en	SPS00	en
qto	cuanto	PA000000	cuanto
a	a	SPS00	a
la	la	DA0FS0	el
salud	salud	NCFS000	salud
no	no	RN	no
ay	hay	VMIP3S0	haber
nobedad	novedad	NCFS000	novedad
	.	Fp	.
celebraremos	Celebraremos	VMIF1P0	celebrar
q	que	CS	que
por	por	SPS00	por
alla	allá	RG	allá
su-ceda	suceda	VMSP0S0	suceder
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
	.	Fp	.
ADios	Adiós	I	adiós
	.	Fp	.
