Le	Le	PP3CSD00	le
daras	darás	VMIF2S0	dar
esta	esta	DD0FS0	este
carta	carta	NCFS000	carta
ha	a	SPS00	a
la	la	DA0FS0	el
petra	Petra	NP00000	petra
Jorge	Jorge	NP00000	jorge
para	para	SPS00	para
qe	que	CS	que
bea	vea	VMSP0S0	ver
este	este	DD0MS0	este
Trobo	trobo	NCMS000	trobo
	.	Fp	.
compadre	Compadre	NP00000	compadre
	,	Fc	,
yo	yo	PP1CSN00	yo
no	no	RN	no
me	me	PP1CS000	me
caso	caso	NCMS000	caso
	,	Fc	,
no	no	RN	no
me	me	PP1CS000	me
meto	meto	VMIP1S0	meter
en	en	SPS00	en
Alborotos	alborotos	NCMP000	alboroto
	.	Fp	.
el	El	DA0MS0	el
carro	carro	NCMS000	carro
de	de	SPS00	de
la	la	DA0FS0	el
basura	basura	NCFS000	basura
qe	que	PR0CN000	que
corra	corra	VMSP0S0	correr
por	por	SPS00	por
cuenta	cuenta	NCFS000	cuenta
de	de	SPS00	de
otro	otro	PI0MS000	otro
	.	Fp	.
se	Se	P00CN000	se
pasan	pasan	VMIP3P0	pasar
dos	dos	Z	2
mil	mil	Z	1000
trabajos	trabajos	NCMP000	trabajo
en	en	SPS00	en
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
hocasiones	ocasiones	NCFP000	ocasión
sin	sin	SPS00	sin
camisa	camisa	NCFS000	camisa
ni	ni	CC	ni
refajo	refajo	NCMS000	refajo
	.	Fp	.
por	Por	SPS00	por
esta	ésta	PD0FS000	este
y	y	CC	y
otras	otras	DI0FP0	otro
razones	razones	NCFP000	razón
	,	Fc	,
compadre	compadre	NP00000	compadre
	,	Fc	,
yo	yo	PP1CSN00	yo
no	no	RN	no
me	me	PP1CS000	me
caso	caso	NCMS000	caso
	.	Fp	.
Mayo	Mayo	NCMS000	mayo
	,	Fc	,
Junio	junio	NCMS000	junio
	,	Fc	,
Julio	julio	NCMS000	julio
	,	Fc	,
Agosto	agosto	NCMS000	agosto
se	se	P00CN000	se
pasan	pasan	VMIP3P0	pasar
sin	sin	SPS00	sin
muger	mujer	NCFS000	mujer
	.	Fp	.
ya	Ya	RG	ya
no	no	RN	no
quiero	quiero	VMIP1S0	querer
domar	domar	VMN0000	domar
potros	potros	NCMP000	potro
	.	Fp	.
he	He	VAIP1S0	haber
tomado	tomado	VMP0000	tomar
parecer	parecer	NCMS000	parecer
	:	Fd	:
no	no	RN	no
me	me	PP1CS000	me
meto	meto	VMIP1S0	meter
en	en	SPS00	en
Alborotos	alborotos	NCMP000	alboroto
	.	Fp	.
Yo	Yo	PP1CSN00	yo
lo	lo	PP3CNA00	lo
tengo	tengo	VMIP1S0	tener
por	por	SPS00	por
locura	locura	NCFS000	locura
y	y	CC	y
no	no	RN	no
dejo	dejo	VMIP1S0	dejar
de	de	SPS00	de
pensar	pensar	VMN0000	pensar
que	que	CS	que
es	es	VSIP3S0	ser
gran	gran	AQ0CS0	gran
pena	pena	NCFS000	pena
y	y	CC	y
hamargura	amargura	NCFS000	amargura
