Valld	Valladolid	NP00000	valladolid
	,	Fc	,
y	y	CC	y
Diciem	diciembre	NCMS000	diciembre
5	5	Z	5
1831	1831	Z	1831
Mi	Mi	DP1CSS	mi
Señora	señora	NP00000	señor
Da	doña	NP00000	don
Carmen	Carmen	NP00000	carmen
	.	Fp	.
Mi	Mi	DP1CSS	mi
apreciable	apreciable	AQ0CS0	apreciable
Señora	señora	NP00000	señor
	.	Fp	.
no	No	RN	no
puedo	puedo	VMIP1S0	poder
menos	menos	RC	menos
de	de	SPS00	de
volver	volver	VMN0000	volver
á	a	SPS00	a
tomar	tomar	VMN0000	tomar
la	la	DA0FS0	el
pluma	pluma	NCFS000	pluma
pa	para	SPS00	para
satisfacer	satisfacer	VMN0000	satisfacer
sus	sus	DP3CP0	su
deseos	deseos	NCMP000	deseo
,	,	Fc	,
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
no	no	RN	no
dude	dude	VMSP0S0	dudar
	,	Fc	,
haora	ahora	RG	ahora
y	y	CC	y
siempre	siempre	RG	siempre
	,	Fc	,
ps	pues	CS	pues
vivo	vivo	VMIP1S0	vivir
con	con	SPS00	con
la	la	DA0FS0	el
vigilancia	vigilancia	NCFS000	vigilancia
de	de	SPS00	de
qe	que	CS	que
no	no	RN	no
pase	pase	VMSP0S0	pasar
una	una	PI0FS000	uno
con	con	SPS00	con
Rueda	Rueda	NP00000	rueda
qe	que	PR0CN000	que
U	usted	PP2CS000	usted
no	no	RN	no
sepa	sepa	VMSP0S0	saber
	.	Fp	.
Me	Me	PP1CS000	me
es	es	VSIP3S0	ser
muy	muy	RQ	muy
doloroso	doloroso	AQ0MS0	doloroso
decir	decir	VMN0000	decir
á	a	SPS00	a
U	usted	PP2CS000	usted
qe	que	CS	que
esa	esa	DD0FS0	ese
Señorona	señorona	NCFS000	señorón
usa	usa	VMIP3S0	usar
ya	ya	RG	ya
su	su	DP3CS0	su
ropa	ropa	NCFS000	ropa
,	,	Fc	,
y	y	CC	y
mayormente	mayormente	RG	mayormente
calcetas	calcetas	NCFP000	calceta
y	y	CC	y
zapatos	zapatos	NCMP000	zapato
,	,	Fc	,
ps	pues	CS	pues
cada	cada	DI0CN0	cada
vez	vez	NCFS000	vez
qe	que	CS	que
veo	veo	VMIP1S0	ver
una	una	DI0FS0	uno
prenda	prenda	NCFS000	prenda
qe	que	PR0CN000	que
se	sé	VMIP1S0	saber
fixamente	fijamente	RG	fijamente
qe	que	CS	que
es	es	VSIP3S0	ser
de	de	SPS00	de
la	la	DA0FS0	el
Carmen	Carmen	NP00000	carmen
en	en	SPS00	en
ella	ella	PP3FS000	él
es	es	VSIP3S0	ser
cosa	cosa	NCFS000	cosa
qe	que	PR0CN000	que
me	me	PP1CS000	me
llevan	llevan	VMIP3P0	llevar
los	los	DA0MP0	el
mismisimos	mismísimos	AQSMP0	mismo
;	,	Fc	,
ps	pues	CS	pues
si	si	CS	si
en	en	SPS00	en
otra	otra	PI0FS000	otro
lo	lo	PP3CNA00	lo
viese	viese	VMSI0S0	ver
no	no	RN	no
me	me	PP1CS000	me
daria	daría	VMIC0S0	dar
tanto	tanto	DI0MS0	tanto
cuidado	cuidado	NCMS000	cuidado
;	.	Fp	.
po	Pero	CC	pero
no	no	RN	no
tiene	tiene	VMIP3S0	tener
U	usted	PP2CS000	usted
qe	que	CS	que
estrañarlo	extrañarlo	VMN0000+PP3CNA00	extrañar+lo
,	,	Fc	,
prqe	porque	CS	porque
	,	Fc	,
como	como	CS	como
es	es	VSIP3S0	ser
ya	ya	RG	ya
enteramente	enteramente	RG	enteramente
la	la	DA0FS0	el
maestra	maestra	NCFS000	maestro
;	,	Fc	,
