Billalon	Villalón	NP00000	villalón
	,	Fc	,
Junio	junio	NCMS000	junio
29	29	Z	29
de	de	SPS00	de
1816	1816	Z	1816
Ermano	Hermano	NP00000	hermano
	.	Fp	.
me	Me	PP1CS000	me
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
mui	muy	RQ	muy
sensible	sensible	AQ0CS0	sensible
la	la	DA0FS0	el
desGraciada	desgraciada	VMP00SF	desgraciar
suerte	suerte	NCFS000	suerte
qe	que	PR0CN000	que
nos	nos	PP1CP000	nos
a	ha	VAIP3S0	haber
cojido	cogido	VMP0000	coger
	,	Fc	,
pero	pero	CC	pero
Dios	Dios	NP00000	dios
	,	Fc	,
qe	que	PR0CN000	que
esta	está	VMIP3S0	estar
arriba	arriba	RG	arriba
	,	Fc	,
lo	lo	PP3CNA00	lo
rremediara	remediará	VMIF3S0	remediar
todo	todo	PI0MS000	todo
	.	Fp	.
El	El	DA0MS0	el
dia	día	NCMS000	día
qe	que	PR0CN000	que
Coji	cogí	VMIS1S0	coger
tu	tu	DP2CSS	tu
carta	carta	NCFS000	carta
estubon	estuvon	VMIS3P0	estuvon
en	en	SPS00	en
esta	ésta	PD0FS000	este
unos	unos	DI0MP0	uno
lenzeros	lenceros	NCMP000	lencero
de	de	SPS00	de
Rebilla	Revilla	NP00000	revilla
y	y	CC	y
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
abian	habían	VAII3P0	haber
acabado	acabado	VMP0000	acabar
de	de	SPS00	de
contar	contar	VMN0000	contar
	.	Fp	.
pues	Pues	CS	pues
para	para	SPS00	para
mi	mí	PP1CSO00	mí
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
la	la	DA0FS0	el
muerte	muerte	NCFS000	muerte
,	,	Fc	,
ai	ahí	RG	ahí
te	te	PP2CS000	te
rremito	remito	VMIP1S0	remitir
el	el	DA0MS0	el
asistente	asistente	NCMS000	asistente
para	para	SPS00	para
qe	que	CS	que
le	le	PP3CSD00	le
des	des	VMSP2S0	dar
una	una	DI0FS0	uno
noticia	noticia	NCFS000	noticia
Clara	clara	AQ0FS0	clara
de	de	SPS00	de
todo	todo	PI0MS000	todo
quanto	cuanto	PA000000	cuanto
a	ha	VAIP3S0	haber
pasao	pasado	VMP0000	pasar
	,	Fc	,
no	no	RN	no
de	de	SPS00	de
pícos	picos	NCMP000	pico
qe	que	PR0CN000	que
ablan	hablan	VMIP3P0	hablar
sin	sin	SPS00	sin
saber	saber	VMN0000	saber
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
se	se	P00CN000	se
dizen	dicen	VMIP3P0	decir
;	,	Fc	,
sino	sino	CC	sino
aqello	aquello	PD0NN000	aquello
qe	que	PR0CN000	que
se	se	P00CN000	se
sepa	sepa	VMSP0S0	saber
Claramente	claramente	RG	claramente
	:	Fd	:
quin	quién	PT0CS000	quién
fue	fue	VSIS3S0	ser
el	el	DA0MS0	el
qe	que	PR0CN000	que
le	le	PP3CSA00	le
mato	mató	VMIS3S0	matar
	,	Fc	,
quin	quién	PT0CS000	quién
le	le	PP3CSA00	le
