Marranuda	Marranuda	X	x
	,	Fc	,
y	y	CC	y
octubre	octubre	NCMS000	octubre
3	3	Z	3
de	de	SPS00	de
1800	1800	Z	1800
Amigo	Amigo	NP00000	amigo
y	y	CC	y
Sor	señor	NP00000	señor
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
,	.	Fp	.
luego	Luego	RG	luego
que	que	CS	que
reciva	reciba	VMSP0S0	recibir
vmd	VM	NP00000	VM
esta	ésta	PD0FS000	este
,	,	Fc	,
pondra	pondrá	VMIF3S0	poner
vmd	VM	NP00000	VM
en	en	SPS00	en
camino	camino	NCMS000	camino
a	a	SPS00	a
Poder	poder	VMN0000	poder
que	que	CS	que
se	se	P00CN000	se
pueda	pueda	VMSP0S0	poder
,	,	Fc	,
pues	pues	CS	pues
	,	Fc	,
haviendo	habiendo	VAG0000	haber
llegado	llegado	VMP0000	llegar
a	a	SPS00	a
las	las	DA0FP0	el
cinco	cinco	Z	5
o	o	CC	o
cinco	cinco	Z	5
y	y	CC	y
media	media	NCFS000	media
de	de	SPS00	de
la	la	DA0FS0	el
tarde	tarde	NCFS000	tarde
del	del	SPS00+DA0MS0	de+el
día	día	NCMS000	día
2	2	Z	2
de	de	SPS00	de
este	éste	PD0MS000	este
Ylario	Hilario	NP00000	hilario
y	y	CC	y
Pablo	Pablo	NP00000	pablo
a	a	SPS00	a
este	este	DD0MS0	este
lugar	lugar	NCMS000	lugar
;	,	Fc	,
se	se	P00CN000	se
encontraron	encontraron	VMIS3P0	encontrar
con	con	SPS00	con
el	el	DA0MS0	el
erido	herido	VMP00SM	herir
a	a	SPS00	a
quien	quien	PR0CS000	quien
ybamos	íbamos	VMII1P0	ir
en	en	SPS00	en
segimiento	seguimiento	NCMS000	seguimiento
,	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
	,	Fc	,
ymediatamente	inmediatamente	RG	inmediatamente
que	que	CS	que
llego	llegó	VMIS3S0	llegar
Ylario	Hilario	NP00000	hilario
a	a	SPS00	a
la	la	DA0FS0	el
puerta	puerta	NCFS000	puerta
principal	principal	AQ0CS0	principal
y	y	CC	y
Pablo	Pablo	NP00000	pablo
por	por	SPS00	por
la	la	DA0FS0	el
puerta	puerta	NCFS000	puerta
trasera	trasera	NCFS000	trasera
	,	Fc	,
echo	echó	VMIS3S0	echar
la	la	DA0FS0	el
boz	voz	NCFS000	voz
del	del	SPS00+DA0MS0	de+el
Rey	rey	NCMS000	rey
diciendole	diciéndole	VMG0000+PP3CSD00	decir+le
que	que	CS	que
se	se	P00CN000	se
rendiese	rindiese	VMSI0S0	rendir
y	y	CC	y
se	se	P00CN000	se
entregase	entregase	VMSI0S0	entregar
	;	Fx	;
y	y	CC	y
dijo	dijo	VMIS3S0	decir
qe	que	CS	que
rendirse	rendirse	VMN0000+P00CN000	rendir+se
no	no	RN	no
	.	Fp	.
y	Y	CC	y
despues	después	RG	después
	,	Fc	,
haviendo	habiendo	VAG0000	haber
salido	salido	VMP0000	salir
Por	por	SPS00	por
la	la	DA0FS0	el
puerta	puerta	NCFS000	puerta
de	de	SPS00	de
Atras	atrás	RG	atrás
el	el	DA0MS0	el
referido	referido	VMP00SM	referir
erido	herido	VMP00SM	herir
	,	Fc	,
empezo	empezó	VMIS3S0	empezar
a	a	SPS00	a
cer	hacer	VMN0000	hacer
fuego	fuego	NCMS000	fuego
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
rigor	rigor	NCMS000	rigor
	,	Fc	,
lo	lo	PP3CNA00	lo
cual	cual	CC	cual
estuBieron	estuvieron	VMIS3P0	estar
como	como	CS	como
media	media	AQ0FS0	media
