Valladolid	Valladolid	NP00000	valladolid
	,	Fc	,
17	17	Z	17
de	de	SPS00	de
octubre	octubre	NCMS000	octubre
de	de	SPS00	de
1819	1819	Z	1819
Mi	Mi	DP1CSS	mi
estimado	estimado	VMP00SM	estimar
señor	señor	NP00000	señor
Dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
	.	Fp	.
recibi	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
mui	muy	RQ	muy
apreciable	apreciable	AQ0CS0	apreciable
de	de	SPS00	de
U	usted	PP2CS000	usted
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
gusto	gusto	NCMS000	gusto
por	por	SPS00	por
saber	saber	NCMS000	saber
a	ha	VAIP3S0	haber
llegado	llegado	VMP0000	llegar
U	usted	PP2CS000	usted
a	a	SPS00	a
esa	ésa	PD0FS000	ese
sin	sin	SPS00	sin
nobedad	novedad	NCFS000	novedad
y	y	CC	y
a	ha	VAIP3S0	haber
encontrado	encontrado	VMP0000	encontrar
a	a	SPS00	a
todos	todos	PI0MP000	todo
gordos	gordos	AQ0MP0	gordo
y	y	CC	y
frescos	frescos	AQ0MP0	fresco
;	.	Fp	.
nosotros	Nosotros	PP1MP000	nosotros
disfritamos	disfrutamos	VMIP1P0	disfrutar
de	de	SPS00	de
ygual	igual	AQ0CS0	igual
beneficio	beneficio	NCMS000	beneficio
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
gracias	gracias	NCFP000	gracia
	,	Fc	,
para	para	SPS00	para
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
U	usted	PP2CS000	usted
quiera	quiera	VMSP0S0	querer
mandar	mandar	VMN0000	mandar
	,	Fc	,
que	que	CS	que
ya	ya	RG	ya
sabe	sabe	VMIP3S0	saber
U	usted	PP2CS000	usted
lo	lo	PP3CNA00	lo
aremos	haremos	VMIF1P0	hacer
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
gusto	gusto	NCMS000	gusto
;	.	Fp	.
pongo	Pongo	VMIP1S0	poner
en	en	SPS00	en
noticia	noticia	NCFS000	noticia
de	de	SPS00	de
U	usted	PP2CS000	usted
el	el	DA0MS0	el
chasco	chasco	NCMS000	chasco
qe	que	PR0CN000	que
nos	nos	PP1CP000	nos
a	ha	VAIP3S0	haber
sucedido	sucedido	VMP0000	suceder
con	con	SPS00	con
Da	doña	NP00000	don
Mari	Mari	NP00000	mari
antonia	Antonia	NP00000	antonia
	,	Fc	,
pues	pues	CS	pues
ya	ya	RG	ya
sabe	sabe	VMIP3S0	saber
U	usted	PP2CS000	usted
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
le	le	PP3CSD00	le
dijo	dijo	VMIS3S0	decir
y	y	CC	y
aqui	aquí	RG	aquí
asa	ésa	PD0FS000	ese
nos	nos	PP1CP000	nos
dijo	dijo	VMIS3S0	decir
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
asta	hasta	SPS00	hasta
qe	que	CS	que
se	se	P00CN000	se
les	les	PP3CPD00	le
llevo	llevó	VMIS3S0	llevar
los	los	DA0MP0	el
tres	tres	Z	3
mil	mil	Z	1000
