Somos	Somos	VSIP1P0	ser
7	7	Z	7
Mi	Mi	DP1CSS	mi
querido	querido	VMP00SM	querer
Manuel	Manuel	NP00000	manuel
	.	Fp	.
no	No	RN	no
puedo	puedo	VMIP1S0	poder
esplicarte	explicarte	VMN0000+PP2CS000	explicar+te
del	del	SPS00+DA0MS0	de+el
modo	modo	NCMS000	modo
qe	que	PR0CN000	que
me	me	PP1CS000	me
dejo	dejó	VMIS3S0	dejar
la	la	DA0FS0	el
tuia	tuya	PX2FS0S0	tuyo
con	con	SPS00	con
el	el	DA0MS0	el
modo	modo	NCMS000	modo
qe	que	CS	que
en	en	SPS00	en
ella	ella	PP3FS000	él
me	me	PP1CS000	me
ablabas	hablabas	VMII2S0	hablar
	,	Fc	,
pero	pero	CC	pero
	,	Fc	,
como	como	CS	como
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
mi	mi	DP1CSS	mi
estrella	estrella	NCFS000	estrella
desgraciada	desgraciada	VMP00SF	desgraciar
	,	Fc	,
lo	lo	PP3CNA00	lo
quiere	quiere	VMIP3S0	querer
asi	así	RG	así
	.	Fp	.
no	No	RN	no
estas	estás	VMIP2S0	estar
inorante	ignorante	NCMS000	ignorante
de	de	SPS00	de
lo	lo	DA0NS0	el
mucho	mucho	RQ	mucho
que	que	PR0CN000	que
he	he	VAIP1S0	haber
sufrido	sufrido	VMP0000	sufrir
en	en	SPS00	en
el	el	DA0MS0	el
tiempo	tiempo	NCMS000	tiempo
de	de	SPS00	de
tu	tu	DP2CSS	tu
ausencia	ausencia	NCFS000	ausencia
y	y	CC	y
jamas	jamás	RG	jamás
he	he	VAIP1S0	haber
abandonado	abandonado	VMP0000	abandonar
mi	mi	DP1CSS	mi
casa	casa	NCFS000	casa
	.	Fp	.
	¡	Faa	¡
hojala	Ojalá	I	ojalá
lo	lo	PP3CNA00	lo
hubiera	hubiera	VASI0S0	haber
echo	hecho	VMP0000	hacer
	!	Fat	!
si	Si	CS	si
por	por	SPS00	por
mi	mi	DP1CSS	mi
gusto	gusto	NCMS000	gusto
hubiera	hubiera	VASI0S0	haber
hido	ido	VMP0000	ir
a	a	SPS00	a
Salamanca	Salamanca	NP00000	salamanca
	,	Fp	,
hubiera	hubiera	VASI0S0	haber
ido	ido	VMP0000	ir
mas	más	RC	más
prebenida	prevenida	VMP00SF	prevenir
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
fui	fui	VSIS1S0	ser
	.	Fp	.
si	Si	CS	si
tu	tú	PP2CSN00	tú
piensas	piensas	VMIP2S0	pensar
qe	que	CS	que
asi	así	RG	así
fue	fue	VSIS3S0	ser
	,	Fc	,
estas	estás	VMIP2S0	estar
mui	muy	RQ	muy
equibocado	equivocado	VMP00SM	equivocar
