Sta	Santa	AQ0FS0	santo
cruz	Cruz	NCFS000	cruz
	,	Fc	,
y	y	CC	y
octubre	octubre	NCMS000	octubre
9	9	Z	9
de	de	SPS00	de
1832	1832	Z	1832
Manuel	Manuel	NP00000	manuel
	.	Fp	.
para	Para	SPS00	para
qe	que	CS	que
nunca	nunca	RN	nunca
pueda	pueda	VMSP0S0	poder
u	usted	PP2CS000	usted
con	con	SPS00	con
razon	razón	NCFS000	razón
decir	decir	VMN0000	decir
qe	que	CS	que
no	no	RN	no
he	he	VAIP1S0	haber
procedido	procedido	VMP0000	proceder
bien	bien	NCMS000	bien
con	con	SPS00	con
uu	ustedes	PP2CP000	usted
	,	Fc	,
le	le	PP3CSD00	le
prebengo	prevengo	VMIP1S0	prevenir
qe	que	CS	que
para	para	SPS00	para
ultimos	últimos	AO0MP0	último
de	de	SPS00	de
este	éste	PD0MS000	este
o	o	CC	o
primeros	primeros	AO0MP0	primero
del	del	SPS00+DA0MS0	de+el
qe	que	PR0CN000	que
biene	viene	VMIP3S0	venir
se	se	P00CN000	se
presentara	presentará	VMIF3S0	presentar
a	a	SPS00	a
u	usted	PP2CS000	usted
una	una	DI0FS0	uno
persona	persona	NCFS000	persona
de	de	SPS00	de
toda	toda	DI0FS0	todo
mi	mi	DP1CSS	mi
confianza	confianza	NCFS000	confianza
y	y	CC	y
pagara	pagará	VMIF3S0	pagar
a	a	SPS00	a
u	usted	PP2CS000	usted
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
se	se	P00CN000	se
le	le	PP3CSD00	le
deba	deba	VMSP0S0	deber
	.	Fp	.
y	Y	CC	y
a	a	SPS00	a
el	él	PP3MS000	él
mismo	mismo	RG	mismo
entregara	entregará	VMIF3S0	entregar
u	usted	PP2CS000	usted
con	con	SPS00	con
mi	mi	DP1CSS	mi
abiso	aviso	NCMS000	aviso
el	el	DA0MS0	el
Niño	niño	NCMS000	niño
	,	Fc	,
pues	pues	CS	pues
estoi	estoy	VMIP1S0	estar
bastante	bastante	RQ	bastante
cansada	cansada	VMP00SF	cansar
de	de	SPS00	de
sus	sus	DP3CP0	su
ynprudencias	imprudencias	NCFP000	imprudencia
	,	Fc	,
por	por	SPS00	por
las	las	DA0FP0	el
qe	que	PR0CN000	que
ha	ha	VAIP3S0	haber
perdido	perdido	VMP0000	perder
u	usted	PP2CS000	usted
mas	más	RC	más
qe	que	CS	que
ha	ha	VAIP3S0	haber
ganado	ganado	VMP0000	ganar
	,	Fc	,
pues	pues	CS	pues
se	se	P00CN000	se
agradecen	agradecen	VMIP3P0	agradecer
fabores	favores	NCMP000	favor
y	y	CC	y
tanbien	también	RG	también
se	sé	VMIP1S0	saber
sentir	sentir	VMN0000	sentir
agrabios	agravios	NCMP000	agravio
:	.	Fp	.
espresiones	Expresiones	NCFP000	expresión
a	a	SPS00	a
la	la	DA0FS0	el
Bicenta	Vicenta	NP00000	vicenta
	;	Fx	;
mil	mil	Z	1000
besos	besos	NCMP000	beso
a	a	SPS00	a
el	el	DA0MS0	el
Niño	niño	NCMS000	niño
	.	Fp	.
y	Y	CC	y
queda	queda	VMIP3S0	quedar
de	de	SPS00	de
u	usted	PP2CS000	usted
su	su	DP3CS0	su
affma	afectísima	NCFS000	afectísima
	.	Fp	.
Ma	María	NP00000	maría
del	del	SPS00+DA0MS0	de+el
Patrocinio	Patrocinio	NCMS000	patrocinio
ortiz	Ortiz	NP00000	ortiz
de	de	SPS00	de
tarancon	Tarancón	NP00000	tarancón
