querido	Querido	VMP00SM	querer
antolin	Antolín	NP00000	antolín
y	y	CC	y
dueño	dueño	NCMS000	dueño
de	de	SPS00	de
mi	mi	DP1CSS	mi
coracon	corazón	NCMS000	corazón
	.	Fp	.
pues	Pues	CS	pues
parece	parece	VMIP3S0	parecer
que	que	CS	que
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
mundo	mundo	NCMS000	mundo
se	se	P00CN000	se
ba	va	VMIP3S0	ir
aremetiendo	arremetiendo	VMG0000	arremeter
contra	contra	SPS00	contra
nosotros	nosotros	PP1MP000	nosotros
	.	Fp	.
pues	Pues	CS	pues
dios	Dios	NP00000	dios
nos	nos	PP1CP000	nos
de	dé	VMSP0S0	dar
paciencia	paciencia	NCFS000	paciencia
y	y	CC	y
conformacion	conformación	NCFS000	conformación
para	para	SPS00	para
llebar	llevar	VMN0000	llevar
estos	estos	DD0MP0	este
trabajos	trabajos	NCMP000	trabajo
que	que	PR0CN000	que
nos	nos	PP1CP000	nos
pasan	pasan	VMIP3P0	pasar
	.	Fp	.
pues	Pues	CS	pues
	,	Fc	,
si	si	CS	si
te	te	PP2CS000	te
parece	parece	VMIP3S0	parecer
	,	Fc	,
a	a	SPS00	a
dos	dos	Z	2
años	años	NCMP000	año
que	que	CS	que
estes	estés	VMSP2S0	estar
en	en	SPS00	en
es	ese	DD0MS0	ese
lujar	lugar	NCMS000	lugar
te	te	PP2CS000	te
puedes	puedes	VMIP2S0	poder
esaminar	examinar	VMN0000	examinar
	.	Fp	.
yo	Yo	PP1CSN00	yo
te	te	PP2CS000	te
doi	doy	VMIP1S0	dar
palabra	palabra	NCFS000	palabra
fija	fija	AQ0FS0	fijo
de	de	SPS00	de
ajuardarte	aguardarte	VMN0000+PP2CS000	aguardar+te
dos	dos	Z	2
o	o	CC	o
tres	tres	Z	3
años	años	NCMP000	año
o	o	CC	o
lo	lo	DA0NS0	el
que	que	PR0CN000	que
tu	tú	PP2CSN00	tú
cieras	quieras	VMSP2S0	querer
	.	Fp	.
pues	Pues	CS	pues
me	me	PP1CS000	me
diras	dirás	VMIF2S0	decir
si	si	CSI	si
as	has	VAIP2S0	haber
pasado	pasado	VMP0000	pasar
mejor	mejor	RC	mejor
nohe	noche	NCFS000	noche
que	que	CS	que
io	yo	PP1CSN00	yo
	,	Fc	,
pues	pues	CS	pues
yo	yo	PP1CSN00	yo
bien	bien	RG	bien
mala	mala	AQ0FS0	malo
la	la	DA0FS0	el
e	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
con	con	SPS00	con
mi	mi	DP1CSS	mi
padre	padre	NCMS000	padre
	.	Fp	.
pues	Pues	CS	pues
para	para	SPS00	para
ti	ti	PP2CSO00	ti
es	es	VSIP3S0	ser
mejor	mejor	RC	mejor
que	que	CS	que
te	te	PP2CS000	te
esamines	examines	VMSP2S0	examinar
primero	primero	RG	primero
	,	Fc	,
que	que	CS	que
io	yo	PP1CSN00	yo
firme	firme	AQ0CS0	firme
