Documento,Texto,Séc,Data,Região,Lugar
CA001,Chancelaria D. Afonso III,13,1255,Estremadura,Lisboa
CA002,Chancelaria D. Afonso III,13,1255,Estremadura,Lisboa
CA003,Chancelaria D. Afonso III,13,1260,Estremadura,Lisboa
CA004,Chancelaria D. Afonso III,13,1265,Alentejo,Monsaraz
CA005,Chancelaria D. Afonso III,13,1266,Beira Litoral,Coimbra
CA006,Chancelaria D. Afonso III,13,1269,Beira Litoral,Coimbra
CA007,Chancelaria D. Afonso III,13,1269,Estremadura,Lisboa
CA008,Chancelaria D. Afonso III,13,1269,Beira Litoral,Coimbra
CA009,Chancelaria D. Afonso III,13,1269,Alentejo,Alcântara
CA010,Chancelaria D. Afonso III,13,1270,Estremadura,Lisboa
CA011,Chancelaria D. Afonso III,13,1270,Estremadura,Lisboa
CA012,Chancelaria D. Afonso III,13,1271,Estremadura,Lisboa
CA013,Chancelaria D. Afonso III,13,1272,Estremadura,Lisboa
CA014,Chancelaria D. Afonso III,13,1272,Estremadura,Lisboa
CA015,Chancelaria D. Afonso III,13,1272,,
CA016,Chancelaria D. Afonso III,13,,Trás-os-Montes,Freixo
CA017,Chancelaria D. Afonso III,13,1273,Ribatejo,Santarém
CA018,Chancelaria D. Afonso III,13,1273,Estremadura,Lisboa
CA019,Chancelaria D. Afonso III,13,1273,Alentejo,Évora
CA020,Chancelaria D. Afonso III,13,1273,Ribatejo,Santarém
CA021,Chancelaria D. Afonso III,13,1274,Ribatejo,Santarém
CA022,Chancelaria D. Afonso III,13,1257,Douro Litoral,Arouca
CA023,Chancelaria D. Afonso III,13,1276,Estremadura,Lisboa
CA024,Chancelaria D. Afonso III,13,1277,Estremadura,Lisboa
CA025,Chancelaria D. Afonso III,13,1277,Beira Litoral,Lorvão
CA026,Chancelaria D. Afonso III,13,1278,Estremadura,Lisboa
CA027,Chancelaria D. Afonso III,13,1278,Estremadura,Lisboa
CA028,Chancelaria D. Afonso III,13,1274,Ribatejo,Santarém
CA029,Chancelaria D. Afonso III,13,1278,Estremadura,Lisboa
CA030,Chancelaria D. Afonso III,13,1278,Estremadura,Lisboa
CA031,Chancelaria D. Afonso III,13,1278,Estremadura,Lisboa
CA032,Chancelaria D. Afonso III,13,1279,Estremadura,Lisboa
CA033,Chancelaria D. Afonso III,13,1279,Estremadura,Lisboa
CA034,Chancelaria D. Afonso III,13,,Ribatejo,Abrantes
CHP001,Textos Notariais in Clíticos na História do Português,12,2ª metade  do século 12,Douro Litoral,Moreira
CHP002,Textos Notariais in Clíticos na História do Português,13,1268,Douro Litoral,Cete
CHP003,Textos Notariais in Clíticos na História do Português,13,1272,Douro Litoral,Pendorada
CHP004,Textos Notariais in Clíticos na História do Português,13,1273,Douro Litoral,Pedroso
CHP005,Textos Notariais in Clíticos na História do Português,13,1273,Douro Litoral,Mouriz
CHP006,Textos Notariais in Clíticos na História do Português,13,1275,Beira Litoral,Sabugal
CHP007,Textos Notariais in Clíticos na História do Português,13,1277,Minho,Guimarães
CHP008,Textos Notariais in Clíticos na História do Português,13,1277,Douro Litoral,Benviver
CHP009,Textos Notariais in Clíticos na História do Português,13,1278,Beira Alta,Lafões
CHP010,Textos Notariais in Clíticos na História do Português,13,1278,Douro Litoral,Igreja
CHP011,Textos Notariais in Clíticos na História do Português,13,1278,Beira Alta,S Martinho de Mateus
CHP012,Textos Notariais in Clíticos na História do Português,13,1278,Douro Litoral,Cete
CHP013,Textos Notariais in Clíticos na História do Português,13,1279,Douro Litoral,Cete
CHP014,Textos Notariais in Clíticos na História do Português,13,1279,Douro Litoral,Pedroso
CHP015,Textos Notariais in Clíticos na História do Português,13,1279,Douro Litoral,Gaia
CHP016,Textos Notariais in Clíticos na História do Português,13,1279,Douro Litoral,Gaia
CHP017,Textos Notariais in Clíticos na História do Português,13,1282,Douro Litoral,Maia
CHP018,Textos Notariais in Clíticos na História do Português,13,1285,Douro Litoral,Ansede
CHP019,Textos Notariais in Clíticos na História do Português,13,1287,Douro Litoral,Maia
CHP020,Textos Notariais in Clíticos na História do Português,13,1287,Douro Litoral,Vilarinho
CHP021,Textos Notariais in Clíticos na História do Português,13,1288,Minho,Guimarães
CHP022,Textos Notariais in Clíticos na História do Português,13,1289,Minho,Guimarães
