Filename,Author,Title,Century,Year
anchieta1560,José de Anchieta,Feitos de Mem de Sá,16,1560-1562
anchieta1586,José de Anchieta,Auto de Sao Lourenco,16,1586
barros1540,Joao de Barros,Gramática,16,1540
caminha1500,Pero Vaz de Caminha,Carta a Manuel I,16,1500
camoes1572,Luis de Camoes,Os Lusíadas,16,1572
camoes16th,Luís de Camoes,Sonetos,16,-
faria16th,Manuel Severim de Faria,Discursos de Vários Políticos,16,-
gandavo1576,Pero de Magalhaes Gandavo,História da Província Santa Cruz,16,1576
guerreiro16th,Fracncisco Guerreiro,Itinerário da Viagem que Fez a Jerusalém o M.R.P.,16,-
holanda1548,Francisco de Holanda,Da Pintura Antiga,16,1548
pinto1510,Fernao Mendes Pinto,Peregrinacao,16,1510
sousa1556,Luis de Sousa,A Vida de Frei Bartolomeu dos Mártires (Edited Orthography),16,1556
vicente16th,Gil Vicente,Mixed Texts,16,-
almeida1633,Manuel Pires de Almeida,Poesia e Pintura,17,1633
almeida17th,Manuel de Almeida,Vida de Takla Haymanot,17,-
barbosa1691,Vicente Barbosa,Compendio da Relaçam Que Veyo da India o Anno de 1691,17,1691
brandao1632,Antonio Brandao,Monarchia Lusitana,17,1632
brochado17th,José da Cunha Brochado,Cartas,17,-
chagas1687,Antonio das Chagas,Obras Espirituais II,17,1687
costa1652,Manuel da Costa,A Arte de Furtar,17,1652
galhegos1641,Manuel de Galhegos,Gazeta,17,1641-1647
lobo1619,Francisco Rodrigues Lobo,Corte da Aldeia e Noites de Inverno,17,1619
matos17th1,Gregorio de Matos,Mixed Texts (Part 1),17,-
matos17th2,Gregorio de Matos,Mixed Texts (Part 2),17,-
melo1650,Francisco Manuel de Melo,Tácito Portugues,17,1650
vieira1640,Padre Antonio Vieira,Sermao pelo Bom Sucesso das Armas de Portugal contra as de Holanda,17,1640
vieira1642,Padre Antonio Vieira,Sermao dos Bons Anos,17,1642-1644
vieira1655,Padre Antonio Vieira,Sermao da Sexagésima,17,1655
vieira1657,Padre Antonio Vieira,Sermao do Espírito Santo,17,1657
vieira1670,Padre Antonio Vieira,Cartas,17,1646-1670
vieira17th,Padre Antonio Vieira,Cartas,17,-
aires1752,Matias Aires,Reflexoes Sobre a Vaidade dos Homens,18,1752
botelho1705,Manoel Botelho de Oliveira,À Ilha da Maré,18,1705
garcao18th,Pedro Correia Garcao,Obras Completas,18,-
ortas1777,Teresa Margarida da Silva e Ortas,Aventuras de Diófanes,18,1777
sanches1760,António Nunes Ribeiro Sanches,Cartas Sobre a Educacao da Mocidade,18,1760
silva1733,Antonio José da Silva,Vida do Grande D. Quixote de La Mancha e do Gordo Sancho Panca,18,1733
silva1734,Antonio José da Silva,Esopaida ou Vida de Esopo,18,1734
silva1735,Antonio José da Silva,Os Encantos de Medeia,18,1735
silva1736,Antonio José da Silva,Anfitriao ou Jupiter e Alcmena,18,1736
silva1736b,Antonio José da Silva,O Labirinto de Creta,18,1736
silva1737,Antonio José da Silva,As Verdades de Proteu,18,1737
silva1737b,Antonio José da Silva,Guerras do Alecrim e da Manjerona,18,1737
silva1738,Antonio José da Silva,Precipício de Faetonte,18,1738
verney1746,Luis Antonio Verney,O Verdadeiro Método de Estudar,18,1746
abreu1856,Casimiro de Abreu,Carolina,19,1856
alencar1857,José de Alencar,O Guarani,19,1857
alencar1862,José de Alencar,Lucíola,19,1862
alencar1865,José de Alencar,Iracema,19,1865
alencar1875,José de Alencar,Senhora,19,1875
almeida1852,Manuel Antonio de Almeida,Memórias de um Sargento de Milícias,19,1852
alves1870,Castro Alves,Espumas Flutuantes,19,1870
azevedo1855,Álvares de Azevedo,Noite na Taverna,19,1855
azevedo1882,Aluísio Azevedo,A Condeca Vésper ou Memórias de um Condenado,19,1882
azevedo1882b,Aluisio Azevedo,Girandula de Amores ou Mistério da Tijuca,19,1882
azevedo1884,Aluisio Azevedo,Casa de Pensao,19,1884
azevedo1884b,Aluisio Azevedo,Filomena Borges,19,1884
azevedo1890,Aluisio Azevedo,O Cortico,19,1890
azevedo1894,Aluisio Azevedo,A Mortalha de Alzira,19,1894
azevedo1895,Aluisio Azevedo,O Livro de uma Sogra,19,1895
caminha1893,Adolfo Caminha,A Normalista,19,1893
caminha1894,Adolfo Caminha,No País dos Ianques,19,1894
caminha1895,Adolfo Caminha,Bom Crioulo,19,1895
caminha1896,Adolfo Caminha,Tentacao,19,1896
garrett1846,Almeida Garrett,Viagens na Minha Terra,19,1846
macedo1811,José Agostinho de Macedo,Sermao Contra o Filosofismo do Séeculo XIX,19,1811
macedo1844,Joaquim Manuel de Macedo,A Moreninha,19,1844
macedo1878,Joaquim Manuel de Macedo,Memórias da Rua do Ouvidor,19,1878
machado1876,Machado de Assis,Helena,19,1876
machado1878,Machado de Assis,Iaiá Garcia,19,1878
machado1881,Machado de Assis,Memórias Póstumas de Brás Cubas,19,1881
machado1885,Machado de Assis,Casa Velha,19,1885
machado1891,Machado de Assis,Quincas Borba,19,1891
machado1899,Machado de Assis,Dom Casmurro,19,1899
nabuco1883,Joaquim Nabuco,O Abolicionismo,19,1883
pompeia1888,Raul Pompeia,O Ateneu,19,1888
queiroz1875,Eca de Queiroz,O Crime do Padre Amaro,19,1875
queiroz1878,Eca de Queiroz,O Primo Basílio,19,1878
queiroz1887,Eca de Queiroz,A Relíquia,19,1887
queiroz1888,Eca de Queiroz,Os Maias,19,1888
queiroz1900,Eca de Queiroz,A Ilustre Casa de Ramires,19,1900
taunay1872,Visconde de Taunay,Inocencia,19,1872
almeida1901,Julia Lopes de Almeida,A Falencia,20,1901
almeida1905,Julia Lopes de Almeida,A Intrusa,20,1905
almeida1921,Fialho de Almeida,Aves Migradoras,20,1921
barreto1915,Lima Barreto,O Triste Fim de Policarpo Quaresma,20,1915
barreto1920,Lima Barreto,O Cemitério dos Vivos,20,1920
barreto1948,Lima Barreto,Clara dos Anjos,20,1948
cunha1902,Euclídes da Cunha,Os Sertoes,20,1902
dumont1918,Santos Dumont,"O Que Eu Vi, o Que Nós Veremos",20,1918
machado1904,Machado de Assis,Esaú e Jacó,20,1904
machado1908,Machado de Assis,Memorial de Aires,20,1908
machado1927,Antonio de Alcantara Machado,"Brás, Bixiga e Barra Funda",20,1927
machado1936,Antonio de Alcantara Machado,Mana Maria,20,1936
rocha1910,Lindolfo Rocha,Maria Dusá,20,1910
