ID,Archive,Year,Type,Topic,Origin,Destination,Author,Addressee,Keywords
CARDS2146,Arquivo Nacional da Torre do Tombo,1584,particular,denúncia,"Portugal, Lamego",S.l.,Paulo Vieira,Anónimo357,
CARDS2149,Arquivo Nacional da Torre do Tombo,1584,particular,confissão,"Portugal, Esgueira, Mesa do Vouga","Portugal, Coimbra",Jorge Moreira,Anónimo541,"Sexo,Inquisición,Imprenta,Criados"
CARDS2150,Arquivo Nacional da Torre do Tombo,1585,particular,pedido,"Portugal, Esgueira, Mesa do Vouga","Portugal, Coimbra",Jorge Moreira,Jerónimo Pinto,"Inquisición,Pecado,Fautoría"
CARDS2253,Arquivo Nacional da Torre do Tombo,1591,familiar,acusação,"Portugal, Lisboa, Oeiras","América, Brasil, Pernambuco, Paraíba",Vicência Jorge,Jerónimo Monteiro,"Brasil,Falsificación,Testigos"
CARDS2254,Arquivo Nacional da Torre do Tombo,1562,particular,conselho,"Portugal, Lisboa",S.l.,Adão Correia,Anónimo236,"Estafa,Documentación,Falsificación,Justicia,Dinero"
CARDS2257,Arquivo Nacional da Torre do Tombo,1591,particular,notícias,"Portugal, Lisboa","América, Brasil, São Salvador da Bahia",Henrique Nunes Correia,João Nunes,"Brasil,Comercio,Justicia,Espiritualidad,Viajes"
CARDS4006,Arquivo Nacional da Torre do Tombo,1592,familiar,ordem,"América, Brasil, Pernambuco, Olinda",S.l.,Diogo Nunes,João Nunes,"Brasil,Comercio,Esclavos,Justicia,Judaísmo,Objetos religiosos"
PS0501,Arquivo Nacional da Torre do Tombo,1568,particular,participação,"Portugal, Évora",S.l.,Francisco Miranda,Arcebispo de Évora,"Conspiración,Prisión,Testigos,Comunicación"
PS1027,Arquivo Nacional da Torre do Tombo,1598,particular,pedido,"Portugal, Évora","Portugal, Évora",António de Castro,João Leitão,"Confesor,Ayuda"
PS1028,Arquivo Nacional da Torre do Tombo,1598,particular,pedido,"Portugal, Lisboa","Portugal, Évora",Manuel Gonçalves,João Leitão,"Ayuda,Alimentos"
PS1039,Arquivo Nacional da Torre do Tombo,1594-1595,familiar,confissão,S.l.,,Isabel Gomes de Leão,Rafaela de Santo António,Familia
PS1095,Archivo General de Simancas,1580-1600,particular,notícias,"España, Reino de Castilla","Portugal, Coimbra, Miranda do Corvo, Convento de Santa Maria de Semide",Filipa de Jesus de Portugal,Constança de Noronha,"Salud,Convento,Escritura"
PS1097,Archivo General de Simancas,1580-1600,particular,pedido,S.l.,"Portugal, Coimbra, Miranda do Corvo, Convento de Santa Maria de Semide",Filipa de Jesus de Portugal,Pablo de Mendonça,"Fautoría,Exilio,Correspondencia"
PS1098,Archivo General de Simancas,1580-1600,ami.,queixa,S.l.,"Portugal, Coimbra, Miranda do Corvo, Convento de Santa Maria de Semide",Filipa de Jesus de Portugal,Marta de Alpoim,"Cautivos,Añoranza,Enfermedad,Correspondencia,Familia,Clausura"
PS1099,Archivo General de Simancas,1580-1600,particular,pedido,S.l.,S.l.,Filipa de Jesus de Portugal,Jerónimo Botelho,"Ayuda,Clausura,Enfermedad,Pobreza"
PS1100,Archivo General de Simancas,1580-1600,particular,queixa,S.l.,"Portugal, Coimbra, Miranda do Corvo, Convento de Santa Maria de Semide",Filipa de Jesus de Portugal,Marta de Alpoim,"Añoranza,Clausura,Correspondencia,Salud,Familia"
PS1566,Arquivo Nacional da Torre do Tombo,1598,particular,informação,"Portugal, Viana, Ponte de Lima","Portugal, Braga",Cristóvão Cardoso,Afonso de Guimarães,"Denuncia,Penitencia,Justicia"
PS2512,Arquivo Nacional da Torre do Tombo,1599,particular,pedido,"Portugal, Coimbra","Portugal, Lisboa, Convento de São Francisco",Batista,Simão Batista,"Convento,Pecado,Prostitución,Adulterio,Denuncia"
PS2513,Arquivo Nacional da Torre do Tombo,1599,particular,pedido,"Portugal, Coimbra","Portugal, Lisboa, Convento de Nossa Senhora de Jesus",Batista,Marcos da Trindade,"Pecado,Convento,Franciscanos,Prostitución,Ofensas"
PS2514,Arquivo Nacional da Torre do Tombo,1599,particular,pedido,"Portugal, Évora","Portugal, Lisboa, Convento de São Francisco",Vicente Borges,Rodrigo de Santa Catarina,"Convento,Franciscanos,Mudanza,Suplantación,Merced,Limosna"
PS2517,Arquivo Nacional da Torre do Tombo,1592,familiar,notícias,Madeira,"América, Brasil, Bahia",Inês Fernandes,João Gonçalves,"Familia,Préstamo,Pobreza,Viajes,Ayuda"
PS2518,Arquivo Distrital de Braga,1579,particular,notícias,"Portugal, Guimarães, Ribeira de Pena, Santa Marinha","Portugal, Braga",Manuel Rebelo,Marcos Brás,"Conflicto,Clero,Reproches,Parroquia"
PSCR0001,Arquivo Nacional da Torre do Tombo,1542,familiar,pedido,"Flandres, Antuérpia","Portugal, Lisboa",Diogo Fernandes,Mécia Gomes,"Flandes,Familia,Comercio,Moneda,Bienes"
PSCR0002,Arquivo Nacional da Torre do Tombo,1542,familiar,pedido,"Flandres, Antuérpia","Portugal, Tavira",Fernão Dias,Diogo Dias,"Flandes,Familia,Comercio,Viajes"
PSCR0003,Arquivo Nacional da Torre do Tombo,1542,particular,pedido,"Flandres, Antuérpia","Portugal, Faro",António Fernandes,Diogo Duarte,"Flandes,Negocios,Justicia,Comercio,Deudas,Bienes"
PSCR0004,Arquivo Nacional da Torre do Tombo,1542,particular,notícias,"Flandres, Antuérpia","Portugal, Lisboa",Fabião Rodrigues,Bastião Fernandes,"Flandes,Deudas,Comercio,Correspondencia,Bienes,Negocios"
PSCR0005,Arquivo Nacional da Torre do Tombo,1542,familiar,notícias,"Inglaterra, Londres","Portugal, Tavira",Álvaro Rodrigues,Fernão Luís,"Flandes,Familia,Correspondencia,Comercio"
PSCR0006,Arquivo Nacional da Torre do Tombo,1542,familiar,notícias,"Inglaterra, Londres","Portugal, Tavira",Álvaro Rodrigues,Pero Luís,"Flandes,Familia,Comercio"
PSCR0007,Arquivo Nacional da Torre do Tombo,1542,familiar,notícias,"Flandres, Antuérpia","Portugal, Lisboa",António Fernandes,Gabriel Fernandes,"Flandes,Comercio,Negocios,Familia,Viajes"
PSCR0008,Arquivo Nacional da Torre do Tombo,1543,ami.,informação,S.l.,S.l.,João de Vasconcelos e Menezes,Anónimo126,"Amistad,Alhajas,Nobleza"
PSCR0009,Arquivo Nacional da Torre do Tombo,1500-1599,particular,informação,S.l.,S.l.,Violante de Castro,Santantónio,Correspondencia
PSCR0010,Arquivo Nacional da Torre do Tombo,1500-1599,particular,notícias,"Portugal, Lisboa",França,Palleiron,Anónima31,"Familia,Fuga,Comercio,Alhajas"
PSCR0011,Arquivo Nacional da Torre do Tombo,1567,particular,notícias,"Flandres, Antuérpia","Inglaterra, Londres",Diogo Gomes,Rui Lopes,"Flandes,Comercio,Viajes,Justicia,Deudas"
PSCR0012,Arquivo Nacional da Torre do Tombo,1545,familiar,notícias,S.l.,S.l.,Margarida de Alcáçova,Pedro de Acáçova Carneiro,"Familia,Enfermedad"
PSCR0013,Arquivo Nacional da Torre do Tombo,1545,familiar,notícias,S.l.,S.l.,Margarida de Alcáçova,Pedro de Acáçova Carneiro,"Familia,Disculpas,Presentes,Alimentos"
PSCR0014,Arquivo Nacional da Torre do Tombo,1534-1537,,notícias,"África, Marrocos, Azamor",S.l.,Dom Álvaro de Abranches,Henrique Vieira,"Negocios,Administración,Comercio,Miguel I de Portugal"
PSCR0015,Arquivo Nacional da Torre do Tombo,1530,familiar,notícias,"França, Paris","Portugal, Lisboa",Gaspar Preve,Maria Ruões,"Familia,Mobiliario,Vida cotidiana"
PSCR0016,Arquivo Nacional da Torre do Tombo,1593,familiar,notícias,"Portugal, Miranda, Mogadouro","España, Jaén",Gaspar Pereira,Henrique Pereira,"Familia,Negocios,Comunicación,Vida cotidiana"
PSCR0017,Arquivo Nacional da Torre do Tombo,1593,familiar,notícias,"Portugal, Miranda, Mogadouro","España, Jaén",Francisco Fernandes,António Fernandes,"Familia,Negocios,Vida cotidiana"
PSCR0018,Arquivo Nacional da Torre do Tombo,1593,familiar,notícias,"Portugal, Miranda, Mogadouro","España, Jaén",Luís Nunes,António Machado,"Familia,Negocios,Vida cotidiana"
PSCR0019,Arquivo Nacional da Torre do Tombo,1593,familiar,notícias,"Portugal, Miranda, Mogadouro","España, Jaén",Gaspar Pereira,Henrique Pereira,"Familia,Negocios,Comunicación,Vida cotidiana"
PSCR0020,Arquivo Nacional da Torre do Tombo,1556,particular,instruções,"América, Brasil, Salvador da Bahia","Portugal, Lisboa",Rodrigo de Freitas,Leonor de Vada,"Brasil,Viajes,Familia,Justicia,Vida cotidiana"
PSCR0021,Arquivo Nacional da Torre do Tombo,1554,particular,notícias,S.l.,S.l.,Francisco Martins,Anónimo303,"Familia,Negocios,Comunicación,Vida cotidiana"
PSCR0022,Arquivo Nacional da Torre do Tombo,1554,familiar,notícias,S.l.,S.l.,Anónima45,Anónimo305,"Familia,Negocios,Comunicación,Vida cotidiana,Añoranza"
PSCR0023,Arquivo Nacional da Torre do Tombo,1522,familiar,notícias,"Portugal, Lisboa",S.l.,Adriano de Borgue,Filipe de Borgue,"Comercio,Mercancías,Allanamiento,Negocios,Viajes"
PSCR0024,Arquivo Nacional da Torre do Tombo,1520,particular,informação,"Portugal, Elvas","Portugal, Tomar, Penela",Diogo Velho,Gonçalo Álvares,"Agricultura,Negocios,Cereales,Correspondencia"
PSCR0025,Arquivo Nacional da Torre do Tombo,1516,particular,notícias,"Portugal, Lisboa","Portugal, Santarém, Almeirim",Valentim Fernandes,António Fernandes,"Esclavos,Compraventa,Bienes"
PSCR0026,Arquivo Nacional da Torre do Tombo,1542,familiar,notícias,"Flandres, Antuérpia","Portugal, Lisboa",Jorge,Jorge Henriques,"Medicina,Enfermedad,Cautivos,Armas"
PSCR0027,Arquivo Nacional da Torre do Tombo,1563,particular,informação,"Portugal, Elvas",S.l.,António Pereira,António de Gouveia,"Prueba,Adulterio,Falsificación,Correspondencia"
PSCR0028,Arquivo Nacional da Torre do Tombo,1568,particular,informação,"Portugal, Évora","Portugal, Elvas",Gonçalo Nunes,Fernão Martins,"Inquisición,Denuncia,Justicia,Secretos"
PSCR0029,Arquivo Nacional da Torre do Tombo,1568,familiar,conselho,"Portugal, Elvas",S.l.,Gonçalo Nunes,Guiomar Fernandes,"Inquisición,Denuncia,Justicia,Consejos,Absolución,Ayuda"
PSCR0041,Arquivo Nacional da Torre do Tombo,1576,particular,notícias,"Portugal, Lisboa",S.l.,Manuel Leitão,Diogo Lopes de Seia,"Prisión,Amistad,Correspondencia,Comunicación"
PSCR0042,Arquivo Nacional da Torre do Tombo,1576,particular,pedido,"Portugal, Lisboa",S.l.,Manuel Leitão,Álvaro Mendes,"Prisión,Amistad,Correspondencia,Comunicación"
PSCR0043,Arquivo Nacional da Torre do Tombo,1576,particular,queixa,"Portugal, Lisboa",S.l.,Manuel Leitão,Álvaro Mendes,"Prisión,Amistad,Correspondencia,Comunicación"
PSCR0044,Arquivo Nacional da Torre do Tombo,1567,particular,informação,"Portugal, Castelo Branco, Penamacor","Portugal, Coimbra",Belchior Martins de Carvalho,Dom Manuel de Quadros,"Testigos,Sospechas,Blasfemia"
PSCR0045,Arquivo Nacional da Torre do Tombo,1593,particular,pedido,"Portugal, Porto","Portugal, Setúbal",Domingos Coelho,Fernão Rodrigues,"Familia,Adulterio,Ayuda"
PSCR0046,Arquivo Nacional da Torre do Tombo,1593,familiar,pedido,"Portugal, Porto","Portugal, Setúbal",Domingos Coelho,Mécia Gomes,"Familia,Ayuda,Adulterio"
PSCR0047,Arquivo Nacional da Torre do Tombo,1576,familiar,notícias,"Índia, Cochim","Portugal, Lisboa",Julião da Costa,Maria de Almada,"Familia,Convento,Comercio,Viajes"
PSCR0048,Arquivo Nacional da Torre do Tombo,1576,familiar,conselho,"Índia, Cochim","Portugal, Lisboa",Julião da Costa,Francisca da Costa,"Familia,Convento,Viajes"
PSCR0049,Arquivo Nacional da Torre do Tombo,1577,amor,expressão de amor,"Portugal, Lisboa","Italia, Ferrara",Anónima42,Anónimo261,"Familia,Correspondencia,Añoranza,Matrimonio,Peste"
PSCR0050,Arquivo Nacional da Torre do Tombo,1565,particular,pedido,"Portugal, Lisboa","Portugal, Lisboa",Pero de Borgonha,Anónima56,"Propiedades,Dinero,Negocios"
PSCR0051,Arquivo Nacional da Torre do Tombo,1565,particular,informação,"Portugal, Lisboa","Portugal, Lisboa",Vicente Mendes,Anónima56,"Propiedades,Obras,Vivienda,Negocios"
