Senhor	Senhor		
	.		
por	Por	SPS00	por
alguas	algumas	DI0FP0	algum
vezes	vezes	NCFP000	vez
tenho	tenho	VAIP1S0	ter
pedido	pedido	VMP0000	pedir
he	e	CC	e
Rogado	rogado	VMP0000	rogar
muito	muito	RQ	muito
a	a	SPS00	a
vm	VM	NP00000	VM
me	me	PP1CS000	me
deixe	deixe	VMSP0S0	deixar
	.	Fp	.
veio	Veio	VMIS3S0	vir
vm	VM	NP00000	VM
porsegir	prosseguir	VMN0000	prosseguir
cõ	com	SPS00	com
sua	sua	DP3FS0	seu
teima	teima	NCFS000	teima
afromtando me	afrontando-me	VMG0000+PP1CS000	afrontar+me
	,	Fc	,
desomRandome	desonrando-me	VMG0000+PP1CS000	desonrar+me
	,	Fc	,
aquanhandome	acanhando-me	VMG0000+PP1CS000	acanhar+me
	,	Fc	,
fazẽdo	fazendo	VMG0000	fazer
a	a	SPS00	a
cada	cada	DI0CN0	cada
quanto	canto	NCMS000	canto
audiensias	audiências	NCFP000	audiência
de	de	SPS00	de
mĩ	mim	PP1CSO00	mim
	,	Fc	,
asi	assim	RG	assim
cõ	com	SPS00	com
palavras	palavras	NCFP000	palavra
como	como	CS	como
cõ	com	SPS00	com
cartas	cartas	NCFP000	carta
a	a	SPS00	a
quẽ	quem	PR0CN000	quem
quer	quer	VMIP3S0	querer
	.	Fp	.
lembrolhe	Lembro-lhe	VMIP1S0+PP3CSD00	lembrar+lhe
	,	Fc	,
como	como	SPS00	como
amigo	amigo	NCMS000	amigo
	,	Fc	,
que	que	CS	que
hũ	um	DI0MS0	um
homẽ	homem	NCMS000	homem
que	que	PR0CN000	que
ãda	anda	VMIP3S0	andar
cõ	com	SPS00	com
os	os	DA0MP0	o
demonios	demónios	NCMP000	demónio
he	é	VSIP3S0	ser
apartado	apartado	VMP00SM	apartar
de	de	SPS00	de
deos	Deus	NP00000	deus
he	e	CC	e
cõ	com	SPS00	com
as	as	DA0FP0	o
esperansas	esperanças	NCFP000	esperança
perdidas	perdidas	VMP00PF	perder
de	de	SPS00	de
tam	tão	RC	tão
sedo	cedo	RG	cedo
tornar	tornar	VMN0000	tornar
para	para	SPS00	para
hele	Ele	PP3MS000	ele
	.	Fp	.
não	Não	RN	não
lhe	lhe	PP3CSD00	lhe
fasa	faça	VMSP0S0	fazer
ho	o	DA0MS0	o
demonio	demónio	NCMS000	demónio
fazer	fazer	VMN0000	fazer
cousas	coisas	NCFP000	coisa
cõ	com	SPS00	com
que	que	PR0CN000	que
ho	o	DA0MS0	o
diabo	diabo	NCMS000	diabo
ande	ande	VMSP0S0	andar
cõ	com	SPS00	com
vm	VM	NP00000	VM
he	e	CC	e
cõ	com	SPS00	com
hele	ele	PP3MS000	ele
he	e	CC	e
cõ	com	CC	e
tudo	tudo	PI0NN000	tudo
,	.	PI0NN000	tudo
não	Não	RN	não
tem	tem	VMIP3S0	ter
nesesidade	necessidade	NCFS000	necessidade
de	de	SPS00	de
se	se	P00CN000	se
doer	doer	VMN0000	doer
de	de	SPS00	de
mĩ	mim	PP1CSO00	mim
nẽ	nem	CCN	nem
a	a	DA0FS0	o
prima	prima	NCFS000	primo
	,	Fc	,
que	que	CS	que
nẽ	nem	CCN	nem
eu	eu	PP1CSN00	eu
quero	quero	VMIP1S0	querer
Remedio	remédio	NCMS000	remédio
se	se	CS	se
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
mão	mão	NCFS000	mão
me	me	PP1CS000	me
a	há	VMIP3S0	haver
de	de	SPS00	de
vir	vir	VMN0000	vir
	.	Fp	.
ho	O	DA0MS0	o
que	que	PR0CN000	que
so	só	RF	só
quero	quero	VMIP1S0	querer
he	é	VSIP3S0	ser
que	que	CS	que
vm	VM	NP00000	VM
	,	Fc	,
cõ	com	SPS00	com
muita	muita	DI0FS0	muito
deligensia	diligência	NCFS000	diligência
	,	Fc	,
fasa	faça	VMSP0S0	fazer
suas	suas	DP3FP0	seu
cõtas	contas	NCFP000	conta
he	e	CC	e
mas	mas	PP1CS000+PP3FPA00	me+o
mãde	mande	VMSP0S0	mandar
terladadas	trasladadas	VMP00PF	trasladar
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
he	e	CC	e
que	que	PR0CN000	que
deve	deve	VMIP3S0	dever
em	em	SPS00	em
portugal	Portugal	NP00000	portugal
he	e	CC	e
eu	eu	PP1CSN00	eu
devo	devo	VMIP1S0	dever
no	no	SPS00+DA0MS0	em+o
brazil	Brasil	NP00000	brasil
he	e	CC	e
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
entregei	entreguei	VMIS1S0	entregar
he	e	CC	e
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
me	me	PP1CS000	me
deixou	deixou	VMIS3S0	deixar
	.	Fp	.
he	E	CC	e
	,	Fc	,
feito	feito	VMP00SM	fazer
isto	isto	PD0NN000	isto
	,	Fc	,
se	se	CS	se
se	se	P00CN000	se
achar	achar	VMSF0S0	achar
que	que	CS	que
a	há	VMIP3S0	haver
dinheiro	dinheiro	NCMS000	dinheiro
para	para	SPS00	para
eu	eu	PP1CSN00	eu
pagar	pagar	VMN0000	pagar
ho	o	DA0MS0	o
que	que	PR0CN000	que
devo	devo	VMIP1S0	dever
no	no	SPS00+DA0MS0	em+o
brazil	Brasil	NP00000	brasil
	,	Fc	,
me	me	PP1CS000	me
de	dê	VMSP0S0	dar
divedas	dúvidas	NCFP000	dívida
para	para	SPS00	para
as	as	PP3FPA00	o
eu	eu	PP1CSN00	eu
cobrar	cobrar	VMN0000	cobrar
he	e	CC	e
cõ	com	SPS00	com
helas	elas	PP3FP000	ele
pagar	pagar	VMN0000	pagar
o	o	DA0MS0	o
que	que	PR0CN000	que
devo	devo	VMIP1S0	dever
-	.	Fp	.
não	Não	RN	não
quero	quero	VMIP1S0	querer
de	de	SPS00	de
vm	VM	NP00000	VM
outra	outra	DI0FS0	outro
cousa	coisa	NCFS000	coisa
	,	Fc	,
nũqua	nunca	RN	nunca
a	a	PP3FSA00	o
pertendi	pretendi	VMIS1S0	pretender
	.	Fp	.
pezame	Pesa-me	VMIP1S0+PP1CS000	pesar+me
fazer	fazer	VMN0000	fazer
vm	VM	NP00000	VM
a	a	SPS00	a
tantos	tantos	DI0MP0	tanto
verdadeiros	verdadeiros	AQ0MP0	verdadeiro
	,	Fc	,
asi	assim	RG	assim
em	em	SPS00	em
portugal	Portugal	NP00000	portugal
como	como	CS	como
no	no	SPS00+DA0MS0	em+o
brazil	Brasil	NP00000	brasil
	,	Fc	,
mas	mas	CC	mas
como	como	CS	como
sempre	sempre	RG	sempre
me	me	PP1CS000	me
defendi	defendi	VMIS1S0	defender
cõ	com	SPS00	com
todos	todos	PI0MP000	todo
cõ	com	SPS00	com
dizer	dizer	VMN0000	dizer
que	que	CS	que
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
queria	queria	VMII0S0	querer
nada	nada	PI0NN00N	nada
	,	Fc	,
nẽ	nem	CCN	nem
me	me	PP1CS000	me
pertendia	pretendia	VMII0S0	pretender
	,	Fc	,
me	me	PP1CS000	me
satisfaso	satisfaço	VMIP1S0	satisfazer
	.	Fp	.
isto	Isto	PD0NN000	isto
fasa	faça	VMSP0S0	fazer
vm	VM	NP00000	VM
cõ	com	SPS00	com
muita	muita	PI0FS000	muito
brevidade	brevidade	NCFS000	brevidade
porque	porque	CS	porque
	,	Fc	,
não	não	RN	não
avendo	havendo	VMG0000	haver
cõ	com	SPS00	com
que	que	CS	que
eu	eu	PP1CSN00	eu
posa	possa	VMSP0S0	poder
pagar	pagar	VMN0000	pagar
o	o	DA0MS0	o
que	que	PR0CN000	que
devo	devo	VMIP1S0	dever
	,	Fc	,
saberei	saberei	VMIF1S0	saber
ho	o	DA0MS0	o
que	que	PR0CN000	que
ei	hei	VMIP1S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
	.	Fp	.
