Prometi	Prometi	VMIS1S0	prometer
a	a	SPS00	a
vm	VM	NP00000	VM
que	que	CS	que
	,	Fc	,
pasade	passado	VMP00SM	passar
ontem	ontem	RG	ontem
	,	Fc	,
escreveria	escreveria	VMIC0S0	escrever
o	o	DA0MS0	o
como	como	PA000000	como
procedia	procedia	VMII0S0	proceder
balthesar	Baltasar	NP00000	baltasar
de	de	SPS00	de
lima	Lima	NP00000	lima
cõ	com	SPS00	com
a	a	DA0FS0	o
poenetencia	penitência	NCFS000	penitência
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
derão	deram	VMIS3P0	dar
	,	Fc	,
pera	para	SPS00	para
avisar	avisar	VMN0000	avisar
aos	aos	SPS00+DA0MP0	a+o
snres	senhores	NP00000	senhor
do	do	SPS00+DA0MS0	de+o
sancto	Santo	NP00000	santo
oficio	Ofício	NP00000	ofício
.	.	Fp	.
elle	Ele	PP3MS000	ele
se	se	P00CN000	se
vem	vem	VMIP3S0	vir
meter	meter	VMN0000	meter
aos	aos	SPS00+DA0MP0	a+o
domingos	domingos	NP00000	domingos
em	em	SPS00	em
hũ	um	DI0MS0	um
cãto	canto	NCMS000	canto
de	de	SPS00	de
hũa	uma	DI0FS0	um
capella	capela	NCFS000	capela
que	que	PR0CN000	que
esta	está	VMIP3S0	estar
no	no	SPS00+DA0MS0	em+o
cruzeiro	cruzeiro	NCMS000	cruzeiro
	,	Fc	,
a	à	SPS00+DA0FS0	a+o
mão	mão	NCFS000	mão
direita	direita	AQ0FS0	direito
em	em	SPS00	em
se	se	P00CN000	se
abrindo	abrindo	VMG0000	abrir
a	a	DA0FS0	o
igreja	igreja	NCFS000	igreja
,	,	Fc	,
aonde	onde	PA000000	onde
o	o	PP3MSA00	o
não	não	RN	não
vem	veem	VMIP3P0	ver
senão	senão	CC	senão
os	os	DA0MP0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
fiquã	ficam	VMIP3P0	ficar
diante	diante	RG	diante
,	.	RG	diante
emtra	Entra	VMIP3S0	entrar
e	e	CC	e
sai	sai	VMIP3S0	sair
,	,	Fc	,
e	e	CC	e
esta	está	VMIP3S0	estar
cõ	com	SPS00	com
o	o	DA0MS0	o
abito	hábito	NCMS000	hábito
cuberto	coberto	VMP00SM	cobrir
,	,	Fc	,
bolando	bolando	VMG0000	bolar
per	por	SPS00	por
cima	cima	RG	cima
delle	dele	SPS00+PP3MS000	de+ele
a	a	DA0FS0	o
ponta	ponta	NCFS000	ponta
da	da	SPS00+DA0FS0	de+o
capa	capa	NCFS000	capa
	,	Fc	,
que	que	PR0CN000	que
he	é	VSIP3S0	ser
mto	muito	RQ	muito
grande	grande	AQ0CS0	grande
,	.	AQ0CS0	grande
em	Em	SPS00	em
casa	casa	NCFS000	casa
	,	Fc	,
não	não	RN	não
no	no	PP3MSA00	o
tras	traz	VMIP3S0	trazer
e	e	CC	e
os	os	DA0MP0	o
mais	mais	RC	mais
dos	dos	SPS00+DA0MP0	de+o
dias	dias	NCMP000	dia
o	o	PP3MSA00	o
vejo	vejo	VMIP1S0	ver
falar	falar	VMN0000	falar
na	na	SPS00+DA0FS0	em+o
logea	loja	NCFS000	loja
cõ	com	SPS00	com
mtos	muitos	DI0MP0	muito
christaos novos	cristãos-novos	NCMP000	cristão-novo
sem	sem	SPS00	sem
