snors	Senhores	NP00000	senhor
	.	Fp	.
eu	Eu	PP1CSN00	eu
	,	Fc	,
como	como	CS	como
quer	quer	VMIP3S0	querer
q	que	CS	que
são	são	VSIP3P0	ser
cristão velho	cristão-velho	NCMS000	cristão-velho
e	e	CC	e
me	me	PP1CS000	me
doy	dou	VMIP1S0	dar
minha	minha	DP1FSS	meu
nesta	nesta	SPS00+DD0FS0	em+este
cadea	cadeia	NCFS000	cadeia
da	da	SPS00+DA0FS0	de+o
sidade	cidade	NCFS000	cidade
	,	Fc	,
não	não	RN	não
posso	posso	VMIP1S0	poder
deixar	deixar	VMN0000	deixar
de	de	SPS00	de
me	me	PP1CS000	me
hos	os	DA0MP0	o
dias	dias	NCMP000	dia
pasados	passados	VMP00PM	passar
	.	Fp	.
avera	Haverá	VMIF3S0	haver
des	dez	Z	dez
ou	ou	CC	ou
doze	doze	Z	doze
dias	dias	NCMP000	dia
ẽ	em	SPS00	em
esta	esta	DD0FS0	este
mão	mão	NCFS000	mão
a	a	DA0FS0	o
casa	casa	NCFS000	casa
nova	nova	AQ0FS0	novo
domde	donde	SPS00+PA000000	de+onde
me	me	PP1CS000	me
mudarão	mudaram	VMIS3P0	mudar
pa	para	SPS00	para
aqui	aqui	RG	aqui
q	que	CS	que
cristãos novos	cristãos-novos	NCMP000	cristão-novo
prezos	presos	VMP00PM	prender
	,	Fc	,
hũ	um	DI0MS0	um
velho	velho	NCMS000	velho
e	e	CC	e
houtro	outro	DI0MS0	outro
mãosebo	mancebo	NCMS000	mancebo
abarcados	abarcados	VMP00PM	abarcar
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
tomarão	tomaram	VMIS3P0	tomar
as	as	DA0FP0	o
fazẽdas	fazendas	NCFP000	fazenda
	.	Fp	.
este	Este	DD0MS0	este
velho	velho	NCMS000	velho
q	que	PR0CN000	que
se	se	P00CN000	se
e	e	CC	e
mais	mais	RC	mais
me	me	PP1CS000	me
pgumtou	perguntou	VMIS3S0	perguntar
p	por	SPS00	por
hus	os	DA0MP0	o
dous	dois	Z	dois
cristãos novos	cristãos-novos	NCMP000	cristão-novo
e	e	CC	e
se	se	CSI	se
era	era	VSII0S0	ser
eu	eu	PP1CSN00	eu
seu	seu	DP3MS0	seu
parẽte	parente	NCMS000	parente
delles	deles	SPS00+PP3MP000	de+ele
	.	Fp	.
dixelhe	Disse-lhe	VMIS3S0+PP3CSD00	dizer+lhe
q	que	CS	que
si	sim	RG	sim
e	e	CC	e
q	que	CS	que
era	era	VSII0S0	ser
tãobem	também	RG	também
	.	Fp	.
dai	Daí	SPS00+RG	de+aí
a	a	SPS00	a
dous	dois	Z	dois
dias	dias	NCMP000	dia
se	se	P00CN000	se
veo	veio	VMIS3S0	vir
a	a	SPS00	a
mim	mim	PP1CSO00	mim
e	e	CC	e
me	me	PP1CS000	me
dixe	disse	VMIS3S0	dizer
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
emsinase	ensinasse	VMSI0S0	ensinar
não	não	RN	não
sabia	sabia	VMII0S0	saber
nem	nem	CCN	nem
o	o	DA0MS0	o
credo	credo	NCMS000	credo
	,	Fc	,
senão	senão	CC	senão
em	em	SPS00	em
llatim	latim	NCMS000	latim
e	e	CC	e
mall	mal	RG	mal
	,	Fc	,
e	e	CC	e
na	na	SPS00+DA0FS0	em+o
sallve	Salve	NP00000	salve
gregina	Regina	NP00000	regina
	,	Fc	,
dizemdome	dizendo-me	VMG0000+PP1CS000	dizer+me
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
