Jhus	JHS	NP00000	JHS
	.	Fp	.
snra	Senhora	NP00000	senhor
	,	Fc	,
filha	filha	NCFS000	filho
minha	minha	DP1FSS	meu
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
coracão	coração	NCMS000	coração
	.	Fp	.
he	É	VSIP3S0	ser
verdade	verdade	NCFS000	verdade
q	que	CS	que
os	os	DA0MP0	o
meus	meus	DP1MPS	meu
olhos	olhos	NCMP000	olho
vos	vos	PP2CP000	vos
ande	hão-de	VMIP3P0+SPS00	haver+de
ver	ver	VMN0000	ver
tão	tão	RC	tão
cedo	cedo	RG	cedo
como	como	CS	como
dezeis	dizeis	VMIP2P0	dizer
	.	Fp	.
praza	Praza	VMSP0S0	prazer
ao	ao	SPS00+DA0MS0	a+o
snor	Senhor	NP00000	senhor
des	Deus	NP00000	deus
q	que	CS	que
me	me	PP1CS000	me
de	dê	VMSP0S0	dar
esforco	esforço	NCMS000	esforço
pera	para	SPS00	para
acheguar	chegar	VMN0000	chegar
a	a	SPS00	a
hese	esse	DD0MS0	esse
tenpo	tempo	NCMS000	tempo
	,	Fc	,
porq	porque	CS	porque
fuy	fui	VMIS1S0	ir
senpre	sempre	RG	sempre
tão	tão	RC	tão
mofina	mofina	NCFS000	mofino
q	que	CS	que
nuqua	nunca	RN	nunca
aquabei	acabei	VMIS1P0	acabar
de	de	SPS00	de
ver	ver	VMN0000	ver
cousa	coisa	NCFS000	coisa
d	de	SPS00	de
algua	alguma	DI0FS0	algum
minha	minha	DP1FSS	meu
cosolacão	consolação	NCFS000	consolação
	,	Fc	,
quanto	quanto	PR0CN000	quanto
mais	mais	RC	mais
esta	esta	DD0FS0	este
de	de	SPS00	de
mi	mim	PP1CSO00	mim
tão	tão	RC	tão
desejada	desejada	VMP00SF	desejar
como	como	CS	como
sera	será	VSIF3S0	ser
ver	ver	VMN0000	ver
a	a	SPS00	a
minha	minha	DP1FSS	meu
dona	dona	NP00000	dona
xpina	Cristina	NP00000	cristina
nos	nos	SPS00+DA0MP0	em+o
meus	meus	DP1MPS	meu
bracos	braços	NCMP000	braço
	,	Fc	,
donde	onde	PA000000	onde
antão	então	RG	então
muora	morra	VMSP0S0	morrer
	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
quero	quero	VMIP1S0	querer
mais	mais	RC	mais
vida	vida	NCFS000	vida
q	que	CS	que
ate	até	SPS00	até
cõvosquo	convosco	SPS00+PP2CPO00	com+vós
desquasar	descansar	VMN0000	descansar
e	e	CC	e
deixarvos	deixar-vos	CC	e
desquasada	descansada	VMP00SF	descansar
	,	Fc	,
filha	filha	NCFS000	filho
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
	.	Fp	.
seja	Seja	VSSP0S0	ser
o	o	DA0MS0	o
despacho	despacho	NCMS000	despacho
como	como	SPS00	como
ds	Deus	NP00000	deus
quiser	quiser	VMSF0S0	querer
e	e	CC	e
ouver	houver	VMSF0S0	haver
mais	mais	NCMS000	mais
por	por	SPS00	por
seu	seu	DP3MS0	seu
sirvico	serviço	NCMS000	serviço
	,	Fc	,
q	que	CS	que
	,	Fc	,
ẽquanto	enquanto	CS	enquanto
eu	eu	PP1CSN00	eu
tiver	tiver	VMSF0S0	ter
o	o	DA0MS0	o
q	que	PR0CN000	que
ds	Deus	NP00000	deus
quererar	quererar	VMN0000	quererar
	,	Fc	,
q	que	CS	que
sua	Sua	DP3FS0	seu
a	Alteza	NP00000	alteza
me	me	PP1CS000	me
não	não	RN	não
tire	tire	VMSP0S0	tirar
	,	Fc	,
aida	ainda	RG	ainda
q	que	CS	que
o	o	PP3MSA00	o
faca	faça	VMSP0S0	fazer
	,	Fc	,
a	a	SPS00	a
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
reino	reino	NCMS000	reino
sepre	sempre	RG	sempre
sera	será	VSIF3S0	ser
voso	vosso	DP2MSP	vosso
	,	Fc	,
porq	porque	CS	porque
ja	já	RG	já
não	não	RN	não
quero	quero	VMIP1S0	querer
nada	nada	PI0NN00N	nada
senão	senão	CC	senão
pera	para	SPS00	para
vos	vós	PP2CP000	vós
	.	Fp	.
e	E	CC	e
	,	Fc	,
se	se	CS	se
for	for	VMSF0S0	ir
necesario	necessário	AQ0MS0	necessário
a	à	SPS00+DA0FS0	a+o
vosa	vossa	DP2FSP	vosso
honra	honra	NCFS000	honra
ir me	ir-me	VMN0000+PP1CS000	ir+me
meter	meter	VMN0000	meter
na	na	SPS00+DA0FS0	em+o
madre	Madre	NP00000	madre
de	de	SPS00	de
ds	Deus	NP00000	deus
sobre	sobre	SPS00	sobre
minha	minha	DP1FSS	meu
vilhice	velhice	NCFS000	velhice
	,	Fc	,
o	o	PP3MSA00	o
farei	farei	VMIF1S0	fazer
	,	Fc	,
porq	porque	CS	porque
ja	já	RG	já
são	sou	VSIP1S0	ser
certa	certa	AQ0FS0	certo
q	que	CS	que
os	os	DA0MP0	o
q	que	PR0CN000	que
mais	mais	RC	mais
forão	foram	VMIS3P0	ir
a	a	SPS00	a
minha	minha	DP1FSS	meu
chagua	chaga	NCFS000	chaga
menos	menos	RC	menos
de	de	SPS00	de
merceis	mercês	NCFP000	mercê
tiverão	tiveram	VMIS3P0	ter
	,	Fc	,
e	e	CC	e
não	não	RN	não
me	me	PP1CS000	me
fiquar	ficar	VMN0000	ficar
de	de	SPS00	de
ser	ser	VSN0000	ser
sua	sua	DP3FS0	seu
mai	mãe	NCFS000	mãe
senão	senão	CC	senão
lagremas	lágrimas	NCFP000	lágrima
e	e	CC	e
sõgeicois	sujeições	NCFP000	sujeição
cõ	com	SPS00	com
q	que	CS	que
não	não	RN	não
poso	posso	VMIP1S0	poder
morer	morrer	VMN0000	morrer
senão	senão	CC	senão
padecer	padecer	VMN0000	padecer
	.	Fp	.
asi	Assim	RG	assim
q	que	CS	que
vos	vos	PP2CP000	vos
não	não	RN	não
agaste	agaste	VMSP0S0	agastar
sairdeis	sairdes	VMN02P0	sair
cõ	com	SPS00	com
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
madais	mandais	VMIP2P0	mandar
dezer	dizer	VMN0000	dizer
	,	Fc	,
o	o	DA0MS0	o
qual	qual	PR0CN000	qual
eu	eu	PP1CSN00	eu
dobrei	dobrei	VMIS1S0	dobrar
por	por	SPS00	por
minha	minha	DP1FSS	meu
hõra	honra	NCFS000	honra
cõ	com	SPS00	com
dezer	dizer	VMN0000	dizer
q	que	CS	que
suas	Suas	DP3FP0	seu
altezas	Altezas	NP00000	Altezas
vos	vos	PP2CP000	vos
fizerão	fizeram	VMIS3P0	fazer
m	mercê	NCFS000	mercê
de	de	SPS00	de
duzentos	duzentos	Z	duzentos
curzados	cruzados	NCMP000	cruzado
ẽ	em	SPS00	em
quada	cada	DI0CN0	cada
hu	um	DI0MS0	um
ano	ano	NCMS000	ano
ate	até	SPS00	até
vos	vos	PP2CP000	vos
asetarẽ	aceitarem	VMII3P0	aceitar
algua	alguma	DI0FS0	algum
m	mercê	NCFS000	mercê
cõ	com	SPS00	com
o	o	DA0MS0	o
mais	mais	NCMS000	mais
q	que	PR0CN000	que
vos	vós	PP2CP000	vós
escrevestes	escrevestes	VMIS2S0	escrever
	.	Fp	.
asi	Assim	RG	assim
q	que	CS	que
o	o	DA0MS0	o
asi	assim	RG	assim
dei	dei	VMIS1S0	dar
	,	Fc	,
e	e	CC	e
por	por	SPS00	por
q	que	CS	que
eu	eu	PP1CSN00	eu
não	não	RN	não
fique	fique	VMSP0S0	ficar
ẽ	em	SPS00	em
falta	falta	NCFS000	falta
nesta	nesta	SPS00+DD0FS0	em+este
terra	terra	NCFS000	terra
	,	Fc	,
espera	espera	NCFS000	espera
por	por	SPS00	por
aquele	aquele	DD0MS0	aquele
snor	Senhor	NP00000	senhor
se	se	CS	se
nela	nela	SPS00+PP3FS000	em+ele
criar	criar	VMN0000	criar
e	e	CC	e
ver	ver	VMN0000	ver
alquacãr	alcançar	VMN0000	alcançar
eu	eu	PP1CSN00	eu
muitas	muitas	DI0FP0	muito
merceis	mercês	NCFP000	mercê
de	de	SPS00	de
suas	Suas	DP3FP0	seu
altezas	Altezas	NCFP000	Alteza
e	e	CC	e
mais	mais	RC	mais
verẽ	verem	VMII3P0	ver
a	a	SPS00	a
minha	minha	DP1FSS	meu
sogẽcão	sujeição	NCFS000	sujeição
e	e	CC	e
vida	vida	NCFS000	vida
