Jhus	Jesus	NP00000	jesus
	.	Fp	.
sõr	Senhor	NP00000	senhor
	.	Fp	.
a	A	DA0FS0	o
esperaca	esperança	NCFS000	esperança
q	que	CS	que
	,	Fc	,
ate	até	SPS00	até
esta	esta	DD0FS0	este
presente	presente	NCFS000	presente
	,	Fc	,
me	me	PP1CS000	me
sostantou	sustentou	VMIS3S0	sustentar
foi	foi	VMIS3S0	ir
ter	ter	VMN0000	ter
por	por	SPS00	por
certa	certa	AQ0FS0	certo
a	a	DA0FS0	o
vontade	vontade	NCFS000	vontade
q	que	PR0CN000	que
me	me	PP1CS000	me
diziã	diziam	VMII3P0	dizer
q	que	CS	que
vosa	Vossa	NP00000	vossa
merce	Mercê	NP00000	mercê
tĩnha	tinha	VMII0S0	ter
pera	para	SPS00	para
ma	ma	PP1CS000+PP3FSA00	me+o
fazer	fazer	VMN0000	fazer
	,	Fc	,
da	da	SPS00+DA0FS0	de+o
qual	qual	PR0CS000	qual
aida	ainda	RG	ainda
nã	não	RN	não
descunfio	desconfio	VMIP1S0	desconfiar
	,	Fc	,
pois	pois	CS	pois
q	que	CS	que
o	o	DA0MS0	o
cũnhicimento	conhecimento	NCMS000	conhecimento
q	que	PR0CN000	que
tenho	tenho	VMIP1S0	ter
de	de	SPS00	de
quei	quem	PR0CN000	quem
lhe	lhe	PP3CSD00	lhe
mada	manda	VMIP3S0	mandar
pera	para	SPS00	para
esperar	esperar	VMN0000	esperar
polo	pelo	SPS00+DA0MS0	por+o
q	que	PR0CN000	que
espero	espero	VMIP1S0	esperar
	.	Fp	.
mas	Mas	CC	mas
as	as	DA0FP0	o
nicisidades	necessidades	NCFP000	necessidade
minhas	minhas	DP1FPS	meu
sã	são	VSIP3P0	ser
tãtas	tantas	NCFP000	tanto
q	que	PR0CN000	que
me	me	PP1CS000	me
fazẽ	fazem	VMIP3P0	fazer
fazer	fazer	VMN0000	fazer
esta	esta	DD0FS0	este
pera	para	SPS00	para
pidir	pedir	VMN0000	pedir
a	a	SPS00	a
vosa	Vossa	NP00000	vossa
merce	Mercê	NP00000	mercê
q	que	CS	que
tẽnha	tenha	VMSP0S0	ter
piadade	piedade	NCFS000	piedade
de	de	SPS00	de
mi	mim	PP1CSO00	mim
	,	Fc	,
porq	porque	CS	porque
	,	Fc	,
nã	não	RN	não
se	se	P00CN000	se
cõtentamdo	contentando	VMG0000	contentar
a	a	DA0FS0	o
furtuna	fortuna	NCFS000	fortuna
cõ	com	SPS00	com
o	o	DA0MS0	o
q	que	PR0CN000	que
me	me	PP1CS000	me
deu	deu	VMIS3S0	dar
	,	Fc	,
quer	quer	VMIP3S0	querer
	,	Fc	,
por	por	SPS00	por
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
vĩas	vias	NCFP000	via
	,	Fc	,
sĩta	sinta	VMSP0S0	sentir
dela	dela	SPS00+PP3FS000	de+ele
o	o	DA0MS0	o
poder	poder	NCMS000	poder
cõ	com	SPS00	com
os	os	DA0MP0	o
mufinos	mofinos	NCMP000	mofino
cõmo	como	SPS00	como
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
q	que	CS	que
o	o	DA0MS0	o
eu	eu	PP1CSN00	eu
fose	fosse	VMSI0S0	ir
ẽ	em	SPS00	em
nã	não	RN	não
acãbar	acabar	VMN0000	acabar
esta	esta	DD0FS0	este
vĩda	vida	NCFS000	vida
pera	para	SPS00	para
fazer	fazer	VMN0000	fazer
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
hũmanos	humanos	NCMP000	humano
fiquei	fiquei	VMIS1S0	ficar
	,	Fc	,
porq	porque	CS	porque
ds	Deus	NP00000	deus
	,	Fc	,
pois	pois	CS	pois
q	que	CS	que
se	se	CS	se
diso	disso	SPS00+PD0NN000	de+isso
quer	quer	VMIP3S0	querer
nam	não	RN	não
seria	seria	VSIC0S0	ser
desta	desta	SPS00+DD0FS0	de+este
vĩda	vida	NCFS000	vida
o	o	DA0MS0	o
sor	Senhor	NP00000	senhor
ds	Deus	NP00000	deus
sẽ	sem	SPS00	sem
a	a	DA0FS0	o
sostentacão	sustentação	NCFS000	sustentação
por	por	SPS00	por
meus	meus	DP1MPS	meu
pequados	pecados	NCMP000	pecado
tãbem	também	RG	também
	.	Fp	.
beijarei	Beijarei	VMIF1S0	beijar
as	as	DA0FP0	o
mãos	mãos	NCFP000	mão
de	de	SPS00	de
vosa	Vossa	NP00000	vossa
merce	Mercê	NP00000	mercê
mandar  me	mandar-me	VMN0000+PP1CS000	mandar+me
despaisar	despachar	VMN0000	despachar
algũa	alguma	DI0FS0	algum
pruvisã	provisão	NCFS000	provisão
	,	Fc	,
por	por	SPS00	por
q	que	CS	que
nã	não	RN	não
acãbe	acabe	VMSP0S0	acabar
de	de	SPS00	de
perecer	perecer	VMN0000	perecer
	,	Fc	,
porq	porque	CS	porque
vai	vai	VMIP3S0	ir
ẽ	em	SPS00	em
dos	dois	Z	dois
ãnos	anos	NCMP000	ano
q	que	CS	que
nã	não	RN	não
ricibi	recebi	VMIS1S0	receber
mais	mais	RC	mais
de	de	SPS00	de
vinte	vinte	Z	vinte
mil	mil	Z	mil
reais	reais	NCMP000	real
	,	Fc	,
q	que	CS	que
tẽnho	tenho	VMIP1S0	ter
despesas	despesas	NCFP000	despesa
cõ	com	SPS00	com
hese	esse	DD0MS0	esse
moco	moço	NCMS000	moço
q	que	CS	que
mas	mas	CC	mais
da	dá	VMIP3S0	dar
neses	nesses	SPS00+DD0MP0	em+esse
neguocios	negócios	NCMP000	negócio
sẽ	sem	SPS00	sem
fỹ	fim	NCMS000	fim
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
cõ	com	SPS00	com
qũatro	quatro	Z	quatro
pesoas	pessoas	NCFP000	pessoa
de	de	SPS00	de
mater	manter	VMN0000	manter
	,	Fc	,
afora	fora	RG	fora
eu	eu	PP1CSN00	eu
	,	Fc	,
sẽ	sem	SPS00	sem
ter	ter	VMN0000	ter
socõro	socorro	NCMS000	socorro
nẽ	nem	CC	nem
dode	donde	SPS00+PA000000	de+onde
me	me	PP1CS000	me
vẽnha	venha	VMSP0S0	vir
	,	Fc	,
q	que	CS	que
ja	já	RG	já
algũa	alguma	DI0FS0	algum
q	que	PR0CN000	que
tẽnha	tenha	VMSP0S0	ter
he	é	VSIP3S0	ser
vindida	vendida	VMP00SF	vender
e	e	CC	e
ẽpenhada	empenhada	VMP00SF	empenhar
	.	Fp	.
asi	Assim	RG	assim
q	que	CS	que
	,	Fc	,
por	por	SPS00	por
amor	amor	NCMS000	amor
do	do	SPS00+DA0MS0	de+o
sor	Senhor	NP00000	senhor
ds	Deus	NP00000	deus
	,	Fc	,
pẽco	peço	VMIP1S0	pedir
a	a	SPS00	a
vosa	Vossa	NP00000	vossa
merce	Mercê	NP00000	mercê
q	que	CS	que
	,	Fc	,
por	por	SPS00	por
amor	amor	NCMS000	amor
dele	dele	SPS00+PP3MS000	de+ele
	,	Fc	,
se	se	CS	se
lebre	lembre	VMSP0S0	lembrar
de	de	SPS00	de
mi	mim	PP1CSO00	mim
e	e	CC	e
	,	Fc	,
sor	senhor	NP00000	senhor
	,	Fc	,
q	que	CS	que
m	me	PP1CS000	me
ordene	ordene	VMSP0S0	ordenar
a	a	DA0FS0	o
lei	lei	NCFS000	lei
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
caridade	caridade	NCFS000	caridade
por	por	SPS00	por
quã	cá	RG	cá
	.	Fp	.
certa	Certa	AQ0FS0	certo
hõrador	orador	NCMS000	orador
tẽ	tem	VMIP3S0	ter
	,	Fc	,
porq	porque	CS	porque
	,	Fc	,
posto	posto	CS	pôr
q	que	CS	que
seja	seja	VSSP0S0	ser
pequador	pecador	NCMS000	pecador
	,	Fc	,
a	a	SPS00	a
ises	esses	DD0MP0	esse
leve	leve	VMIP3S0	levar
o	o	DA0MS0	o
sor	Senhor	NP00000	senhor
quãdo	quando	CS	quando
	,	Fc	,
cõ	com	SPS00	com
aripidimento	arrependimento	NCMS000	arrependimento
	,	Fc	,
o	o	PP3MSA00	o
chamã	chamam	VMIP3P0	chamar
	.	Fp	.
asi	Assim	RG	assim
q	que	CS	que
crea	creia	VMSP0S0	crer
	,	Fc	,
vosa	Vossa	NP00000	vossa
merce	Mercê	NP00000	mercê
	,	Fc	,
q	que	CS	que
eu	eu	PP1CSN00	eu
sã	sou	VSIP1S0	ser
posta	posta	NCFS000	posta
ẽ	em	SPS00	em
tãta	tanta	DI0FS0	tanto
nicisidade	necessidade	NCFS000	necessidade
cõmo	como	CS	como
nuqua	nunca	RN	nunca
	,	Fc	,
nẽ	nem	CC	nem
per	por	SPS00	por
senhor	Senhor	NP00000	senhor
	,	Fc	,
o	o	PP3MSA00	o
cũdei	cuidei	VMIS1S0	cuidar
q	que	CS	que
fose	fosse	VMSI0S0	ir
	.	Fp	.
e	E	CC	e
	,	Fc	,
porq	porque	CS	porque
cunfio	confio	VMIP1S0	confiar
q	que	PR0CN000	que
serã	serão	VSIF3P0	ser
ouvidas	ouvidas	VMP00PF	ouvir
minhas	minhas	DP1FPS	meu
preceis	preces	NCFP000	prece
	,	Fc	,
perante	perante	SPS00	perante
vosa	Vossa	NP00000	vossa
merce	Mercê	NP00000	mercê
cõto	conto	NCMS000	conto
delas	delas	SPS00+PP3FP000	de+ele
	,	Fc	,
cõ	com	SPS00	com
