bastyam	Bastião	NP00000	bastião
	,	Fc	,
não	não	RN	não
me	me	PP1CS000	me
pesa	pesa	VMIP3S0	pesar
do	do	SPS00+DA0MS0	de+o
vagar	vagar	NCMS000	vagar
de	de	SPS00	de
tua	tua	DP2FSS	teu
yda	ida	NCFS000	ida
q	que	CS	que
tudo	tudo	PI0NN000	tudo
faz	faz	VMIP3S0	fazer
por	por	SPS00	por
mylhor	melhor	RC	melhor
	.	Fp	.
digo-te	Digo-te	VMIP1S0+PP2CS000	dizer+te
q	que	CS	que
	,	Fc	,
se	se	CS	se
heste	este	DD0MS0	este
portador	portador	NCMS000	portador
hamenhã	amanhã	RG	amanhã
	,	Fc	,
sesta fra	sexta-feira	NCFS000	sexta-feira
	,	Fc	,
xxii	xxii	VMIS1S0	xxier
de	de	SPS00	de
junho	junho	NCMS000	junho
	,	Fc	,
chegar	chegar	VMN0000	chegar
ha	a	SPS00	a
ti	ti	PP2CSO00	ti
e	e	CC	e
te	te	PP2CS000	te
der	der	VMSF0S0	dar
estas	estas	DD0FP0	este
cartas	cartas	NCFP000	carta
	,	Fc	,
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
des	dês	SPS00	dês
hum	um	DI0MS0	um
tostam	tostão	NCMS000	tostão
pola	pela	SPS00+DA0FS0	por+o
dylygemcya	diligência	NCFS000	diligência
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
rogei	roguei	VMIS1S0	rogar
q	que	CS	que
pusese	pusesse	VMSI0S0	pôr
pa	para	SPS00	para
saberes	saberes	VMII2S0	saber
ho	o	DA0MS0	o
q	que	PR0CN000	que
as	hás	VMIP3S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
	.	Fp	.
e	E	CC	e
	,	Fc	,
se	se	CS	se
não	não	RN	não
chegar	chegar	VMN0000	chegar
	,	Fc	,
quomo	como	CS	como
dygo	digo	VMIP1S0	dizer
	,	Fc	,
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
des	dês	SPS00	dês
nada	nada	PI0NN00N	nada
.	.	Fp	.
it	Item	RG	item
	,	Fc	,
pareçe	parece	VMIP3S0	parecer
q	que	CS	que
	,	Fc	,
cõ	com	SPS00	com
ho	o	DA0MS0	o
recado	recado	NCMS000	recado
q	que	CS	que
levaste	levaste	RG	levaste
	,	Fc	,
heste	este	DD0MS0	este
portador	portador	NCMS000	portador
dyxe	disse	VMIS3S0	dizer
q	que	CS	que
hamtonyo	António	NP00000	antónio
mẽdez	Mendes	NP00000	mendes
deve	deve	VMIP3S0	dever
ja	já	RG	já
de	de	SPS00	de
ser	ser	VSN0000	ser
hydo	ido	VMP00SM	ir
quötigo	contigo	SPS00+PP2CSO00	com+ti
a	a	SPS00	a
bolho	Bolho	NP00000	bolho
v	ver	VMN0000	ver
hesa	essa	DD0FS0	esse
deshordem	desordem	NCFS000	desordem
	.	Fp	.
e	E	CC	e
	,	Fc	,
se	se	CS	se
não	não	RN	não
foy	foi	VMIS3S0	ir
	,	Fc	,
pode	pode	VMIP3S0	poder
ir	ir	VMN0000	ir
e	e	CC	e
hordenar	ordenar	VMN0000	ordenar
quomo	como	CS	como
se	se	P00CN000	se
vão	vão	VMIP3P0	ir
pa	para	SPS00	para
ho	o	DA0MS0	o
porto	Porto	NP00000	porto
	,	Fc	,
se	se	CS	se
quygerẽ	quiserem	VMSF3P0	querer
	,	Fc	,
e	e	CC	e
	,	Fc	,
quer	quer	CC	quer
va	vá	VMSP0S0	ir
quer	quer	CC	quer
não	não	RN	não
	,	Fc	,
não	não	RN	não
me	me	PP1CS000	me
da	dá	VMIP3S0	dar
nada	nada	PI0NN00N	nada
.	.	Fp	.
it	Item	RG	item
	,	Fc	,
avysarteas	avisar-te-ás	Fc	,
q	que	CS	que
hum	um	DI0MS0	um
so	só	AQ0CS0	só
reall	real	NCMS000	real
dygas	digas	VMSP2S0	decir
q	que	CS	que
levas	levas	NCFP000	leva
	,	Fc	,
nẽ	nem	CC	nem
lho	lho	PP3CSD00+PP3MSA00	lhe+o
des	dês	SPS00	dês
	,	Fc	,
himda	ainda	RG	ainda
q	que	CS	que
hestem	estejam	VMIP3P0	estar
hem	em	SPS00	em
cerco	cerco	NCMS000	cerco
	.	Fp	.
e	E	CC	e
dyze	dize	VMM02S0	e
hamtonyo	António	NP00000	antónio
mẽdez	Mendes	NP00000	mendes
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
hescrevo	escrevo	VMIP1S0	escrever
porq	porque	CS	porque
não	não	RN	não
he	é	VSIP3S0	ser
neçesaryo	necessário	AQ0MS0	necessário
hescrev lhe	escrever-lhe	VMN0000+PP3CSD00	escrever+lhe
mais	mais	RC	mais
	,	Fc	,
q	que	CS	que
remeto	remeto	VMIP1S0	remeter
ho	o	DA0MS0	o
caso	caso	NCMS000	caso
a	a	SPS00	a
seu	seu	DP3MS0	seu
juizoo	juízo	NCMS000	juízo
	.	Fp	.
it	Item	RG	item
	,	Fc	,
hirteas	ir-te-ás	Fc	,
quõ	com	SPS00	com
heste	este	DD0MS0	este
homẽ	homem	NCMS000	homem
a	a	SPS00	a
bolho	Bolho	NP00000	bolho
e	e	CC	e
o	o	DA0MS0	o
maço	maço	NCMS000	maço
de	de	SPS00	de
cartas	cartas	NCFP000	carta
de	de	SPS00	de
frco	Francisco	NP00000	francisco
d	do	SPS00+DA0MS0	de+o
amarall	Amaral	NP00000	amaral
dey	dei	VMIS1S0	dar
la	lá	RG	lá
hẽ	em	SPS00	em
quỹbra	Coimbra	NP00000	coimbra
hou	ou	CC	ou
ho	o	DA0MS0	o
leva	leva	NCFS000	leva
	,	Fc	,
de	de	SPS00	de
manrra	maneira	NCFS000	maneira
q	que	PR0CN000	que
mo	mo	PP1CS000+PP3MSA00	me+o
as	hás	VMIP3S0	haver
de	de	SPS00	de
dar	dar	VMN0000	dar
asy	assim	RG	assim
