Filho	Filho	NCMS000	filho
	.	Fp	.
Muyto	Muito	RQ	muito
follguey	folguei	VMIS1S0	folgar
sy	se	CS	se
hũa	uma	DI0FS0	um
carta	carta	NCFS000	carta
que	que	PR0CN000	que
me	me	PP1CS000	me
derão	deram	VMIS3P0	dar
vosa	vossa	DP2FSP	vosso
	,	Fc	,
por	por	SPS00	por
saber	saber	VMN0000	saber
novas	novas	NCFP000	nova
de	de	SPS00	de
vos	vós	PP2CP000	vós
	.	Fp	.
porque	Porque	CS	porque
vos	vos	PP2CP000	vos
fostes	fostes	VMIS2S0	ir
de	de	SPS00	de
moura	Moura	NP00000	moura
tam	tão	RC	tão
depresa	depressa	RG	depressa
q	que	CS	que
nũca	nunca	RN	nunca
me	me	PP1CS000	me
mãdastes	mandastes	VMIS2S0	mandar
dizer	dizer	VMN0000	dizer
ho	o	DA0MS0	o
que	que	PR0CN000	que
la	lá	RG	lá
pasastes	passastes	VMIS2P0	passar
	,	Fc	,
q	que	PR0CN000	que
me	me	PP1CS000	me
mãdou	mandou	VMIS3S0	mandar
dizer	dizer	VMN0000	dizer
vosa	vossa	DP2FSP	vosso
yrmã	irmã	NCFS000	irmão
	.	Fp	.
muyto	Muito	RQ	muito
me	me	PP1CS000	me
memquorya	inquiria	VMII0S0	inquirir
de	de	SPS00	de
vos	vós	PP2CP000	vós
q	que	CS	que
não	não	RN	não
estiveses	estivesses	VMSI2S0	estar
ahi	aí	RG	aí
mais	mais	RC	mais
q	que	CS	que
hũ	um	DI0MS0	um
dia	dia	NCMS000	dia
	,	Fc	,
rogandovos	rogando-vos	VMG0000+PP2CP000	rogar+vos
eu	eu	PP1CSN00	eu
muyto	muito	RQ	muito
q	que	CS	que
estiveses	estivesses	VMSI2S0	estar
cõ	com	SPS00	com
ela	ela	PP3FS000	ele
simquo	cinco	Z	cinco
ou	ou	CC	ou
seis	seis	Z	seis
dias	dias	NCMP000	dia
/	.	Fp	.
mas	Mas	CC	mas
pareseme	parece-me	VMIP3S0+PP1CS000	parecer+me
q	que	CS	que
nũqua	nunca	RN	nunca
neste	neste	SPS00+DD0MS0	em+este
mundo	mundo	NCMS000	mundo
follgastes	folgastes	VMIP3S0	folgaster
de	de	SPS00	de
me	me	PP1CS000	me
fazer	fazer	VMN0000	fazer
a	a	DA0FS0	o
vontade	vontade	NCFS000	vontade
em	em	SPS00	em
nada	nada	PI0NN00N	nada
que	que	PR0CN000	que
seya	seja	VSSP0S0	ser
	.	Fp	.
como	Como	CS	como
vos	vós	PP2CP000	vós
quyzerdes	quiserdes	VMSF2P0	querer
	.	Fp	.
qamto	Quanto	PA000000	quanto
he	é	VSIP3S0	ser
ao	ao	SPS00+DA0MS0	a+o
que	que	PR0CN000	que
me	me	PP1CS000	me
mãdais	mandais	VMIP2P0	mandar
dizer	dizer	VMN0000	dizer
	,	Fc	,
q	que	PR0CN000	que
estais	estais	VMIP2P0	estar
malldesposto	maldisposto	AQ0MS0	maldisposto
duma	duma	SPS00+DI0FS0	de+um
perna	perna	NCFS000	perna
	,	Fc	,
pesame	pesa-me	VMIP3S0+PP1CS000	pesar+me
muyto	muito	RQ	muito
diso	disso	SPS00+PD0NN000	de+isso
	.	Fp	.
noso	Nosso	DP1MSP	nosso
sor	Senhor	NP00000	senhor
vos	vos	PP2CP000	vos
de	dê	VMSP0S0	dar
muyta	muita	DI0FS0	muito
saude	saúde	NCFS000	saúde
	,	Fc	,
asi	assim	RG	assim
como	como	CS	como
eu	eu	PP1CSN00	eu
deseyo	desejo	VMIP1S0	desejar
	.	Fp	.
qamto	Quanto	PA000000	quanto
he	é	VSIP3S0	ser
ao	ao	SPS00+DA0MS0	a+o
q	que	PR0CN000	que
me	me	PP1CS000	me
mãdais	mandais	VMIP2P0	mandar
dizer	dizer	VMN0000	dizer
	,	Fc	,
dese	desse	SPS00+DD0MS0	de+esse
neguosio	negócio	NCMS000	negócio
desa	dessa	SPS00+DD0FS0	de+esse
molher	mulher	NCFS000	mulher
q	que	PR0CN000	que
me	me	PP1CS000	me
vos	vos	PP2CP000	vos
tinhãs	tínheis	VAII2P0	ter
dado	dado	VMP0000	dar
cõta	conta	NCFS000	conta
	,	Fc	,
iso	isso	PD0NN000	isso
vereis	vereis	VMIF2P0	ver
vos	vós	PP2CP000	vós
la	lá	RG	lá
	,	Fc	,
se	se	CS	se
vos	vos	PP2CP000	vos
vem	vem	VMIP3S0	vir
bem	bem	RG	bem
e	e	CC	e
se	se	CS	se
he	é	VSIP3S0	ser
cousa	coisa	NCFS000	coisa
pa	para	SPS00	para
desquamsardes	descansardes	VMSF2P0	descansar
	.	Fp	.
bem	Bem	RG	bem
	,	Fc	,
creyo	creio	VMIP1S0	crer
eu	eu	PP1CSN00	eu
q	que	CS	que
sera	será	VSIF3S0	ser
ela	ela	PP3FS000	ele
de	de	SPS00	de
boa	boa	AQ0FS0	bom
gente	gente	NCFS000	gente
e	e	CC	e
muyto	muito	RQ	muito
omrada	honrada	VMP00SF	honrar
	,	Fc	,
mas	mas	CC	mais
todavia	todavia	RG	todavia
folgarey	folgarei	VMIF1S0	folgar
eu	eu	PP1CSN00	eu
que	que	CS	que
teveses	tivesses	VMSI2S0	ter
vos	vós	PP2CP000	vós
cousa	coisa	NCFS000	coisa
en	em	SPS00	em
q	que	PR0CN000	que
desquamsases	descansasses	VMSI2S0	descansar
	,	Fc	,
e	e	CC	e
como	como	CS	como
iso	isso	PD0NN000	isso
fose	fosse	VSSI0S0	ser
cousa	coisa	NCFS000	coisa
boa	boa	AQ0FS0	bom
não	não	RN	não
tinhãs	tínheis	VMII2P0	ter
vos	vós	PP2CP000	vós
