Sõr	Senhor	NP00000	senhor
abade	Abade	NCMS000	abade
da	da	SPS00+DA0FS0	de+o
see	Sé	NP00000	sé
pois	Pois	CS	pois
me	me	PP1CS000	me
disestes	dissestes	VMIS2P0	dizer
q	que	CS	que
me	me	PP1CS000	me
cõfesase	confessasse	VMSI0S0	confessar
a	a	SPS00	a
vos	vós	PP2CP000	vós
	,	Fc	,
isto	isto	PD0NN000	isto
minha	minha	DP1FSS	meu
omRa	honra	NCFS000	honra
ja	já	RG	já
esta	está	VMIP3S0	estar
perdida	perdida	VMP00SF	perder
pois	pois	CS	pois
me	me	PP1CS000+PP3MSA00	me+o
fiz	fiz	VMIS1S0	fazer
cornudo	cornudo	AQ0MS0	cornudo
meu	meu	DP1MSS	meu
corpo	corpo	NCMS000	corpo
	,	Fc	,
pois	pois	CS	pois
a	a	DA0FS0	o
Justa	Justiça	NP00000	justiça
me	me	PP1CS000	me
quer	quer	VMIP3S0	querer
emforquar	enforcar	VMN0000	enforcar
	,	Fc	,
nã	não	RN	não
esta	está	VMIP3S0	estar
mto	muito	RQ	muito
guanhado	ganhado	VMP00SM	ganhar
	.	Fp	.
pois	Pois	CS	pois
ha	a	DA0FS0	o
allma	alma	NCFS000	alma
	,	Fc	,
levem na	levem-na	VMSP3P0+PP3FSA00	levar+o
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
diabos	diabos	NCMP000	diabo
	.	Fp	.
a	A	DA0FS0	o
comfisãa	confissão	NCFS000	confissão
q	que	PR0CN000	que
tenho	tenho	VMIP1S0	ter
pa	para	SPS00	para
fazer	fazer	VMN0000	fazer
he	é	VSIP3S0	ser
a	a	DA0FS0	o
seguimte	seguinte	NCMS000	seguinte
	,	Fc	,
e	e	CC	e
he	é	VSIP3S0	ser
de	de	SPS00	de
todo	todo	DI0MS0	todo
coRacam	coração	NCMS000	coração
	.	Fp	.
aReneguo	Arrenego	VMIP1S0	arrenegar
da	da	SPS00+DA0FS0	de+o
augoa	água	NCFS000	água
do	do	SPS00+DA0MS0	de+o
bautismo	batismo	NCMS000	batismo
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
olio	óleo	NCMS000	óleo
e	e	CC	e
crisma	crisma	NCMS000	crisma
que	que	PR0CN000	que
Recebi	recebi	VMIS1S0	receber
	.	Fp	.
he	E	CC	e
quer	quer	CC	quer
me	me	PP1CS000	me
queymen	queimem	VMSP3P0	queimar
quer	quer	CC	quer
me	me	PP1CS000	me
apedrejem	apedrejem	VMSP3P0	apedrejar
vivo	vivo	VMIP1S0	viver
	,	Fc	,
protesto	protesto	VMIP1S0	protestar
de	de	SPS00	de
nã	não	RN	não
moRer	morrer	VMN0000	morrer
na	na	SPS00+DA0FS0	em+o
fe	fé	NCFS000	fé
de	de	SPS00	de
cristo	Cristo	NP00000	cristo
	.	Fp	.
amtes	Antes	RG	antes
me	me	PP1CS000	me
pesa	pesa	VMIP3S0	pesar
mto	muito	RQ	muito
de	de	SPS00	de
certas	certas	AQ0FP0	certo
misas	missas	NCFP000	missa
q	que	PR0CN000	que
aqui	aqui	RG	aqui
mãdey	mandei	VMIS1S0	mandar
dizer	dizer	VMN0000	dizer
he	e	CC	e
de	de	SPS00	de
allgũas	algumas	DI0FP0	algum
oRacois	orações	NCFP000	oração
e	e	CC	e
esmolas	esmolas	NCFP000	esmola
que	que	PR0CN000	que
aqui	aqui	RG	aqui
tenho	tenho	VAIP1S0	ter
fto	feito	VMP0000	fazer
	.	Fp	.
he	E	CC	e
a	a	DA0FS0	o
causa	causa	NCFS000	causa
disto	disto	SPS00+PD0NN000	de+isto
he	é	VSIP3S0	ser
porq	porque	CS	porque
me	me	PP1CS000	me
premderam	prenderam	VMIS3P0	prender
na	na	SPS00+DA0FS0	em+o
igra	igreja	NCFS000	igreja
	.	Fp	.
he	E	CC	e
porq	porque	CS	porque
eu	eu	PP1CSN00	eu
sey	sei	VMIP1S0	saber
q	que	CS	que
me	me	PP1CS000	me
valia	valia	VMII0S0	valer
e	e	CC	e
nã	não	RN	não
me	me	PP1CS000	me
tornarã	tornaram	VMIS3P0	tornar
ha	a	SPS00	a
ella	ela	PP3FS000	ele
	,	Fc	,
faco	faço	VMIP1S0	fazer
isto	isto	PD0NN000	isto
porq	porque	CS	porque
eu	eu	PP1CSN00	eu
sey	sei	VMIP1S0	saber
como	como	PA000000	como
acomteceo	aconteceu	VMIS3S0	acontecer
ho	o	DA0MS0	o
meu	meu	DP1MSS	meu
caso	caso	NCMS000	caso
	.	Fp	.
e	E	CC	e
por	por	SPS00	por
iso	isso	PD0NN000	isso
	,	Fc	,
diguo	digo	VMIP1S0	dizer
q	que	CS	que
e	e	CC	e
na	na	SPS00+DA0FS0	em+o
vdade	verdade	NCFS000	verdade
q	que	CS	que
duas	duas	Z	duas
tas	testemunhas	NCFP000	testemunha
q	que	PR0CN000	que
me	me	PP1CS000	me
comdenaram	condenaram	VMIS3P0	condenar
dizemdo	dizendo	VMG0000	dizer
q	que	CS	que
de	de	SPS00	de
bertolameu	Bartolomeu	NP00000	bartolomeu
treycam	traição	NCFS000	traição
mẽtiram	mentiram	VMIP3P0	mentir
e	e	CC	e
juraram	juraram	VMIS3P0	jurar
fallso	falso	AQ0MS0	falso
	.	Fp	.
outra	Outra	NP00000	outra
causa	causa	NCFS000	causa
tenho	tenho	VMIP1S0	ter
a	a	SPS00	a
querer	querer	VMN0000	querer
moRer	morrer	VMN0000	morrer
fora	fora	RG	fora
da	da	SPS00+DA0FS0	de+o
ley	lei	NCFS000	lei
de	de	SPS00	de
xpo	XPO	NP00000	cristo
he	é	VSIP3S0	ser
e	e	CC	e
que	que	CS	que
hũ	um	DI0MS0	um
Judeu	judeu	NCMS000	judeu
amiguo	amigo	NCMS000	amigo
meu	meu	DP1MSS	meu
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
hũ	um	DI0MS0	um
dia	dia	NCMS000	dia
q	que	CS	que
nã	não	RN	não
crese	cresse	VMSI0S0	crer
em	em	SPS00	em
cristo	Cristo	NP00000	cristo
porque	porque	CS	porque
os	os	DA0MP0	o
Judeus	judeus	NCMP000	judeu
ho	o	PP3MSA00	o
mataram	mataram	VMIS3P0	matar
por	por	SPS00	por
se	se	P00CN000	se
fazer	fazer	VMN0000	fazer
fo	filho	NCMS000	filho
de	de	SPS00	de
ds	Deus	NP00000	deus
	,	Fc	,
mas	mas	CC	mais
q	que	CS	que
elle	ele	PP3MS000	ele
nã	não	RN	não
no	no	PP3MSA00	o
eRa	era	VSII0S0	ser
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
asi	assim	RG	assim
ho	o	PP3MSA00	o
creo	creio	VMIP1S0	crer
	.	Fp	.
outro	Outro	DI0MS0	outro
Judeu	judeu	NCMS000	judeu
me	me	PP1CS000	me
q	que	CS	que
as	as	DA0FP0	o
oRacõis	orações	NCFP000	oração
q	que	PR0CN000	que
se	se	P00CN000	se
Rezavam	rezavam	VMII3P0	rezar
na	na	SPS00+DA0FS0	em+o
tera	terra	NCFS000	terra
q	que	CS	que
nã	não	RN	não
eRam	eram	VSII3P0	ser
ouvidas	ouvidas	VMP00PF	ouvir
no	no	SPS00+DA0MS0	em+o
ceo	céu	NCMS000	céu
	.	Fp	.
he	E	CC	e
eu	eu	PP1CSN00	eu
asi	assim	RG	assim
ho	o	PP3MSA00	o
creo	creio	VMIP1S0	crer
he	e	CC	e
bem	bem	RG	bem
as	as	PP3FPA00	o
vejo	vejo	VMIP1S0	ver
	,	Fc	,
porq	porque	CS	porque
	,	Fc	,
se	se	CS	se
elas	elas	PP3FP000	ele
se	se	P00CN000	se
ouviram	ouviram	VMIS3P0	ouvir
tamtas	tantas	PI0FP000	tanto
como	como	CS	como
eu	eu	PP1CSN00	eu
tenho	tenho	VAIP1S0	ter
Rezado	rezado	VMP0000	rezar
	,	Fc	,
não	não	RN	não
podeRa	pudera	VMIM0S0	poder
deixar	deixar	VMN0000	deixar
ds	Deus	NP00000	deus
de	de	SPS00	de
ser	ser	VSN0000	ser
servido	servido	VMP00SM	servir
	,	Fc	,
q	que	CS	que
a	a	DA0FS0	o
casa	casa	NCFS000	casa
omde	onde	PA000000	onde
me	me	PP1CS000	me
a	a	SPS00	a
min	mim	PP1CSO00	mim
prẽderam	prenderam	VMIS3P0	prender
me	me	PP1CS000	me
valera	valera	VMIM0S0	valer
	,	Fc	,
pois	pois	CS	pois
se	se	P00CN000	se
chama	chama	VMIP3S0	chamar
casa	Casa	NP00000	casa
de	de	SPS00	de
ds	Deus	NP00000	deus
	.	Fp	.
mas	Mas	CC	mas
	,	Fc	,
como	como	CS	como
diguo	digo	VMIP1S0	dizer
	,	Fc	,
emtemdo	entendo	VMIP1S0	entender
nã	não	RN	não
ter	ter	VMN0000	ter
cristo	Cristo	NP00000	cristo
ese	esse	DD0MS0	esse
poder	poder	NCMS000	poder
nẽ	nem	CCN	nem
se	se	P00CN000	se
sallvarem	salvarem	VMSF3P0	salvar
os	os	DA0MP0	o
q	que	PR0CN000	que
na	na	SPS00+DA0FS0	em+o
sua	sua	DP3FS0	seu
ley	lei	NCFS000	lei
creram	creram	VMIS3P0	crer
	.	Fp	.
eu	Eu	PP1CSN00	eu
follguara	folgara	VMIM0S0	folgar
de	de	SPS00	de
