1542	1542	Z	1542
	,	Fc	,
em	em	SPS00	em
ẽves	Anvers	NP00000	anvers
	,	Fc	,
a	a	SPS00	a
26	26	Z	26
de	de	SPS00	de
mayo	maio	NCMS000	maio
sor	Senhor	NP00000	senhor
nã	Não	RN	não
lhe	lhe	PP3CSD00	lhe
Respomdi	respondi	VMIS1S0	responder
ate	até	SPS00	até
oje	hoje	RG	hoje
cuidãdo	cuidando	VMG0000	cuidar
de	de	SPS00	de
ho	o	DA0MS0	o
fazer	fazer	VMN0000	fazer
cõ	com	SPS00	com
ha	a	DA0FS0	o
Reposta	resposta	NCFS000	resposta
dos	dos	SPS00+DA0MP0	de+o
seus	seus	DP3MP0	seu
azeites	azeites	NCMP000	azeite
serẽ	serem	VSN03P0	ser
vẽdidos	vendidos	VMP00PM	vender
	,	Fc	,
ho	o	DA0MS0	o
qll	qual	PR0CS000	qual
se	se	P00CN000	se
trabalhou	trabalhou	VMIS3S0	trabalhar
asaz	assaz	RG	assaz
nyso	nisso	SPS00+PD0NN000	em+isso
	.	Fp	.
e	E	CC	e
foy	foi	VSIS3S0	ser
por	por	SPS00	por
demais	demais	RG	demais
	,	Fc	,
porq	porque	CS	porque
veyo	veio	VMIS3S0	vir
tamta	tanta	DI0FS0	tanto
soma	soma	NCFS000	soma
como	como	CS	como
nũca	nunca	RN	nunca
se	se	P00CN000	se
tẽ	tem	VAIP3S0	ter
visto	visto	VMP0000	ver
nesta	nesta	SPS00+DD0FS0	em+este
trã	terra	NCFS000	terra
	,	Fc	,
de	de	SPS00	de
sorte	sorte	NCFS000	sorte
q	que	CS	que
foy	foi	VSIS3S0	ser
nesesro	necessário	AQ0MS0	necessário
de	de	SPS00	de
hos	os	DA0MP0	o
mãdar	mandar	VMN0000	mandar
logar	lugar	NCMS000	lugar
homde	onde	PA000000	onde
estã	estão	VMIP3P0	estar
cõ	com	SPS00	com
outa	outra	DI0FS0	outro
soma	soma	NCFS000	soma
de	de	SPS00	de
meu	meu	DP1MSS	meu
irmã	irmão	NCMS000	irmão
	.	Fp	.
e	E	CC	e
porq	porque	CS	porque
nã	não	RN	não
sã	são	VSIP3P0	ser
homẽ	homem	NCMS000	homem
de	de	SPS00	de
mtas	muitas	DI0FP0	muito
palavras	palavras	NCFP000	palavra
	,	Fc	,
digo	digo	VMIP1S0	dizer
q	que	CS	que
vm	VM	NP00000	VM
pode	pode	VMIP3S0	poder
crer	crer	VMN0000	crer
	,	Fc	,
como	como	CS	como
cre	crê	VMIP3S0	crer
ẽ	em	SPS00	em
ds	Deus	NP00000	deus
	,	Fc	,
q	que	CS	que
niso	nisso	SPS00+PD0NN000	em+isso
farey	farei	VMIF1S0	fazer
como	como	CS	como
se	se	CS	se
meus	meus	PX1MP0S0	meu
fosẽ	fossem	VMSI3P0	ir
	,	Fc	,
e	e	CC	e
dizer lhe	dizer-lhe	VMN0000+PP3CSD00	dizer+lhe
sera	será	VSIF3S0	ser
com	com	SPS00	com
vdade	verdade	NCFS000	verdade
	.	Fp	.
nõ	Não	RN	não
ha	há	VMIP3S0	haver
mester	mister	NCMS000	mister
	,	Fc	,
porq	porque	CS	porque
eu	eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
aqui	aqui	RG	aqui
pa	para	SPS00	para
fazer	fazer	VMN0000	fazer
Rezã	razão	NCFS000	razão
e	e	CC	e
vdade	verdade	NCFS000	verdade
	,	Fc	,
nã	não	RN	não
a	a	SPS00	a
vm	VM	NP00000	VM
	,	Fc	,
a	a	SPS00	a
quẽ	quem	PR0CN000	quem
tenho	tenho	VMIP1S0	ter
mill	mil	Z	mil
obrigaçois	obrigações	NCFP000	obrigação
por	por	SPS00	por
mill	mil	Z	mil
Respeytos	respeitos	NCMP000	respeito
q	que	CS	que
nõ	não	RN	não
ha	há	VMIP3S0	haver
mester	mister	NCMS000	mister
dizer	dizer	VMN0000	dizer
senã	senão	CC	senão
ao	ao	SPS00+DA0MS0	a+o
mais	mais	RC	mais
estranho	estranho	AQ0MS0	estranho
do	do	SPS00+DA0MS0	de+o
mũdo	mundo	NCMS000	mundo
	,	Fc	,
porq	porque	CS	porque
pouqo	pouco	RQ	pouco
nos	nos	PP1CP000	nos
bastara	bastará	VMIF3S0	bastar
quãdo	quando	CS	quando
acabarmos	acabarmos	VMN01P0	acabar
a	a	DA0FS0	o
jornada	jornada	NCFS000	jornada
	,	Fc	,
e	e	CC	e
sempre	sempre	RG	sempre
sobra	sobra	VMIP3S0	sobrar
	,	Fc	,
a	a	SPS00	a
ds	Deus	NP00000	deus
gracas	graças	NCFP000	graça
	.	Fp	.
asy	Assim	RG	assim
	,	Fc	,
