Feyta	Feita	VMP00SF	fazer
a	a	SPS00	a
vymte	vinte	Z	vinte
dous	dois	Z	dois
de	de	SPS00	de
junho	junho	NCMS000	junho
Snor	Senhor	NCMS000	senhor
pay	pai	NCMS000	pai
esta	Esta	PD0FS000	este
nam	não	RN	não
he	é	VSIP3S0	ser
senam	senão	CC	senão
pera	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
fazer	fazer	VMN0000	fazer
a	a	SPS00	a
caber	saber	VMN0000	saber
como	como	CS	como
estou	estou	VMIP1S0	estar
de	de	SPS00	de
paz	paz	NCFS000	paz
e	e	CC	e
de	de	SPS00	de
saude	saúde	NCFS000	saúde
	,	Fc	,
ds	Deus	NP00000	deus
seja	seja	VSSP0S0	ser
louvado	louvado	VMP00SM	louvar
	.	Fp	.
sabera	Saberá	VMIF3S0	saber
vosa	Vossa	DP2FSP	vosso
merse	Mercê	NP00000	mercê
como	como	CS	como
estou	estou	VMIP1S0	estar
em	em	SPS00	em
casa	casa	NCFS000	casa
do	do	SPS00+DA0MS0	de+o
senr	senhor	NP00000	senhor
Ruy	Rui	NP00000	rui
Freyre	Freire	NP00000	freire
ate	até	SPS00	até
tersa feyra	terça-feira	NCFS000	terça-feira
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
dia	dia	NCMS000	dia
de	de	SPS00	de
sam	São	NP00000	são
Joam	João	NP00000	joão
	,	Fc	,
que	que	CS	que
acheguey	cheguei	VMIS1S0	chegar
aquy	aqui	RG	aqui
por	por	SPS00	por
mayo	maio	NCMS000	maio
	,	Fc	,
des	dez	Z	dez
	,	Fc	,
ho	o	DA0MS0	o
dya	dia	NCMS000	dia
q	que	PR0CN000	que
achagey	cheguei	VMIS1S0	chegar
estou	estou	VMIP1S0	estar
casa	casa	NCFS000	casa
do	do	SPS00+DA0MS0	de+o
senhor	Senhor	NP00000	senhor
Rohy	Rui	NP00000	rui
freyre	Freire	NP00000	freire
	,	Fc	,
q	que	CS	que
achegey	cheguei	VMIS1S0	chegar
no	no	SPS00+DA0MS0	em+o
mes	mês	NCMS000	mês
de	de	SPS00	de
mayo	maio	NCMS000	maio
	.	Fp	.
dyoguo	Diogo	NP00000	diogo
sylveyra	Silveira	NP00000	silveira
a	há	VMIP3S0	haver
trez	três	Z	três
ou	ou	CC	ou
quatro	quatro	Z	quatro
dyas	dias	NCMP000	dia
q	que	PR0CN000	que
foy	foi	VMIS3S0	ir
a	a	SPS00	a
evora	Évora	NP00000	évora
e	e	CC	e
eu	eu	PP1CSN00	eu
estou	estou	VMIP1S0	estar
hay	aí	RG	aí
na	na	SPS00	em
temda	tenda	NCFS000	tenda
e	e	CC	e
trabalho	trabalho	NCMS000	trabalho
	.	Fp	.
fyzeram	Fizeram	VMIS3P0	fazer
de	de	SPS00	de
comserto	concerto	NCMS000	concerto
Rodryguo	Rodrigo	NP00000	rodrigo
freyre	Freire	NP00000	freire
	,	Fc	,
q	que	CS	que
he	é	VSIP3S0	ser
dyogo	Diogo	NP00000	diogo
seyvyra	Silveira	NP00000	silveira
	,	Fc	,
q	que	CS	que
comese	comesse	RG	comesse
ẽ	em	SPS00	em
casa	casa	NCFS000	casa
de	de	SPS00	de
Rodryguo	Rodrigo	NP00000	rodrigo
freyre	Freire	NP00000	freire
ate	até	SPS00	até
ho	ao	SPS00+DA0MS0	a+o
ho	ao	SPS00+DA0MS0	a+o
dya	dia	NCMS000	dia
de	de	SPS00	de
sam	São	NP00000	são
joam	João	NP00000	joão
q	que	PR0CN000	que
he	é	VSIP3S0	ser
tersa feyra	terça-feira	NCFS000	terça-feira
	.	Fp	.
peso	Peço	VMIP1S0	pedir
a	a	SPS00	a
vosa	Vossa	NP00000	vossa
merse	Mercê	NP00000	mercê
q	que	CS	que
me	me	PP1CS000	me
mamde	mande	VMSP0S0	mandar
fer	fer	X	X
a	a	SPS00	a
memha	memha	X	X
he	e	CC	e
