sor	Senhor	NP00000	senhor
	,	Fc	,
a	a	SPS00	a
mÿ	mim	PP1CSO00	mim
me	me	PP1CS000	me
foy	foi	VSIS3S0	ser
dada	dada	VMP00SF	dar
hũma	uma	PI0FS000	um
vosa	vossa	DP2FSP	vosso
cõ	com	SPS00	com
q	que	PR0CN000	que
mto	muito	RQ	muito
folguey	folguei	VMIS1S0	folgar
	,	Fc	,
po	por	SPS00	por
ouvyr	ouvir	VMN0000	ouvir
novas	novas	NCFP000	nova
de	de	SPS00	de
vos	vós	PP2CP000	vós
	,	Fc	,
as	as	DA0FP0	o
quaes	quais	PR0CP000	qual
sẽpre	sempre	RG	sempre
desejo	desejo	VMIP1S0	desejar
de	de	SPS00	de
ouvyr	ouvir	VMN0000	ouvir
	,	Fc	,
ẽ	em	SPS00	em
a	a	DA0FS0	o
qual	qual	PR0CS000	qual
me	me	PP1CS000	me
mãdastes	mandastes	VMIS2S0	mandar
dyzer	dizer	VMN0000	dizer
q	que	CS	que
o	o	DA0MS0	o
Imfãte	infante	NCMS000	infante
estava	estava	VMII0S0	estar
ẽ	em	SPS00	em
moura	Moura	NP00000	moura
he	e	CC	e
q	que	CS	que
nõ	não	RN	não
vyrya	viria	VMIC0S0	vir
senão	senão	CC	senão
pa	para	SPS00	para
meo	meio	NCMS000	meio
do	do	SPS00+DA0MS0	de+o
junho	junho	NCMS000	junho
	,	Fc	,
hou	ou	CC	ou
pa	para	SPS00	para
fÿ	fim	NCMS000	fim
delle	dele	SPS00+PP3MS000	de+ele
	,	Fc	,
po	por	SPS00	por
mynha	minha	DP1FSS	meu
vyda	vida	NCFS000	vida
	.	Fp	.
q	Que	CS	que
hela	ela	PP3FS000	ele
sera	será	VSIF3S0	ser
forte	forte	AQ0CS0	forte
caso	caso	NCMS000	caso
	,	Fc	,
fazerẽme	fazerem-me	VMN03P0+PP1CS000	fazer+me
estar	estar	VMN0000	estar
aquy	aqui	RG	aqui
cõtra	contra	SPS00	contra
mynha	minha	DP1FSS	meu
cõta	conta	NCFS000	conta
	.	Fp	.
e	E	CC	e
ate	até	SPS00	até
as	as	PP3FPA00	o
ter	ter	VMN0000	ter
	,	Fc	,
cudo	cuido	VMIP1S0	cuidar
ter	ter	VMN0000	ter
ho	o	DA0MS0	o
cõtrato	contrato	NCMS000	contrato
da	da	SPS00+DA0FS0	de+o
justyça	justiça	NCFS000	justiça
	.	Fp	.
e	E	CC	e
	,	Fc	,
porẽ	porém	RG	porém
	,	Fc	,
eu	eu	PP1CSN00	eu
detrymyno	determino	VMIP1S0	determinar
estar	estar	VMN0000	estar
aquy	aqui	RG	aqui
ate	até	SPS00	até
o	ao	SPS00+DA0MS0	a+o
corpus	Corpus	NP00000	corpus
xpi	Christi	NP00000	christi
	,	Fc	,
e	e	CC	e
mays	mais	RC	mais
não	não	RN	não
	.	Fp	.
hou	Ou	CC	ou
o	o	DA0MS0	o
houtro	outro	DI0MS0	outro
ds	dia	NCMS000	dia
m	me	PP1CS000	me
yr	ir	VMN0000	ir
ẽ	em	SPS00	em
busca	busca	NCFS000	busca
do	do	SPS00+DA0MS0	de+o
Imfãte	infante	NCMS000	infante
	,	Fc	,
homde	onde	PA000000	onde
quer	quer	VMIP3S0	querer
qu	que	CS	que
estever	estiver	VMSF0S0	estar
	.	Fp	.
po	Por	SPS00	por
yso	isso	PD0NN000	isso
tervosey	ter-vos-ei	VMIF1S0+PP2CP000	ter+vos
ẽ	em	SPS00	em
mçe	mercê	NCFS000	mercê
sẽpre	sempre	RG	sempre
m	me	PP1CS000	me
escreverdes	escreverdes	VMSF2S0	escrever
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
pasa	passa	VMIP3S0	passar
	,	Fc	,
hou	ou	CC	ou
a	a	DA0FS0	o
çerteza	certeza	NCFS000	certeza
q	que	PR0CN000	que
nyso	nisso	SPS00+PD0NN000	em+isso
tẽdes	tendes	VMIP2P0	ter
	.	Fp	.
poq	Porque	CS	porque
a	a	DA0FS0	o
mynha	minha	DP1FSS	meu
detrymynação	determinação	NCFS000	determinação
he	é	VSIP3S0	ser
fazelo	fazê-lo	VMN0000+PP3MSA00	fazer+o
asy	assim	RG	assim
	,	Fc	,
poq	porque	CS	porque
nõ	não	RN	não
se	se	P00CN000	se
sofre	sofre	VMIP3S0	sofrer
eu	eu	PP1CSN00	eu
estar	estar	VMN0000	estar
aquy	aqui	RG	aqui
mays	mais	RC	mais
	,	Fc	,
nẽ	nem	CCN	nem
ate	até	SPS00	até
ja	já	RG	já
nõ	não	RN	não
padeçe	padece	VMIP3S0	padecer
	.	Fp	.
nẽ	Nem	CCN	nem
a	a	SPS00	a
nẽhũ	nenhum	DI0MS0	nenhum
omẽ	homem	NCMS000	homem
mce	mercê	NCFS000	mercê
fyzerão	fizeram	VMIS3P0	fazer
tã	tão	RC	tão
sẽ	sem	SPS00	sem
justyça	justiça	NCFS000	justiça
como	como	CS	como
a	a	SPS00	a
mÿ	mim	PP1CSO00	mim
	,	Fc	,
nõ	não	RN	não
sey	sei	VMIP1S0	saber
poq	porquê	PT0NS000	porquê
	.	Fp	.
deste	Deste	SPS00+DD0MS0	de+este
malver	Belver	NP00000	belver
homde	onde	PA000000	onde
fyco	fico	VMIP1S0	ficar
	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
q	que	PR0CN000	que
mãdar	mandar	VMN0000	mandar
	,	Fc	,
desaseys	desasseis	Z	desasseis
ds	dias	NCMP000	dia
de	de	SPS00	de
mayo	maio	NCMS000	maio
de	de	SPS00	de
b	b	X	X
Rb	545	Z	545
/	.	Fp	.
do	Do	SPS00+DA0MS0	de+o
voso	vosso	DP2MSP	vosso
tyo	tio	NCMS000	tio
e	e	CC	e
amyguo	amigo	NCMS000	amigo
	,	Fc	,
frey	Frei	NP00000	frei
jorge	Jorge	NP00000	jorge
da	da	SPS00+DA0FS0	de+o
mota	Mota	NP00000	mota
he	E	CC	e
	,	Fc	,
porẽ	porém	RG	porém
	,	Fc	,
depoys	depois	RG	depois
de	de	SPS00	de
ter	ter	VMN0000	ter
esta	esta	PD0FS000	este
spta	escrita	VMP00SF	escrever
	,	Fc	,
ẽtẽdy	entendi	VMIS1S0	entender
a	a	DA0FS0	o
musyca	música	NCFS000	música
	,	Fc	,
e	e	CC	e
sey	sei	VMIP1S0	saber
q	que	CS	que
sam	são	VSIP3P0	ser
dados	dados	VMP00PM	dar
capitolos	capítulos	NCMP000	capítulo
de	de	SPS00	de
mÿ	mim	PP1CSO00	mim
ao	ao	SPS00+DA0MS0	a+o
imfãte	infante	NCMS000	infante
	.	Fp	.
e	E	CC	e
estou	estou	VMIP1S0	estar
aquy	aqui	RG	aqui
como	como	SPS00	como
degradado	degradado	VMP00SM	degradar
ate	até	SPS00	até
se	se	P00CN000	se
saber	saber	VMN0000	saber
a	a	DA0FS0	o
pena	pena	NCFS000	pena
q	que	PR0CN000	que
m	me	PP1CS000	me
a	há	VMIP3S0	haver
de	de	SPS00	de
dar	dar	VMN0000	dar
	,	Fc	,
poq	porque	CS	porque
aguora	agora	RG	agora
esta	está	VMIP3S0	estar
ho	o	DA0MS0	o
houvydor	ouvidor	NCMS000	ouvidor
tyramdo	tirando	VMG0000	tirar
a	a	DA0FS0	o
imquyryçã	inquirição	NCFS000	inquirição
dyso	disso	SPS00+PD0NN000	de+isso
	,	Fc	,
de	de	SPS00	de
mÿ	mim	PP1CSO00	mim
he	e	CC	e
de	de	SPS00	de
Fo	Francisco	NP00000	francisco
da	da	SPS00+DA0FS0	de+o
mota	Mota	NP00000	mota
	,	Fc	,
de	de	SPS00	de
q	que	PR0CN000	que
me	me	PP1CS000	me
eu	eu	PP1CSN00	eu
bem	bem	RG	bem
rya	ria	VMII0S0	rir
	.	Fp	.
e	E	CC	e
nõ	não	RN	não
deseyjo	desejo	VMIP1S0	desejar
senão	senão	CC	senão
V	ver	VMN0000	ver
o	o	DA0MS0	o
Imfãte	infante	NCMS000	infante
	,	Fc	,
he	e	CC	e
deuos	deu-os	VMIS3S0+PP3MPA00	dar+o
ho	ao	SPS00+DA0MS0	a+o
çyvel	cível	NCMS000	cível
	,	Fc	,
q	que	CS	que
he	é	VSIP3S0	ser
viguayro	vigário	NCMS000	vigário
da	da	SPS00+DA0FS0	de+o
Stãa	Sertã	NP00000	sertã
	.	Fp	.
de	De	SPS00	de
mÿ	mim	PP1CSO00	mim
he	e	CC	e
de	de	SPS00	de
fo	Francisco	NP00000	francisco
da	da	SPS00+DA0FS0	de+o
mota	Mota	NP00000	mota
	.	Fp	.
he	E	CC	e
te	até	SPS00	até
sey	sei	VMIP1S0	saber
