noso	Nosso	DP1MSP	nosso
sor	Senhor	NP00000	senhor
Jhu	Jesus	NP00000	jesus
xpo	XPO	NP00000	cristo
seja	seja	VSSP0S0	ser
sempre	sempre	RG	sempre
com	com	SPS00	com
todos	todos	PI0MP000	todo
/	,	Fc	,
amem	ámen	I	ámen
	.	Fp	.
sor	Senhor	NP00000	senhor
Irmão	irmão	NP00000	irmão
eu	Eu	PP1CSN00	eu
fui	fui	VMIS1S0	ir
aos	aos	SPS00+DA0MP0	a+o
estaos	estáos	NCMP000	estáo
e	e	CC	e
me	me	PP1CS000	me
deu	deu	VMIS3S0	dar
o	o	DA0MS0	o
escrivão	escrivão	NCMS000	escrivão
da	da	SPS00+DA0FS0	de+o
Samta	Santa	NP00000	santa
imquisysao	Inquisição	NP00000	inquisição
huas	umas	DI0FP0	um
Regras	regras	NCFP000	regra
vosas	vossas	DP2FPP	vosso
em	em	SPS00	em
q	que	PR0CN000	que
me	me	PP1CS000	me
mãdava	mandava	VMII0S0	mandar
dizer	dizer	VMN0000	dizer
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
mãdase	mandasse	VMSI0S0	mandar
os	os	DA0MP0	o
nomes	nomes	NCMP000	nome
das	das	SPS00+DA0FP0	de+o
pesoas	pessoas	NCFP000	pessoa
q	que	PR0CN000	que
estavão	estavam	VMII3P0	estar
na	na	SPS00+DA0FS0	em+o
eira	eira	NCFS000	eira
quamdo	quando	CS	quando
pelleiguou	pelejou	VMIS3S0	pelejar
com	com	SPS00	com
ffernão	Fernão	NP00000	fernão
piz	Pires	NP00000	pires
	,	Fc	,
abeguão	abegão	NCMS000	abegão
	,	Fc	,
q	que	PR0CN000	que
ffoi	foi	VSIS3S0	ser
de	de	SPS00	de
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
ao	ao	SPS00+DA0MS0	a+o
pe	padre	NCMS000	padre
do	do	SPS00+DA0MS0	de+o
borateyro	borateyro	X	X
	.	Fp	.
eu	Eu	PP1CSN00	eu
vim	vim	VMIS1S0	vir
ver	ver	VMN0000	ver
o	o	DA0MS0	o
llivro	livro	NCMS000	livro
daquelle	daquele	SPS00+DD0MS0	de+aquele
anno	ano	NCMS000	ano
pa	para	SPS00	para
saber	saber	VMN0000	saber
as	as	DA0FP0	o
pesoas	pessoas	NCFP000	pessoa
q	que	PR0CN000	que
istiverão	estiveram	VMIS3P0	estar
na	na	SPS00+DA0FS0	em+o
eira	eira	NCFS000	eira
comnosquo	connosco	SPS00+PP1CPO00	com+nós
e	e	CC	e
acho	acho	VMIP1S0	achar
q	que	CS	que
estavão	estavam	VMII3P0	estar
comnosquo	connosco	SPS00+PP1CPO00	com+nós
simão	Simão	NP00000	simão
ffrz	Fernandes	NP00000	fernandes
	,	Fc	,
homẽ	homem	NCMS000	homem
trabalhador	trabalhador	AQ0MS0	trabalhador
/	,	Fc	,
e	e	CC	e
ffrco	Francisco	NP00000	francisco
ffrz	Fernandes	NP00000	fernandes
preto	Preto	NP00000	preto
	,	Fc	,
homẽ	homem	NCMS000	homem
ffoRo	forro	AQ0MS0	forro
	,	Fc	,
e	e	CC	e
bastião	Sebastião	NP00000	sebastião
ffrz	Fernandes	NP00000	fernandes
	,	Fc	,
homẽ	homem	NCMS000	homem
trabalhador	trabalhador	AQ0MS0	trabalhador
mor	morador	AQ0MS0	morador
em	em	SPS00	em
vall	Vale	NP00000	vale
do	do	SPS00+DA0MS0	de+o
paraiso	Paraíso	NP00000	paraíso
	,	Fc	,
e	e	CC	e
Roque	Roque	NP00000	roque
	,	Fc	,
escravo	escravo	NCMS000	escravo
ffoRo	forro	AQ0MS0	forro
	,	Fc	,
e	e	CC	e
asim	assim	RG	assim
outros	outros	PI0MP000	outro
	.	Fp	.
porẽ	Porém	RG	porém
diseme	disse-me	VMIS3S0+PP1CS000	dizer+me
o	o	DA0MS0	o
escrivão	escrivão	NCMS000	escrivão
q	que	CS	que
não	não	RN	não
puzese	pusesse	VMSI0S0	pôr
mais	mais	RC	mais
de	de	SPS00	de
tres	três	Z	três
	,	Fc	,
aqui	aqui	RG	aqui
vão	vão	VMIP3P0	ir
quatro	quatro	Z	quatro
	,	Fc	,
os	os	DA0MP0	o
quais	quais	PR0CP000	qual
moravão	moravam	VMII3P0	morar
aquelle	aquele	DD0MS0	aquele
anno	ano	NCMS000	ano
comnosquo	connosco	SPS00+PP1CPO00	com+nós
	.	Fp	.
ffeita	Feita	VMP00SF	fazer
aos	aos	SPS00+DA0MP0	a+o
xxbiij	28	Z	28
d	de	SPS00	de
outubro	outubro	NCMS000	outubro
de	de	SPS00	de
1555	1555	Z	1555
annos	anos	NCMP000	ano
Irmão	Irmão	NCMS000	irmão
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
simão	Simão	NP00000	simão
llobo	Lobo	NP00000	lobo
