Dizey	Dizei	VMM02P0	dizer
a	a	SPS00	a
Vossa	vossa	DP2FSP	vosso
tya	tia	NCFS000	tio
catherina	Catarina	NP00000	catarina
frz	Fernandes	NP00000	fernandes
q	que	CS	que
Vos	vos	PP2CP000	vos
acompãhe	acompanhe	VMSP0S0	acompanhar
	.	Fp	.
Nimguem	Ninguém	PI0NN00N	ninguém
Se	se	P00CN000	se
aguaste	agaste	VMSP0S0	agastar
	.	Fp	.
eu	Eu	PP1CSN00	eu
espero	espero	VMIP1S0	esperar
em	em	SPS00	em
deos	Deus	NP00000	deus
q	que	CS	que
sera	será	VSIF3S0	ser
bem	bem	RG	bem
.	.	Fp	.
escrevão	Escrevam	VMSP3P0	escrever
a	a	SPS00	a
vosso	vosso	DP2MSP	vosso
pay	pai	NCMS000	pai
q	que	PR0CN000	que
se	se	P00CN000	se
não	não	RN	não
bula	bula	VMSP0S0	bulir
Donde	onde	PA000000	onde
esta	está	VMIP3S0	estar
	,	Fc	,
q	que	CS	que
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
prizão	prisão	NCFS000	prisão
não	não	RN	não
sera	será	VSIF3S0	ser
nada	nada	PI0NN00N	nada
	.	Fp	.
Se	Se	CS	se
vos	vos	PP2CP000	vos
ficarão	ficaram	VMIS3P0	ficar
as	as	DA0FP0	o
chaves	chaves	NCFP000	chave
	,	Fc	,
mandayme	mandai-me	VMM02P0+PP1CS000	mandar+me
hũ	um	DI0MS0	um
fio	fio	NCMS000	fio
de	de	SPS00	de
Retros	retrós	NCMS000	retrós
Verde	verde	AQ0CS0	verde
por	por	SPS00	por
sinal	sinal	NCMS000	sinal
em	em	SPS00	em
hũ	um	DI0MS0	um
lenço	lenço	NCMS000	lenço
E	e	CC	e
	,	Fc	,
se	se	CS	se
não	não	RN	não
	,	Fc	,
hum	um	DI0MS0	um
preto	preto	NCMS000	preto
	.	Fp	.
