snor	Senhor	NP00000	senhor
Irmão	irmão	NCMS000	irmão
meu	meu	DP1MSS	meu
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
Coracom	coração	NCMS000	coração
	.	Fp	.
ho	O	DA0MS0	o
portador	portador	NCMS000	portador
deste	deste	SPS00+DD0MS0	de+este
foi	foi	VMIS3S0	ir
meu	meu	DP1MSS	meu
Conpanheiro	companheiro	NCMS000	companheiro
neste	neste	SPS00+DD0MS0	em+este
carsere	cárcere	NCMS000	cárcere
	,	Fc	,
o	o	DA0MS0	o
qual	qual	PR0CN000	qual
por	por	SPS00	por
me	me	PP1CS000	me
fazer	fazer	VMN0000	fazer
m	mercê	NCFS000	mercê
pela	pela	SPS00+DA0FS0	por+o
muita	muita	DI0FS0	muito
amizade	amizade	NCFS000	amizade
q	que	PR0CN000	que
tomamos	tomámos	VMIP1P0	tomar
neste	neste	SPS00+DD0MS0	em+este
trabalho	trabalho	NCMS000	trabalho
me	me	PP1CS000	me
pormeteo	prometeu	VMIS3S0	prometer
com	com	SPS00	com
fe	fé	NCFS000	fé
de	de	SPS00	de
juramto	juramento	NCMS000	juramento
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
pasamos	passamos	VMIP1P0	passar
e	e	CC	e
vos	vos	PP2CP000	vos
avizar	avisar	VMN0000	avisar
e	e	CC	e
	,	Fc	,
Recebendo	recebendo	VMG0000	receber
este	este	DD0MS0	este
	,	Fc	,
vos	vos	PP2CP000	vos
venhais	venhais	VMSP2P0	vir
acuzar	acusar	VMN0000	acusar
de	de	SPS00	de
como	como	CS	como
me	me	PP1CS000	me
eu	eu	PP1CSN00	eu
descubri	descobri	VMIS1S0	descobrir
a	a	SPS00	a
vos	vós	PP2CP000	vós
aConselhandovos	aconselhando-vos	VMG0000+PP2CP000	aconselhar+vos
q	que	CS	que
foses	fosses	VMSI2S0	ir
judeu	judeu	NCMS000	judeu
como	como	CS	como
eu	eu	PP1CSN00	eu
era	era	VSII0S0	ser
e	e	CC	e
que	que	CS	que
vos	vós	PP2CP000	vós
me	me	PP1CS000	me
Respondestes	respondestes	VMIS2P0	responder
que	que	CS	que
não	não	RN	não
fose	fosse	VMSI0S0	ir
parvo	parvo	AQ0MS0	parvo
e	e	CC	e
não	não	RN	não
crese	cresse	VMSI0S0	crer
em	em	SPS00	em
busõis	abusões	NCFP000	em
e	e	CC	e
não	não	RN	não
vos	vos	PP2CP000	vos
falase	falasse	VMSI0S0	falar
mais	mais	NCMS000	mais
niso	nisso	SPS00+PD0NN000	em+isso
	.	Fp	.
e	E	CC	e
direis	direis	VMIF2P0	dizer
mais	mais	RC	mais
q	que	CS	que
vos	vos	PP2CP000	vos
dixe	disse	VMIS3S0	dizer
q	que	CS	que
o	o	DA0MS0	o
dro	dinheiro	NCMS000	dinheiro
q	que	PR0CN000	que
me	me	PP1CS000	me
daveis	dáveis	VMII2P0	dar
pa	para	SPS00	para
ir	ir	VMN0000	ir
dizer	dizer	VMN0000	dizer
mizas	missas	NCFP000	missa
ao	ao	SPS00+DA0MS0	a+o
Carmo	Carmo	NP00000	carmo
por	por	SPS00	por
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
o	o	DA0MS0	o
não	não	RN	não
dava	dava	VMII0S0	dar
porque	porque	CS	porque
me	me	PP1CS000	me
parecia	parecia	VMII0S0	parecer
que	que	CS	que
não	não	RN	não
aporveitavão	aproveitavam	RN	não
misas	missas	NCFP000	missa
pela	pela	SPS00+DA0FS0	por+o
sua	sua	DP3FS0	seu
alma	alma	NCFS000	alma
e	e	CC	e
	,	Fc	,
tendo	tendo	VMG0000	ter
detreminado	determinado	VMP00SM	determinar
de	de	SPS00	de
dizerdes	dizerdes	NP00000	dizerdes
isto	isto	PD0NN000	isto
	,	Fc	,
o	o	DA0MS0	o
direis	direis	VMIF2P0	dizer
ao	ao	SPS00+DA0MS0	a+o
portador	portador	NCMS000	portador
porque	porque	CS	porque
ese	esse	DD0MS0	esse
tem	tem	VMIP3S0	ter
hũ	um	DI0MS0	um
serto	certo	AQ0MS0	certo
sinal	sinal	NCMS000	sinal
de	de	SPS00	de
darme	dar-me	VMN0000+PP1CS000	dar+me
pa	para	SPS00	para
q	que	CS	que
eu	eu	PP1CSN00	eu
conheça	conheça	VMSP0S0	conhecer
qua	cá	RG	cá
como	como	CS	como
vos	vos	PP2CP000	vos
tem	tem	VMIP3S0	ter
