Snor	Senhor	NP00000	senhor
	.	Fp	.
fazeme	Fazei-me	VMM02P0+PP1CS000	fazer+me
m	mercê	NCFS000	mercê
q	que	CS	que
me	me	PP1CS000	me
digais	digais	VMSP2P0	dizer
o	o	DA0MS0	o
q	que	PR0CN000	que
pasais	passais	VMIP2P0	passar
ou	ou	CC	ou
se	se	CSI	se
tends	tendes	VAIP2P0	ter
confesado	confessado	VMP0000	confessar
e	e	CC	e
o	o	DA0MS0	o
q	que	PR0CN000	que
tends	tendes	VAIP2P0	ter
dito	dito	VMP0000	dizer
pq	porque	CS	porque
	,	Fc	,
se	se	CS	se
não	não	RN	não
tends	tendes	VAIP2P0	ter
confesado	confessado	VMP0000	confessar
nada	nada	PI0NN00N	nada
	,	Fc	,
nan	não	RN	não
cõfeses	confesseis	VMSP2P0	confessar
	,	Fc	,
senão	senão	CC	senão
dize	dizei	VMM02P0	dizer
q	que	CS	que
este	este	DD0MS0	este
feito	feito	NCMS000	feito
pendeo	pendeu	VMIS3S0	pender
amte	ante	SPS00	ante
os	os	DA0MP0	o
coregedores	Corregedores	NCMP000	corregedor
	,	Fc	,
q	que	CS	que
aqui	aqui	RG	aqui
q	que	CS	que
não	não	RN	não
dizes	dizeis	VMIP2P0	dizer
nada	nada	PI0NN00N	nada
	,	Fc	,
q	que	CS	que
ante	ante	SPS00	ante
os	os	DA0MP0	o
coregedores	Corregedores	NCMP000	corregedor
aves	haveis	VMIP2P0	haver
de	de	SPS00	de
responder	responder	VMN0000	responder
	.	Fp	.
e	E	CC	e
q	que	CS	que
	,	Fc	,
visto	visto	VMP00SM	ver
tends	tendes	VMIP2P0	ter
hũa	uma	DI0FS0	um
carta	carta	NCFS000	carta
dos	dos	SPS00+DA0MP0	de+o
coregedores	Corregedores	NCMP000	corregedor
de	de	SPS00	de
seguro	seguro	NCMS000	seguro
	.	Fp	.
e	E	CC	e
se	se	CS	se
tiverds	tiverdes	VASF2P0	ter
confesado	confessado	VMP0000	confessar
	,	Fc	,
asin	assim	RG	assim
mãdai	mandai	VMM02P0	mandar
dizer	dizer	VMN0000	dizer
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
temds	tendes	VAIP2P0	ter
dito	dito	VMP00SM	dizer
e	e	CC	e
o	o	DA0MS0	o
q	que	PR0CN000	que
se	se	P00CN000	se
pasar	passar	VMSF0S0	passar
	.	Fp	.
mãday	Mandai	VMM02P0	mandar
a	a	DA0FS0	o
carta	carta	NCFS000	carta
de	de	SPS00	de
seguro	seguro	NCMS000	seguro
q	que	PR0CN000	que
lla	lá	RG	lá
tends	tendes	VMIP2P0	ter
	.	Fp	.
e	E	CC	e
a	a	DA0FS0	o
reposta	resposta	NCFS000	resposta
q	que	PR0CN000	que
mãdards	mandardes	VMSF2P0	mandar
	,	Fc	,
meteo	metei-o	VMM02P0+PP3MSA00	mandar+o
o	o	DA0MS0	o
esprito	escrito	NCMS000	escrito
no	no	SPS00+DA0MS0	em+o
foro	forro	NCMS000	forro
do	do	SPS00+DA0MS0	de+o
mante	manto	NCMS000	manto
o	ou	CC	ou
da	da	SPS00+DA0FS0	de+o
camisa	camisa	NCFS000	camisa
ou	ou	CC	ou
en	em	SPS00	em
cousa	coisa	NCFS000	coisa
q	que	PR0CN000	que
venha	venha	VMSP0S0	vir
seguro	seguro	AQ0MS0	seguro
	,	Fc	,
q	que	CS	que
vos	vos	PP2CP000	vos
a	a	SPS00	a
vos	vós	PP2CP000	vós
pareca	pareça	VMSP0S0	parecer
	,	Fc	,
q	que	CS	que
nao	não	RN	não
no	o	PP3MSA00	o
achem	achem	VMSP3P0	achar
nỹgen	ninguém	PI0NN00N	ninguém
	.	Fp	.
e	E	CC	e
lla	lá	RG	lá
vay	vai	VMIP3S0	ir
hũ	um	DI0MS0	um
tintero	tinteiro	NCMS000	tinteiro
e	e	CC	e
hũ	um	DI0MS0	um
peceno	pequeno	AQ0MS0	pequeno
de	de	SPS00	de
papell	papel	NCMS000	papel
com	com	SPS00	com
q	que	PR0CN000	que
respondais	respondais	VMSP2P0	responder
	.	Fp	.
