quatro	Quatro	Z	quatro
cousas	coisas	NCFP000	coisa
sam	são	VSIP3P0	ser
as	as	DA0FP0	o
cõ	com	SPS00	com
q	que	PR0CN000	que
folgei	folguei	VMIS1S0	folgar
.	.	Fp	.
Papel	Papel	NCMS000	papel
	,	Fc	,
veo	veio	VMIS3S0	vir
o	o	DA0MS0	o
do	do	SPS00+DA0MS0	de+o
pucaro	púcaro	NCMS000	púcaro
.	,	Fc	,
o	o	DA0MS0	o
do	do	SPS00+DA0MS0	de+o
queyo	queijo	NCMS000	queijo
nã	não	RN	não
.	.	Fp	.
domïgo	Domingo	NCMS000	domingo
e	e	CC	e
segũda	segunda	NCFS000	segunda
no	no	SPS00+DA0MS0	em+o
cesto	cesto	NCMS000	cesto
veo	veio	VMIS3S0	vir
o	o	DA0MS0	o
comer	comer	NCMS000	o
asẽtado	assentado	VMP00SM	assentar
sã	sem	SPS00	sem
saco	saco	NCMS000	saco
nẽ	nem	CC	nem
outro	outro	DI0MS0	outro
pano	pano	NCMS000	pano
	,	Fc	,
salvo	salvo	SPS00	salvo
a	a	DA0FS0	o
toalha	toalha	NCFS000	toalha
cuberto	coberto	VMP00SM	cobrir
.	.	Fp	.
pelegei	Pelejei	VMIS1S0	pelejar
cõvosco	convosco	SPS00+PP2CPO00	com+vós
q	que	CC	que
tal	tal	RG	tal
mãdaveis	mandáveis	VMII2P0	mandar
saber	saber	VMN0000	saber
a	a	SPS00	a
Lo	Lourenço	NP00000	lourenço
piz	Peres	NP00000	peres
	.	Fp	.
veremos	Veremos	VMIF1P0	ver
oje	hoje	RG	hoje
	.	Fp	.
eu	Eu	PP1CSN00	eu
tinha	tinha	VAII0S0	ter
escrito	escrito	NCMS000	escrito
a	a	SPS00	a
mell	Manuel	NP00000	manuel
do	do	SPS00+DA0MS0	de+o
couto	Couto	NP00000	couto
q	que	CS	que
nã	não	RN	não
esteja	esteja	VMSP0S0	teja
ẽ	em	SPS00	em
usar	usar	VMN0000	usar
daquele	daquele	SPS00+DD0MS0	de+aquele
breve	breve	AQ0CS0	breve
mas	mas	CC	mais
que	que	CS	que
sera	será	VSIF3S0	ser
q	que	CS	que
viera	viera	VMIM0S0	vir
a	a	DA0FS0	o
cousa	coisa	NCFS000	coisa
	?	Fp	?
qua	Cá	RG	cá
basta	basta	VMIP3S0	bastar
	.	Fp	.
faz	Faz	VMIP3S0	fazer
o	o	DA0MS0	o
q	que	PR0CN000	que
o	o	DA0MS0	o
caro	caro	AQ0MS0	caro
.	.	Fp	.
pareceme	Parece-me	VMIP3S0+PP1CS000	parecer+me
bm	bem	RG	bem
irdes	irdes	VMN02P0	ir
a	a	SPS00	a
sintra	Sintra	NP00000	sintra
.	.	Fp	.
farei	Farei	VMIF1S0	fazer
a	a	DA0FS0	o
peticão	petição	NCFS000	petição
	.	Fp	.
sãpre	Sempre	RG	sempre
esperei	esperei	VMIS1S0	esperar
que	que	CS	que
depois	depois	RG	depois
de	de	SPS00	de
ds	Deus	NP00000	deus
vos	vós	PP2CP000	vós
me	me	PP1CS000	me
aveis	haveis	VMIP2P0	haver
de	de	SPS00	de
livrar	livrar	VMN0000	livrar
	.	Fp	.
porẽ	Porém	RG	porém
ha	há	VMIP3S0	haver
de	de	SPS00	de
ser	ser	NCMS000	ser
desta	desta	SPS00+DD0FS0	de+este
manra	maneira	NCFS000	maneira
q	que	PR0CN000	que
aveis	haveis	VMIP2P0	haver
de	de	SPS00	de
falar	falar	VMN0000	falar
cõ	com	SPS00	com
elles	eles	PP3MP000	ele
pto	portanto	RG	portanto
?	?	Fp	?
estãa	Está	VMIP3S0	estar
bẽ	bem	RG	bem
e	e	CC	e
nuca	nunca	RN	nunca
esteve	esteve	VMIS3S0	estar
soo	só	RG	só
	.	Fp	.
cõ	Com	SPS00	com
pimro	primeiro	NCMS000	primeiro
hũ	um	DI0MS0	um
criado	criado	NCMS000	criado
d	de	SPS00	de
elrei	el-Rei	NP00000	el-rei
	,	Fc	,
agora	agora	RG	agora
q	que	CS	que
mo	mo	PP1CS000+PP3MSA00	me+o
der	der	VMSF0S0	dar
o	o	DA0MS0	o
alcaide	alcaide	NCMS000	alcaide
eilhe	ei-lhe	NCMS000	alcaide
de	de	SPS00	de
cometer	cometer	VMN0000	cometer
quitaremos	quitaremos	SPS00	quitaremos
todos	todos	PI0MP000	todo
q	que	CS	que
todos	todos	PI0MP000	todo
asi	assim	RG	assim
estã	estão	VMIP3P0	estar
e	e	CC	e
comigo	comigo	SPS00+PP1CSO00	com+mim
e	e	CC	e
sou	sou	VSIP1S0	ser
sẽpre	sempre	RG	sempre
isto	isto	PD0NN000	isto
de	de	SPS00	de
hũ	um	DI0MS0	um
soo	só	RG	só
por	por	SPS00	por
me	me	PP1CS000	me
fazer	fazer	VMN0000	fazer
m	mercê	NCFS000	mercê
	.	Fp	.
tudo	Tudo	PI0NN000	tudo
tenho	tenho	VMIP1S0	ter
a	a	SPS00	a
bõ	bom	AQ0MS0	bom
recado	recado	NCMS000	recado
pa	para	SPS00	para
lho	lho	PP3CSD00+PP3MSA00	lhe+o
dar	dar	VMN0000	dar
	,	Fc	,
vindo	vindo	VMG0000	vir
ja	já	RG	já
	,	Fc	,
he	e	CC	e
elle	ele	PP3MS000	ele
sabe	sabe	VMIP3S0	saber
e	e	CC	e
q	que	CS	que
	,	Fc	,
ver	ver	VMN0000	ver
o	o	DA0MS0	o
da	da	SPS00+DA0FS0	de+o
beira	beira	NCFS000	beira
	,	Fc	,
espero	espero	VMIP1S0	esperar
ẽ	em	SPS00	em
ds	Deus	NP00000	deus
q	que	CS	que
si	se	P00CN000	se
fara	fará	VMIF3S0	fazer
.	.	Fp	.
sor	Senhor	NP00000	senhor
	,	Fc	,
tenha	tenha	VMSP0S0	ter
paçiẽtia	paciência	NCFS000	paciência
cõ	com	SPS00	com
tãtos	tantos	DI0MP0	tanto
trabalhos	trabalhos	NCMP000	trabalho
ds	Deus	NP00000	deus
cõ	com	SPS00	com
todos	todos	DI0MP0	todo
fo	filho	NCMS000	filho
q	que	CS	que
polo	pelo	SPS00+DA0MS0	por+o
q	que	PR0CN000	que
vos	vos	PP2CP000	vos
disse	disse	VMIS3S0	dizer
credos	credos	RG	credos
q	que	CS	que
nã	não	RN	não
ey	hei	VMIP1S0	haver
de	de	SPS00	de
sair	sair	VMN0000	sair
da	da	SPS00+DA0FS0	de+o
t	t	NCFS000	t
tã	tão	CC	tão
cedo	cedo	RG	cedo
q	que	CS	que
por	por	SPS00	por
ds	Deus	NP00000	deus
vos	vos	PP2CP000	vos
desẽganẽ	desengane	VMSP0S0	desenganar
q	que	CS	que
vos	vós	PP2CP000	vós
quereis	quereis	VMIP2P0	querer
yr	ir	VMN0000	ir
pa	para	SPS00	para
vosos	vossos	DP2MPP	vosso
fos	filhos	NCMP000	filho
	.	Fp	.
e	E	CC	e
aqui	aqui	RG	aqui
he	é	VSIP3S0	ser
dizer	dizer	VMN0000	dizer
q	que	CS	que
desejais	desejais	VMSP2P0	desejar
yr	ir	VMN0000	ir
a	a	SPS00	a
sintra	Sintra	NP00000	sintra
cõ	com	SPS00	com
hũa	uma	DI0FS0	um
peticã	petição	NCFS000	petição
q	que	CS	que
recõte	reconte	RG	reconte
asi	assim	RG	assim
minha	minha	DP1FSS	meu
doẽca	doença	NCFS000	doença
como	como	SPS00	como
as	as	DA0FP0	o
misérias	misérias	NCFP000	miséria
daquela	daquela	SPS00+DD0FS0	de+aquele
orfandade	orfandade	NCFS000	orfandade
d	de	SPS00	de
elvas	Elvas	NP00000	elvas
q	que	CS	que
tẽdes	tendes	VMIP2P0	ter
quẽ	quem	PR0CN000	quem
vola	vo-la	PP2CP000+PP3FSA00	vos+o
faça	faça	VMSP0S0	fazer
	.	Fp	.
avede	Vede	VMM02P0	ver
q	que	CS	que
vos	vos	PP2CP000	vos
dizẽ	dizem	VMIP3P0	dizer
de	de	SPS00	de
tudo	tudo	PI0NN000	tudo
e	e	CC	e
acometei	acometei	VMIS1S0	acometer
a	a	SPS00	a
jo	João	NP00000	joão
velho	Velho	NP00000	velho
q	que	CS	que
vos	vos	PP2CP000	vos
faca	faça	VMSP0S0	fazer
a	a	DA0FS0	o
peticam	petição	NCFS000	petição
q	que	CS	que
a	a	PP3FSA00	o
darais	dareis	VMIF2P0	dar
a	a	SPS00	a
trasladar	trasladar	VMN0000	trasladar
	.	Fp	.
e	E	CC	e
aptai	apertai	NCMS000	apertai
cõ	com	SPS00	com
elle	ele	PP3MS000	ele
e	e	CC	e
mãdai me	mandai-me	VMM02P0+PP1CS000	mandar+me
o	o	DA0MS0	o
treslado	treslado	NCMS000	treslado
	.	Fp	.
vai	Vai	VMIP3S0	ir
agora	agora	RG	agora
outro	outro	DI0MS0	outro
pa	para	SPS00	para
mell	Manuel	NP00000	manuel
fialho	Fialho	NP00000	Fialho
se	se	CS	se
pode	pode	VMIP3S0	poder
meterse	meter-se	VMN0000+P00CN000	meter+se
sẽ	sem	SPS00	sem
o	o	DA0MS0	o
breve	breve	AQ0CS0	breve
senã	senão	CC	senão
fazei	fazei	VMM02S0	fazer
outra	outra	DI0FS0	outro
e	e	CC	e
metei lhe	metei-lhe	CC	e
dro	dinheiro	NCMS000	dinheiro
este	este	DD0MS0	este
e	e	CC	e
de	de	SPS00	de
mell	Manuel	NP00000	manuel
do	do	SPS00+DA0MS0	de+o
couto	Couto	NP00000	couto
q	que	CS	que
isto	isto	PD0NN000	isto
releva	releva	VMIP3S0	relevar
mto	muito	RQ	muito
.	.	Fp	.
fazei	Fazei	VMM02S0	fazer
ẽ	em	SPS00	em
mtos	muitos	DI0MP0	muito
pedaços	pedaços	NCMP000	pedaço
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
q	que	PR0CN000	que
tẽdes	tendes	VMIP2P0	ter
e	e	CC	e
mãdaios	mandai-os	VMM02P0+PP3MPA00	mandar+o
os	os	DA0MP0	o
pedaços	pedaços	NCMP000	pedaço
	.	Fp	.
p	Por	SPS00	por
vezes	vezes	NCFP000	vez
vẽhã	venham	VMSP3P0	vir
desemcõtrados	desencontrados	NCMP000	desencontrado
	,	Fc	,
os	os	DA0MP0	o
do	do	SPS00+DA0MS0	de+o
prïçipio	princípio	NCMS000	princípio
cõ	com	SPS00	com
os	os	DA0MP0	o
do	do	SPS00+DA0MS0	de+o
fim	fim	NCMS000	fim
e	e	CC	e
nïgẽ	ninguém	PI0NN00N	ninguém
vos	vos	PP2CP000	vos
	.	Fp	.
temo	Temo	VMIP1S0	temer
esa	essa	DD0FS0	esse
mulata	mulata	NCFS000	mulato
.	.	Fp	.
nã	Não	RN	não
cure	cure	VMSP0S0	curar
de	de	SPS00	de
trasladar	trasladar	VMN0000	trasladar
.	.	Fp	.
ads	Adeus	I	adeus
	.	Fp	.
