Snros	Senhores	NP00000	senhores
inquizidores	Inquisidores	NP00000	inquisidores
	.	Fp	.
hum	Um	DI0MS0	um
Bertolameu	Bartolomeu	NP00000	bartolomeu
dias	Dias	NP00000	dias
	,	Fc	,
merCador	mercador	NCMS000	mercador
	,	Fc	,
morador	morador	NCMS000	morador
nesta	nesta	SPS00+DD0FS0	em+este
Cidade	cidade	NCFS000	cidade
	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
pe	pé	NCMS000	pé
das	das	SPS00+DA0FP0	de+o
aldas	Aldas	NP00000	aldas
	,	Fc	,
veo	veio	VMIS3S0	vir
pa	para	SPS00	para
esta	esta	DD0FS0	este
Cidade	cidade	NCFS000	cidade
de	de	SPS00	de
setuvel	Setúbal	NP00000	setúbal
avera	haverá	VMIF3S0	haver
16	16	Z	16
annos	anos	NCMP000	ano
	,	Fc	,
pouquo	pouco	RQ	pouco
mais	mais	RC	mais
hou	ou	CC	ou
menos	menos	RC	menos
	.	Fp	.
A	A	DA0FS0	o
Resam	razão	NCFS000	razão
de	de	SPS00	de
sua	sua	DP3FS0	seu
vinda	vinda	NCFS000	vinda
foi	foi	VSIS3S0	ser
que	que	CS	que
	,	Fc	,
sendo	sendo	VSG0000	ser
elle	ele	PP3MS000	ele
Cazado	casado	VMP00SM	casar
na	na	SPS00+PP3FSA00	em+o
mesma	mesma	AQ0FS0	mesmo
Vila	vila	NCFS000	vila
	,	Fc	,
achou	achou	VMIS3S0	achar
sua	sua	DP3FS0	seu
mulher	mulher	NCFS000	mulher
Con	com	SPS00	com
hũm	um	DI0MS0	um
mansebo	mancebo	NCMS000	mancebo
e	e	CC	e
os	os	PP3MPA00	o
premdeo	prendeu	VMIS3S0	prender
a	a	SPS00	a
anbos	ambos	DI0MP0	ambos
	.	Fp	.
sentensiarão	Sentenciaram	VMIS3P0	sentenciar
a	a	DA0FS0	o
mulher	mulher	NCFS000	mulher
por	por	SPS00	por
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
vida	vida	NCFS000	vida
pa	para	SPS00	para
as	as	DA0FP0	o
partes	partes	NCFP000	parte
do	do	SPS00+DA0MS0	de+o
Brazil	Brasil	NP00000	brasil
	.	Fp	.
