Pareceome	Pareceu-me	VMIS3S0+PP1CS000	parecer+me
avisar	avisar	VMN0000	avisar
a	a	DA0FS0	o
vmces	VMs	NP0P000	VM
em	em	SPS00	em
como	como	PA000000	como
achei	achei	VMIS1S0	achar
por	por	SPS00	por
informação	informação	NCFS000	informação
d	de	SPS00	de
algũs	alguns	DI0MP0	algum
soldados	soldados	NCMP000	soldado
chegados	chegados	VMP00PM	chegar
das	das	SPS00+DA0FP0	de+o
fronteiras	fronteiras	NCFP000	fronteira
a	a	SPS00	a
esta	esta	DD0FS0	este
villa	vila	NCFS000	vila
q	que	CS	que
estava	estava	VMII0S0	estar
en	em	SPS00	em
Castello	Castelo	NP00000	castelo
de	de	SPS00	de
vide	Vide	NP00000	vide
e	e	CC	e
q	que	CS	que
fasia	fazia	VMII0S0	fazer
officio	ofício	NCMS000	ofício
de	de	SPS00	de
sarjento	Sargento	NP00000	sargento
joão	João	NP00000	joão
da	da	SPS00+DA0FS0	de+o
Costa	Costa	NP00000	costa
	,	Fc	,
filho	filho	NCMS000	filho
de	de	SPS00	de
diogo	Diogo	NP00000	diogo
dias	Dias	NP00000	dias
	,	Fc	,
o	o	DA0MS0	o
qual	qual	PR0CS000	qual
cõ	com	SPS00	com
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
mais	mais	DI0CN0	mais
filhos	filhos	NCMP000	filho
forão	foram	VSIS3P0	ser
presos	presos	AQ0MPP	preso
e	e	CC	e
penitençiados	penitenciados	VMP00PM	penitenciar
pello	pelo	SPS00+DA0MS0	por+o
sto	Santo	AQ0MS0	santo
offo	Ofício	NP00000	ofício
	.	Fp	.
E	E	CC	e
ja	já	RG	já
pode	pode	VMIP3S0	poder
ser	ser	VSN0000	ser
q	que	CS	que
per	por	SPS00	por
não	não	RN	não
haver	haver	VMN0000	haver
noticias	notícias	NCFP000	notícia
desta	desta	SPS00+DD0FS0	de+este
molestia	moléstia	NCFS000	moléstia
	...	Fs	...
Nesta	Nesta	SPS00+DD0FS0	em+este
villa	vila	NCFS000	vila
he	é	VSIP3S0	ser
casado	casado	VMP00SM	casar
e	e	CC	e
Recebido	recebido	VMP00SM	receber
en	em	SPS00	em
face	face	NCFS000	face
de	de	SPS00	de
igra	igreja	NCFS000	igreja
Bastião	Sebastião	NP00000	sebastião
nunes	Nunes	NP00000	nunes
	,	Fc	,
de	de	SPS00	de
alcunha	alcunha	NCFS000	alcunha
o	O	DA0MS0	o
cardador	Cardador	NCMS000	cardador
	,	Fc	,
homẽ	homem	NCMS000	homem
magro	magro	AQ0MS0	magro
	,	Fc	,
Rosto	rosto	NCMS000	rosto
cõprido	comprido	AQ0MS0	comprido
	,	Fc	,
bocado	bocado	NCMS000	bocado
Ruivo	ruivo	AQ0MS0	ruivo
	,	Fc	,
pouco	pouco	PI0MS000	pouco
	,	Fc	,
sera	será	VSIF3S0	ser
de	de	SPS00	de
45	45	Z	45
anos	anos	NCMP000	ano
te	até	SPS00	até
50	50	Z	50
.	.	Fp	.
Este	Este	PD0MS000	este
tal	tal	DD0CS0	tal
ce	se	P00CN000	se
foi	foi	VMIS3S0	ir
daqui	daqui	SPS00+RG	de+aqui
havera	haverá	VMIF3S0	haver
me	me	PP1CS000	me
parece	parece	VMIP3S0	parecer
des	dez	Z	dez
ou	ou	CC	ou
dose	doze	Z	doze
anos	anos	NCMP000	ano
,	,	Fc	,
E	e	CC	e
tenho	tenho	VMIP1S0	ter
per	por	SPS00	por
informação	informação	NCFS000	informação
q	que	CS	que
esta	está	VMIP3S0	estar
casado	casado	VMP00SM	casar
em	em	SPS00	em
Aldea	Aldeia	NP00000	aldeia
galega	Galega	NP00000	galega
	,	Fc	,
tres	três	Z	três
legoas	léguas	NCFP000	légua
dessa	dessa	SPS00+DD0FS0	de+esse
