Ilmos	Ilustríssimos	AQSMP0	ilustre
Snnors	Senhores	NP00000	senhores
	.	Fp	.
Muito	Muito	RQ	muito
agradesido	agradecido	VMP00SM	agradecer
estou	estou	VMIP1S0	estar
Pella	pela	SPS00+DA0FS0	por+o
muyta	muita	DI0FS0	muito
meziriCordia	misericórdia	NCFS000	misericórdia
de	de	SPS00	de
este	este	DD0MS0	este
santo	santo	NCMS000	santo
tribunal	tribunal	NCMS000	tribunal
E	e	CC	e
santo	santo	AQ0MS0	santo
ouficio	ofício	NCMS000	ofício
que	que	PR0CN000	que
alcançamos	alcançamos	VMIP1P0	alcançar
todos	todos	PI0MP000	todo
	.	Fp	.
E	E	CC	e
de	de	SPS00	de
Vossas	Vossas	DP2FPP	vosso
Senhorias	Senhorias	NP00000	senhorias
tanbem	também	RG	também
estou	estou	VMIP1S0	estar
oubriguado	obrigado	VMP00SM	obrigar
cõ	com	SPS00	com
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
estado	estado	NCMS000	estado
que	que	PR0CN000	que
Vs	VSas	NP00000	VSa
me	me	PP1CS000	me
derão	deram	VMIS3P0	dar
a	a	SPS00	a
Rogar	rogar	VMN0000	rogar
a	a	SPS00	a
nosso	Nosso	DP1MSP	nosso
snor	Senhor	NP00000	senhor
Jesus	Jesus	NP00000	jesus
XPo	XPO	NP00000	xpo
e	e	CC	e
a	a	SPS00	a
Virgem	Virgem	NP00000	virgem
Santa	Santa	NP00000	santa
maria	Maria	NP00000	maria
	,	Fc	,
senhora	Senhora	NP00000	senhor
a	a	SPS00	a
quem	quem	PR0CN000	quem
temos	temos	VMIP1P0	ter
muita	muita	DI0FS0	muito
fee	fé	NCFS000	fé
	.	Fp	.
E	E	CC	e
eu	eu	PP1CSN00	eu
	,	Fc	,
como	como	SPS00	como
Cristão	cristão	NCMS000	cristão
aRependido	arrependido	VMP00SM	arrepender
de	de	SPS00	de
meus	meus	DP1MPS	meu
pecados	pecados	NCMP000	pecado
	,	Fc	,
me	me	PP1CS000	me
abraço	abraço	VMIP1S0	abraçar
Com	com	SPS00	com
o	o	DA0MS0	o
devino	divino	NCMS000	divino
de	de	SPS00	de
nossa	nossa	DP1FSP	nosso
santa	santa	AQ0FS0	santo
fee	fé	NCFS000	fé
catoliqua	católica	AQ0FS0	católico
.	.	Fp	.
eu	Eu	PP1CSN00	eu
fico	fico	VMIP1S0	ficar
aprezentado	apresentado	VMP00SM	apresentar
em	em	SPS00	em
mazagão	Mazagão	NP00000	mazagão
	,	Fc	,
debaxo	debaixo	RG	debaixo
do	do	SPS00+DA0MS0	de+o
Puder	poder	NCMS000	poder
do	do	SPS00+DA0MS0	de+o
snor	Senhor	NP00000	senhor
Ruy	Rui	NP00000	rui
de	de	SPS00	de
moira	Moira	NP00000	moira
	,	Fc	,
ofereçido	oferecido	VMP00SM	oferecer
a	a	SPS00	a
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
que	que	CS	que
vossas	Vossas	DP2FPP	vosso
senhorias	Senhorias	NP00000	senhorias
E	e	CC	e
o	o	DA0MS0	o
snor	Senhor	NP00000	senhor
governador	Governador	NP00000	governador
ordenarem	ordenarem	VMN03P0	ordenar
	.	Fp	.
eu	Eu	PP1CSN00	eu
fico	fico	VMIP1S0	ficar
mui	muito	RQ	muito
aRisquado	arriscado	VMP00SM	arriscar
Em	em	SPS00	em
hũa	uma	DI0FS0	um
