hesta	Esta	PD0FS000	este
não	não	RN	não
he	é	VSIP3S0	ser
pa	para	SPS00	para
mais	mais	RC	mais
que	que	CS	que
pa	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
dar	dar	VMN0000	dar
novas	novas	NCFP000	nova
de	de	SPS00	de
myn	mim	PP1CSO00	mim
	,	Fc	,
que	que	PR0CN000	que
he	é	VSIP3S0	ser
fiquar	ficar	VMN0000	ficar
de	de	SPS00	de
saude	saúde	NCFS000	saúde
	,	Fc	,
mas	mas	CC	mas
con	com	SPS00	com
mto	muito	DI0MS0	muito
trabalho	trabalho	NCMS000	trabalho
na	na	SPS00+DA0FS0	em+o
prizão	prisão	NCFS000	prisão
	,	Fc	,
ha	a	DA0FS0	o
coal	qual	PR0CS000	qual
me	me	PP1CS000	me
fizerão	fizeram	VMIS3P0	fazer
a	a	SPS00	a
seu	seu	DP3MS0	seu
querimto	querimento	NCMS000	querimento
	.	Fp	.
he	E	CC	e
nela	nela	SPS00+PP3FS000	em+ele
estou	estou	VMIP1S0	estar
aguoardãodo	aguardando	VMG0000	aguardar
por	por	SPS00	por
sua	sua	DP3FS0	seu
pesoa	pessoa	NCFS000	pessoa
pa	para	SPS00	para
me	me	PP1CS000	me
pedir	pedir	VMN0000	pedir
ao	ao	SPS00+DA0MS0	a+o
sor	senhor	NP00000	senhor
bispo	bispo	NP00000	bispo
que	que	CS	que
tome	tome	VMSP0S0	tomar
conxsimto	conhecimento	NCMS000	conhecimento
deste	deste	SPS00+DD0MS0	de+este
cauzo	caso	NCMS000	caso
he	e	CC	e
me	me	PP1CS000	me
sentensee	sentencie	VMSP0S0	sentenciar
com	com	SPS00	com
miziricordia	misericórdia	NCFS000	misericórdia
	.	Fp	.
he	E	CC	e
taoto	tanto	RC	tanto
que	que	CS	que
esta	esta	PD0FS000	este
lhe	lhe	PP3CSD00	lhe
for	for	VMSF0S0	ir
dada	dada	VMP00SF	dar
	,	Fc	,
logo	logo	RG	logo
com	com	SPS00	com
mta	muita	DI0FS0	muito
brevidade	brevidade	NCFS000	brevidade
se	se	P00CN000	se
avie	avie	VMSP0S0	aviar
com	com	SPS00	com
seu	seu	DP3MS0	seu
fo	filho	NCMS000	filho
he	e	CC	e
me	me	PP1CS000	me
Venha	venha	VMSP0S0	vir
Ver	ver	VMN0000	ver
he	e	CC	e
negosear	negociar	VMN0000	negociar
minha	minha	DP1FSS	meu
soltura	soltura	NCFS000	soltura
	,	Fc	,
pois	pois	CS	pois
me	me	PP1CS000	me
fes	fez	VMIS3S0	fazer
prender	prender	VMN0000	prender
	.	Fp	.
he	E	CC	e
la	lá	RG	lá
escrevo	escrevo	VMIP1S0	escrever
a	a	SPS00	a
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
que	que	CS	que
me	me	PP1CS000	me
mãode	mande	VMSP0S0	mandar
saguoro	seguro	NCMS000	seguro
pa	para	SPS00	para
me	me	PP1CS000	me
livrar	livrar	VMN0000	livrar
	,	Fc	,
porque	porque	CS	porque
estou	estou	VMIP1S0	estar
tão	tão	RC	tão
despezo	despeso	AQ0MS0	despeso
que	que	CS	que
	,	CS	que
de	de	SPS00	de
duas	duas	Z	duas
camizas	camisas	NCFP000	camisa
que	que	PR0CN000	que
tinha	tinha	VMII0S0	ter
	,	Fc	,
chegei	cheguei	VMIS1S0	chegar
a	a	SPS00	a
vender	vender	VMN0000	vender
hũa	uma	DI0FS0	um
	.	Fp	.
tãoben	Também	RG	também
pode	pode	VMIP3S0	poder
dizer	dizer	VMN0000	dizer
a	a	SPS00	a
minha	minha	DP1FSS	meu
mai	mãe	NCFS000	mãe
que	que	CS	que
me	me	PP1CS000	me
mãode	mande	VMSP0S0	mandar
o	o	DA0MS0	o
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dei	dei	VMIS1S0	dar
coão	quando	CS	quando
me	me	PP1CS000	me
Vyn	vim	VMIS1S0	vir
	,	Fc	,
que	que	CS	que
tenho	tenho	VMIP1S0	ter
estrema	extrema	AQ0FS0	extremo
nesecidade	necessidade	NCFS000	necessidade
	.	Fp	.
he	E	CC	e
asin	assim	RG	assim
diga	diga	VMSP0S0	dizer
tãoben	também	RG	também
a	a	SPS00	a
minhas	minhas	DP1FPS	meu
yrmas	irmãs	NCFP000	irmão
me	me	PP1CS000	me
favoresão	favoreçam	VMSP3P0	favorecer
de	de	SPS00	de
camizas	camisas	NCFP000	camisa
porque	porque	CS	porque
estou	estou	VMIP1S0	estar
não	na	SPS00+DA0FS0	em+o
prizão	prisão	NCFS000	prisão
he	e	CC	e
paso	passo	VMIP1S0	passar
mal	mal	RG	mal
	.	Fp	.
coãto	Quanto	PA000000	quanto
a	a	SPS00	a
ela	ela	PP3FS000	ele
	,	Fc	,
não	não	RN	não
tenho	tenho	VMIP1S0	ter
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
encareser	encarecer	VMN0000	encarecer
	,	Fc	,
senão	senão	CC	senão
que	que	CS	que
olhe	olhe	VMSP0S0	olhar
que	que	CS	que
estou	estou	VMIP1S0	estar
nesta	nesta	SPS00+DD0FS0	em+este
prizão	prisão	NCFS000	prisão
	,	Fc	,
a	a	DA0FS0	o
quoal	qual	PR0CS000	qual
e	é	VSIP3S0	ser
mto	muito	RQ	muito
estreita	estreita	AQ0FS0	estreito
he	e	CC	e
paso	passo	VMIP1S0	passar
mal	mal	RG	mal
	,	Fc	,
como	como	CS	como
asima	acima	RG	acima
digo	digo	VMIP1S0	dizer
	.	Fp	.
he	E	CC	e
sendo	sendo	VSG0000	ser
cazo	caso	NCMS000	caso
que	que	CS	que
se	se	P00CN000	se
não	não	RN	não
queira	queira	VMSP0S0	querer
Vir	vir	VMN0000	vir
ter	ter	VMN0000	ter
commigo	comigo	SPS00+PP1CSO00	com+mim
a	a	SPS00	a
resgatarme	resgatar-me	VMN0000+PP1CS000	resgatar+me
domde	donde	SPS00+PA000000	de+onde
estou	estou	VMIP1S0	estar
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
primeira	primeira	AO0FS0	primeiro
pasage	passagem	NCFS000	passagem
me	me	PP1CS000	me
mãode	mande	VMSP0S0	mandar
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
fo	filho	NCMS000	filho
com	com	SPS00	com
cosa	coisa	NCFS000	coisa
com	com	SPS00	com
que	que	PR0CN000	que
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
he	e	CC	e
mai	mãe	NCFS000	mãe
he	e	CC	e
ela	ela	PP3FS000	ele
me	me	PP1CS000	me
mãodar	mandar	VMSF0S0	me
	,	Fc	,
porque	porque	CS	porque
	,	Fc	,
não	não	RN	não
tendo	tendo	VMG0000	ter
logo	logo	RG	logo
quem	quem	PR0CN000	quem
me	me	PP1CS000	me
pesa	peça	VMSP0S0	pedir
ao	ao	SPS00+DA0MS0	a+o
sor	senhor	NP00000	senhor
bispo	bispo	NP00000	bispo
	,	Fc	,
estou	estou	VMIP1S0	estar
en	em	SPS00	em
risquo	risco	NCMS000	risco
de	de	SPS00	de
me	me	PP1CS000	me
mãodar	mandar	VMN0000	mandar
prezo	preso	VMP00SM	prender
a	à	SPS00+DA0FS0	a+o
sidade	cidade	NCFS000	cidade
de	de	SPS00	de
lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
haremetido	arremetido	VMP00SM	arremeter
aos	aos	SPS00+DA0MP0	a+o
snors	senhores	NP00000	senhor
do	do	SPS00+DA0MS0	de+o
Sãoto	Santo	NP00000	santo
oficio	Ofício	NP00000	ofício
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
peso	peço	VMIP1S0	pedir
que	que	CS	que
não	não	RN	não
venha	venha	VMSP0S0	vir
pasage	passagem	NCFS000	passagem
que	que	CS	que
se	se	P00CN000	se
não	não	RN	não
venha	venha	VMSP0S0	vir
hou	ou	CC	ou
me	me	PP1CS000	me
mãode	mande	VMSP0S0	mandar
meu	meu	DP1MSS	meu
fo	filho	NCMS000	filho
	,	Fc	,
como	como	CS	como
asima	acima	RG	acima
digo	digo	VMIP1S0	dizer
	.	Fp	.
tenho	Tenho	VMIP1S0	ter
por	por	SPS00	por
enformasão	informação	NCFS000	informação
que	que	CS	que
tenho	tenho	VMIP1S0	ter
hũo	um	DI0MS0	um
fo	filho	NCMS000	filho
he	e	CC	e
hũnha	uma	DI0FS0	um
	,	Fc	,
que	que	PR0CN000	que
pariu	pariu	VMIS3S0	parir
dũ	dum	SPS00+DI0MS0	de+um
ventre	ventre	NCMS000	ventre
a	a	SPS00	a
aõbos	ambos	PI0MP000	ambos
	.	Fp	.
envio	Envio	VMIP1S0	pedir
a	a	DA0FS0	o
benção	bênção	NCFS000	o
de	de	SPS00	de
ds	Deus	NP00000	deus
he	e	CC	e
a	a	DA0FS0	o
minha	minha	PX1FS0S0	meu
	.	Fp	.
he	E	CC	e
	,	Fc	,
sendo	sendo	VSG0000	ser
cazo	caso	NCMS000	caso
que	que	CS	que
se	se	P00CN000	se
venha	venha	VMSP0S0	vir
	,	Fc	,
deiche	deixe	VMSP0S0	deixar
a	a	DA0FS0	o
mosa	moça	NCFS000	moça
en	em	SPS00	em
caza	casa	NCFS000	casa
de	de	SPS00	de
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
	.	Fp	.
a	A	SPS00	a
minhas	minhas	DP1FPS	meu
yrmas	irmãs	NCFP000	irmão
lhe	lhe	PP3CSD00	lhe
mãodo	mando	VMIP1S0	mandar
mtas	muitas	DI0FP0	muito
encomendas	encomendas	NCFP000	encomenda
he	e	CC	e
a	a	SPS00	a
meus	meus	DP1MPS	meu
yrmãos	irmãos	NCMP000	irmão
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
	,	Fc	,
que	que	CS	que
esta	esta	PD0FS000	este
tomem	tomem	VMSP3P0	tomar
por	por	SPS00	por
sua	sua	PX3FS000	seu
he	e	CC	e
que	que	CS	que
tãoben	também	RG	também
lhe	lhe	PP3CSD00	lhe
peso	peço	VMIP1S0	pedir
me	me	PP1CS000	me
favoresão	favoreçam	VMSP3P0	favorecer
como	como	SPS00	como
irmãos	irmãos	NCMP000	irmão
