N	Nosso	DP1MSP	nosso
sr	Senhor	NP00000	senhor
de	dê	VMSP0S0	dar
a	a	SPS00	a
Vm	VM	NP00000	VM
mto	muito	DI0MS0	muito
boas	boas	AQ0FP0	bom
em-tradas	entradas	NCFP000	entrada
de	de	SPS00	de
amor	amor	NCMS000	amor
	,	Fc	,
Como	como	CS	como
lhe	lhe	PP3CSD00	lhe
dezo	desejo	VMIP1S0	desejar
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
Companhia	companhia	NCFS000	companhia
da	da	SPS00+DA0FS0	de+o
sra	senhora	NP00000	senhor
minha	minha	DP1FSS	meu
Tia	tia	NCFS000	tio
e	e	CC	e
maiz	mais	RC	mais
Sres	senhores	NP00000	senhor
Primoz	primos	NCMP000	primo
.	.	Fp	.
Eu	Eu	PP1CSN00	eu
fico	fico	VMIP1S0	ficar
de	de	SPS00	de
saude	saúde	NCFS000	saúde
e	e	CC	e
me	me	PP1CS000	me
voltey	voltei	VMIS1S0	voltar
de	de	SPS00	de
Condeyxa	Condeixa	NP00000	condeixa
por	por	SPS00	por
estarem	estarem	VMN03P0	estar
as	as	DA0FP0	o
Vagias	várzeas	NCFP000	várzea
do	do	SPS00+DA0MS0	de+o
Campo	campo	NCMS000	campo
em	em	SPS00	em
estado	estado	NCMS000	estado
q	que	CS	que
soo	só	RF	só
levando	levando	VMG0000	levar
huã	uma	DI0FS0	um
Concha	concha	NCFS000	concha
se	se	P00CN000	se
podem	podem	VMIP3P0	poder
vençer	vencer	VMN0000	vencer
.	.	Fp	.
Voltey	Voltei	VMIS1S0	voltar
pa	para	SPS00	para
ver	ver	VMN0000	ver
se	se	CSI	se
hera	era	VSII0S0	ser
chegado	chegado	VMP00SM	chegar
meo	meu	DP1MSS	meu
Irmão	irmão	NCMS000	irmão
	,	Fc	,
q	que	PR0CN000	que
héqui	aqui	RG	aqui
não	não	RN	não
chagou	chegou	VMIS3S0	chegar
.	,	VMIS3S0	chegar
e	e	CC	e
tambem	também	RG	também
pa	para	SPS00	para
ver	ver	VMN0000	ver
a	a	DA0FS0	o
Reporada	Reporada	NP00000	reporada
Amdre	André	NP00000	andré
gomes	Gomes	NP00000	gomes
	,	Fc	,
q	que	PR0CN000	que
não	não	RN	não
tão	tão	RC	tão
soomte	somente	RG	somente
tem	tem	VMIP3S0	ter
o	o	DA0MS0	o
perpozito	propósito	NCMS000	propósito
das	das	SPS00+DA0FP0	de+o
mais	mais	PI0CN000	mais
	.	Fp	.
alCansey	Alcancei	VMIS1S0	alcançar
a	a	DA0FS0	o
notiçia	notícia	NCFS000	o
de	de	SPS00	de
q	que	CS	que
fazia	fazia	VMII0S0	fazer
az	as	DA0FP0	o
partes	partes	NCFP000	o
opozta	oposta	VMP00SF	opor
	,	Fc	,
Com	com	SPS00	com
q	que	PR0CN000	que
me	me	PP1CS000	me
Rezolvi	resolvi	VMIS1S0	resolver
a	a	SPS00	a
fazer	fazer	VMN0000	fazer
2a	2.ª	AO0FS0	segundo
vez	vez	NCFS000	vez
vir	vir	VMN0000	vir
perante	perante	SPS00	perante
minh	minha	DP1FSS	meu
Dirisão	direção	NCFS000	direção
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
disse	disse	VMIS3S0	dizer
q	que	PR0CN000	que
emtendi	entendi	VMIS1S0	entender
a	a	SPS00	a
Respeyto	respeito	NCMS000	respeito
de	de	SPS00	de
q	que	CS	que
não	não	RN	não
Coztumava	costumava	VMII0S0	costumar
eu	eu	PP1CSN00	eu
emganar	enganar	VMN0000	enganar
a	a	SPS00	a
nimgem	ninguém	PI0NN00N	ninguém
	,	Fc	,
q	que	CS	que
Cudo	cuido	VMIP1S0	cuidar
de	de	SPS00	de
não	não	RN	não
ser	ser	VSN0000	ser
a	a	DA0FS0	o
prezunção	presunção	NCFS000	o
de	de	SPS00	de
André	André	NP00000	andré
gomez	Gomes	NP00000	gomes
	,	Fc	,
e	e	CC	e
juntamte	juntamente	RG	juntamente
lhe	lhe	PP3CSD00	lhe
disse	disse	VMIS3S0	dizer
a	a	SPS00	a
este	este	DD0MS0	este
homem	homem	NCMS000	homem
se	se	P00CN000	se
tinhão	tinham	VMII3P0	ter
Vorgonha	vergonha	NCFS000	vergonha
de	de	SPS00	de
querer	querer	VMN0000	querer
andar	andar	VMN0000	andar
em	em	SPS00	em
auditórios	auditórios	NCMP000	auditório
	,	Fc	,
fazendo	fazendo	VMG0000	fazer
galla	gala	NCFS000	gala
de	de	SPS00	de
pé	pé	NCMS000	pé
tardias	tardias	AQ0FP0	tardio
	,	Fc	,
tão	tão	RC	tão
hinórmes	enormes	AQ0CP0	enorme
	,	Fc	,
sem	sem	SPS00	sem
mais	mais	RC	mais
fruto	fruto	NCMS000	fruto
q	que	CS	que
ficar	ficar	VMN0000	ficar
Como	como	CS	como
qm	quem	PR0CN000	quem
hera	era	VSII0S0	ser
elle	ele	PP3MS000	ele
	.	Fp	.
me	Me	PP1CS000	me
Respondeo	respondeu	VMIS3S0	responder
q	que	CS	que
ja	já	RG	já
tinha	tinha	VAII0S0	ter
dezemganado	desenganado	VMP00SM	desenganar
o	o	DA0MS0	o
sojeito	sujeito	NCMS000	sujeito
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
em	em	SPS00	em
semelhantes	semelhantes	AQ0CP0	semelhante
negóssioz	negócios	NCMP000	negócio
não	não	RN	não
avia	havia	VMII0S0	haver
de	de	SPS00	de
andar	andar	VMN0000	andar
preCurando	procurando	VMG0000	procurar
.	,	VMG0000	procurar
Com	com	SPS00	com
q	que	PR0CN000	que
ajustou	ajustou	VMIS3S0	ajustar
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
segurasse	segurasse	VMSI0S0	segurar
eu	eu	PP1CSN00	eu
darselha	dar-se-lha	VMN0000+P00CN000+PP3CSD00+PP3FSA00	dar+se+lhe+o
	.	Fp	.
o	O	DA0MS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
offereçerão	ofereceram	VMIS3P0	oferecer
em	em	SPS00	em
forma	forma	NCFS000	forma
q	que	CS	que
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
faltasse	faltasse	VMSI0S0	faltar
dipois	depois	RG	depois
de	de	SPS00	de
dada	dada	VMP00SF	dar
a	a	DA0FS0	o
sentença	sentença	NCFS000	o
	,	Fc	,
na	na	SPS00+DA0FS0	em+o
forma	forma	NCFS000	forma
em	em	SPS00	em
q	que	CS	que
aVizamoz	avisámos	VMIS1P0	avisar
a	a	SPS00	a
André	André	NP00000	andré
Gomes	Gomes	NP00000	gomes
	,	Fc	,
q	que	PR0CN000	que
faria	faria	VMIC0S0	fazer
o	o	DA0MS0	o
papel	papel	NCMS000	papel
na	na	SPS00+DA0FS0	em+o
forma	forma	NCFS000	forma
q	que	PR0CN000	que
nessesário	necessário	AQ0MS0	necessário
me	me	PP1CS000	me
fosse	fosse	VSSI0S0	ser
e	e	CC	e
q	que	CS	que
nesta	nesta	SPS00+DD0FS0	em+este
forma	forma	NCFS000	forma
o	o	PP3MSA00	o
mandasse	mandasse	VMSI0S0	mandar
chamar	chamar	VMN0000	chamar
pa	para	SPS00	para
hirmos	irmos	VMII1P0	ir
diante	diante	RG	diante
de	de	SPS00	de
hũ	um	DI0MS0	um
letrado	letrado	NCMS000	letrado
do	do	SPS00+DA0MS0	de+o
Avelar	Avelar	NP00000	avelar
	,	Fc	,
Jozeph	José	NP00000	josé
Brandão	Brandão	NP00000	brandão
	,	Fc	,
pa	para	SPS00	para
fazermos	fazermos	VMII1P0	fazer
este	este	DD0MS0	este
depozito	depósito	NCMS000	depósito
	,	Fc	,
em	em	SPS00	em
ordem	ordem	NCFS000	ordem
q	que	CS	que
nem	nem	CCN	nem
eu	eu	PP1CSN00	eu
tivesse	tivesse	VMSI0S0	ter
emgano	engano	NCMS000	engano
nem	nem	CCN	nem
elles	eles	PP3MP000	ele
.	.	Fp	.
Com	Com	SPS00	com
q	que	CS	que
fasso	faço	VMIP1S0	fazer
este	este	DD0MS0	este
avizo	aviso	NCMS000	aviso
a	a	SPS00	a
Vm	VM	NP00000	VM
por	por	SPS00	por
este	este	DD0MS0	este
	,	Fc	,
q	que	PR0CN000	que
me	me	PP1CS000	me
pede	pede	VMIP3S0	pedir
o	o	DA0MS0	o
Sr	Senhor	NP00000	senhor
franco	Francisco	NP00000	francisco
de	de	SPS00	de
Mendonça	Mendonça	NP00000	mendonça
pa	para	SPS00	para
hir	ir	VMN0000	ir
levar	levar	VMN0000	levar
outro	outro	DI0MS0	outro
avizo	aviso	NCMS000	aviso
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
Com	com	SPS00	com
q	que	CS	que
veja	veja	VMSP0S0	ver
Vm	VM	NP00000	VM
Como	como	PA000000	como
me	me	PP1CS000	me
hey	hei	VMIP1S0	haver
de	de	SPS00	de
aver	haver	VMN0000	haver
nisto	nisto	SPS00+PD0NN000	em+isto
	.	Fp	.
e	E	CC	e
se	se	CS	se
for	for	VMSF0S0	ir
neçesro	necessário	AQ0MS0	necessário
Carta	carta	NCFS000	carta
de	de	SPS00	de
Vm	VM	NP00000	VM
pa	para	SPS00	para
este	este	DD0MS0	este
letrado	letrado	NCMS000	letrado
por	por	SPS00	por
eu	eu	PP1CSN00	eu
delle	d'ele	SPS00+PP3MS000	de+ele
não	não	RN	não
ter	ter	VMN0000	ter
mto	muito	PI0MS000	muito
Conhe-simto	conhecimento	NCMS000	conhecimento
	,	Fc	,
estimarey	estimarei	VMIF1S0	estimar
ma	ma	PP1CS000+PP3FSA00	me+o
mande	mande	VMSP0S0	mandar
por	por	SPS00	por
esta	esta	DD0FS0	este
Com	com	SPS00	com
a	a	DA0FS0	o
Rezullução	resolução	NCFS000	o
de	de	SPS00	de
Coimbra	Coimbra	NP00000	coimbra
	,	Fc	,
q	que	PR0CN000	que
Cudo	cuido	VMIP1S0	cuidar
será	será	VSIF3S0	ser
neçesso	necessário	AQ0MS0	necessário
pa	para	SPS00	para
esse	esse	DD0MS0	esse
fin	fim	NCMS000	fim
	.	Fp	.
fico	Fico	Fp	.
pa	para	Fp	.
servir	servir	Fp	.
a	a	Fp	.
Vm	VM	NP00000	VM
	,	NP00000	VM
a	a	NP00000	VM
qm	quem	NP00000	VM
Ds	Deus	NP00000	VM
gde	guarde	NP00000	VM
mtos	muitos	NP00000	VM
Annoz	anos	NP00000	VM
	.	NP00000	VM
12	12	NP00000	VM
de	de	NP00000	VM
fevro	fevereiro	NP00000	VM
1698	1698	NP00000	VM
Sobrinho	Sobrinho	NP00000	VM
C	criado	NP00000	VM
de	de	NP00000	VM
Vmce	VM	NP00000	VM
	,	NP00000	VM
Mel	Manuel	NP00000	VM
de	de	NP00000	VM
Magaez	Magalhães	NP00000	VM
Lobo	Lobo	NP00000	VM
