Snor	Senhor		
abbade	Abade		
festejarei	Festejarei		
q	que		
Vm	VM	NP00000	VM
pesua	possua	NP00000	VM
perfeita	perfeita	NP00000	VM
saude	saúde	NP00000	VM
!	.	NP00000	VM
Eu	Eu	NP00000	VM
fico	fico	NP00000	VM
con	com	NP00000	VM
saude	saúde	NP00000	VM
pa	para	NP00000	VM
o	o	NP00000	VM
q	que	NP00000	VM
Vm	VM	NP00000	VM
me	me	NP00000	VM
ordenar	ordenar	NP00000	VM
de	de	NP00000	VM
seu	seu	NP00000	VM
serviço	serviço	NP00000	VM
	.	NP00000	VM
Aqui	Aqui	RG	aqui
chegou	chegou	VMIS3S0	chegar
Das	Domingas	NP00000	domingas
de	de	SPS00	de
Araujo	Araújo	NP00000	araújo
	,	Fc	,
minha	minha	DP1FSS	meu
cunhada	cunhada	NCFS000	cunhado
	,	Fc	,
a	a	SPS00	a
dizerme	dizer-me	VMN0000+PP1CS000	dizer+me
q	que	CS	que
a	a	PP3FSA00	o
obrigavam	obrigavam	VMII3P0	obrigar
pa	para	SPS00	para
q	que	CS	que
fizesse	fizesse	VMSI0S0	fazer
os	os	DA0MP0	o
bens	bens	NCMP000	bem
d	de	SPS00	de
alma	alma	NCFS000	alma
de	de	SPS00	de
seu	seu	DP3MS0	seu
marido	marido	NCMS000	marido
,	.	NCMS000	marido
E	E	CC	e
porqto	porquanto	CS	porquanto
a	a	SPS00	a
min	mim	PP1CSO00	mim
me	me	PP1CS000	me
consta	consta	VMIP3S0	constar
	,	Fc	,
por	por	SPS00	por
ditto	dito	VMP00SM	dizer
de	de	SPS00	de
Phellippe	Filipe	NP00000	filipe
Brabo	Bravo	NP00000	bravo
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
hum	um	DI0MS0	um
homen	homem	NCMS000	homem
q	que	PR0CN000	que
veio	veio	VMIS3S0	vir
do	do	SPS00+DA0MS0	de+o
BraZil	Brasil	NP00000	brasil
e	e	CC	e
pouzou	pousou	VMIS3S0	pousar
junto	junto	RG	junto
a	à	SPS00+DA0FS0	a+o
ponte	ponte	NCFS000	ponte
de	de	SPS00	de
Guimaraes	Guimarães	NP00000	guimarães
	,	Fc	,
o	o	DA0MS0	o
quoal	qual	PR0CS000	qual
veio	veio	VMIS3S0	vir
do	do	SPS00+DA0MS0	de+o
Rio	Rio	NP00000	rio
d	de	SPS00	de
S	São	NP00000	são
Francisco	Francisco	NP00000	francisco
	,	Fc	,
aon-de	onde	PA000000	onde
me	me	PP1CS000	me
afirmou	afirmou	VMIS3S0	afirmar
q	que	CS	que
meu	meu	DP1MSS	meu
Hirmão	irmão	NCMS000	irmão
Anto	António	NP00000	antónio
de	de	SPS00	de
Araujo	Araújo	NP00000	araújo
	,	Fc	,
Marido	marido	NCMS000	marido
de	de	SPS00	de
Das	Domingas	NP00000	domingas
de	de	SPS00	de
Araujo	Araújo	NP00000	araújo
	,	Fc	,
ficava	ficava	VMII0S0	ficar
mto	muito	RQ	muito
valente	valente	AQ0CS0	valente
,	.	AQ0CS0	valente
E	E	CC	e
isto	isto	PD0NN000	isto
avera	haverá	VMIF3S0	haver
