Illmos	Ilustríssimos	AQSMP0	ilustre
Snors	Senhores	NP00000	senhores
	.	Fp	.
2a fra	segunda-feira	NCFS000	segunda-feira
	,	Fc	,
14	14	Z	14
do	do	SPS00+DA0MS0	de+o
Corrente	corrente	AQ0CS0	corrente
	,	Fc	,
fui	fui	VMIS1S0	ir
por	por	SPS00	por
mdo	mando	NCMS000	mando
do	do	SPS00+DA0MS0	de+o
Rdo	reverendo	NCMS000	reverendo
Comissro	comissário	NCMS000	comissário
notificar	notificar	VMN0000	notificar
a	a	SPS00	a
Das	Domingas	NP00000	domingas
Framca	Francisca	NP00000	francisca
,	,	Fc	,
que	que	PR0CN000	que
vive	vive	VMIP3S0	viver
nesta	nesta	SPS00+DD0FS0	em+este
Villa	vila	NCFS000	vila
	,	Fc	,
pa	para	SPS00	para
q	que	CS	que
em	em	SPS00	em
termo	termo	NCMS000	termo
de	de	SPS00	de
15	15	Z	15
dias	dias	NCMP000	dia
pareçesse	aparecesse	VMSI0S0	aparecer
nessa	nessa	SPS00+DD0FS0	em+esse
Inqcão	Inquisição	NP00000	inquisição
,	.	Fp	.
esta	Esta	DD0FS0	este
mulher	mulher	NCFS000	mulher
,	,	Fc	,
ávia	havia	VMII0S0	haver
poucos	poucos	DI0MP0	pouco
dias	dias	NCMP000	dia
	,	Fc	,
se	se	P00CN000	se
tinha	tinha	VAII0S0	ter
levantado	levantado	VMP0000	levantar
de	de	SPS00	de
huã	uma	DI0FS0	um
doença	doença	NCFS000	doença
grave	grave	AQ0CS0	grave
,	,	Fc	,
e	e	CC	e
com	com	SPS00	com
esta	esta	DD0FS0	este
notificação	notificação	NCFS000	notificação
tornou	tornou	VMIS3S0	tornar
a	a	SPS00	a
Recair	recair	VMN0000	recair
e	e	CC	e
esta	está	VMIP3S0	estar
doente	doente	AQ0CS0	doente
em	em	SPS00	em
cama	cama	NCFS000	cama
.	.	Fp	.
hoje	Hoje	RG	hoje
fui	fui	VMIS1S0	ir
a	a	SPS00	a
falar	falar	VMN0000	falar
com	com	SPS00	com
ella	ela	PP3FS000	ele
,	,	Fc	,
animandoa	animando-a	VMN0000+PP3FSA00	animar+o
e	e	CC	e
offereçen-dolhe	oferecendo-lhe	VMG0000+PP3CSD00	oferecer+lhe
dro	dinheiro	NCMS000	dinheiro
pa	para	SPS00	para
