Mutto	Muito	RQ	muito
Illustres	Ilustres	AQ0CP0	ilustre
Senhores	Senhores	NP00000	senhor
	.	Fp	.
Pello	Pelo	SPS00+DA0MS0	por+o
correio	correio	NCMS000	correio
de	de	SPS00	de
25	25	Z	25
do	do	SPS00+DA0MS0	de+o
corrente	corrente	AQ0CS0	corrente
	,	Fc	,
escrevi	escrevi	VMIS1S0	escrever
a	a	SPS00	a
VSa	VSa	NP00000	VSa
;	.	Fp	.
agora	Agora	RG	agora
o	o	PP3MSA00	o
faco	faço	VMIP1S0	fazer
por	por	SPS00	por
Domingas	Domingas	NP00000	domingas
Francisca	Francisca	NP00000	francisca
;	.	Fp	.
Eu	Eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
dei	dei	VMIS1S0	dar
pa	para	SPS00	para
os	os	DA0MP0	o
gastos	gastos	NCMP000	gasto
do	do	SPS00+DA0MS0	de+o
caminho	caminho	NCMS000	caminho
oitocentos	oitocentos	Z	oitocentos
reis	réis	NCMP000	réis
por	por	SPS00	por
ser	ser	VSN0000	ser
pobre	pobre	AQ0CS0	pobre
esta	esta	DD0FS0	este
mulher	mulher	NCFS000	mulher
e	e	CC	e
não	não	RN	não
ter	ter	VMN0000	ter
q	que	PR0CN000	que
gastar	gastar	VMN0000	gastar
	,	Fc	,
e	e	CC	e
por	por	SPS00	por
VSa	VSa	NP00000	VSa
me	me	PP1CS000	me
mandar	mandar	VMN0000	mandar
q	que	CS	que
Eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
desse	desse	VMSI0S0	dar
dro	dinheiro	NCMS000	dinheiro
sendolhe	sendo-lhe	VSG0000+PP3CSD00	ser+lhe
necessario	necessário	AQ0MS0	necessário
;	.	Fp	.
não	Não	RN	não
se	se	P00CN000	se
me	me	PP1CS000	me
offrece	oferece	VMIP3S0	oferecer
de	de	SPS00	de
q	que	CS	que
mais	mais	RC	mais
de	dê	VMSP0S0	dar
conta	conta	NCFS000	conta
a	a	SPS00	a
VSa	VSa	NP00000	VSa
,	,	Fc	,
a	a	SPS00	a
quem	quem	PR0CN000	quem
Ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
pa	para	SPS00	para
augmento	aumento	NCMS000	aumento
e	e	CC	e
pureza	pureza	NCFS000	pureza
da	da	SPS00+DA0FS0	de+o
fé	fé	NCFS000	fé
	.	Fp	.
Trancozo	Trancoso	NP00000	trancoso
	,	Fc	,
27	27	Z	27
de	de	SPS00	de
Maio	maio	NCMS000	maio
de	de	SPS00	de
668	668	Z	668
	.	Fp	.
Franco	Francisco	NP00000	francisco
Soares	Soares	NP00000	soares
de	de	SPS00	de
Albergaria	Albergaria	NP00000	albergaria
