Iminentisimo	Eminentíssimo	AQSMS0	eminente
Snor	Senhor	NP00000	senhor
	,	Fc	,
Repete	repete	VMIP3S0	repetir
segunda	segunda	AO0FS0	segundo
ves	vez	NCFS000	vez
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
ancia	ânsia	NCFS000	ânsia
a	a	SPS00	a
buscar	buscar	VMN0000	buscar
Remedio	remédio	NCMS000	remédio
na	na	SPS00+DA0FS0	em+o
piedade	piedade	NCFS000	piedade
de	de	SPS00	de
vosa	Vossa	DP2FSP	vosso
Iminencia	Eminência	NP00000	eminência
,	.	Fp	.
e	E	CC	e
se	se	CS	se
não	não	RN	não
sentir	sentir	VMN0000	sentir
efeito	efeito	NCMS000	efeito
	,	Fc	,
ainda	ainda	RG	ainda
assim	assim	RG	assim
me	me	PP1CS000	me
não	não	RN	não
queixarei	queixarei	VMIF1S0	queixar
della	dela	SPS00+PP3FS000	de+ele
,	,	Fc	,
mas	mas	CC	mais
sempre	sempre	RG	sempre
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
Disgraça	desgraça	NCFS000	desgraça
;	.	Fp	.
notorio	Notório	AQ0MS0	notório
sera	será	VSIF3S0	ser
a	a	SPS00	a
vosa	Vossa	DP2FSP	vosso
Iminicencia	Eminência	NP00000	eminência
o	o	DA0MS0	o
co-mo	como	PA000000	como
esta	esta	DD0FS0	este
soube	soube	VMIS1S0	saber
magoarme	magoar-me	VMN0000+PP1CS000	magoar+me
	.	Fp	.
e	E	CC	e
com	com	SPS00	com
segundo	segundo	AO0MS0	segundo
golpe	golpe	NCMS000	golpe
me	me	PP1CS000	me
ameaca	ameaça	VMIP3S0	ameaçar
,	,	Fc	,
pois	pois	CS	pois
ainda	ainda	RG	ainda
não	não	RN	não
tem	tem	VMIP3S0	ter
melhoria	melhoria	NCFS000	melhoria
nehuã	nenhuma	DI0FS0	nenhum
de	de	SPS00	de
minhas	minhas	DP1FPS	meu
filhas	filhas	NCFP000	filho
,	.	Fp	.
e	E	CC	e
por	por	SPS00	por
ora	ora	RG	ora
esta	está	VMIP3S0	estar
tão	tão	RC	tão
mal	mal	RG	mal
huã	uma	DI0FS0	um
dellas	delas	SPS00+PP3FP000	de+ele
q	que	CS	que
me	me	PP1CS000	me
obriga	obriga	VMIP3S0	obrigar
o	o	DA0MS0	o
vela	vê-la	VMN0000+PP3FSA00	ver+o
a	a	SPS00	a
declarar	declarar	VMN0000	declarar
a	a	SPS00	a
vosa	Vossa	DP2FSP	vosso
Iminencia	Eminência	NP00000	eminência
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
aflicão	aflição	NCFS000	aflição
;	.	Fp	.
notavelmte	Notavelmente	RG	notavelmente
	,	Fc	,
sor	Senhor	NP00000	senhor
	,	Fc	,
são	são	VSIP3P0	ser
opostas	opostas	VMP00PF	opor
aos	aos	SPS00+DA0MP0	a+o
medicos	médicos	NCMP000	médico
estas	estas	DD0FP0	este
doentes	doentes	NCCP000	doente
	,	Fc	,
ou	ou	CC	ou
seja	seja	VSSP0S0	ser
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
q	que	PR0CN000	que
exprementão	experimentam	VMIP3P0	experimentar
ou	ou	CC	ou
pelo	pelo	SPS00+DA0MS0	por+o
dezengano	desengano	NCMS000	desengano
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
virão	viram	VMIS3P0	virar
,	.	Fp	.
soube	Soube	VMIS1S0	saber
q	que	CS	que
Aleixo	Aleixo	NP00000	aleixo
cabral	Cabral	NP00000	cabral
estava	estava	VMII0S0	estar
em	em	SPS00	em
termos	termos	NCMP000	termo
q	que	PR0CN000	que
podia	podia	VMII0S0	poder
	,	Fc	,
com	com	SPS00	com
o	o	DA0MS0	o
favor	favor	NCMS000	favor
de	de	SPS00	de
vosa	Vossa	DP2FSP	vosso
Iminencia	Eminência	NP00000	eminência
	,	Fc	,
asestilas	assisti-las	VMN0000+PP3FPA00	assistir+o
,	.	Fp	.
não	Não	RN	não
me	me	PP1CS000	me
falte	falte	VMSP0S0	faltar
este	este	PD0MS000	este
em	em	SPS00	em
restetuicão	restituição	NCFS000	restituição
daquele	daquele	SPS00+PD0MS000	de+aquele
q	que	CS	que
me	me	PP1CS000	me
negarão	negaram	VMIS3P0	negar
as	as	DA0FP0	o
emposebilidades	impossibilidades	NCFP000	impossibilidade
,	,	Fc	,
q	que	CS	que
suposto	suposto	VMP00SM	supor
eu	eu	PP1CSN00	eu
o	o	PP3MSA00	o
não	não	RN	não
Regulo	regulo	VMIP1S0	regular
por	por	SPS00	por
Recompensa	recompensa	NCFS000	recompensa
	.	Fp	.
ao	Ao	SPS00+DA0MS0	a+o
menos	menos	RC	menos
não	não	RN	não
acresentara	acrescentara	VMIM0S0	acrescentar
a	a	DA0FS0	o
dor	dor	NCFS000	dor
nesta	nesta	SPS00+DD0FS0	em+este
somana	semana	NCFS000	semana
	.	Fp	.
dizem	Dizem	VMIP3P0	dizer
custuma	costuma	VMIP3S0	costumar
vosa	Vossa	DP2FSP	vosso
Iminencia	Eminência	NP00000	eminência
minorar	minorar	VMN0000	minorar
as	as	DA0FP0	o
pennas	penas	NCFP000	pena
aos	aos	SPS00+DA0MP0	a+o
prezos	presos	NCMP000	preso
q	que	PR0CN000	que
sahem	saem	VMIP3P0	sair
	.	Fp	.
nela	Nela	SPS00+PP3FS000	em+ele
seja	seja	VSSP0S0	ser
