Ilsmo	Ilustríssimo	AQSMS0	ilustre
	,	Fc	,
Bemdito	Bendito	VMP00SM	bendizer
e	e	CC	e
louvado	louvado	VMP00SM	louvar
seja	seja	VSSP0S0	ser
o	o	DA0MS0	o
sanctissimo	Santíssimo	AQSMS0	santo
saçramento	Sacramento	NP00000	sacramento
e	e	CC	e
a	a	DA0FS0	o
macolada	Imaculada	AQ0FS0	imaculado
comsçeisão	Conceição	NP00000	conceição
da	da	SPS00	de
sempre	sempre	RG	sempre
Virgem	Virgem	NP00000	virgem
Maria	Maria	NP00000	maria
	,	Fc	,
comseVida	concebida	VMP00SF	conceber
senhora	Senhora	NP00000	senhor
nossa	Nossa	NP00000	nossa
	,	Fc	,
comsevida	concebida	VMP00SF	conceber
sem	sem	SPS00	sem
macola	mácula	NCFS000	mácula
de	de	SPS00	de
piçado	pecado	NCMS000	pecado
ouriginal	original	NCMS000	original
	.	Fp	.
Diguo	Digo	VMIP1S0	dizer
eu	eu	PP1CSN00	eu
	,	Fc	,
franca	Francisca	NP00000	francisca
de	de	SPS00	de
Jezu	Jesus	NP00000	jesus
	,	Fc	,
profesa	professa	VMIP3S0	professar
da	da	SPS00+DA0FS0	de+o
treseira	Terceira	NP00000	terceira
ordem	Ordem	NP00000	ordem
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
pe	Padre	NP00000	padre
sam	São	NP00000	são
franco	Francisco	NP00000	francisco
	,	Fc	,
vindo	vindo	VMG0000	vir
hũa	uma	DI0FS0	um
alma	alma	NCFS000	alma
salvarsse	salvar-se	VMN0000+P00CN000	salvar+se
ao	ao	SPS00+DA0MS0	a+o
meu	meu	DP1MSS	meu
Vazo	vaso	NCMS000	vaso
	,	Fc	,
despedindose	despedindo-se	VMG0000+P00CN000	,
ela	ela	PP3FS000	ele
de	de	SPS00	de
meu	meu	DP1MSS	meu
Vazo	vaso	NCMS000	vaso
	,	Fc	,
disse	disse	VMIS3S0	dizer
que	que	CS	que
estavão	estavam	VMII3P0	estar
mais	mais	RC	mais
sinco	cinco	Z	cinco
pera	para	SPS00	para
emtrarem	entrarem	VMN03P0	entrar
no	no	SPS00+DA0MS0	em+o
meu	meu	DP1MSS	meu
Vazo	vaso	NCMS000	vaso
por	por	SPS00	por
emtresção	intercessão	NCFS000	intercessão
do	do	SPS00+DA0MS0	de+o
pe	Padre	NP00000	padre
francisço	Francisco	NP00000	francisco
cabral	Cabral	NP00000	cabral
da	da	SPS00+DA0FS0	de+o
companhia	Companhia	NP00000	companhia
de	de	SPS00	de
Jezu	Jesus	NP00000	jesus
	.	Fp	.
pedindome	Pedindo-me	Fp	.
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
dese	desse	VMSI0S0	dar
remedio	remédio	NCMS000	remédio
pera	para	SPS00	para
não	não	RN	não
pasar	passar	VMN0000	passar
tam	tão	RC	tão
grande	grande	AQ0CS0	grande
trabalho	trabalho	NCMS000	trabalho
	,	Fc	,
me	me	PP1CS000	me
deu	deu	VMIS3S0	dar
de	de	SPS00	de
sinal	sinal	NCMS000	sinal
a	a	DA0FS0	o
sanctissima	Santíssima	AQSFS0	santo
trindade	Trindade	NP00000	trindade
	,	Fc	,
tres	três	Z	três
pesoas	pessoas	NCFP000	pessoa
e	e	CC	e
hũ	um	DI0MS0	um
sso	só	RG	só
deos	Deus	NP00000	deus
	,	Fc	,
padre	Padre	NP00000	padre
	,	Fc	,
filho	Filho	NP00000	filho
	,	Fc	,
espirito	Espírito	NP00000	espírito
sancto	Santo	NP00000	santo
de	de	CC	e
a	a	DA0FS0	o
Virgem	Virgem	NP00000	virgem
sanctisima	Santíssima	AQSFS0	santo
	,	Fc	,
senhora	Senhora	NP00000	senhor
nossa	Nossa	NP00000	nossa
	,	Fc	,
e	e	CC	e
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
sanctos	santos	NCMP000	santo
e	e	CC	e
o	o	DA0MS0	o
sanctisimo	Santíssimo	AQSMS0	santo
sacramento	Sacramento	NP00000	sacramento
de	de	SPS00	de
não	não	RN	não
