Chegou	Chegou	VMIS3S0	chegar
o	o	DA0MS0	o
portador	portador	NCMS000	portador
e	e	CC	e
Criado	criado	NCMS000	criado
de	de	SPS00	de
Vm	VM	NP00000	VM
com	com	SPS00	com
os	os	DA0MP0	o
dois	dois	Z	dois
esCritos	escritos	NCMP000	escrito
	.	Fp	.
fiqua	Fica	VMIP3S0	ficar
aComodado	acomodado	VMP00SM	acomodar
E	e	CC	e
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
for	for	VMSF0S0	ir
Em	em	SPS00	em
min	mim	PP1CSO00	mim
	,	Fc	,
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
faLtarei	faltarei	VMIF1S0	faltar
:	.	VMIF1S0	faltar
fasil	Fácil	AQ0CS0	fácil
me	me	PP1CS000	me
he	é	VSIP3S0	ser
de	de	SPS00	de
Crer	crer	VMN0000	crer
de	de	SPS00	de
hu	um	DI0MS0	um
frade	frade	NCMS000	frade
	,	Fc	,
q	que	PR0CN000	que
não	não	RN	não
tem	tem	VMIP3S0	ter
mais	mais	RC	mais
de	de	SPS00	de
sello	sê-lo	VSN0000+PP3MSA00	ser+o
q	que	CS	que
o	o	DA0MS0	o
abitto	hábito	NCMS000	hábito
	,	Fc	,
yrse	ir-se	VMN0000+P00CN000	ir+se
atras	atrás	RG	atrás
de	de	SPS00	de
seus	seus	DP3MP0	seu
apetites	apetites	NCMP000	apetite
tão	tão	RC	tão
mal EntemSeonados	mal-intencionados	AQ0MP0	mal-intencionado
coanto	quanto	PA000000	quanto
Vm	VM	NP00000	VM
o	o	PP3MSA00	o
demostra	demonstra	VMIP3S0	demonstrar
Epor	por	SPS00	por
seu	seu	DP3MS0	seu
EsCritto	escrito	NCMS000	escrito
	.	Fp	.
tãobem	Também	RG	também
não	não	RN	não
ponho	ponho	VMIP1S0	pôr
duvida	dúvida	NCFS000	dúvida
a	a	SPS00	a
ser lhe	ser-lhe	VSN0000+PP3CSD00	ser+lhe
adjunto	adjunto	NCMS000	adjunto
joão	João	NP00000	joão
de	de	SPS00	de
sa	Sá	NP00000	sá
