Mandai	Mandai	VMM02P0	mandar
sinal	sinal	NCMS000	sinal
se	se	CS	se
he	é	VSIP3S0	ser
este	este	DD0MS0	este
dado	dado	VMP00SM	dar
,	,	Fc	,
pera	para	SPS00	para
q	que	CS	que
repouse	repouse	VMSP0S0	repousar
a	a	DA0FS0	o
conciencia	consciência	NCFS000	consciência
.	.	Fp	.
quando	Quando	CS	quando
foi	foi	VSIS3S0	ser
o	o	DA0MS0	o
dia	dia	NCMS000	dia
,	,	Fc	,
se	se	CS	se
veio	veio	VMIS3S0	vir
mais	mais	RC	mais
alguẽ	alguém	PI0NN000	alguém
	.	Fp	.
das	Das	SPS00+DA0FP0	de+o
conservas	conservas	NCFP000	conserva
nada	nada	PI0NN00N	nada
,	,	Fc	,
nada	nada	PI0NN00N	nada
,	,	Fc	,
nada	nada	PI0NN00N	nada
,	.	PI0NN00N	nada
esta	Está	VMIP3S0	estar
mto	muito	RQ	muito
	,	Fc	,
mto	muito	RQ	muito
bem	bem	RG	bem
e	e	CC	e
estara	estará	VMIF3S0	estar
,	.	VMIF3S0	estar
temo	Temo	VMIP1S0	temer
q	que	CS	que
a	a	DA0FS0	o
ferida	ferida	NCFS000	ferida
 veio	veio	VMIS3S0	vir
do	do	SPS00+DA0MS0	de+o
guarda	guarda	NCCS000	guarda
preso	preso	VMP00SM	prender
,	,	Fc	,
ou	ou	CC	ou
la	lá	RG	lá
de	de	SPS00	de
fora	fora	RG	fora
.	.	Fp	.
verdade	Verdade	NCFS000	verdade
ate	até	SPS00	até
morte	morte	NCFS000	morte
	.	Fp	.
