Rdo	Reverendo	NP00000	reverendo
pe	Padre	NP00000	padre
nosso	Nosso	NP00000	nosso
	.	Fp	.
Quatro	Quatro	Z	quatro
cõ	com	SPS00	com
esta	esta	DD0FS0	este
tenho	tenho	VMIP1S0	ter
escrito	escrito	NCMS000	escrito
a	a	SPS00	a
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
e	e	CC	e
de	de	SPS00	de
nhuã	nenhuma	DI0FS0	nenhum
tive	tive	VMIS1S0	ter
reposta	resposta	NCFS000	resposta
de	de	SPS00	de
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
,	,	Fc	,
donde	donde	SPS00+PA000000	de+onde
coligo	colijo	VMIP1S0	coligir
em	em	SPS00	em
mĩ	mim	PP1CSO00	mim
estar	estar	VMN0000	estar
descaido	descaído	NCMS000	descaído
da	da	SPS00+DA0FS0	de+o
grasa	graça	NCFS000	graça
de	de	SPS00	de
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
	.	Fp	.
e	E	CC	e
quererme	querer-me	VMN0000+PP1CS000	querer+me
lansar	lançar	VMN0000	lançar
de	de	SPS00	de
si	si	PP3CNO00	si
e	e	CC	e
de	de	SPS00	de
seus	seus	DP3MP0	seu
favores	favores	NCMP000	favor
se	se	CS	se
em	em	SPS00	em
mĩ	mim	PP1CSO00	mim
ha	há	VMIP3S0	haver
partes	partes	NCFP000	parte
pera	para	SPS00	para
isso	isso	PD0NN000	isso
	.	Fp	.
he	E	CC	e
eu	eu	PP1CSN00	eu
meresso	mereço	VMIP1S0	merecer
	.	Fp	.
diguo	Digo	VMIP1S0	dizer
que	que	CS	que
não	não	RN	não
tão somte	tão-somente	RN	não
de	de	SPS00	de
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
mas	mas	CC	mais
dos	dos	SPS00+DA0MP0	de+o
mais	mais	RC	mais
que	que	CS	que
não	não	RN	não
são	são	VSIP3P0	ser
amigos	amigos	NCMP000	amigo
	.	Fp	.
mas	Mas	CC	mas
eu	eu	PP1CSN00	eu
cuido	cuido	VMIP1S0	cuidar
que	que	CS	que
não	não	RN	não
tenho	tenho	VMIP1S0	ter
eu	eu	PP1CSN00	eu
feito	feito	VMP0000	fazer
cousas	coisas	NCFP000	coisa
por	por	SPS00	por
omde	onde	PA000000	onde
eu	eu	PP1CSN00	eu
posa	possa	VMSP0S0	poder
perder	perder	VMN0000	perder
tãoto	tanto	CC	tanto
bẽ	bem	RG	bem
e	e	CC	e
tantos	tantos	DI0MP0	tanto
favores	favores	NCMP000	favor
de	de	SPS00	de
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
	.	Fp	.
e	E	CC	e
	,	Fc	,
ainda	ainda	RG	ainda
que	que	CS	que
eu	eu	PP1CSN00	eu
decaia	decaia	NCFS000	decaia
de	de	SPS00	de
sua	sua	DP3FS0	seu
grasa	graça	NCFS000	graça
	,	Fc	,
não	não	RN	não
a	há	VMIP3S0	haver
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
de	de	SPS00	de
descair	descair	VMN0000	descair
da	da	SPS00+DA0FS0	de+o
minha	minha	DP1FSS	meu
	.	Fp	.
peso lhe	Peço-lhe	VMIP1S0+PP3CSD00	pedir+lhe
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
mtas	muitas	DI0FP0	muito
novas	novas	NCFP000	nova
suas	suas	DP3FP0	seu
	,	Fc	,
ainda	ainda	RG	ainda
q	que	CS	que
eu	eu	PP1CSN00	eu
emcapas	incapaz	AQ0CS0	incapaz
disso	disso	SPS00+PD0NN000	de+isso
	,	Fc	,
tãobem	também	RG	também
me	me	PP1CS000	me
fasa	faça	VMSP0S0	fazer
caridade	caridade	NCFS000	caridade
de	de	SPS00	de
me	me	PP1CS000	me
alevantar	levantar	VMN0000	levantar
a	a	DA0FS0	o
semsura	censura	NCFS000	censura
que	que	PR0CN000	que
me	me	PP1CS000	me
tẽ	tem	VMIP3S0	ter
posta	posta	NCFS000	posta
	,	Fc	,
porque	porque	CS	porque
lhe	lhe	PP3CSD00	lhe
afirmo	afirmo	VMIP1S0	afirmar
como	como	SPS00	como
amiguo	amigo	NCMS000	amigo
d	da	SPS00+DA0FS0	de+o
alma	alma	NCFS000	alma
de	de	SPS00	de
	,	Fc	,
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
vosa	vossa	DP2FSP	vosso
pa	pessoa	NCFS000	pessoa
	,	Fc	,
eu	eu	PP1CSN00	eu
cõprir	cumprir	VMN0000	cumprir
cõ	com	SPS00	com
o	o	DA0MS0	o
que	que	PR0CN000	que
me	me	PP1CS000	me
tẽ	tem	VMIP3S0	ter
posto	posto	VMP00SM	pôr
sẽ	sem	SPS00	sem
a	a	SPS00	a
ter	ter	VMN0000	ter
,	,	Fc	,
como	como	CS	como
de	de	SPS00	de
a	a	SPS00	a
ter	ter	VMN0000	ter
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
asi	assim	RG	assim
o	o	PP3MSA00	o
faso	faço	VMIP1S0	fazer
e	e	CC	e
tenho	tenho	VMIP1S0	ter
feito	feito	VMP00SM	fazer
porque	porque	CS	porque
dipois	depois	RG	depois
que	que	CS	que
se	se	CS	se
de	de	SPS00	de
qua	cá	RG	cá
foi	foi	VMIS3S0	ir
não	não	RN	não
tenho	tenho	VMIP1S0	ter
ido	ido	VMP00SM	ir
a	a	SPS00	a
esas	essas	DD0FP0	esse
partes	partes	NCFP000	parte
proibidas	proibidas	VMP00PF	proibir
mais	mais	CC	mais
de	de	SPS00	de
duas	duas	Z	duas
veses	vezes	NCFP000	vez
cõ	com	SPS00	com
cõpanheiros	companheiros	NCMP000	companheiro
e	e	CC	e
sẽ	sem	SPS00	sem
eles	eles	PP3MP000	ele
nenhuã	nenhuma	DI0FS0	nenhum
	.	Fp	.
mas	Mas	CC	mas
mandame	manda-me	VMIP3S0+PP1CS000	mandar+me
o	o	DA0MS0	o
prelado	prelado	NCMS000	prelado
mtas	muitas	DI0FP0	muito
veses	vezes	NCFP000	vez
pera	para	SPS00	para
outra	outra	DI0FS0	outro
parte	parte	NCFS000	parte
e	e	CC	e
he	é	VSIP3S0	ser
nesesario	necessário	AQ0MS0	necessário
ir	ir	VMN0000	ir
por	por	SPS00	por
ali	ali	RG	ali
porque	porque	CS	porque
não	não	RN	não
ha	há	VMIP3S0	haver
caminho	caminho	NCMS000	caminho
,	.	Fp	.
e	E	CC	e
por	por	SPS00	por
avitar	evitar	VMN0000	evitar
escupulos	escrúpulos	NCMP000	escrúpulo
e	e	CC	e
não	não	RN	não
cair	cair	VMN0000	cair
em	em	SPS00	em
lasos	laços	NCMP000	laço
me	me	PP1CS000	me
pode	pode	VMIP3S0	poder
alevantar	levantar	VMN0000	levantar
a	a	DA0FS0	o
semsura	censura	NCFS000	censura
cõ	com	SPS00	com
fazer	fazer	VMN0000	fazer
o	o	DA0MS0	o
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
diguo	digo	VMIP1S0	dizer
:	.	Fp	.
e	E	CC	e
nisso	nisso	SPS00+PD0NN000	em+isso
me	me	PP1CS000	me
fara	fará	VMIF3S0	fazer
grande	grande	AQ0CS0	grande
caridade	caridade	NCFS000	caridade
	,	Fc	,
ainda	ainda	RG	ainda
que	que	CS	que
,	,	Fc	,
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
me	me	PP1CS000	me
levantarão	levantaram	VMIS3P0	levantar
,	,	Fc	,
que	que	CS	que
v	Vossa	NP00000	vossa
p	Paternidade	NP00000	paternidade
sabe	sabe	VMIP3S0	saber
	,	Fc	,
so	só	RG	só
se	se	CS	se
de	dê	VMSP0S0	dar
aguora	agora	RG	agora
em	em	SPS00	em
frei	frei	NP00000	frei
visente	Vicente	NP00000	vicente
	,	Fc	,
corista	corista	NCMS000	corista
	,	Fc	,
que	que	CS	que
anda	anda	VMIP3S0	andar
qua	cá	RG	cá
mto	muito	RQ	muito
as	às	SPS00+DA0FP0	a+o
voltas	voltas	NCFP000	volta
