jezuz	Jesus	NP00000	jesus
	,	Fc	,
Ma	Maria	NP00000	maria
	.	Fp	.
Pariz	Paris	NP00000	paris
	,	Fc	,
30	30	Z	30
de	de	SPS00	de
julho	julho	NCMS000	julho
de	de	SPS00	de
668	668	Z	668
	.	Fp	.
De	De	SPS00	de
a	La	NP00000	la
rochelle	Rochelle	NP00000	rochelle
escrevi	escrevi	VMIS1S0	escrever
a	a	SPS00	a
Vm	VM	NP00000	VM
tres	três	Z	três
cartas	cartas	NCFP000	carta
de	de	SPS00	de
q	que	CS	que
te	até	SPS00	até
agora	agora	RG	agora
não	não	RN	não
tenho	tenho	VAIP1S0	ter
tido	tido	VMP0000	ter
reposta	resposta	NCFS000	resposta
	.	Fp	.
querera	Quererá	VMIF3S0	querer
Ds	Deus	NP00000	deus
não	não	RN	não
seja	seja	VSSP0S0	ser
por	por	SPS00	por
falta	falta	NCFS000	falta
de	de	SPS00	de
saude	saúde	NCFS000	saúde
	,	Fc	,
antes	antes	RG	antes
a	a	PP3FSA00	o
tenha	tenha	VMSP0S0	ter
mto	muito	RQ	muito
boa	boa	AQ0FS0	bom
pa	para	SPS00	para
meu	meu	DP1MSS	meu
emparo	amparo	NCMS000	amparo
e	e	CC	e
de	de	SPS00	de
meus	meus	DP1MPS	meu
queridos	queridos	VMP00PM	querer
irmãos	irmãos	NCMP000	irmão
	,	Fc	,
a	a	SPS00	a
quem	quem	PR0CN000	quem
me	me	PP1CS000	me
recomendo	recomendo	VMIP1S0	recomendar
com	com	SPS00	com
mtas	muitas	DI0FP0	muito
saudades	saudades	NCFP000	saudade
,	.	Fp	.
quando	Quando	CS	quando
escrevi	escrevi	VMIS1S0	escrever
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
pedia	pedia	VMII0S0	pedir
mto	muito	RQ	muito
me	me	PP1CS000	me
fizese	fizesse	VMSI0S0	fazer
Logo	logo	RG	logo
Reposta	resposta	NCFS000	resposta
e	e	CC	e
me	me	PP1CS000	me
mandase	mandasse	VMSI0S0	mandar
dizer	dizer	VMN0000	dizer
pa	para	SPS00	para
donde	onde	PA000000	onde
era	era	VMIP3S0	era
a	a	DA0FS0	o
gornada	jornada	NCFS000	jornada
e	e	CC	e
	,	Fc	,
como	como	CS	como
não	não	RN	não
sei	sei	VMIP1S0	saber
se	se	CS	se
sarião	seriam	VSIC3P0	ser
dadas	dadas	VMP00PF	dar
as	as	DA0FP0	o
cartas	cartas	NCFP000	carta
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
o	o	DA0MS0	o
torno	torno	NCMS000	torno
a	a	SPS00	a
Recomendar	recomendar	VMN0000	recomendar
a	a	SPS00	a
Vm	VM	NP00000	VM
e	e	CC	e
dizendo lhe	dizendo-lhe	VMG0000+PP3CSD00	dizer+lhe
me	me	PP1CS000	me
mande	mande	VMSP0S0	mandar
as	as	DA0FP0	o
cartas	cartas	NCFP000	carta
Remetidas	remetidas	VMP00PF	remeter
a	a	SPS00	a
rochelle	Rochelle	NP00000	rochelle
	,	Fc	,
a	a	SPS00	a
Monseur	Monsieur	NP00000	monsieur
david	David	NP00000	david
blanchete	Blanchete	NP00000	Blanchete
	,	Fc	,
q	que	CS	que
	,	Fc	,
por	por	SPS00	por
via	via	NCFS000	via
de	de	SPS00	de
Andre	André	NP00000	andré
Luiz	Luís	NP00000	luís
martim	Martim	NP00000	martim
	,	Fc	,
podem	podem	VMIP3P0	poder
vir	vir	VMN0000	vir
mto	muito	DI0MS0	muito
bem	bem	NCMS000	bem
	.	Fp	.
quando	Quando	CS	quando
me	me	PP1CS000	me
vin	vim	VMIS1S0	vir
de	de	SPS00	de
a	La	NP00000	la
rochelle	Rochelle	NP00000	rochelle
pa	para	SPS00	para
esta	esta	DD0FS0	este
sidade	cidade	NCFS000	cidade
	,	Fc	,
me	me	PP1CS000	me
vin	vim	VMIS1S0	vir
como	como	SPS00	como
dezesperado	desesperado	VMP00SM	desesperar
e	e	CC	e
me	me	PP1CS000	me
vin	vim	VMIS1S0	vir
com	com	SPS00	com
tensão	tenção	NCFS000	tenção
me	me	PP1CS000	me
asentar	assentar	VMN0000	assentar
nas	nas	SPS00+DA0FP0	em+o
guardas	guardas	NCMP000	guarda
do	do	SPS00+DA0MS0	de+o
rei	Rei	NP00000	rei
o	ou	CC	ou
fazer	fazer	VMN0000	fazer
ỹornada	jornada	NCFS000	jornada
pa	para	SPS00	para
flandres	Flandres	NP00000	flandres
	,	Fc	,
pa	para	SPS00	para
me	me	PP1CS000	me
sentar	sentar	VMN0000	sentar
na	na	SPS00+DA0FS0	em+o
guarnisão	guarnição	NCFS000	guarnição
q	que	PR0CN000	que
fica	fica	VMIP3S0	ficar
nas	nas	SPS00+DA0FP0	em+o
prasas	praças	NCFP000	praça
	.	Fp	.
mas	Mas	CC	mas
	,	Fc	,
como	como	CS	como
me	me	PP1CS000	me
sosedese	sucedesse	VMSI0S0	suceder
daqui	daqui	SPS00+RG	de+aqui
trinta	trinta	Z	trinta
legoas	léguas	NCFP000	légua
o	o	DA0MS0	o
ficar	ficar	VMN0000	ficar
atras	atrás	RG	atrás
da	da	SPS00+DA0FS0	de+o
companhia	companhia	NCFS000	companhia
	,	Fc	,
chegando	chegando	VMG0000	chegar
dentro	dentro	RG	dentro
de	de	SPS00	de
hum	um	DI0MS0	um
mato	mato	NCMS000	mato
me	me	PP1CS000	me
sairão	saíram	VMIS3P0	sair
tres	três	Z	três
homes	homens	NCMP000	homem
com	com	SPS00	com
tres	três	Z	três
espingardas	espingardas	NCFP000	espingarda
	.	Fp	.
e	E	CC	e
	,	Fc	,
querendome	querendo-me	VMG0000+PP1CS000	querer+me
roubar	roubar	VMN0000	roubar
	,	Fc	,
como	como	CS	como
fizerão	fizeram	VMIS3P0	fazer
	,	Fc	,
me	me	PP1CS000	me
quiz	quis	VMIS3S0	querer
defender	defender	VMN0000	defender
	.	Fp	.
e	E	CC	e
	,	Fc	,
tirandome	tirando-me	VMG0000+PP1CS000	tirar+me
o	o	DA0MS0	o
pro	primeiro	NCMS000	primeiro
tiro	tiro	NCMS000	tiro
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
fogo	fogo	NCMS000	fogo
a	a	DA0FS0	o
espingarda	espingarda	NCFS000	espingarda
	.	Fp	.
e	E	CC	e
	,	Fc	,
chegandome	chegando-me	Fc	,
a	a	SPS00	a
ele	ele	PP3MS000	ele
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
cheguei	cheguei	VMIS1S0	chegar
com	com	SPS00	com
a	a	DA0FS0	o
espada	espada	NCFS000	espada
e	e	CC	e
o	o	DA0MS0	o
molestei	molestei	NCMS000	molestei
bem	bem	RG	bem
	,	Fc	,
de	de	SPS00	de
q	que	PR0CN000	que
se	se	P00CN000	se
emfadarão	enfadaram	VMIS3P0	enfadar
os	os	DA0MP0	o
camaradas	camaradas	NCMP000	camarada
e	e	CC	e
me	me	PP1CS000	me
apanharão	apanharam	VMIS3P0	apanhar
as	as	DA0FP0	o
mãoos	mãos	NCFP000	mão
e	e	CC	e
me	me	PP1CS000	me
derão	deram	VMIS3P0	dar
huma	uma	DI0FS0	um
estocada	estocada	VMP00SF	estocar
bem	bem	RG	bem
millagroza	milagrosa	AQ0FS0	milagroso
pelo	pelo	SPS00+DA0MS0	por+o
peito	peito	NCMS000	peito
esquerdo	esquerdo	AQ0MS0	esquerdo
	.	Fp	.
e	E	CC	e
me	me	PP1CS000	me
derão	deram	VMIS3P0	dar
tão	tão	RC	tão
poucas	poucas	DI0FP0	pouco
pancadas	pancadas	NCFP000	pancada
q	que	PR0CN000	que
Me	me	PP1CS000	me
deixarão	deixaram	VMIS3P0	deixar
por	por	SPS00	por
morto	morto	NCMS000	morto
	,	Fc	,
te	até	SPS00	até
q	que	PR0CN000	que
veio	veio	VMIS3S0	vir
hum	um	DI0MS0	um
almocreve	almocreve	NCMS000	almocreve
e	e	CC	e
me	me	PP1CS000	me
deitou	deitou	VMIS3S0	deitar
huma	uma	DI0FS0	um
pouca	pouca	NCFS000	pouco
de	de	SPS00	de
agoa	água	NCFS000	água
com	com	SPS00	com
q	que	PR0CN000	que
emtrei	entrei	VMIS1S0	entrar
em	em	SPS00	em
mim	mim	PP1CSO00	mim
	.	Fp	.
e	E	CC	e
	,	Fc	,
como	como	CS	como
os	os	DA0MP0	o
fransezes	franceses	NCMP000	francês
sejão	sejam	VSSP3P0	ser
de	de	SPS00	de
bem	bem	RG	bem
caridade	caridade	NCFS000	caridade
pa	para	SPS00	para
os	os	DA0MP0	o
estranjeiroz	estrangeiros	NCMP000	estrangeiro
	,	Fc	,
me	me	PP1CS000	me
trocce	trouxe	VMIS3S0	trazer
a	a	SPS00	a
cavalo	cavalo	NCMS000	cavalo
vinte	vinte	Z	vinte
legoas	léguas	NCFP000	légua
e	e	CC	e
me	me	PP1CS000	me
deu	deu	VMIS3S0	dar
de	de	SPS00	de
comer	comer	VMN0000	comer
e	e	CC	e
	,	Fc	,
donde	onde	PA000000	onde
quer	quer	VMIP3S0	querer
q	que	CS	que
chegava	chegava	VMII0S0	chegar
	,	Fc	,
me	me	PP1CS000	me
fazia	fazia	VMII0S0	fazer
curar	curar	VMN0000	curar
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
amor	amor	NCMS000	amor
de	de	SPS00	de
Ds	Deus	NP00000	deus
;	.	Fp	.
emfim	Enfim	RG	enfim
	,	Fc	,
chegei	cheguei	VMIS1S0	chegar
a	a	SPS00	a
esta	esta	DD0FS0	este
sidade	cidade	NCFS000	cidade
	.	Fp	.
e	E	CC	e
	,	Fc	,
como	como	CS	como
trocce	trouxe	VMIS3S0	trazer
algum	algum	DI0MS0	algum
sange	sangue	NCMS000	sangue
pizado	pisado	AQ0MS0	pisado
no	no	SPS00+DA0MS0	em+o
corpo	corpo	NCMS000	corpo
	,	Fc	,
pedi	pedi	VMIS1S0	pedir
a	a	SPS00	a
hum	um	DI0MS0	um
barbeiro	barbeiro	NCMS000	barbeiro
se	se	CS	se
me	me	PP1CS000	me
qria	queria	VMII0S0	querer
sangrar	sangrar	VMN0000	sangrar
e	e	CC	e
me	me	PP1CS000	me
deu	deu	VMIS3S0	dar
Des	dez	Z	dez
sangrias	sangrias	NCFP000	sangria
	,	Fc	,
com	com	SPS00	com
q	que	PR0CN000	que
fico	fico	VMIP1S0	ficar
mto	muito	RQ	muito
bom	bom	AQ0MS0	bom
	,	Fc	,
e	e	CC	e
da	da	SPS00+DA0FS0	de+o
ferida	ferida	NCFS000	ferida
