dou	Dou	VMIP1S0	dar
a	a	SPS00	a
vm	VM	NP00000	VM
o	o	DA0MS0	o
titolo	título	NCMS000	título
q	que	PR0CN000	que
merese	merece	VMIP3S0	merecer
	.	Fp	.
Chegei	Cheguei	VMIS1S0	chegar
a	a	SPS00	a
esta	esta	DD0FS0	este
minha	minha	DP1FSS	meu
carta	carta	NCFS000	carta
com	com	SPS00	com
mais	mais	RC	mais
saude	saúde	NCFS000	saúde
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
saiu	saiu	VMIS3S0	sair
da	da	SPS00+DA0FS0	de+o
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
me	me	PP1CS000	me
não	não	RN	não
espanto	espanto	VMIP1S0	espantar
	,	Fc	,
pois	pois	CS	pois
erão	eram	VSII3P0	ser
tanto	tanto	RC	tanto
os	os	DA0MP0	o
vivos	vivos	NCMP000	vivo
por	por	SPS00	por
diante	diante	RG	diante
q	que	CS	que
não	não	RN	não
podia	podia	VMII0S0	poder
deixar	deixar	VMN0000	deixar
decertado	desertado	VMP00SM	desertar
	.	Fp	.
asin	Assim	RG	assim
	,	Fc	,
ben	bem	RG	bem
cei	sei	VMIP1S0	saber
lhe	lhe	PP3CSD00	lhe
pelava	pelava	PP3CSD00	lhe
a	a	SPS00	a
vm	VM	NP00000	VM
averme	haver-me	VMN0000+PP1CS000	haver+me
mal	mal	RG	mal
respecto	respeito	NCMS000	respeito
	,	Fc	,
pois	pois	CS	pois
sempre	sempre	RG	sempre
trazia	trazia	VMN0000	trazer
a	a	DA0FS0	o
cara	cara	NCFS000	cara
alegre	alegre	AQ0CS0	alegre
	.	Fp	.
mas	Mas	CC	mas
não	não	RN	não
me	me	PP1CS000	me
espanto	espanto	VMIP1S0	espantar
porq	porque	CS	porque
	,	Fc	,
quem	quem	PR0CN000	quem
ten	tem	VMIP3S0	ter
deeos	Deus	NP00000	deus
	,	Fc	,
cempre	sempre	RG	sempre
huã	uma	DI0FS0	um
he	é	VSIP3S0	ser
milhor	melhor	RC	melhor
q	que	CS	que
outra	outra	DI0FS0	outro
e	e	CC	e
ben	bem	RG	bem
conhese	conhece	VMIP3S0	conhecer
o	o	DA0MS0	o
mundo	mundo	NCMS000	mundo
quer	quer	VMIP3S0	querer
vm	VM	NP00000	VM
he	é	VSIP3S0	ser
	,	Fc	,
pois	pois	CS	pois
he	é	VSIP3S0	ser
huã	uma	DI0FS0	um
e	e	CC	e
se	se	CS	se
fas	faz	VMIP3S0	fazer
outra	outra	DI0FS0	outro
	.	Fp	.
mas	Mas	CC	mas
eu	eu	PP1CSN00	eu
não	não	RN	não
me	me	PP1CS000	me
espanto	espanto	VMIP1S0	espantar
	,	Fc	,
pois	pois	CS	pois
vm	VM	NP00000	VM
o	o	PP3MSA00	o
fes	fez	VMIS3S0	fazer
noutras	noutras	SPS00+DA0FP0	em+o
partes	partes	NCFP000	parte
q	que	PR0CN000	que
enportava	importava	VMII0S0	importar
mais	mais	RC	mais
	.	Fp	.
mas	Mas	CC	mas
quem	quem	PR0CN000	quem
fes	fez	VMIS3S0	fazer
o	o	DA0MS0	o
q	que	PR0CN000	que
vm	VM	NP00000	VM
fes	fez	VMIS3S0	fazer
	...	Fc	...
q	que	CS	que
queria	queria	VMII0S0	querer
