Soccedeome	Sucedeu-me		
hũ	um	DI0MS0	um
caso	caso	NCMS000	caso
Em	em	SPS00	em
q	que	PR0CN000	que
me	me	PP1CS000	me
não	não	RN	não
sei	sei	VMIP1S0	saber
resolver	resolver	VMN0000	resolver
	,	Fc	,
se	se	CS	se
tenho	tenho	VMIP1S0	ter
obrigação	obrigação	NCFS000	obrigação
de	de	SPS00	de
dar	dar	VMN0000	dar
conta	conta	NCFS000	conta
delle	dele	SPS00+PP3MS000	de+ele
ou	ou	CC	ou
não	não	RN	não
E	e	CC	e
	,	Fc	,
por	por	SPS00	por
fiquar	ficar	VMN0000	ficar
mais	mais	RC	mais
livre	livre	AQ0CS0	livre
de	de	SPS00	de
Escrupullo	escrúpulo	NCMS000	escrúpulo
	,	Fc	,
me	me	PP1CS000	me
pareçeo	pareceu	VMIS3S0	parecer
comonicallo	comunicá-lo	VMN0000+PP3MSA00	comunicar+o
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
pa	para	SPS00	para
que	que	CS	que
	,	Fc	,
sendo	sendo	VSG0000	ser
merecedor	merecedor	NCMS000	merecedor
de	de	SPS00	de
ir	ir	VMN0000	ir
a	a	SPS00	a
tribunal	tribunal	NCMS000	tribunal
	,	Fc	,
faça	faça	VMSP0S0	fazer
Vm	VM	NP00000	VM
o	o	DA0MS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
toqua	toca	VMIP3S0	tocar
	,	Fc	,
E	e	CC	e
	,	Fc	,
quoando	quando	CS	quando
lhe	lhe	PP3CSD00	lhe
pareça	pareça	VMSP0S0	parecer
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
não	não	RN	não
me	me	PP1CS000	me
faça	faça	VMSP0S0	fazer
m	mercê	NCFS000	mercê
avisar	avisar	VMN0000	avisar
pa	para	SPS00	para
ficar	ficar	VMN0000	ficar
com	com	SPS00	com
o	o	DA0MS0	o
animo	ânimo	NCMS000	ânimo
queto	quieto	AQ0MS0	quieto
	.	Fp	.
E	E	CC	e
não	não	RN	não
vou	vou	VMIP1S0	ir
pesoalmte	pessoalmente	RG	pessoalmente
por	por	SPS00	por
não	não	RN	não
causar	causar	VMN0000	causar
sospeita	suspeita	NCFS000	suspeita
	.	Fp	.
o	O	DA0MS0	o
negocio	negócio	NCMS000	negócio
E	é	VSIP3S0	ser
o	o	DA0MS0	o
seguinte	seguinte	NCMS000	seguinte
	.	Fp	.
Tenho	Tenho	VMIP1S0	ter
nesta	nesta	SPS00+DD0FS0	em+este
Caza	casa	NCFS000	casa
doente	doente	AQ0CS0	doente
JaCinto	Jacinto	NP00000	jacinto
Teixra	Teixeira	NP00000	teixeira
de	de	SPS00	de
mello	Melo	NP00000	melo
	,	Fc	,
fo	filho	NCMS000	filho
de	de	SPS00	de
meu	meu	DP1MSS	meu
parente	parente	NCMS000	parente
Gco	Gonçalo	NP00000	gonçalo
Teixra	Teixeira	NP00000	teixeira
Coelho	Coelho	NP00000	coelho
	.	Fp	.
trouxe	Trouxe	VMIS1S0	trazer
cõsiguo	consigo	SPS00+PP3CNO00	com+si
	,	Fc	,
este	este	DD0MS0	este
fidalguo	fidalgo	NCMS000	fidalgo
	,	Fc	,
hũ	um	DI0MS0	um
pagem	pajem	NCMS000	pajem
chamado	chamado	VMP00SM	chamar
frco	Francisco	NP00000	francisco
TEixra	Teixeira	NP00000	teixeira
E	e	CC	e
de	de	SPS00	de
hũ	um	DI0MS0	um
dia	dia	NCMS000	dia
destes	destes	SPS00+PD0MP000	de+este
atras	atrás	RG	atrás
	,	Fc	,
Estando	estando	VMG0000	estar
Eu	eu	PP1CSN00	eu
na	na	SPS00+DA0FS0	em+o
Cama	cama	NCFS000	cama
	,	Fc	,
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
que	que	CS	que
hũ	um	DI0MS0	um
Cle-riguo	clérigo	NCMS000	clérigo
	,	Fc	,
que	que	CS	que
aqui	aqui	RG	aqui
avia	havia	VMII0S0	haver
vindo	vindo	VMG0000	vir
o	o	DA0MS0	o
dia	dia	NCMS000	dia
antes	antes	RG	antes
verme	ver-me	VMN0000+PP1CS000	antes
	,	Fc	,
o	o	PP3MSA00	o
avia	havia	VMII0S0	haver
Emcontrado	encontrado	VMP00SM	encontrar
	.	Fp	.
E	E	CC	e
	,	Fc	,
depois	depois	RG	depois
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
fazer	fazer	VMN0000	fazer
mtos	muitos	DI0MP0	muito
Comprimentos	cumprimentos	NCMP000	cumprimento
	,	Fc	,
o	o	PP3MSA00	o
quis	quis	VMIS3S0	querer
levar	levar	VMN0000	levar
a	a	SPS00	a
sua	sua	DP3FS0	seu
Caza	casa	NCFS000	casa
E	e	CC	e
que	que	CS	que
Estava	estava	VMII0S0	estar
ali	ali	RG	ali
hũ	um	DI0MS0	um
criado	criado	NCMS000	criado
seu	seu	DP3MS0	seu
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
trazia	trazia	VMN0000	trazer
hũ	um	DI0MS0	um
Escrito	escrito	NCMS000	escrito
	,	Fc	,
que	que	CS	que
Eu	eu	PP1CSN00	eu
o	o	PP3MSA00	o
abrise	abrisse	VMSI0S0	abrir
E	e	CC	e
vise	visse	VMSI0S0	ver
o	o	DA0MS0	o
que	que	PR0CN000	que
dizia	dizia	VMII0S0	dizer
	.	Fp	.
tomei	Tomei	VMIS1S0	tomar
hum	um	DI0MS0	um
escrito	escrito	NCMS000	escrito
E	e	CC	e
	,	Fc	,
como	como	SPS00	como
o	o	DA0MS0	o
pe	padre	NCMS000	padre
nelle	nele	SPS00+PP3MS000	em+ele
significava	significava	SPS00+PP3MS000	em+ele
hũ	um	DI0MS0	um
intimo	íntimo	NCMS000	íntimo
desejo	desejo	NCMS000	desejo
a	a	SPS00	a
perpetuar	perpetuar	VMN0000	perpetuar
amizade	amizade	NCFS000	amizade
com	com	SPS00	com
o	o	DA0MS0	o
rapas	rapaz	NCMS000	rapaz
	,	Fc	,
diselhe	disse-lhe	VMIS3S0+PP3CSD00	dizer+lhe
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
respondese	respondesse	VMSP0S0	responder
que	que	CS	que
não	não	RN	não
podia	podia	VMII0S0	poder
ir	ir	VMN0000	ir
a	a	SPS00	a
sua	sua	DP3FS0	seu
Casa	casa	NCFS000	casa
	,	Fc	,
como	como	CS	como
Elle	ele	PP3MS000	ele
lhe	lhe	PP3CSD00	lhe
pedia	pedia	VMII0S0	pedir
no	no	SPS00+DA0MS0	em+o
mesmo	mesmo	AQ0MS0	mesmo
escrito	escrito	NCMS000	escrito
	,	Fc	,
mas	mas	CC	mais
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
agradecia	agradecia	VMIP3S0	agradeciar
a	a	DA0FS0	o
m	mercê	NCFS000	mercê
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
fazia	fazia	VMII0S0	fazer
Em	em	SPS00	em
querer	querer	VMN0000	querer
ser	ser	VSN0000	ser
seu	seu	DP3MS0	seu
amiguo	amigo	NCMS000	amigo
	.	Fp	.
pasarãose	Passaram-se	VMIS3P0+P00CN000	passar+se
algũs	alguns	DI0MP0	algum
dias	dias	NCMP000	dia
E	e	CC	e
tornou	tornou	VMIS3S0	tornar
o	o	DA0MS0	o
mesmo	mesmo	AQ0MS0	mesmo
portador	portador	NCMS000	portador
com	com	SPS00	com
outro	outro	DI0MS0	outro
Escrito	escrito	NCMS000	escrito
E	e	CC	e
com	com	SPS00	com
hũ	um	DI0MS0	um
corporal	corporal	AQ0CS0	corporal
	.	Fp	.
E	E	CC	e
o	o	DA0MS0	o
moço	moço	NCMS000	moço
	,	Fc	,
asi	assim	RG	assim
como	como	SPS00	como
o	o	DA0MS0	o
outro	outro	DI0MS0	outro
lho	lho	PP3CSD00+PP3MSA00	lhe+o
deu	deu	VMIS3S0	dar
sem	sem	SPS00	sem
o	o	DA0MS0	o
abrir	abrir	VMN0000	abrir
	,	Fc	,
me	me	PP1CS000	me
emtregou	entregou	VMIS3S0	entregar
	.	Fp	.
Eu	Eu	PP1CSN00	eu
vi	vi	VMIS1S0	ver
que	que	CS	que
desia	dizia	VMII0S0	dizer
	.	Fp	.
o	O	DA0MS0	o
que	que	PR0CN000	que
tem	tem	VMIP3S0	ter
	,	Fc	,
pode	pode	VMIP3S0	poder
ver	ver	VMN0000	ver
delles	deles	SPS00+PP3MP000	de+ele
	,	Fc	,
que	que	CS	que
ambos	ambos	PI0MP000	ambos
vão	vão	VMIP3P0	ir
com	com	SPS00	com
esta	esta	DD0FS0	este
	.	Fp	.
E	E	CC	e
	,	Fc	,
vendo	vendo	VMG0000	ver
a	a	DA0FS0	o
proximidade	proximidade	NCFS000	proximidade
cõ	com	SPS00	com
que	que	CS	que
o	o	DA0MS0	o
pe	padre	NCMS000	padre
tratava	tratava	VMII0S0	tratar
o	o	DA0MS0	o
moço	moço	NCMS000	moço
	,	Fc	,
pareceome	pareceu-me	VMIS3S0+PP1CS000	parecer+me
mta	muita	DI0FS0	muito
a	a	DA0FS0	o
desigoaldade	desigualdade	NCFS000	desigualdade
das	das	SPS00+DA0FP0	de+o
idades	idades	NCFP000	idade
E	e	CC	e
das	das	SPS00+DA0FP0	de+o
colidades	qualidades	NCFP000	qualidade
E	e	CC	e
oficios	ofícios	NCMP000	ofício
pa	para	SPS00	para
tanta	tanta	DI0FS0	tanto
familiaridade	familiaridade	NCFS000	familiaridade
	.	Fp	.
E	E	CC	e
disse	disse	VMIS3S0	dizer
ao	ao	SPS00+DA0MS0	a+o
moço	moço	NCMS000	moço
que	que	CS	que
fose	fosse	VMSI0S0	ir
descortes	descortês	NCMS000	descortês
E	e	CC	e
que	que	CS	que
não	não	RN	não
respondese	respondesse	VMSP0S0	responder
E	e	CC	e
mandase	mandasse	VMSI0S0	mandar
o	o	DA0MS0	o
portador	portador	NCMS000	portador
assim	assim	RG	assim
	.	Fp	.
E	E	CC	e
	,	Fc	,
pasados	passados	VMP00PM	passar
sinquo	cinco	Z	cinco
ou	ou	CC	ou
seis	seis	Z	seis
dias	dias	NCMP000	dia
mais	mais	CC	mais
	,	Fc	,
tornou	tornou	VMIS3S0	tornar
o	o	DA0MS0	o
terceiro	terceiro	NCMS000	terceiro
com	com	SPS00	com
hũ	um	DI0MS0	um
recado	recado	NCMS000	recado
de	de	SPS00	de
pallavras	palavras	NCFP000	palavra
	,	Fc	,
que	que	CS	que
seu	seu	DP3MS0	seu
amo	amo	NCMS000	amo
Estava	estava	VMII0S0	estar
a	à	SPS00+DA0FS0	a+o
porta	porta	NCFS000	porta
de	de	SPS00	de
S	São	NP00000	são
Tiaguo	Tiago	NP00000	tiago
	,	Fc	,
que	que	CS	que
pedia	pedia	VMII0S0	pedir
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
fallase	falasse	VMSI0S0	falar
da	da	SPS00+DA0FS0	de+o
genellas	janelas	NCFP000	janela
da	da	SPS00+DA0FS0	de+o
galleria	galeria	NCFS000	galeria
	.	Fp	.
diseme	Disse-me	VMIS3S0+PP1CS000	dizer+me
o	o	DA0MS0	o
moço	moço	NCMS000	moço
o	o	DA0MS0	o
que	que	PR0CN000	que
pasava	passava	VMII0S0	passar
	.	Fp	.
diselhe	Disse-lhe	VMIS3S0+PP3CSD00	dizer+lhe
Eu	eu	PP1CSN00	eu
que	que	CS	que
Fose	fosse	VMSI0S0	ir
E	e	CC	e
Eu	eu	PP1CSN00	eu
iria	iria	VMIC0S0	ir
detras	detrás	RG	detrás
	,	Fc	,
que	que	CS	que
queria	queria	VMII0S0	querer
ver	ver	VMN0000	ver
o	o	DA0MS0	o
q	que	PR0CN000	que
detreminava	determinava	VMII0S0	determinar
o	o	DA0MS0	o
pe	padre	NCMS000	padre
	.	Fp	.
Em	Em	SPS00	em
o	o	DA0MS0	o
moço	moço	NCMS000	moço
Chegando	chegando	VMG0000	chegar
ate	até	SPS00	até
nella	nela	SPS00+PP3FS000	em+ele
	,	Fc	,
veyose	veio-se	VMIS3S0+P00CN000	vir+se
elle	ele	PP3MS000	ele
chegando	chegando	VMG0000	chegar
E	e	CC	e
diselhe	disse-lhe	VMIS3S0+PP3CSD00	dizer+lhe
que	que	CS	que
elle	ele	PP3MS000	ele
fose	fosse	VMSI0S0	ir
a	à	SPS00+DA0FS0	a+o
porta	porta	NCFS000	porta
da	da	SPS00+DA0FS0	de+o
rua	rua	NCFS000	rua
	.	Fp	.
disse	Disse	VMIS3S0	dizer
Eu	eu	PP1CSN00	eu
ao	ao	SPS00+DA0MS0	a+o
moço	moço	NCMS000	moço
que	que	CS	que
fose	fosse	VMSI0S0	ir
E	e	CC	e
	,	Fc	,
Emtrado	entrando	VMG0000	entrar
Em	em	SPS00	em
mallicia	malícia	NCFS000	malícia
	,	Fc	,
que	que	CS	que
tudo	tudo	PI0NN000	tudo
isto	isto	PD0NN000	isto
ouve	houve	VMIS3S0	haver
mister	mister	NCMS000	mister
pa	para	SPS00	para
me	me	PP1CS000	me
pasar	passar	VMN0000	passar
pello	pelo	SPS00+DA0MS0	por+o
pensamento	pensamento	NCMS000	pensamento
que	que	CS	que
homẽ	homem	NCMS000	homem
desta	desta	SPS00+DD0FS0	de+este
terra	terra	NCFS000	terra
ouvese	houvesse	VMSI0S0	haver
de	de	SPS00	de
cometer	cometer	VMN0000	cometer
semelhante	semelhante	AQ0CS0	semelhante
imfamia	infâmia	NCFS000	infâmia
	.	Fp	.
dise	Disse	VMIS3S0	dizer
ao	ao	SPS00+DA0MS0	a+o
rapas	rapaz	NCMS000	rapaz
