jhs	Jesus	NP00000	jesus
	,	Fc	,
ma	Maria	NP00000	maria
a	À	SPS00+DA0FS0	a+o
minha	minha	DP1FSS	meu
irmasinha	irmãzinha	NCFS00D	irmão
d	de	SPS00	de
alma	alma	NCFS000	alma
	,	Fc	,
mil	mil	Z	mil
veses	vezes	NCFP000	vez
e	e	CC	e
mil	mil	Z	mil
veses	vezes	NCFP000	vez
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
coração	coração	NCMS000	coração
	.	Fc	coração
irmasinha	Irmãzinha	NCFS00D	irmão
	,	Fc	,
e	é	VSIP3S0	ser
nesesario	necessário	AQ0MS0	necessário
o	o	DA0MS0	o
lansol	lençol	NCMS000	lençol
q	que	CS	que
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
dei	dei	VMIS1S0	dar
conta	conta	NCFS000	conta
e	e	CC	e
as	as	DA0FP0	o
camizas	camisas	NCFP000	camisa
	.	Fp	.
Estes	Estes	DD0MP0	este
snros	senhores	NCMP000	senhor
nos	nos	SPS00+DA0FS0	em+os
emsini	ensinem	NCFS000	ensinem
a	a	SPS00	a
malos	amá-los	SPS00	a
de	de	SPS00	de
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
coracão	coração	NCMS000	coração
pa	para	SPS00	para
q	que	CS	que
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
serviço	serviço	NCMS000	serviço
asertemos	acertemos	VMIP3S0	acerter
.	.	Fp	.
verdadeiramte	Verdadeiramente	RG	verdadeiramente
	,	Fc	,
irmasinha	irmãzinha	NCFS00D	irmão
	,	Fc	,
q	que	CS	que
he	é	VSIP3S0	ser
tanto	tanto	DI0MS0	tanto
o	o	DA0MS0	o
amor	amor	NCMS000	amor
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
tenho	tenho	VMIP1S0	ter
q	que	CS	que
não	não	RN	não
poso	posso	VMIP1S0	poder
emcareser	encarecer	VMN0000	encarecer
com	com	SPS00	com
palavras	palavras	NCFP000	palavra
	.	Fp	.
e	E	CC	e
das	das	SPS00+DA0FP0	de+o
obras	obras	NCFP000	obra
	,	Fc	,
so	só	RG	só
esses	esses	DD0MP0	esse
senhores	senhores	NCMP000	senhor
serão	serão	VSIF3P0	ser
minhas	minhas	DP1FPS	meu
testimunhas	testemunhas	NCFP000	testemunha
pa	para	SPS00	para
com	com	SPS00	com
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
irmasinha	irmãzinha	NCFS00D	irmão
,	,	Fc	,
a	a	SPS00	a
quem	quem	PR0CN000	quem
eu	eu	PP1CSN00	eu
tanto	tanto	CC	tanto
quero	quero	VMIP1S0	querer
em	em	SPS00	em
ds	Deus	NP00000	deus
,	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
poso	posso	VMIP1S0	poder
nũqua	nunca	RN	nunca
do	do	SPS00+DA0MS0	de+o
sintido	sentido	NCMS000	sentido
de	de	SPS00	de
q	que	PR0CN000	que
espero	espero	VMIP1S0	esperar
em	em	SPS00	em
este	este	DD0MS0	este
senhor	Senhor	NP00000	senhor
	,	Fc	,
q	que	PR0CN000	que
a	há	VMIP3S0	haver
de	de	SPS00	de
estar	estar	VMN0000	estar
ainda	ainda	RG	ainda
em	em	SPS00	em
algua	alguma	DI0FS0	algum
parte	parte	NCFS000	parte
secreta	secreta	NCFS000	secreta
pera	para	SPS00	para
fartarem	fartarem	NCFS000	fartarem
nosa	nossa	DP1FSP	nosso
vontade	vontade	NCFS000	vontade
em	em	SPS00	em
tudo	tudo	PI0NN000	tudo
q	que	CS	que
a	a	DA0FS0	o
irmasinha	irmãzinha	NCFS00D	irmão
quizer	quiser	VMSF0S0	querer
e	e	CC	e
tiver	tiver	VMSF0S0	ter
gozo	gozo	NCMS000	gozo
	,	Fc	,
q	que	CS	que
ese	esse	DD0MS0	esse
he	é	VSIP3S0	ser
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
	,	Fc	,
pa	para	SPS00	para
q	que	PR0CN000	que
nos	nos	PP1CP000	nos
vijamos	vejamos	VMSP1P0	ver
de	de	SPS00	de
rosto	rosto	NCMS000	rosto
a	a	SPS00	a
rosto	rosto	NCMS000	rosto
,	.	Fp	.
e	E	CC	e
tudo	tudo	PI0NN000	tudo
q	que	CS	que
a	a	DA0FS0	o
irmasinha	irmãzinha	NCFS00D	irmão
fizer	fizer	VMSF0S0	fazer
o	o	DA0MS0	o
ei	hei	VMIP1S0	haver
por	por	SPS00	por
feito	feito	NCMS000	feito
;	,	Fc	,
pois	pois	CS	pois
eu	eu	PP1CSN00	eu
	,	Fc	,
ds	Deus	NP00000	deus
louvado	louvado	VMP00SM	louvar
	,	Fc	,
não	não	RN	não
tenho	tenho	VMIP1S0	ter
	,	Fc	,
de	de	SPS00	de
ds	Deus	NP00000	deus
abaio	abaixo	RG	abaixo
	,	Fc	,
outros	outros	DI0MP0	outro
amores	amores	NCMP000	amor
senão	senão	CC	senão
nella	nela	SPS00+PP3FS000	em+ele
;	,	Fc	,
como	como	CS	como
não	não	RN	não
tive	tive	VMIS1S0	ter
nũqua	nunca	RN	nunca
mais	mais	RC	mais
amores	amores	NCMP000	amor
q	que	PR0CN000	que
so	só	RG	só
a	a	SPS00	a
ella	ela	PP3FS000	ele
	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
quizera	quisera	VMIM0S0	querer
q	que	CS	que
nos	nos	SPS00+DA0MP0	em+o
viramos	víramos	VMIM1P0	ver
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
pharemos	faremos	VMIF1P0	fazer
cada	cada	DI0CN0	cada
ora	hora	NCFS000	hora
,	.	Fp	.
estimarei	Estimarei	VMIF1S0	estimar
mto	muito	RQ	muito
mandarme	mandar-me	VMN0000+PP1CS000	mandar+me
diser	dizer	VMN0000	dizer
anda	anda	VMIP3S0	andar
cõ	com	SPS00	com
a	a	DA0FS0	o
camiza	camisa	NCFS000	camisa
vistida	vistida	SPS00	vistida
porq	porq	X	porq
estimo	estimo	VMIP1S0	estimar
mto	mto	NCMS000	mto
a	a	SPS00	a
sua	sua	DP3FS0	seu
saude	saude	NCFS000	saude
tanto	tanto	CC	tanto
como	como	SPS00	como
a	a	DA0FS0	o
minha	minha	DP1FSS	meu
propia	propia	NCFS000	propia
	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
lho	lho	PP3CSD00+PP3MSA00	lhe+o
afirmo	afirmo	VMIP1S0	afirmar
q	que	CS	que
	,	Fc	,
de	de	SPS00	de
ds	Deus	NP00000	deus
abaio	abaixo	RG	abaixo
	,	Fc	,
não	não	RN	não
quero	quero	VMIP1S0	querer
conheser	conhecer	VMN0000	conhecer
a	a	SPS00	a
outren	outrem	PI0NN000	outrem
senão	senão	CC	senão
a	à	SPS00+DA0FS0	a+o
minha	minha	DP1FSS	meu
irmasinha	irmãzinha	NCFS00D	irmão
d	de	SPS00	de
alma	alma	NCFS000	alma
e	e	CC	e
não	não	RN	não
querer	querer	VMN0000	querer
mais	mais	RC	mais
a	a	SPS00	a
outrem	outrem	PI0NN000	outrem
senão	senão	CC	senão
so	só	RG	só
a	à	SPS00+DA0FS0	a+o
minha	minha	DP1FSS	meu
irmasinha	irmãzinha	NCFS00D	irmão
	.	Fp	.
e	E	CC	e
he	é	VSIP3S0	ser
pena	pena	NCFS000	pena
de	de	SPS00	de
eu	eu	PP1CSN00	eu
ser	ser	VSN0000	ser
bem	bem	RG	bem
castigado	castigado	VMP00SM	castigar
se	se	CS	se
o	o	DA0MS0	o
asim	assim	RG	assim
não	não	RN	não
comprir	cumprir	VMN0000	cumprir
e	e	CC	e
de	de	SPS00	de
nũqua	nunca	RN	nunca
apartar	apartar	VMN0000	apartar
daqui	daqui	SPS00+RG	de+aqui
salvo	salvo	SPS00	salvo
for	for	VMSF0S0	ir
pola	pela	SPS00+DA0FS0	por+o
vontade	vontade	NCFS000	vontade
da	da	SPS00+DA0FS0	de+o
irmasinha	irmãzinha	NCFS00D	irmão
	,	Fc	,
porq	porque	CS	porque
lhe	lhe	PP3CSD00	lhe
quero	quero	VMIP1S0	querer
tanto	tanto	RC	tanto
q	que	CS	que
não	não	RN	não
quero	quero	VMIP1S0	querer
ir	ir	VMN0000	ir
fora	fora	RG	fora
de	de	SPS00	de
sua	sua	DP3FS0	seu
vontade	vontade	NCFS000	vontade
	,	Fc	,
ainda	ainda	RG	ainda
q	que	CS	que
seja	seja	VSSP0S0	ser
com	com	SPS00	com
pena	pena	NCFS000	pena
minha	minha	DP1FSS	meu
,	,	Fc	,
pois	pois	CS	pois
ella	ela	PP3FS000	ele
e	é	VSIP3S0	ser
todo	todo	DI0MS0	todo
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
bem	bem	NCMS000	bem
de	de	SPS00	de
ds	Deus	NP00000	deus
abaio	abaixo	RG	abaixo
,	.	Fc	abaixo
irmasinha	Irmãzinha	NCFS00D	irmão
	,	Fc	,
por	por	SPS00	por
qui	aqui	RG	aqui
vão	vão	VMIP3P0	ir
as	as	DA0FP0	o
palavras	palavras	NCFP000	palavra
q	que	PR0CN000	que
disia	dizia	VMII0S0	dizer
quiria	queria	VMII0S0	querer
por	pôr	VMN0000	pôr
no	no	SPS00+DA0MS0	em+o
meu	meu	DP1MSS	meu
iscrito	escrito	NCMS000	escrito
	.	Fp	.
podiaas	Podia-as	Fp	.
por	pôr	VMN0000	pôr
se	se	CS	se
quizer	quiser	VMSF0S0	querer
	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
lhe	lhe	PP3CSD00	lhe
peso	peço	VMIP1S0	pedir
q	que	CS	que
me	me	PP1CS000	me
responda	responda	VMSP0S0	responder
loguo	logo	RG	logo
e	e	CC	e
este	este	DD0MS0	este
queimeo	queime-o	DD0MS0	este
loguo	logo	RG	logo
	,	Fc	,
pa	para	SPS00	para
q	que	CS	que
vivamos	vivamos	VMSP1P0	viver
acautalados	acautelados	NCFP000	acautelado
,	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
q	que	PR0CN000	que
vigaro	Vigário	NP00000	vigário
	,	Fc	,
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
de	dê	VMSP0S0	dar
conta	conta	NCFS000	conta
mais	mais	CC	mais
q	que	CS	que
so	só	RG	só
do	do	SPS00+DA0MS0	de+o
governo	governo	NCMS000	governo
da	da	SPS00+DA0FS0	de+o
caza	casa	NCFS000	casa
porq	porque	CS	porque
emporta	importa	VMIP3S0	importar
	,	Fc	,
sim	sim	RG	sim
	,	Fc	,
