jhs	JHS	NP00000	JHS
irmãosinho	Irmãozinho	NCMS00D	irmão
	,	Fc	,
não	não	RN	não
tenho	tenho	VMIP1S0	ter
palavras	palavras	NCFP000	palavra
cõ	com	SPS00	com
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
possa	possa	VMSP0S0	poder
declarar	declarar	VMN0000	declarar
a	a	DA0FS0	o
grãde	grande	AQ0CS0	grande
cõsolasão	consolação	NCFS000	consolação
q	que	PR0CN000	que
onte	ontem	RG	ontem
tive	tive	VMIS1S0	ter
cõ	com	SPS00	com
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
escrito	escrito	NCMS000	escrito
	,	Fc	,
porq	porque	CS	porque
andava	andava	VMII0S0	andar
ja	já	RG	já
mui	muito	RQ	muito
saudosa	saudosa	AQ0FS0	saudoso
de	de	SPS00	de
ver	ver	VMN0000	ver
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
letra	letra	NCFS000	letra
e	e	CC	e
ller	ler	VMN0000	ler
a	as	DA0FP0	o
suas	suas	DP3FP0	seu
palavras	palavras	NCFP000	palavra
	,	Fc	,
q	que	PR0CN000	que
todas	todas	PI0FP000	todo
guardo	guardo	VMIP1S0	guardar
na	na	SPS00+DA0FS0	em+o
minha	minha	DP1FSS	meu
alma	alma	NCFS000	alma
	.	Fp	.
e	E	CC	e
tenho	tenho	VMIP1S0	ter
por	por	SPS00	por
sinal	sinal	NCMS000	sinal
claro	claro	AQ0MS0	claro
de	de	SPS00	de
prestinação	predestinação	NCFS000	predestinação
a	a	DA0FS0	o
caridade	caridade	NCFS000	caridade
e	e	CC	e
amor	amor	NCMS000	amor
q	que	PR0CN000	que
nellas	nelas	SPS00+PP3FP000	em+ele
me	me	PP1CS000	me
mostra	mostra	VMIP3S0	mostrar
	,	Fc	,
porq	porque	CS	porque
vejo	vejo	VMIP1S0	ver
q	que	CS	que
não	não	RN	não
mereso	mereço	VMIP1S0	merecer
a	a	SPS00	a
Ds	Deus	NP00000	deus
saberẽme	saberem-me	VMN03P0+PP1CS000	saber+me
seus	seus	DP3MP0	seu
servos	servos	NCMP000	servo
o	o	DA0MS0	o
nome	nome	NCMS000	nome
	.	Fp	.
e	E	CC	e
assi	assim	RG	assim
	,	Fc	,
quando	quando	CS	quando
o	o	DA0MS0	o
irmãosinho	irmãozinho	NCMS00D	irmão
me	me	PP1CS000	me
trata	trata	VMIP3S0	tratar
deste	deste	SPS00+DD0MS0	de+este
modo	modo	NCMS000	modo
	,	Fc	,
tenho o	tenho-o	VMIP1S0+PP3MSA00	ter+o
por	por	SPS00	por
particular	particular	AQ0CS0	particular
m	mercê	NCFS000	mercê
de	de	SPS00	de
Ds	Deus	NP00000	deus
	,	Fc	,
pelo	pelo	SPS00+DA0MS0	por+o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
peso	peço	VMIP1S0	pedir
se	se	P00CN000	se
não	não	RN	não
canse	canse	VMM02S0	cansar
de	de	SPS00	de
me	me	PP1CS000	me
cõsolar	consolar	VMN0000	consolar
escrevendome	escrevendo-me	VMG0000+PP1CS000	escrever+me
	,	Fc	,
porq	porque	CS	porque
lho	lho	PP3CSD00+PP3MSA00	lhe+o
merese	merece	VMIP3S0	merecer
o	o	DA0MS0	o
amor	amor	NCMS000	amor
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
tenho	tenho	VMIP1S0	ter
em	em	SPS00	em
Ds	Deus	NP00000	deus
,	.	Fp	.
como	Como	CS	como
aqui	aqui	RG	aqui
vier	vier	VMSF0S0	vir
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
darei	darei	VMIF1S0	dar
papel	papel	NCMS000	papel
	,	Fc	,
porq	porque	CS	porque
vejo	vejo	VMIP1S0	ver
deste	deste	SPS00+DD0MS0	de+este
escrito	escrito	NCMS000	escrito
q	que	CS	que
o	o	PP3MSA00	o
não	não	RN	não
tem	tem	VMIP3S0	ter
,	.	Fp	.
e	E	CC	e
ja	já	RG	já
q	que	CS	que
elle	ele	PP3MS000	ele
não	não	RN	não
quer	quer	VMIP3S0	querer
outra	outra	DI0FS0	outro
irmãzinha	irmãzinha	NCFS00D	irmão
senão	senão	CC	senão
esta	esta	DD0FS0	este
ma	má	AQ0FS0	mau
pessa	peça	NCFS000	peça
	,	Fc	,
achome	acho-me	VMIP1S0+PP1CS000	achar+me
obrigada	obrigada	VMP00SF	obrigar
a	a	SPS00	a
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
faltar	faltar	VMN0000	faltar
cõ	com	SPS00	com
nada	nada	PI0NN00N	nada
,	.	Fp	.
mto	Muito	RQ	muito
me	me	PP1CS000	me
alegro	alegro	VMIP1S0	alegrar
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
veses	vezes	NCFP000	vez
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
ouso	ouço	VMIP1S0	ouvir
diser	dizer	VMN0000	dizer
q	que	CS	que
se	se	P00CN000	se
não	não	RN	não
ha	há	VMIP3S0	haver
de	de	SPS00	de
ir	ir	VMN0000	ir
daqui	daqui	SPS00+RG	de+aqui
	,	Fc	,
porq	porque	CS	porque
estimo	estimo	VMIP1S0	estimar
mto	muito	RQ	muito
a	a	DA0FS0	o
cõpanhia	companhia	NCFS000	companhia
do	do	SPS00+DA0MS0	de+o
meu	meu	DP1MSS	meu
irmãozinho	irmãozinho	NCMS00D	irmão
e	e	CC	e
ja	já	RG	já
estou	estou	VMIP1S0	estar
sentindo	sentindo	VMG0000	sentir
os	os	DA0MP0	o
dias	dias	NCMP000	dia
q	que	PR0CN000	que
ha	há	VMIP3S0	haver
de	de	SPS00	de
estar	estar	VMN0000	estar
em	em	SPS00	em
setuvel	Setúbal	NP00000	setúbal
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
cudo	cuido	VMIP1S0	cuidar
q	que	CS	que
fora	fora	VSIM0S0	ser
milhor	melhor	RC	melhor
não	não	RN	não
se	se	P00CN000	se
