Pezame	Pesa-me	VMIP3S0+PP1CS000	pesar+me
de	de	SPS00	de
q	que	CS	que
Vm	VM	NP00000	VM
tenha	tenha	VMSP0S0	ter
desconfiansaz	desconfianças	NCFP000	desconfiança
de	de	SPS00	de
meu	meu	DP1MSS	meu
escrito	escrito	NCMS000	escrito
coando	quando	CS	quando
a	a	DA0FS0	o
tensão	tenção	NCFS000	tenção
delle	dele	SPS00+PP3MS000	de+ele
não	não	RN	não
Foi	foi	VSIS3S0	ser
maiz	mais	RC	mais
que	que	CS	que
dar	dar	VMN0000	dar
a	a	SPS00	a
entender	entender	VMN0000	entender
a	a	SPS00	a
Vm	VM	NP00000	VM
a	a	DA0FS0	o
queixa	queixa	NCFS000	queixa
de	de	SPS00	de
pedro	Pedro	NP00000	pedro
Verdejo	Verdejo	NP00000	verdejo
	.	Fp	.
e	E	CC	e
so	só	RG	só
por	por	SPS00	por
esta	esta	PD0FS000	este
me	me	PP1CS000	me
mostrey	mostrei	VMIS1S0	mostrar
com	com	SPS00	com
dezejos	desejos	NCMP000	desejo
de	de	SPS00	de
q	que	CS	que
	,	Fc	,
Podendo	podendo	VMG0000	poder
ser	ser	VSN0000	ser
	,	Fc	,
mandase	mandasse	VMSI0S0	mandar
Vm	VM	NP00000	VM
ajustar	ajustar	VMN0000	ajustar
estas	estas	DD0FP0	este
contas	contas	NCFP000	conta
pa	para	SPS00	para
com	com	SPS00	com
ellas	elas	PP3FP000	ele
nos	nos	SPS00+DA0MP0	em+o
dezenganasemos	desenganássemos	VMSI1P0	desenganar
todos	todos	PI0MP000	todo
e	e	CC	e
veja	veja	VMSP0S0	ver
meu	meu	DP1MSS	meu
tio	tio	NCMS000	tio
seu	seu	DP3MS0	seu
erro	erro	NCMS000	erro
no	no	SPS00+DA0MS0	em+o
q	que	PR0CN000	que
Imagina	imagina	VMIP3S0	imaginar
	.	Fp	.
e	E	CC	e
	,	Fc	,
coando	quando	CS	quando
Vm	VM	NP00000	VM
nelles	neles	SPS00+PP3MP000	em+ele
o	o	PP3FSA00	o
alcanse	alcance	VMSP0S0	alcançar
,	,	Fc	,
lhe	lhe	PP3CSD00	lhe
de	dê	VMSP0S0	dar
a	a	DA0FS0	o
sastifasão	satisfação	NCFS000	satisfação
q	que	PR0CN000	que
sempre	sempre	RG	sempre
Fes	fez	VMIS3S0	fazer
.	.	Fp	.
eu	Eu	PP1CSN00	eu
me	me	PP1CS000	me
não	não	RN	não
esqueso	esqueço	VMIP1S0	esquecer
de	de	SPS00	de
q	que	CS	que
Vm	VM	NP00000	VM
me	me	PP1CS000	me
tem	tem	VAIP3S0	ter
dado	dado	VMP0000	dar
Dro	dinheiro	NCMS000	dinheiro
e	e	CC	e
a	a	SPS00	a
meu	meu	DP1MSS	meu
tio	tio	NCMS000	tio
lhe	lhe	PP3CSD00	lhe
consta	consta	VMIP3S0	constar
asy	assim	RG	assim
	,	Fc	,
pois	pois	CS	pois
foi	foi	VSIS3S0	ser
pa	para	SPS00	para
a	a	DA0FS0	o
sastisfasão	satisfação	NCFS000	satisfação
de	de	SPS00	de
suas	suas	DP3FP0	seu
letraz	letras	NCFP000	letra
e	e	CC	e
ordem	ordem	NCFS000	ordem
	.	Fp	.
traga	Traga	VMSP0S0	trazer
Ds	Deus	NP00000	deus
os	os	DA0MP0	o
navios	navios	NCMP000	navio
em	em	SPS00	em
paz	paz	NCFS000	paz
	,	Fc	,
em	em	SPS00	em
q	que	PR0CN000	que
devem	devem	VMIP3P0	dever
de	de	SPS00	de
vir	vir	VMN0000	vir
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
contas	contas	NCFP000	conta
pera	para	SPS00	para
q	que	CS	que
se	se	P00CN000	se
posão	possam	VMSP3P0	poder
ajustar	ajustar	VMN0000	ajustar
estaz	estas	PD0FP000	este
	,	Fc	,
que	que	CS	que
	,	Fc	,
a	a	SPS00	a
entender	entender	VMN0000	entender
eu	eu	PP1CSN00	eu
se	se	P00CN000	se
mostraria	mostraria	VMIC0S0	mostrar
Vm	VM	NP00000	VM
com	com	SPS00	com
descomfiansaz	desconfianças	NCFP000	desconfiança
pa	para	SPS00	para
Falar	falar	VMN0000	falar
nisto	nisto	SPS00+PD0NN000	em+isto
	,	Fc	,
o	o	PP3MSA00	o
não	não	RN	não
Fizera	fizera	VMIM0S0	fazer
nunca	nunca	RN	nunca
pois	pois	CS	pois
sey	sei	VMIP1S0	saber
Bem	bem	RG	bem
fomos	fomos	VSIS1P0	ser
nos	nós	PP1CP000	nós
sempre	sempre	RG	sempre
os	os	DA0MP0	o
q	que	PR0CN000	que
devemos	devemos	VMIP1P0	dever
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
asim	assim	RG	assim
fazenda	fazenda	NCFS000	fazenda
como	como	CS	como
oBrigasois	obrigações	NCFP000	obrigação
	,	Fc	,
q	que	PR0CN000	que
he	é	VSIP3S0	ser
as	as	DA0MS0	o
que	que	PR0CN000	que
maiz	mais	RC	mais
temos	temos	VMIP1P0	ter
nos	nos	SPS00+DA0MP0	em+o
olhos	olhos	NCMP000	olho
p	para	SPS00	para
mereser	merecer	VMN0000	merecer
em	em	SPS00	em
seu	seu	DP3MS0	seu
servo	serviço	NCMS000	serviço
	.	Fp	.
a	A	SPS00	a
quem	quem	PR0CN000	quem
ds	Deus	NP00000	deus
gde	guarde	VMSP0S0	guardar
	.	Fp	.
sala	Sala	NCFS000	sala
	,	Fc	,
8	8	Z	8
de	de	SPS00	de
outo	outubro	NCMS000	outubro
de	de	SPS00	de
1656	1656	Z	1656
@	anos	NCMP000	ano
De	De	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
Duarte	Duarte	NP00000	duarte
dias	Dias	NP00000	dias
Ruivo	Ruivo	NP00000	ruivo
Sr	Senhor	NP00000	senhor
gco	Gonçalo	NP00000	gonçalo
Roiz	Rodrigues	NP00000	rodrigues
da	da	SPS00+DA0FS0	de+o
Cunha	Cunha	NP00000	cunha
