Tirandome	Tirando-me	VMG0000+PP1CS000	tirar+me
tanta	tanta	DI0FS0	tanto
parte	parte	NCFS000	parte
na	na	SPS00+DA0FS0	em+o
perda	perda	NCFS000	perda
do	do	SPS00+DA0MS0	de+o
sor	senhor	NP00000	senhor
Conde	conde	NCMS000	conde
,	,	Fc	,
q	que	PR0CN000	que
Ds	Deus	NP00000	deus
tem	tem	VMIP3S0	ter
por	por	SPS00	por
ser	ser	VSN0000	ser
tam	tão	RC	tão
particular	particular	AQ0CS0	particular
servidor	servidor	NCMS000	servidor
seu	seu	DP3MS0	seu
	,	Fc	,
bem	bem	RG	bem
podera	poderá	VMIF3S0	poder
VS	VSa	NP00000	VSa
emtender	entender	VMN0000	entender
de	de	SPS00	de
mỹ	mim	PP1CSO00	mim
quam	quão	PA000000	quão
verdadeiramte	verdadeiramente	RG	verdadeiramente
o	o	PP3MSA00	o
acom-panho	acompanho	VMIP1S0	acompanhar
no	no	SPS00+DA0MS0	em+o
sentimento	sentimento	NCMS000	sentimento
della	dela	SPS00+PP3FS000	de+ele
	,	Fc	,
que	que	CS	que
só	só	RF	só
ẽ	em	SPS00	em
VS	VSa	NP00000	VSa
dezejo	desejo	NCMS000	desejo
se	se	P00CN000	se
modere	modere	VMSP0S0	moderar
	,	Fc	,
para	para	SPS00	para
que	que	CS	que
se	se	P00CN000	se
não	não	RN	não
arrisque	arrisque	VMSP0S0	arriscar
a	a	DA0FS0	o
saude	saúde	NCFS000	o
,	,	Fc	,
que	que	PR0CN000	que
estimarei	estimarei	VMIF1S0	estimar
tenha	tenha	VMSP0S0	ter
VS	VSa	NP00000	VSa
sempre	sempre	RG	sempre
mui	muito	RQ	muito
perfeita	perfeita	AQ0FS0	perfeito
,	,	Fc	,
de	de	SPS00	de
qm	quem	PR0CN000	quem
espero	espero	VMIP1S0	esperar
me	me	PP1CS000	me
avize	avise	VMSP0S0	avisar
VS	VSa	NP00000	VSa
agora	agora	RG	agora
	,	Fc	,
porque	porque	CS	porque
a	a	DA0FS0	o
occasião	ocasião	NCFS000	o
presente	presente	AQ0CS0	presente
solicita	solicita	VMIP3S0	solicitar
mais	mais	RC	mais
as	as	DA0FP0	o
novas	novas	NCFP000	o
a	a	SPS00	a
ella	ela	PP3FS000	ele
e	e	CC	e
	,	Fc	,
se	se	CS	se
eu	eu	PP1CSN00	eu
puder	puder	VMSF0S0	poder
servir	servir	VMN0000	servir
a	a	SPS00	a
VS	VSa	NP00000	VSa
em	em	SPS00	em
algũa	alguma	DI0FS0	algum
cousa	coisa	NCFS000	coisa
	,	Fc	,
estima-rei	estimarei	VMIF1S0	estimar
mto	muito	RQ	muito
que	que	CS	que
VS	VSa	NP00000	VSa
se	se	P00CN000	se
lembre	lembre	VMSP0S0	lembrar
de	de	SPS00	de
minhas	minhas	DP1FPS	meu
obriga-ções	obrigações	NCFP000	obrigação
	.	Fp	.
Ds	Deus	Fp	.
Gde	guarde	Fp	.
a	a	Fp	.
VS	VSa	NP00000	VSa
	.	NP00000	VSa
Villa	Vila	NP00000	VSa
Viçosa	Viçosa	NP00000	VSa
	,	NP00000	VSa
a	a	NP00000	VSa
18	18	NP00000	VSa
de	de	NP00000	VSa
Agosto	agosto	NP00000	VSa
de	de	NP00000	VSa
1632	1632	NP00000	VSa
a	anos	NP00000	VSa
O	O	NP00000	VSa
Duque	Duque	NP00000	VSa
