Toda	Toda	DI0FS0	todo
a	a	DA0FS0	o
estimação	estimação	NCFS000	o
que	que	PR0CN000	que
deus	Deus	NP00000	deus
faz	faz	VMIP3S0	fazer
da	da	SPS00+DA0FS0	de+o
carta	carta	NCFS000	carta
que	que	PR0CN000	que
VS	VSa	NP00000	VSa
me	me	PP1CS000	me
fes	fez	VMIS3S0	fazer
mce	mercê	NCFS000	mercê
	,	Fc	,
pois	pois	CS	pois
não	não	RN	não
sofre	sofre	VMIP3S0	sofrer
passar	passar	VMN0000	passar
occazião	ocasião	NCFS000	ocasião
nenhũa	nenhuma	PI0FS00N	nenhum
em	em	SPS00	em
que	que	CS	que
a	a	PP3FSA00	o
não	não	RN	não
receba	receba	VMSP0S0	receber
muy	muito	RQ	muito
particular	particular	AQ0CS0	particular
	,	Fc	,
como	como	CS	como
o	o	PP3MSA00	o
foy	foi	VSIS3S0	ser
para	para	SPS00	para
mim	mim	PP1CSO00	mim
o	o	DA0MS0	o
darme	dar-me	VMN0000+PP1CS000	dar+me
VS	VSa	NP00000	VSa
as	as	DA0FP0	o
boas	boas	AQ0FP0	bom
Paschoas	Páscoas	NP00000	páscoas
,	,	Fc	,
com	com	SPS00	com
que	que	CS	que
nesta	nesta	SPS00+DD0FS0	em+este
caza	casa	NCFS000	casa
se	se	P00CN000	se
asigurarão	asseguraram	VMIS3P0	assegurar
tais	tais	PD0CP000	tal
por	por	SPS00	por
aver	haver	VAN0000	haver
entendido	entendido	VMP0000	entender
que	que	CS	que
VS	VSa	NP00000	VSa
as	as	PP3FPA00	o
avia	havia	VAII0S0	haver
passado	passado	VMP0000	passar
com	com	SPS00	com
boa	boa	AQ0FS0	bom
saude	saúde	NCFS000	saúde
,	,	Fc	,
que	que	PR0CN000	que
desejo	desejo	VMIP1S0	desejar
continue	continue	VMSP0S0	continuar
por	por	SPS00	por
dilatados	dilatados	VMP00PM	dilatar
annos	anos	NCMP000	ano
..	.	NCMP000	ano
Tive	Tive	VMIS1S0	ter
o	o	DA0MS0	o
tra-balho	trabalho	NCMS000	trabalho
da	da	SPS00+DA0FS0	de+o
somana	Semana	NP00000	semana
santa	Santa	NP00000	santa
tão	tão	RC	tão
bem	bem	RG	bem
empregado	empregado	VMP00SM	empregar
que	que	CS	que
serve	serve	VMIP3S0	servir
esta	esta	DD0FS0	este
conside-racão	consideração	NCFS000	este
de	de	SPS00	de
grande	grande	AQ0CS0	grande
alivio	alívio	NCMS000	alívio
para	para	SPS00	para
o	o	PP3MSA00	o
poder	poder	VMN0000	poder
passar	passar	VMN0000	passar
milhor	melhor	RC	melhor
,	,	Fc	,
e	e	CC	e
assim	assim	RG	assim
delle	dele	SPS00+PP3MS000	de+ele
sahi	saí	VMIS1S0	sair
com	com	SPS00	com
a	a	DA0FS0	o
boa	boa	AQ0FS0	bom
disposisão	disposição	NCFS000	disposição
	,	Fc	,
com	com	SPS00	com
que	que	PR0CN000	que
fico	fico	VMIP1S0	ficar
esperando	esperando	VMG0000	esperar
que	que	CS	que
VS	VSa	NP00000	VSa
me	me	PP1CS000	me
faça	faça	VMSP0S0	fazer
o	o	DA0MS0	o
mais	mais	RC	mais
tempo	tempo	NCMS000	tempo
alegre	alegre	AQ0CS0	alegre
com	com	SPS00	com
me	me	PP1CS000	me
ordenar	ordenar	VMN0000	ordenar
muytas	muitas	DI0FP0	muito
cousas	coisas	NCFP000	coisa
de	de	SPS00	de
seu	seu	DP3MS0	seu
sirviço	serviço	NCMS000	serviço
	,	Fc	,
para	para	SPS00	para
o	o	DA0MS0	o
q	que	PR0CN000	que
fico	fico	VMIP1S0	ficar
tão	tão	RC	tão
certo	certo	AQ0MS0	certo
como	como	CS	como
devo	devo	VMIP1S0	dever
	.	Fp	.
Ds	Deus	Fp	.
gde	guarde	Fp	.
a	a	Fp	.
VS	VSa	NP00000	VSa
	.	NP00000	VSa
Villa	Vila	NP00000	VSa
Vicoza	Viçosa	NP00000	VSa
	,	NP00000	VSa
13	13	NP00000	VSa
de	de	NP00000	VSa
Abril	abril	NP00000	VSa
de	de	NP00000	VSa
640	640	NP00000	VSa
O	O	NP00000	VSa
Duque	Duque	NP00000	VSa
