Illustrissimo	Ilustríssimo		
Snor	Senhor		
	.		
Dee	Dê	VMSP0S0	dar
nosso	Nosso	DP1MSP	nosso
Snor	Senhor	NP00000	senhor
a	a	SPS00	a
VS	VSa	NP00000	VSa
hũ	um	DI0MS0	um
spirito	espírito	NCMS000	espírito
de	de	SPS00	de
verdadeiro	verdadeiro	AQ0MS0	verdadeiro
e	e	CC	e
sancto	santo	AQ0MS0	santo
pastor	pastor	NCMS000	pastor
,	,	Fc	,
ao	ao	SPS00+DA0MS0	a+o
qual	qual	DT0CS0	qual
officio	ofício	NCMS000	ofício
cõvẽ	convém	VMIP3S0	convir
não	não	RN	não
espedaçar	espedaçar	VMN0000	espedaçar
,	,	Fc	,
mas	mas	CC	mas
apascentar	apascentar	VMN0000	apascentar
,	,	Fc	,
dar	dar	VMN0000	dar
vida	vida	NCFS000	vida
,	,	Fc	,
cõservar	conservar	VMN0000	conservar
,	,	Fc	,
defender	defender	VMN0000	defender
e	e	CC	e
por	pôr	VMN0000	pôr
a	a	DA0FS0	o
vida	vida	NCFS000	o
cõ	com	SPS00	com
o	o	DA0MS0	o
verdadeiro	verdadeiro	AQ0MS0	verdadeiro
pastor	pastor	NCMS000	pastor
Xpõ	Xpo	NP00000	xpo
meu	meu	DP1MSS	meu
Snor	Senhor	NP00000	senhor
,	,	Fc	,
por	por	SPS00	por
impedir	impedir	VMN0000	impedir
tantos	tantos	DI0MP0	tanto
pecados	pecados	NCMP000	pecado
mortais	mortais	AQ0CP0	mortal
de	de	SPS00	de
testimunhos	testemunhos	NCMP000	testemunho
falsos	falsos	AQ0MP0	falso
,	,	Fc	,
quantos	quantos	PT0MP000	quanto
se	se	P00CN000	se
cometẽ	cometem	VMIP3P0	cometer
cada	cada	DI0CN0	cada
dia	dia	NCMS000	dia
nas	nas	SPS00+DA0FP0	em+o
casas	casas	NCFP000	casa
da	da	SPS00+DA0FS0	de+o
Inquisisão	Inquisição	NP00000	inquisição
de	de	SPS00	de
Portugal	Portugal	NP00000	portugal
,	,	Fc	,
cõ	com	SPS00	com
o	o	DA0MS0	o
qual	qual	PR0CS000	qual
tanto	tanto	RC	tanto
se	se	P00CN000	se
alegra	alegra	VMIP3S0	alegrar
o	o	DA0MS0	o
inferno	inferno	NCMS000	inferno
(	(	Fba	(
como	como	CS	como
a	a	DA0FS0	o
fe	fé	NCFS000	o
nos	nos	PP1CP000	nos
ensina	ensina	VMIP3S0	ensinar
)	)	Fbt	)
e	e	CC	e
tanto	tanto	RC	tanto
festejão	festejam	VMIP3P0	festejar
os	os	DA0MP0	o
Inquisidores	inquisidores	NCMP000	inquisidor
,	(	NCMP000	inquisidor
como	como	CS	como
a	a	DA0FS0	o
experiencia	experiência	NCFS000	o
fes	fez	VMIS3S0	fazer
co-nhecer	conhecer	VMN0000	conhecer
,	)	VMN0000	conhecer
	.	Fp	.
q	Que	CS	que
sei	sei	VMIP1S0	saber
de	de	SPS00	de
certa	certa	AQ0FS0	certo
sciencia	ciência	NCFS000	ciência
q	que	CS	que
servẽ	servem	VMIP3P0	servir
as	as	DA0FP0	o
Inquisisões	Inquisições	NP00000	inquisições
de	de	SPS00	de
Portugal	Portugal	NP00000	portugal
de	de	SPS00	de
escolas	escolas	NCFP000	escola
pa	para	SPS00	para
ensinar	ensinar	VMN0000	ensinar
judaismos	judaísmos	NCMP000	judaísmo
e	e	CC	e
heresias	heresias	NCFP000	heresia
aquelles	àqueles	SPS00+DD0MP0	a+aquele
q	que	PR0CN000	que
	,	Fc	,
não	não	RN	não
sabendo	sabendo	VMG0000	saber
mais	mais	RC	mais
q	que	CS	que
ser	ser	VSN0000	ser
christãos	cristãos	NCMP000	cristão
,	,	Fc	,
erão	eram	VSII3P0	ser
mais	mais	RC	mais
Catholicos	católicos	AQ0MP0	católico
q	que	CS	que
os	os	DA0MP0	o
Inquisidores	inquisidores	NCMP000	inquisidor
,	.	NCMP000	inquisidor
ho	O	DA0MS0	o
q	que	PR0CN000	que
testimunho	testemunho	VMIP1S0	testemunhar
e	e	CC	e
sei	sei	VMIP1S0	saber
de	de	SPS00	de
certa	certa	AQ0FS0	certo
sciencia	ciência	NCFS000	ciência
:	.	NCFS000	ciência
e	E	CC	e
tanto	tanto	RC	tanto
q	que	CS	que
oje	hoje	RG	hoje
en	em	SPS00	em
dia	dia	NCMS000	dia
trabalho	trabalho	NCMS000	trabalho
de	de	SPS00	de
reduzir	reduzir	VMN0000	reduzir
almas	almas	NCFP000	alma
a	a	SPS00	a
Xpõ	Xpo	NP00000	xpo
meu	meu	DP1MSS	meu
Snor	Senhor	NP00000	senhor
,	,	Fc	,
as	as	DA0FP0	o
quais	quais	PR0CP000	qual
elles	eles	PP3MP000	ele
	,	Fc	,
laa	lá	RG	lá
nas	nas	SPS00+DA0FP0	em+o
Inquisisões	Inquisições	NP00000	inquisições
	,	Fc	,
os	os	DA0MP0	o
mesmos	mesmos	AQ0MP0	mesmo
Inquisidores	inquisidores	NCMP000	inquisidor
	,	Fc	,
perveterão	perveteram	VMIS3P0	perveteram
ou	ou	CC	ou
forão	foram	VSIS3P0	ser
causa	causa	NCFS000	causa
de	de	SPS00	de
sua	sua	DP3FS0	seu
perversão	perversão	NCFS000	perversão
e	e	CC	e
perdissão	perdição	NCFS000	perdição
:	,	NCFS000	perdição
de	de	SPS00	de
modo	modo	NCMS000	modo
q	que	CS	que
são	são	VSIP3P0	ser
