Estimarei	Estimarei	VMIF1S0	estimar
Possua	possua	VMSP0S0	possuir
Vm	VM	NP00000	VM
a	a	DA0FS0	o
saude	saúde	NCFS000	saúde
qe	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
dezejo	desejo	VMIP1S0	desejar
pa	para	SPS00	para
qe	que	CS	que
sempre	sempre	RG	sempre
este	este	DD0MS0	este
seu	seu	DP3MS0	seu
capellão	Capelão	NCMS000	capelão
e	e	CC	e
amigo	amigo	NCMS000	amigo
se	se	P00CN000	se
alegre	alegre	VMSP0S0	alegrar
,	.	Fp	.
eu	Eu	PP1CSN00	eu
a	a	PP3FSA00	o
tenho	tenho	VMIP1S0	ter
mui	muito	RQ	muito
prompta	pronta	AQ0FS0	pronto
pa	para	SPS00	para
s	se	P00CN000	se
emcomendar	encomendar	VMN0000	encomendar
a	a	SPS00	a
Ds	Deus	NP00000	deus
	.	Fp	.
ẽ	Em	SPS00	em
domingo	domingo	NCMS000	domingo
pasado	passado	VMP00SM	passar
me	me	PP1CS000	me
escreveu	escreveu	VMIS3S0	escrever
hũ	um	DI0MS0	um
escrito	escrito	NCMS000	escrito
aquella	aquela	DD0FS0	aquele
minha	minha	DP1FSS	meu
Confessada	confessada	NCFS000	confessado
sobre	sobre	SPS00	sobre
o	o	DA0MS0	o
negoseo	negócio	NCMS000	negócio
em	em	SPS00	em
qe	que	PR0CN000	que
tratei	tratei	VMIS1S0	tratar
a	a	DA0FS0	o
Vm	VM	NP00000	VM
	,	Fc	,
dizendome	dizendo-me	VMG0000+PP1CS000	dizer+me
lhe	lhe	PP3CSD00	lhe
fizera	fizera	VMIM0S0	fazer
Ds	Deus	NP00000	deus
m	mercê	NCFS000	mercê
de	de	SPS00	de
a	a	PP3FSA00	o
alumiar	alumiar	VMN0000	alumiar
dando lhe	dando-lhe	VMG0000+PP3CSD00	dar+lhe
hua	uma	DI0FS0	um
fa	filha	NCFS000	filho
	,	Fc	,
e	e	CC	e
que	que	CS	que
todos	todos	PI0MP000	todo
dezião	diziam	VMII3P0	dizer
	,	Fc	,
os	os	DA0MP0	o
qe	que	PR0CN000	que
a	a	PP3FSA00	o
virão	viram	VMIS3P0	ver
	,	Fc	,
ser	ser	VSN0000	ser
o	o	DA0MS0	o
Retrato	retrato	NCMS000	retrato
de	de	SPS00	de
vm	VM	NP00000	VM
e	e	CC	e
qe	que	CS	que
Corria	corria	VMII0S0	correr
Risquo	risco	NCMS000	risco
a	a	DA0FS0	o
tardança	tardança	NCFS000	tardança
de	de	SPS00	de
lhe	lhe	PP3CSD00	lhe
acodirem	acudirem	VMN03P0	acudir
,	.	Fp	.
e	E	CC	e
Como	como	CS	como
isto	isto	PD0NN000	isto
he	é	VSIP3S0	ser
materia	matéria	NCFS000	matéria
de	de	SPS00	de
serviço	serviço	NCMS000	serviço
de	de	SPS00	de
Ds	Deus	NP00000	deus
	,	Fc	,
tratei	tratei	VMIS1S0	tratar
nella	nela	SPS00+PP3FS000	em+ele
a	a	DA0FS0	o
Vm	VM	NP00000	VM
	,	Fc	,
pa	para	SPS00	para
que	que	CS	que
	,	Fc	,
Como	como	SPS00	como
quim	quem	PR0CN000	quem
he	é	VSIP3S0	ser
	,	Fc	,
uzace	usasse	VMSI0S0	usar
cõ	com	SPS00	com
esta	esta	DD0FS0	este
Pessoa	pessoa	NCFS000	pessoa
	.	Fp	.
Vm	VM	NP00000	VM
Cristão	cristão	AQ0MS0	cristão
he	é	VSIP3S0	ser
,	,	Fc	,
e	e	CC	e
honrado	honrado	VMP00SM	honrar
,	,	Fc	,
pello	pelo	SPS00+DA0MS0	por+o
que	que	PR0CN000	que
Pode	pode	VMIP3S0	poder
uzar	usar	VMN0000	usar
de	de	SPS00	de
seu	seu	DP3MS0	seu
bom	bom	AQ0MS0	bom
sange	sangue	NCMS000	sangue
e	e	CC	e
dar	dar	VMN0000	dar
o	o	DA0MS0	o
Remedio	remédio	NCMS000	remédio
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
ditar	ditar	VMSF0S0	ditar
sua	sua	DP1FSS	seu
Consciençia	consciência	NCFS000	consciência
,	,	Fc	,
alem	além	RG	além
de	de	SPS00	de
ser	ser	VSN0000	ser
esmola	esmola	NCFS000	esmola
que	que	PR0CN000	que
ofrese	oferece	VMIP3S0	oferecer
a	a	SPS00	a
ds	Deus	NP00000	deus
	.	Fp	.
não	Não	RN	não
Respeitando	respeitando	VMG0000	respeitar
a	a	SPS00	a
deos	Deus	NP00000	deus
	,	Fc	,
que	que	CS	que
eu	eu	PP1CSN00	eu
julgo	julgo	VMIP1S0	julgar
de	de	SPS00	de
suas	suas	DP3FP0	seu
Confisoins	confissões	NCFP000	confissão
,	,	Fc	,
e	e	CC	e
