Resebi	Recebi	VMIS1S0	receber
a	a	DA0FS0	o
carta	carta	NCFS000	carta
de	de	SPS00	de
vm	VM	NP00000	VM
e	e	CC	e
juntamente	juntamente	RG	juntamente
a	a	DA0FS0	o
que	que	PR0CN000	que
vinha	vinha	VMII0S0	vir
aberta	aberta	VMP00SF	abrir
pa	para	SPS00	para
o	o	DA0MS0	o
padre	Padre	NP00000	padre
juze	José	NP00000	josé
pinto	Pinto	NP00000	pinto
	.	Fp	.
e	E	CC	e
vendo	vendo	VMG0000	ver
o	o	DA0MS0	o
que	que	PR0CN000	que
por	por	SPS00	por
elas	elas	PP3FP000	ele
vm	VM	NP00000	VM
me	me	PP1CS000	me
ordenava	ordenava	VMII0S0	ordenar
	,	Fc	,
me	me	PP1CS000	me
pus	pus	VMIS1S0	pôr
com	com	SPS00	com
mta	muita	DI0FS0	muito
brevidade	brevidade	NCFS000	brevidade
a	a	SPS00	a
caminho	caminho	NCMS000	caminho
e	e	CC	e
me	me	PP1CS000	me
vim	vim	VMIS1S0	vir
a	a	SPS00	a
esta	esta	DD0FS0	este
vila	vila	NCFS000	vila
aonde	onde	PA000000	onde
fico	fico	VMIP1S0	ficar
	.	Fp	.
dei	Dei	VMIS1S0	dar
a	a	DA0FS0	o
carta	carta	NCFS000	carta
ao	ao	SPS00+DA0MS0	a+o
d	dito	VMP00SM	dizer
pe	Padre	NP00000	padre
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
emcaresi	encareci	VMIS1S0	encarecer
o	o	DA0MS0	o
quanto	quanto	PR0CN000	quanto
comvinha	convinha	VMII0S0	convir
emtregarme	entregar-me	VMN0000+PP1CS000	entregar+me
os	os	DA0MP0	o
sento	cento	Z	cento
e	e	CC	e
sincoenta	cinquenta	Z	cinquenta
mil	mil	Z	mil
Reis	réis	NCMP000	réis
que	que	PR0CN000	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
dis	diz	VMIP3S0	dizer
esta	está	VMIP3S0	estar
devendo	devendo	VMG0000	dever
ainda	ainda	RG	ainda
do	do	SPS00+DA0MS0	de+o
dro	dinheiro	NCMS000	dinheiro
que	que	PR0CN000	que
lianor	Leonor	NP00000	leonor
gomes	Gomes	NP00000	gomes
	,	Fc	,
presa	presa	VMP00SF	prender
neses	nesses	SPS00+DD0MP0	em+esse
caseres	cárceres	NCMP000	cárcere
	,	Fc	,
lhe	lhe	PP3CSD00	lhe
deixou	deixou	VMIS3S0	deixar
em	em	SPS00	em
seo	seu	DP3MS0	seu
poder	poder	NCMS000	poder
ao	ao	SPS00+DA0MS0	a+o
tenpo	tempo	NCMS000	tempo
que	que	PR0CN000	que
se	se	P00CN000	se
ausentou	ausentou	VMIS3S0	ausentar
desta	desta	SPS00+DD0FS0	de+este
vila	vila	NCFS000	vila
	.	Fp	.
e	E	CC	e
como	como	CS	como
vm	VM	NP00000	VM
me	me	PP1CS000	me
não	não	RN	não
mandou	mandou	VMIS3S0	mandar
ordem	ordem	NCFS000	ordem
em	em	SPS00	em
forma	forma	NCFS000	forma
pa	para	SPS00	para
apertar	apertar	VMN0000	apertar
de	de	SPS00	de
outra	outra	DI0FS0	outro
maneira	maneira	NCFS000	maneira
mais	mais	RC	mais
que	que	CS	que
carta	carta	NCFS000	carta
mesiva	missiva	AQ0FS0	missivo
	,	Fc	,
eu	eu	PP1CSN00	eu
o	o	PP3MSA00	o
tenho	tenho	VAIP1S0	ter
feito	feito	VMP0000	fazer
comforme	conforme	SPS00	conforme
a	a	DA0FS0	o
ordem	ordem	NCFS000	ordem
	.	Fp	.
moi	Muito	RQ	muito
bem	bem	RG	bem
	,	Fc	,
porem	porém	RG	porém
	,	Fc	,
vejo	vejo	VMIP1S0	ver
mta	muita	DI0FS0	muito
pouca	pouca	DI0FS0	pouco
vontade	vontade	NCFS000	vontade
neste	neste	SPS00+DD0MS0	em+este
pe	Padre	NP00000	padre
de	de	SPS00	de
tirar	tirar	VMN0000	tirar
este	este	DD0MS0	este
dro	dinheiro	NCMS000	dinheiro
da	da	SPS00+DA0FS0	de+o
mão	mão	NCFS000	mão
	.	Fp	.
respondeme	Responde-me	VMIP3S0+PP1CS000	responder+me
que	que	CS	que
ele	ele	PP3MS000	ele
hiria	iria	VMIC0S0	ir
a	a	SPS00	a
ssa	essa	DD0FS0	esse
sidade	cidade	NCFS000	cidade
	.	Fp	.
tenho	Tenho	VAIP1S0	ter
alcansado	alcançado	VMP0000	alcançar
que	que	CS	que
tem	tem	VAIP3S0	ter
hido	ido	VMP0000	ir
ao	ao	SPS00+DA0MS0	a+o
fisco	fisco	NCMS000	fisco
desa	dessa	SPS00+DD0FS0	de+esse
sidade	cidade	NCFS000	cidade
com	com	SPS00	com
alguas	algumas	DI0FP0	algum
emborilhadas	embrulhadas	NCFP000	embrulhada
sso	só	RG	só
a	a	SPS00	a
fim	fim	NCMS000	fim
de	de	SPS00	de
não	não	RN	não
cumprir	cumprir	VMN0000	cumprir
o	o	DA0MS0	o
que	que	PR0CN000	que
ficou	ficou	VMIS3S0	ficar
na	na	SPS00+DA0FS0	em+o
mensa	Mesa	NP00000	mesa
do	do	SPS00+DA0MS0	de+o
santo	Santo	AQ0MS0	santo
offo	Ofício	NP00000	ofício
e	e	CC	e
asinou	assinou	VMIS3S0	assinar
	.	Fp	.
faso	Faço	VMIP1S0	fazer
lembransa	lembrança	NCFS000	lembrança
a	a	SPS00	a
vm	VM	NP00000	VM
que	que	CS	que
esta	está	VMIP3S0	estar
tido	tido	VMP0000	ter
este	este	DD0MS0	este
pe	Padre	NP00000	padre
por	por	SPS00	por
estas	estas	DD0FP0	este
partes	partes	NCFP000	parte
por	por	SPS00	por
moi	muito	DI0MS0	muito
largo	largo	AQ0MS0	largo
da	da	SPS00+DA0FS0	de+o
consiensia	consciência	NCFS000	consciência
e	e	CC	e
moi	muito	RQ	muito
grande	grande	AQ0CS0	grande
demandista	demandista	NCFS000	demandista
	,	Fc	,
e	e	CC	e
tem	tem	VAIP3S0	ter
feito	feito	VMP0000	fazer
mto	muito	PI0MS000	muito
por	por	SPS00	por
se	se	P00CN000	se
ver	ver	VMN0000	ver
no	no	SPS00+DA0MS0	em+o
fisco	fisco	NCMS000	fisco
com	com	SPS00	com
este	este	DD0MS0	este
negco	negócio	NCMS000	negócio
	,	Fc	,
porque	porque	CS	porque
do	do	SPS00+DA0MS0	de+o
fisco	fisco	NCMS000	fisco
	,	Fc	,
bem	bem	RG	bem
zomba	zomba	VMIP3S0	zombar
ele	ele	PP3MS000	ele
	.	Fp	.
a	A	SPS00	a
mĩ	mim	PP1CSO00	mim
me	me	PP1CS000	me
parese	parece	VMIP3S0	parecer
que	que	CS	que
deve	deve	VMIP3S0	dever
vm	VM	NP00000	VM
avizar	avisar	VMN0000	avisar
em	em	SPS00	em
mensa	Mesa	NP00000	mesa
os	os	DA0MP0	o
senhores	Senhores	NP00000	senhores
emquisidores	Inquisidores	NP00000	inquisidores
	,	Fc	,
que	que	CS	que
	,	Fc	,
ja	já	RG	já
que	que	CS	que
por	por	SPS00	por
la	lá	RG	lá
se	se	P00CN000	se
tem	tem	VAIP3S0	ter
comesado	começado	VMP0000	começar
a	a	SPS00	a
cobrar	cobrar	VMN0000	cobrar
este	este	DD0MS0	este
dro	dinheiro	NCMS000	dinheiro
	,	Fc	,
se	se	P00CN000	se
acabe	acabe	VMSP0S0	acabar
	,	Fc	,
não	não	RN	não
tratando	tratando	VMG0000	tratar
de	de	SPS00	de
mais	mais	RC	mais
comprimentos	cumprimentos	NCMP000	cumprimento
com	com	SPS00	com
este	este	DD0MS0	este
pe	Padre	NP00000	padre
	.	Fp	.
e	E	CC	e
mandareme	mandar-me	VMN0000+PP1CS000	mandar+me
ordem	ordem	NCFS000	ordem
em	em	SPS00	em
forma	forma	NCFS000	forma
pa	para	SPS00	para
ezecutar	executar	VMN0000	executar
	,	Fc	,
porque	porque	CS	porque
de	de	SPS00	de
outra	outra	DI0FS0	outro
maneira	maneira	NCFS000	maneira
não	não	RN	não
se	se	P00CN000	se
a	há	VMIP3S0	haver
de	de	SPS00	de
arecadar	arrecadar	VMN0000	arrecadar
este	este	DD0MS0	este
dro	dinheiro	NCMS000	dinheiro
	.	Fp	.
assim	Assim	RG	assim
	,	Fc	,
fico	fico	VMIP1S0	ficar
nesta	nesta	SPS00+DD0FS0	em+este
vila	vila	NCFS000	vila
esperando	esperando	VMG0000	esperar
a	a	DA0FS0	o
ordem	ordem	NCFS000	ordem
que	que	PR0CN000	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
der	der	VMSF0S0	dar
nesta	nesta	SPS00+DD0FS0	em+este
materia	matéria	NCFS000	matéria
	,	Fc	,
e	e	CC	e
nas	nas	SPS00+DA0FP0	em+o
mais	mais	PI0CN000	mais
que	que	PR0CN000	que
ouver	houver	VMSF0S0	haver
por	por	SPS00	por
estas	estas	DD0FP0	este
partes	partes	NCFP000	parte
do	do	SPS00+DA0MS0	de+o
serviso	serviço	NCMS000	serviço
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
a	a	SPS00	a
que	que	PR0CN000	que
não	não	RN	não
faltarei	faltarei	VMIF1S0	faltar
com	com	SPS00	com
moi	muito	RQ	muito
bom	bom	AQ0MS0	bom
animo	ânimo	NCMS000	ânimo
	.	Fp	.
que	Que	CS	que
se	se	CS	se
os	os	DA0MP0	o
serõs	Senhores	NP00000	senhores
emformarão	informaram	VMIS3P0	informar
bem	bem	RG	bem
de	de	SPS00	de
mĩ	mim	PP1CSO00	mim
	,	Fc	,
he	é	VSIP3S0	ser
porque	porque	CS	porque
bem	bem	RG	bem
conhesido	conhecido	VMP00SM	conhecer
sou	sou	VSN0000	ser
	,	Fc	,
ainda	ainda	RG	ainda
que	que	CS	que
ate	até	SPS00	até
oje	hoje	RG	hoje
o	o	PP3MSA00	o
não	não	RN	não
seja	seja	VSSP0S0	ser
de	de	SPS00	de
vm	VM	NP00000	VM
	.	Fp	.
comtudo	Contudo	RG	contudo
	,	Fc	,
não	não	RN	não
