Sobrinha	Sobrinha	NCFS000	sobrinho
e	e	CC	e
filha	filha	NCFS000	filho
	,	Fc	,
não	não	RN	não
posso	posso	VMIP1S0	poder
emcaresser	encarecer	VMN0000	encarecer
em	em	SPS00	em
palavras	palavras	NCFP000	palavra
ho	o	DA0MS0	o
muito	muito	NCMS000	muito
gosto	gosto	NCMS000	gosto
que	que	PR0CN000	que
tive	tive	VMIS1S0	ter
e	e	CC	e
todos	todos	PI0MP000	todo
desta	desta	SPS00+DD0FS0	de+este
caza	casa	NCFS000	casa
com	com	SPS00	com
esta	esta	DD0FS0	este
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
avia	havia	VMII0S0	haver
tanto	tanto	DI0MS0	tanto
tempo	tempo	NCMS000	tempo
que	que	CS	que
as	as	DA0MS0	o
não	não	RN	não
tenho	tenho	VMIP1S0	ter
	,	Fc	,
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
afirmo	afirmo	VMIP1S0	afirmar
	,	Fc	,
mi-nha	minha	DP1FSS	meu
snora	Senhora	NP00000	senhor
	,	Fc	,
que	que	CS	que
não	não	RN	não
sabia	sabia	VMII0S0	saber
ja	já	RG	já
o	o	DA0MS0	o
que	que	PR0CN000	que
dixesse	dissesse	VMSI0S0	dizer
,	,	Fc	,
nem	nem	CC	nem
cudasse	cuidasse	VMSI0S0	cuidar
	.	Fp	.
e	E	CC	e
vir	vir	VMN0000	vir
o	o	DA0MS0	o
snor	Senhor	NP00000	senhor
ldo	Licenciado	NP00000	licenciado
sem	sem	SPS00	sem
me	me	PP1CS000	me
trazer	trazer	VMN0000	trazer
hua	uma	DI0FS0	um
sua	sua	DP3FS0	seu
	,	Fc	,
mais	mais	CC	mais
que	que	CS	que
darme	dar-me	VMN0000+PP1CS000	dar+me
boas	boas	AQ0FP0	bom
novas	novas	NCFP000	nova
de	de	SPS00	de
sua	sua	DP3FS0	seu
saude	saúde	NCFS000	saúde
,	,	Fc	,
o	o	DA0MS0	o
que	que	PR0CN000	que
agora	agora	RG	agora
nesta	nesta	SPS00+DD0FS0	em+este
nam	não	RN	não
tenho	tenho	VMIP1S0	ter
	,	Fc	,
que	que	CS	que
pera	para	SPS00	para
que	que	CS	que
nao	não	RN	não
fosse	fosse	VMSI0S0	ir
o	o	DA0MS0	o
gosto	gosto	NCMS000	gosto
perfeito	perfeito	AQ0MS0	perfeito
de	de	SPS00	de
Vm	VM	NP00000	VM
ter	ter	VMN0000	ter
doenssa	doença	NCFS000	doença
	,	Fc	,
ja	já	RG	já
	,	Fc	,
minha	minha	DP1FSS	meu
filha	filha	NCFS000	filho
e	e	CC	e
snora	Senhora	NP00000	senhor
	,	Fc	,
quanto	quanto	CS	quanto
o	o	PP3MSA00	o
sintirei	sentirei	VMIF1S0	sentir
	,	Fc	,
e	e	CC	e
todos	todos	PI0MP000	todo
desta	desta	SPS00+DD0FS0	de+este
caza	casa	NCFS000	casa
	.	Fp	.
mas	Mas	CC	mas
querera	quererá	VMIF3S0	querer
nosso	Nosso	NP00000	nosso
snor	Senhor	NP00000	senhor
nam	não	RN	não
seja	seja	VSSP0S0	ser
mais	mais	RC	mais
que	que	CS	que
o	o	DA0MS0	o
que	que	PR0CN000	que
todos	todos	PI0MP000	todo
lhe	lhe	PP3CSD00	lhe
dezejamos	desejamos	VMIP1P0	desejar
,	,	Fc	,
pello	pelo	SPS00+DA0MS0	por+o
que	que	PR0CN000	que
não	não	RN	não
se	se	P00CN000	se
agaste	agaste	VMSP0S0	agastar
nem	nem	CC	nem
sse	se	CS	se
desconssolle	desconsole	VMSP0S0	desconsolar
	,	Fc	,
minha	minha	DP1FSS	meu
snora	Senhora	NP00000	senhor
	,	Fc	,
que	que	CS	que
nosso	Nosso	NP00000	nosso
snor	Senhor	NP00000	senhor
ha	há	VMIP3S0	haver
de	de	SPS00	de
ter	ter	VMN0000	ter
muito	muito	DI0MS0	muito
cuidado	cuidado	NCMS000	cuidado
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
saude	saúde	NCFS000	saúde
,	.	Fp	.
e	E	CC	e
nossa	Nossa	NP00000	nossa
snora	Senhora	NP00000	senhor
dos	dos	SPS00+DA0MP0	de+o
martes	Mártires	NP00000	mártires
	,	Fc	,
a	a	SPS00	a
quem	quem	PR0CN000	quem
lhe	lhe	PP3CSD00	lhe
mando	mando	VMIP1S0	mandar
dizer	dizer	VMN0000	dizer
hua	uma	DI0FS0	um
missa	missa	NCFS000	missa
	,	Fc	,
ella	ela	PP3FS000	ele
tera	terá	VMIF3S0	ter
muito	muito	RQ	muito
cuidado	cuidado	NCMS000	cuidado
de	de	SPS00	de
Vm	VM	NP00000	VM
e	e	CC	e
darlhe	dar-lhe	VMN0000+PP3CSD00	dar+lhe
muita	muita	DI0FS0	muito
sau-de	saúde	NCFS000	saúde
pera	para	SPS00	para
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
faça	faça	VMSP0S0	fazer
muitos	muitos	DI0MP0	muito
servissos	serviços	NCMP000	serviço
;	.	Fp	.
eu	Eu	PP1CSN00	eu
	,	Fc	,
minha	minha	DP1FSS	meu
snora	Senhora	NP00000	senhor
	,	Fc	,
folgara	folgara	VMIM0S0	folgar
que	que	CS	que
estivera	estivera	VMIM0S0	estar
em	em	SPS00	em
parte	parte	NCFS000	parte
que	que	CS	que
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
dias	dias	NCMP000	dia
a	a	DA0FS0	o
vizitara	visitara	NCFS000	visitara
como	como	SPS00	como
a	a	DA0FS0	o
filha	filha	NCFS000	filho
	,	Fc	,
mas	mas	CC	mais
não	não	RN	não
ha	há	VMIP3S0	haver
aver	haver	VMN0000	haver
portador	portador	NCMS000	portador
pera	para	SPS00	para
essa	essa	DD0FS0	esse
parte	parte	NCFS000	parte
,	.	Fp	.
as	As	DA0FP0	o
novas	novas	NCFP000	nova
da	da	SPS00+DA0FS0	de+o
snora	Senhora	NP00000	senhor
simoa	Simoa	NP00000	Simoa
da	da	SPS00+DA0FS0	de+o
silva	Silva	NP00000	silva
	,	Fc	,
festejo	festejo	NCMS000	festejo
muito	muito	RQ	muito
ter	ter	VMN0000	ter
ella	ela	PP3FS000	ele
saude	saúde	NCFS000	saúde
	.	Fp	.
Vm	VM	NP00000	VM
lhe	lhe	PP3CSD00	lhe
de	dê	VMSP0S0	dar
muitos	muitos	DI0MP0	muito
recados	recados	NCMP000	recado
meus	meus	DP1MPS	meu
	,	Fc	,
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
emcomendo	encomendo	VMIP1S0	encomendar
muito	muito	RQ	muito
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
ainda	ainda	RG	ainda
que	que	CS	que
bem	bem	RG	bem
sei	sei	VMIP1S0	saber
não	não	RN	não
ser	ser	VSN0000	ser
nessessario	necessário	AQ0MS0	necessário
esta	esta	DD0FS0	este
lembranssa	lembrança	NCFS000	lembrança
	,	Fc	,
mas	mas	CC	mais
eu	eu	PP1CSN00	eu
	,	Fc	,
como	como	SPS00	como
mai	mãe	NCFS000	mãe
	,	Fc	,
tenho	tenho	VMIP1S0	ter
esta	esta	DD0FS0	este
lisenssa	licença	NCFS000	licença
	,	Fc	,
e	e	CC	e
com	com	SPS00	com
muita	muita	DI0FS0	muito
confianssa	confiança	NCFS000	confiança
que	que	PR0CN000	que
tenho	tenho	VMIP1S0	ter
na	na	SPS00+DA0FS0	em+o
snora	Senhora	NP00000	senhor
simoa	Simoa	NP00000	Simoa
da	da	SPS00+DA0FS0	de+o
silva	Silva	NP00000	silva
,	.	Fp	.
a	A	SPS00	a
mesma	mesma	AQ0FS0	mesmo
lembrança	lembrança	NCFS000	lembrança
fazem	fazem	VMIP3P0	fazer
suas	suas	DP3FP0	seu
irmas	irmãs	NCFP000	irmão
,	,	Fc	,
primas	primas	NCFP000	prima
	,	Fc	,
principalmente	principalmente	RG	principalmente
Anna	Ana	NP00000	ana
Correa	Correia	NP00000	correia
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
da	da	SPS00+DA0FS0	de+o
silva	Silva	NP00000	silva
tem	tem	VMIP3S0	ter
della	dela	SPS00+PP3FS000	de+ele
,	,	Fc	,
,	,	Fc	,
louvores	louvores	NCMP000	louvor
a	a	SPS00	a
ds	Deus	NP00000	deus
sam	são	VSIP3P0	ser
as	as	DA0FP0	o
esperanssas	esperanças	NCFP000	esperança
na	na	SPS00+DA0FS0	em+o
caravella	caravela	NCFS000	caravela
q	que	PR0CN000	que
veio	veio	VMIS3S0	vir
,	,	Fc	,
e	e	CC	e
nos	nos	PP1CP000	nos
seja	seja	VSSP0S0	ser
ds	Deus	NP00000	deus
muito	muito	RQ	muito
louvado	louvado	VMP00SM	louvar
	.	Fp	.
elle	Ele	PP3MS000	ele
não	não	RN	não
viera	viera	VMIM0S0	vir
por	por	SPS00	por
respeito	respeito	NCMS000	respeito
das	das	SPS00+DA0FP0	de+o
embar-cassois	embarcações	NCFP000	embarcação
serem	serem	VSN03P0	ser
muito	muito	RQ	muito
apertadas	apertadas	NCFP000	apertada
	,	Fc	,
porq	porque	CS	porque
não	não	RN	não
vinha	vinha	VMII0S0	vir
mais	mais	RC	mais
q	que	CS	que
naos	naus	NCFP000	nau
e	e	CC	e
que	que	CS	que
elle	ele	PP3MS000	ele
avia	havia	VMII0S0	haver
mister	mister	NCMS000	mister
maor	maior	AQ0CS0	maior
lugar	lugar	NCMS000	lugar
	,	Fc	,
q	que	CS	que
viria	viria	VMIC0S0	vir
com	com	SPS00	com
ajuda	ajuda	NCFS000	ajuda
de	de	SPS00	de
ds	Deus	NP00000	deus
pera	para	SPS00	para
o	o	DA0MS0	o
anno	ano	NCMS000	ano
que	que	PR0CN000	que
vem	vem	VMIP3S0	vir
	.	Fp	.
ds	Deus	NP00000	deus
que-rendo	querendo	VMG0000	querer
	,	Fc	,
nas	nas	SPS00+DA0FP0	em+o
naos	naus	NCFP000	nau
manda	manda	VMIP3S0	mandar
fazenda	fazenda	NCFS000	fazenda
	.	Fp	.
ainda	Ainda	RG	ainda
não	não	RN	não
sam	são	VSIP3P0	ser
vindas	vindas	VMP00PF	vir
	,	Fc	,
trallaha	tra-la-á	Fc	,
nosso	Nosso	NP00000	nosso
snor	Senhor	NP00000	senhor
	,	Fc	,
e	e	CC	e
elle	ele	PP3MS000	ele
me	me	PP1CS000	me
queira	queira	VMSP0S0	querer
	,	Fc	,
por	por	SPS00	por
sua	sua	DP3FS0	seu
mizericor-dia	misericórdia	NCFS000	misericórdia
	,	Fc	,
trazer	trazer	VMN0000	trazer
este	este	DD0MS0	este
filho	filho	NCMS000	filho
diante	diante	RG	diante
de	de	SPS00	de
meus	meus	DP1MPS	meu
olhos	olhos	NCMP000	olho
pera	para	SPS00	para
seu	seu	DP3MS0	seu
sancto	santo	NCMS000	santo
servisso	serviço	NCMS000	serviço
,	.	Fp	.
pezame	Pesa-me	VMIP3S0+PP1CS000	pesar+me
muito	muito	RQ	muito
não	não	RN	não
poder	poder	VMN0000	poder
este	este	DD0MS0	este
portador	portador	NCMS000	portador
levar	levar	VMN0000	levar
nada	nada	PI0NN00N	nada
	.	Fp	.
avendo	Havendo	VMG0000	haver
Vm	VM	NP00000	VM
mister	mister	NCMS000	mister
algũa	alguma	DI0FS0	algum
couza	coisa	NCFS000	coisa
	,	Fc	,
me	me	PP1CS000	me
avize	avise	VMSP0S0	avisar
	,	Fc	,
que	que	CS	que
o	o	PP3MSA00	o
farei	farei	VMIF1S0	fazer
com	com	SPS00	com
muita	muita	DI0FS0	muito
vontade	vontade	NCFS000	vontade
e	e	CC	e
amor	amor	NCMS000	amor
	.	Fp	.
e	E	CC	e
asim	assim	RG	assim
me	me	PP1CS000	me
avize	avise	VMSP0S0	avisar
de	de	SPS00	de
sua	sua	DP3FS0	seu
melhoria	melhoria	NCFS000	melhoria
	,	Fc	,
que	que	CS	que
lla	lá	RG	lá
ei	hei	VMIP1S0	haver
de	de	SPS00	de
estar	estar	VMN0000	estar
de	de	SPS00	de
contino	contínuo	AQ0MS0	contínuo
com	com	SPS00	com
o	o	DA0MS0	o
coracam	coração	NCMS000	coração
ate	até	SPS00	até
saber	saber	VMN0000	saber
de	de	SPS00	de
sua	sua	DP3FS0	seu
melhoria	melhoria	NCFS000	melhoria
,	.	Fp	.
asim	Assim	RG	assim
me	me	PP1CS000	me
desculpe	desculpe	VMSP0S0	desculpar
com	com	SPS00	com
a	a	DA0FS0	o
snora	Senhora	NP00000	senhor
dona	Dona	NP00000	dona
joana	Joana	NP00000	joana
	,	Fc	,
que	que	CS	que
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
ouvera	houvera	VMIM0S0	haver
de	de	SPS00	de
escrever	escrever	VMN0000	escrever
desse	desse	SPS00+DD0MS0	de+esse
modo	modo	NCMS000	modo
	,	Fc	,
mas	mas	CC	mais
que	que	CS	que
os	os	DA0MP0	o
portadores	portadores	NCMP000	portador
me	me	PP1CS000	me
desculpam	desculpam	VMIP3P0	desculpar
,	.	Fp	.
nosso	Nosso	NP00000	nosso
snor	Senhor	NP00000	senhor
pague	pague	VMSP0S0	pagar
a	a	SPS00	a
Vm	VM	NP00000	VM
todas	todas	DI0FP0	todo
as	as	DA0FP0	o
lembranças	lembranças	NCFP000	lembrança
que	que	PR0CN000	que
tem	tem	VMIP3S0	ter
de	de	SPS00	de
me	me	PP1CS000	me
emcomendar	encomendar	VMN0000	encomendar
a	a	SPS00	a
nosso	Nosso	NP00000	nosso
snor	Senhor	NP00000	senhor
este	este	DD0MS0	este
filho	filho	NCMS000	filho
	.	Fp	.
eu	Eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
pesso	peço	VMIP1S0	pedir
	,	Fc	,
minha	minha	DP1FSS	meu
snora	Senhora	NP00000	senhor
	,	Fc	,
o	o	PP3MSA00	o
faça	faça	VMSP0S0	fazer
	,	Fc	,
pedindolhe	pedindo-lhe	VMG0000+PP3CSD00	pedir+lhe
me	me	PP1CS000	me
queira	queira	VMSP0S0	querer
dar	dar	VMN0000	dar
na	na	SPS00+DA0FS0	em+o
vida	vida	NCFS000	vida
esa	essa	DD0FS0	esse
conçollaçam	consolação	NCFS000	consolação
pera	para	SPS00	para
que	que	CS	que
eu	eu	PP1CSN00	eu
va	vá	VMSP0S0	ir
com	com	SPS00	com
elle	ele	PP3MS000	ele
a	a	SPS00	a
nossa	Nossa	NP00000	nossa
snora	Senhora	NP00000	senhor
de	de	SPS00	de
nazare	Nazaré	NP00000	nazaré
	,	Fc	,
que	que	CS	que
muito	muito	RG	muito
ha	há	VMIP3S0	haver
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
tenho	tenho	VMIP1S0	ter
feito	feito	VMP00SM	fazer
esse	esse	DD0MS0	esse
promitimento	prometimento	NCMS000	prometimento
,	,	Fc	,
mas	mas	CC	mais
